Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,254.94,256.38,244.0,245.27,61782400,0.0,0.0
2025-10-09,257.81,258.0,253.14,254.04,38322000,0.0,0.0
2025-10-08,256.52,258.52,256.11,258.06,36496900,0.0,0.0
2025-10-07,256.81,257.4,255.43,256.48,31955800,0.0,0.0
2025-10-06,257.99,259.07,255.05,256.69,44664100,0.0,0.0
2025-10-03,254.67,259.24,253.95,258.02,49155600,0.0,0.0
2025-10-02,256.58,258.18,254.15,257.13,42630200,0.0,0.0
2025-10-01,255.04,258.79,254.93,255.45,48713900,0.0,0.0
2025-09-30,254.86,255.92,253.11,254.63,37704300,0.0,0.0
2025-09-29,254.56,255.0,253.01,254.43,40127700,0.0,0.0
2025-09-26,254.1,257.6,253.78,255.46,46076300,0.0,0.0
2025-09-25,253.21,257.17,251.71,256.87,55202100,0.0,0.0
2025-09-24,255.22,255.74,251.04,252.31,42303700,0.0,0.0
2025-09-23,255.88,257.34,253.58,254.43,60275200,0.0,0.0
2025-09-22,248.3,256.64,248.12,256.08,105517400,0.0,0.0
2025-09-19,241.23,246.3,240.21,245.5,163741300,0.0,0.0
2025-09-18,239.97,241.2,236.65,237.88,44249600,0.0,0.0
2025-09-17,238.97,240.1,237.73,238.99,46508000,0.0,0.0
2025-09-16,237.18,241.22,236.32,238.15,63421100,0.0,0.0
2025-09-15,237.0,238.19,235.03,236.7,42699500,0.0,0.0
2025-09-12,229.22,234.51,229.02,234.07,55824200,0.0,0.0
2025-09-11,226.88,230.45,226.65,230.03,50208600,0.0,0.0
2025-09-10,232.19,232.42,225.95,226.79,83440800,0.0,0.0
2025-09-09,237.0,238.78,233.36,234.35,66313900,0.0,0.0
2025-09-08,239.3,240.15,236.34,237.88,48999500,0.0,0.0
2025-09-05,240.0,241.32,238.49,239.69,54870400,0.0,0.0
2025-09-04,238.45,239.9,236.74,239.78,47549400,0.0,0.0
2025-09-03,237.21,238.85,234.36,238.47,66427800,0.0,0.0
2025-09-02,229.25,230.85,226.97,229.72,44075600,0.0,0.0
2025-08-29,232.51,233.38,231.37,232.14,39418400,0.0,0.0
2025-08-28,230.82,233.41,229.34,232.56,38074700,0.0,0.0
2025-08-27,228.61,230.9,228.26,230.49,31259500,0.0,0.0
2025-08-26,226.87,229.49,224.69,229.31,54575100,0.0,0.0
