Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,37.06,37.35,35.01,35.02,7312900,0.0,0.0
2025-10-09,38.08,38.09,36.78,37.0,9033000,0.0,0.0
2025-10-08,36.48,37.58,36.39,37.06,10564600,0.0,0.0
2025-10-07,34.1,35.87,34.02,35.53,11291400,0.0,0.0
2025-10-06,34.95,35.49,33.77,33.79,5365900,0.0,0.0
2025-10-03,35.14,35.25,34.35,34.5,5786900,0.0,0.0
2025-10-02,34.07,35.04,33.97,34.83,8145900,0.0,0.0
2025-10-01,33.0,34.33,32.85,33.85,5804300,0.0,0.0
2025-09-30,33.47,33.47,31.98,32.89,8584200,0.0,0.0
2025-09-29,33.58,33.92,32.96,33.85,7467900,0.0,0.0
2025-09-26,31.55,32.83,31.45,32.71,6488900,0.0,0.0
2025-09-25,31.21,31.84,30.81,31.45,5327500,0.0,0.0
2025-09-24,31.76,32.03,31.1,31.23,7167700,0.0,0.0
2025-09-23,32.67,32.97,31.03,31.53,7983300,0.0,0.0
2025-09-22,32.0,32.64,31.79,32.63,4758300,0.0,0.0
2025-09-19,32.77,32.99,32.28,32.46,6383100,0.0,0.0
2025-09-18,33.25,33.3,32.65,32.72,4318800,0.0,0.0
2025-09-17,33.0,34.14,32.73,32.86,6699200,0.0,0.0
2025-09-16,33.86,34.25,33.12,33.48,5921600,0.0,0.0
2025-09-15,33.58,34.15,33.4,33.6,5656800,0.0,0.0
2025-09-12,32.37,33.45,32.37,33.24,8313400,0.0,0.0
2025-09-11,31.01,32.35,30.71,32.29,6107200,0.0,0.0
2025-09-10,31.3,32.1,30.76,30.93,6482500,0.0,0.0
2025-09-09,32.19,32.91,31.25,31.27,6652800,0.0,0.0
2025-09-08,32.01,32.15,30.83,32.04,6672000,0.0,0.0
2025-09-05,31.73,32.07,30.99,31.83,5686300,0.0,0.0
2025-09-04,30.86,31.31,30.58,31.29,5865500,0.0,0.0
2025-09-03,30.61,31.44,30.28,31.11,6133600,0.0,0.0
2025-09-02,31.1,31.18,30.21,30.94,8241200,0.0,0.0
2025-08-29,31.9,32.47,31.8,32.19,4180500,0.0,0.0
2025-08-28,32.07,32.35,31.36,31.92,3678400,0.0,0.0
2025-08-27,31.43,31.91,31.01,31.8,3698000,0.0,0.0
2025-08-26,31.6,32.38,31.5,31.95,3652000,0.0,0.0
2025-08-25,31.55,32.09,31.5,31.8,3896700,0.0,0.0
2025-08-22,29.57,32.16,29.49,31.68,8535400,0.0,0.0
2025-08-21,29.04,29.61,28.92,29.51,3101600,0.0,0.0
2025-08-20,29.46,29.72,29.14,29.33,3463900,0.0,0.0
2025-08-19,29.75,30.15,29.58,29.85,3961300,0.0,0.0
2025-08-18,30.77,30.94,29.39,29.63,7364600,0.0,0.0
2025-08-15,31.39,31.54,30.96,31.27,5523000,0.0,0.0
2025-08-14,31.08,31.44,30.53,31.33,4725700,0.0,0.0
2025-08-13,31.65,31.75,31.23,31.73,4157000,0.0,0.0
2025-08-12,29.73,31.5,29.61,31.38,7308700,0.1,0.0
2025-08-11,30.15,30.41,29.14,29.23,8075700,0.0,0.0
2025-08-08,30.1,30.76,29.82,30.07,4868100,0.0,0.0
2025-08-07,29.97,30.08,28.92,30.0,4252900,0.0,0.0
2025-08-06,30.34,30.51,29.38,29.45,4903000,0.0,0.0
2025-08-05,29.4,29.63,28.74,29.52,3578800,0.0,0.0
2025-08-04,28.73,29.19,28.4,29.02,5493500,0.0,0.0
2025-08-01,29.1,29.19,28.01,28.3,6930400,0.0,0.0
2025-07-31,29.77,30.58,29.56,29.87,5337700,0.0,0.0
2025-07-30,30.26,30.38,29.62,30.02,6061300,0.0,0.0
2025-07-29,30.4,30.72,29.99,30.34,4734000,0.0,0.0
2025-07-28,30.69,31.21,30.07,30.58,5907400,0.0,0.0
2025-07-25,31.39,31.59,30.28,30.73,6912200,0.0,0.0
