Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,85.11,85.88,79.11,79.19,1106900,0.0,0.0
2025-10-09,84.7,85.58,83.44,84.61,615600,0.0,0.0
2025-10-08,83.0,85.49,82.8,84.47,1017100,0.0,0.0
2025-10-07,88.06,89.0,83.57,83.66,992900,0.0,0.0
2025-10-06,89.31,93.38,87.66,87.69,933800,0.0,0.0
2025-10-03,93.57,93.66,88.52,88.71,993200,0.0,0.0
2025-10-02,98.1,98.35,92.58,93.57,1108100,0.0,0.0
2025-10-01,93.54,95.59,86.04,94.76,2521300,0.0,0.0
2025-09-30,96.29,98.58,95.0,97.64,301700,0.0,0.0
2025-09-29,98.92,98.92,96.61,96.7,395800,0.0,0.0
2025-09-26,96.61,98.15,95.22,97.48,280000,0.0,0.0
2025-09-25,94.99,97.83,93.0,97.13,399300,0.0,0.0
2025-09-24,98.12,98.75,96.57,97.16,408900,0.0,0.0
2025-09-23,101.06,102.93,98.29,98.47,704000,0.0,0.0
2025-09-22,96.28,100.48,96.0,100.44,697800,0.0,0.0
2025-09-19,96.64,96.64,94.54,95.65,1168500,0.0,0.0
2025-09-18,94.24,97.18,93.47,96.66,679700,0.0,0.0
2025-09-17,89.52,93.0,88.49,91.1,584100,0.0,0.0
2025-09-16,87.71,90.15,87.7,89.81,572300,0.0,0.0
2025-09-15,86.14,88.15,86.0,87.3,418100,0.0,0.0
2025-09-12,85.87,86.18,84.77,85.55,274300,0.0,0.0
2025-09-11,83.99,87.42,83.51,86.36,577800,0.0,0.0
2025-09-10,83.55,83.55,82.1,83.28,300900,0.0,0.0
2025-09-09,81.74,83.75,81.66,83.08,422200,0.0,0.0
2025-09-08,81.33,82.0,79.67,81.82,286200,0.0,0.0
2025-09-05,79.64,81.53,79.64,80.61,331000,0.0,0.0
2025-09-04,78.22,79.43,77.32,78.79,325800,0.0,0.0
2025-09-03,79.7,80.17,77.55,78.69,823500,0.0,0.0
2025-09-02,77.32,80.07,77.16,79.6,416800,0.0,0.0
2025-08-29,81.83,82.27,79.55,80.04,385800,0.0,0.0
2025-08-28,82.05,82.77,79.96,82.01,876300,0.0,0.0
2025-08-27,81.06,82.22,80.39,81.92,292500,0.0,0.0
2025-08-26,79.82,81.82,79.78,80.91,390300,0.0,0.0
2025-08-25,81.9,82.18,80.33,80.38,293200,0.0,0.0
2025-08-22,79.38,83.36,78.86,81.29,493600,0.0,0.0
2025-08-21,78.18,79.83,77.7,78.51,390800,0.0,0.0
2025-08-20,80.21,80.4,77.71,79.07,361900,0.0,0.0
2025-08-19,80.73,82.28,79.24,80.2,340100,0.0,0.0
2025-08-18,80.51,81.7,79.77,80.73,289700,0.0,0.0
2025-08-15,81.0,81.21,78.75,80.51,618500,0.0,0.0
2025-08-14,83.75,84.15,82.51,83.76,346300,0.0,0.0
2025-08-13,81.68,85.45,81.68,84.97,870400,0.0,0.0
2025-08-12,78.44,82.55,78.02,81.32,580600,0.0,0.0
2025-08-11,79.6,80.5,77.83,78.0,356800,0.0,0.0
2025-08-08,80.04,80.23,78.52,79.42,390000,0.0,0.0
