Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,15.79,15.83,15.13,15.17,977600,0.0,0.0
2025-10-09,15.57,15.68,15.17,15.65,1494700,0.0,0.0
2025-10-08,14.5,15.57,14.39,15.55,1951000,0.0,0.0
2025-10-07,14.47,14.56,14.11,14.35,1780200,0.0,0.0
2025-10-06,14.64,14.97,14.43,14.47,2327200,0.0,0.0
2025-10-03,14.39,14.89,14.16,14.38,2128800,0.0,0.0
2025-10-02,14.61,14.74,14.04,14.24,2229500,0.0,0.0
2025-10-01,14.93,15.26,14.52,14.56,2679600,0.0,0.0
2025-09-30,14.0,15.04,13.94,14.96,4722300,0.0,0.0
2025-09-29,13.38,13.65,13.07,13.46,1716600,0.0,0.0
2025-09-26,13.13,13.25,12.82,13.22,1455800,0.0,0.0
2025-09-25,12.62,13.33,12.51,13.13,1668200,0.0,0.0
2025-09-24,13.8,13.88,12.71,12.82,1716600,0.0,0.0
2025-09-23,13.93,14.48,13.82,13.93,2106200,0.0,0.0
2025-09-22,13.37,14.27,13.26,13.94,2541400,0.0,0.0
2025-09-19,13.87,13.9,13.26,13.36,2628000,0.0,0.0
2025-09-18,12.99,13.79,12.94,13.77,1458600,0.0,0.0
2025-09-17,12.97,13.33,12.59,12.82,1434600,0.0,0.0
2025-09-16,13.07,13.23,12.69,12.91,1513600,0.0,0.0
2025-09-15,12.62,13.15,12.51,13.08,1461800,0.0,0.0
2025-09-12,13.54,13.63,12.6,12.61,1949500,0.0,0.0
2025-09-11,12.49,13.68,12.46,13.49,3093500,0.0,0.0
2025-09-10,12.67,13.02,12.34,12.42,1779400,0.0,0.0
2025-09-09,12.51,12.68,12.35,12.61,1092700,0.0,0.0
2025-09-08,12.84,13.1,12.46,12.54,1830400,0.0,0.0
2025-09-05,13.18,13.2,12.52,12.85,1374000,0.0,0.0
2025-09-04,12.84,13.02,12.53,13.02,3150400,0.0,0.0
2025-09-03,12.8,13.25,12.68,12.85,1891900,0.0,0.0
2025-09-02,12.9,13.23,12.68,12.84,1354100,0.0,0.0
2025-08-29,13.33,13.33,12.92,13.18,2423900,0.0,0.0
