Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,8.61,8.7,8.37,8.37,7763900,0.0,0.0
2025-10-09,8.62,8.67,8.59,8.63,6131300,0.0,0.0
2025-10-08,8.67,8.72,8.6,8.65,7489800,0.0,0.0
2025-10-07,8.7,8.74,8.53,8.58,8416200,0.0,0.0
2025-10-06,8.82,8.84,8.68,8.71,6293700,0.0,0.0
2025-10-03,8.76,8.85,8.75,8.8,5809000,0.0,0.0
2025-10-02,8.67,8.76,8.61,8.75,8313900,0.0,0.0
2025-10-01,8.69,8.86,8.64,8.68,8904600,0.0,0.0
2025-09-30,8.78,8.78,8.66,8.71,7289200,0.0,0.0
2025-09-29,8.82,8.85,8.76,8.79,5498900,0.0,0.0
2025-09-26,8.65,8.81,8.62,8.81,9363700,0.0,0.0
2025-09-25,8.55,8.62,8.49,8.6,8521200,0.0,0.0
2025-09-24,8.61,8.64,8.55,8.59,7826000,0.0,0.0
2025-09-23,8.76,8.81,8.58,8.58,7214500,0.0,0.0
2025-09-22,8.59,8.78,8.57,8.74,11472700,0.0,0.0
2025-09-19,8.69,8.72,8.55,8.57,22313900,0.0,0.0
2025-09-18,8.62,8.67,8.56,8.65,11566500,0.0,0.0
2025-09-17,8.71,8.81,8.6,8.61,8971800,0.0,0.0
2025-09-16,8.77,8.85,8.65,8.68,7453400,0.0,0.0
2025-09-15,8.88,8.94,8.75,8.77,9333000,0.0,0.0
2025-09-12,8.81,8.87,8.78,8.83,6673600,0.0,0.0
2025-09-11,8.56,8.86,8.55,8.85,12416300,0.055,0.0
2025-09-10,8.49,8.57,8.47,8.55,9021800,0.0,0.0
2025-09-09,8.55,8.58,8.52,8.55,7018000,0.0,0.0
2025-09-08,8.68,8.69,8.56,8.56,7562100,0.0,0.0
2025-09-05,8.76,8.83,8.62,8.64,19527100,0.0,0.0
2025-09-04,8.67,8.79,8.63,8.76,13204600,0.0,0.0
2025-09-03,8.52,8.63,8.51,8.61,10774300,0.0,0.0
2025-09-02,8.6,8.64,8.52,8.54,9622300,0.0,0.0
2025-08-29,8.62,8.71,8.61,8.65,7020000,0.0,0.0
2025-08-28,8.69,8.69,8.54,8.62,7976200,0.0,0.0
2025-08-27,8.61,8.73,8.6,8.7,9273400,0.0,0.0
2025-08-26,8.71,8.74,8.61,8.62,10801900,0.0,0.0
2025-08-25,8.76,8.78,8.69,8.7,6448100,0.0,0.0
2025-08-22,8.62,8.8,8.59,8.75,7939000,0.0,0.0
2025-08-21,8.61,8.7,8.55,8.58,8884200,0.0,0.0
2025-08-20,8.8,8.8,8.63,8.66,11755400,0.0,0.0
2025-08-19,8.62,8.79,8.6,8.77,9449600,0.0,0.0
2025-08-18,8.58,8.62,8.54,8.59,5698600,0.0,0.0
2025-08-15,8.63,8.67,8.52,8.62,9315700,0.0,0.0
2025-08-14,8.64,8.7,8.55,8.61,7516300,0.0,0.0
2025-08-13,8.45,8.75,8.44,8.72,18287400,0.0,0.0
2025-08-12,8.32,8.47,8.29,8.46,10188300,0.0,0.0
2025-08-11,8.38,8.43,8.29,8.32,7766200,0.0,0.0
2025-08-08,8.4,8.42,8.34,8.37,9323400,0.0,0.0
2025-08-07,8.57,8.59,8.34,8.4,8175700,0.0,0.0
2025-08-06,8.36,8.53,8.34,8.53,11810000,0.0,0.0
2025-08-05,8.42,8.44,8.28,8.35,12582100,0.0,0.0
2025-08-04,8.3,8.4,8.29,8.4,14912700,0.0,0.0
2025-08-01,8.29,8.33,8.1,8.25,17647100,0.0,0.0
