Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,61.07,61.82,58.13,58.75,278800,0.0,0.0
2025-10-09,63.63,64.99,60.17,60.74,318700,0.0,0.0
2025-10-08,62.46,63.14,60.99,62.3,220800,0.0,0.0
2025-10-07,63.9,63.9,60.96,62.12,347300,0.0,0.0
2025-10-06,63.44,64.2,61.38,63.92,228800,0.0,0.0
2025-10-03,61.6,63.86,60.26,62.79,402300,0.0,0.0
2025-10-02,59.58,60.01,58.0,59.94,273800,0.0,0.0
2025-10-01,61.2,61.89,59.39,59.47,280200,0.0,0.0
2025-09-30,62.73,63.0,60.03,60.77,247900,0.0,0.0
2025-09-29,61.51,62.9,59.37,62.77,293200,0.0,0.0
2025-09-26,59.53,61.18,59.34,60.58,216300,0.0,0.0
2025-09-25,61.03,61.03,59.14,59.26,298300,0.0,0.0
2025-09-24,62.43,64.24,60.36,61.23,260000,0.0,0.0
2025-09-23,61.5,64.5,60.83,61.98,316200,0.0,0.0
2025-09-22,60.5,61.9,59.98,61.45,290300,0.0,0.0
2025-09-19,62.87,62.87,60.3,61.0,712200,0.0,0.0
2025-09-18,62.7,63.32,60.35,62.51,494800,0.0,0.0
2025-09-17,64.07,65.5,61.68,62.06,356900,0.0,0.0
2025-09-16,61.48,63.5,60.48,63.45,294800,0.0,0.0
2025-09-15,64.88,65.52,61.24,61.48,389000,0.0,0.0
2025-09-12,64.83,65.47,64.01,64.74,364000,0.0,0.0
2025-09-11,63.98,65.19,62.66,64.77,285500,0.0,0.0
2025-09-10,60.29,64.2,60.0,62.95,424900,0.0,0.0
2025-09-09,62.48,62.96,60.58,60.76,531400,0.0,0.0
2025-09-08,64.4,65.0,60.72,62.54,341100,0.0,0.0
2025-09-05,64.58,67.34,64.4,64.53,433000,0.0,0.0
2025-09-04,66.31,67.18,63.69,64.27,313100,0.0,0.0
2025-09-03,64.37,66.83,64.37,65.84,337500,0.0,0.0
2025-09-02,61.24,66.0,61.24,64.49,344300,0.0,0.0
2025-08-29,62.03,62.98,61.7,62.66,194900,0.0,0.0
2025-08-28,63.04,63.7,61.2,62.3,311300,0.0,0.0
2025-08-27,61.89,63.89,61.89,62.51,442200,0.0,0.0
2025-08-26,60.06,62.15,59.65,62.04,358500,0.0,0.0
2025-08-25,59.98,60.98,59.17,59.6,258600,0.0,0.0
2025-08-22,56.64,61.26,56.64,60.6,438400,0.0,0.0
2025-08-21,55.19,55.98,53.7,55.9,322600,0.0,0.0
2025-08-20,56.74,56.86,55.43,55.94,286100,0.0,0.0
2025-08-19,57.57,58.65,56.93,57.18,307200,0.0,0.0
2025-08-18,58.6,59.92,57.3,57.36,550200,0.0,0.0
2025-08-15,60.49,60.92,58.87,59.78,424200,0.0,0.0
2025-08-14,59.94,61.04,59.03,59.9,570000,0.0,0.0
2025-08-13,56.74,61.83,56.34,61.31,805000,0.0,0.0
2025-08-12,49.88,57.01,49.2,56.76,744700,0.0,0.0
2025-08-11,49.03,49.58,47.83,49.04,511800,0.0,0.0
2025-08-08,49.69,49.69,48.31,48.94,436300,0.0,0.0
2025-08-07,50.43,50.79,48.54,49.48,364700,0.0,0.0
2025-08-06,47.6,50.36,47.27,50.3,692800,0.0,0.0
2025-08-05,50.37,50.37,42.56,48.87,1325200,0.0,0.0
2025-08-04,48.91,48.91,47.6,48.59,462500,0.0,0.0
2025-08-01,50.0,50.19,47.8,48.12,599800,0.0,0.0
2025-07-31,50.58,52.96,50.12,51.64,379800,0.0,0.0
2025-07-30,50.92,52.13,50.17,50.67,350000,0.0,0.0
2025-07-29,51.29,52.46,50.49,50.79,335700,0.0,0.0
2025-07-28,51.01,51.66,50.14,51.29,455600,0.0,0.0
2025-07-25,50.33,50.7,49.38,50.63,405100,0.0,0.0
2025-07-24,52.54,53.77,50.16,50.35,553800,0.0,0.0
2025-07-23,53.13,54.39,52.77,54.12,294600,0.0,0.0
2025-07-22,51.41,52.73,51.13,52.48,322200,0.0,0.0
2025-07-21,52.31,52.53,51.05,51.45,313200,0.0,0.0
2025-07-18,52.47,53.21,50.61,51.69,300400,0.0,0.0
2025-07-17,53.2,55.02,51.77,52.3,413900,0.0,0.0
2025-07-16,53.32,53.68,50.57,52.51,388400,0.0,0.0
2025-07-15,54.2,54.95,52.4,52.46,339800,0.0,0.0
2025-07-14,54.51,54.76,53.5,54.21,386700,0.0,0.0
2025-07-11,57.36,57.87,54.4,54.52,526700,0.0,0.0
2025-07-10,56.01,60.0,54.54,58.59,730900,0.0,0.0
2025-07-09,55.12,56.52,52.7,52.78,405200,0.0,0.0
2025-07-08,55.69,57.36,54.36,54.53,410800,0.0,0.0
2025-07-07,58.66,60.17,55.32,55.41,687900,0.0,0.0
2025-07-03,59.4,61.55,59.4,60.29,325100,0.0,0.0
2025-07-02,58.21,59.51,57.51,59.08,237000,0.0,0.0
2025-07-01,56.14,59.93,54.9,58.37,873400,0.0,0.0
2025-06-30,56.22,56.22,54.46,54.95,318200,0.0,0.0
2025-06-27,56.27,56.7,54.77,55.71,550500,0.0,0.0
2025-06-26,54.37,55.76,54.07,54.65,201100,0.0,0.0
2025-06-25,53.7,56.22,53.7,54.28,365600,0.0,0.0
2025-06-24,53.17,54.65,52.61,54.02,296200,0.0,0.0
2025-06-23,49.48,51.77,48.36,51.57,307900,0.0,0.0
