Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,296.16,297.09,289.58,290.13,2631900,0.0,0.0
2025-10-09,294.13,296.63,293.7,295.43,1369000,0.0,0.0
2025-10-08,295.79,297.63,292.29,294.62,2940600,0.0,0.0
2025-10-07,293.27,295.85,290.21,295.54,1504300,0.0,0.0
2025-10-06,297.62,297.62,293.03,294.12,1957300,0.0,0.0
2025-10-03,297.72,301.54,295.63,297.89,2518500,0.0,0.0
2025-10-02,298.31,300.5,295.46,297.4,2123200,0.0,0.0
2025-10-01,284.45,301.66,283.0,298.5,4835400,0.0,0.0
2025-09-30,274.14,284.82,274.02,282.2,3508700,0.0,0.0
2025-09-29,273.1,274.52,270.67,273.97,1769100,0.0,0.0
2025-09-26,274.34,275.5,269.77,272.98,1812200,0.0,0.0
2025-09-25,279.0,281.05,270.64,271.18,2802700,0.0,0.0
2025-09-24,285.47,286.7,278.0,279.22,2374200,0.0,0.0
2025-09-23,283.96,287.26,283.96,286.81,2342000,0.0,0.0
2025-09-22,284.13,287.2,281.71,286.0,3050500,0.0,0.0
2025-09-19,278.64,286.15,277.37,285.41,8735100,0.0,0.0
2025-09-18,274.7,276.5,273.97,275.83,3322500,0.0,0.0
2025-09-17,274.14,277.8,273.0,274.71,1748800,0.0,0.0
2025-09-16,275.89,277.59,271.73,273.08,2157400,0.0,0.0
2025-09-15,276.07,277.24,271.61,274.4,2563100,0.0,0.0
2025-09-12,281.04,282.94,276.07,276.39,2143700,0.0,0.0
2025-09-11,278.52,282.9,278.0,282.73,2233100,0.0,0.0
2025-09-10,280.0,280.31,275.16,278.51,2150700,0.0,0.0
2025-09-09,279.5,282.08,278.78,279.97,1733000,0.0,0.0
2025-09-08,281.05,282.43,277.32,280.19,2452900,0.0,0.0
2025-09-05,279.8,285.29,279.0,283.64,2299400,0.0,0.0
2025-09-04,284.76,284.76,278.75,280.1,2622000,0.0,0.0
2025-09-03,284.08,286.93,280.38,283.85,2604100,0.0,0.0
2025-09-02,287.49,288.74,284.71,286.92,1948200,0.0,0.0
2025-08-29,285.8,288.3,285.16,287.71,1302700,0.0,0.0
2025-08-28,287.23,287.23,284.87,285.61,1886700,0.0,0.0
2025-08-27,288.84,290.25,286.65,287.97,1400800,0.0,0.0
2025-08-26,287.77,289.89,286.53,289.58,1750400,0.0,0.0
2025-08-25,292.61,294.6,287.56,288.47,1734300,0.0,0.0
2025-08-22,295.49,297.89,293.35,293.72,1644000,2.38,0.0
2025-08-21,293.52,297.49,292.12,293.38,1843700,0.0,0.0
2025-08-20,293.87,299.04,293.42,294.06,1723700,0.0,0.0
2025-08-19,290.06,294.6,289.76,293.17,1858500,0.0,0.0
2025-08-18,294.54,295.74,289.95,290.27,1743800,0.0,0.0
