Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,39.65,40.68,37.98,38.18,661500,0.0,0.0
2025-10-09,38.56,40.88,38.03,39.53,586400,0.0,0.0
2025-10-08,39.23,39.83,38.53,38.59,777100,0.0,0.0
2025-10-07,39.35,39.7,37.76,38.85,556600,0.0,0.0
2025-10-06,38.05,39.3,37.6,38.25,556100,0.0,0.0
2025-10-03,36.27,37.63,36.1,37.33,589900,0.0,0.0
2025-10-02,37.02,37.97,36.23,36.34,895600,0.0,0.0
2025-10-01,33.73,38.0,33.59,37.54,906700,0.0,0.0
2025-09-30,34.16,34.38,32.75,33.58,881400,0.0,0.0
2025-09-29,35.15,35.71,33.66,34.16,673200,0.0,0.0
2025-09-26,34.5,35.49,34.23,34.79,723500,0.0,0.0
2025-09-25,32.61,35.31,32.61,34.84,1394900,0.0,0.0
2025-09-24,31.94,32.68,31.25,31.61,549500,0.0,0.0
2025-09-23,32.62,33.74,31.45,31.48,830900,0.0,0.0
2025-09-22,30.81,32.58,30.35,32.15,618000,0.0,0.0
2025-09-19,31.65,32.54,30.24,30.81,1460300,0.0,0.0
2025-09-18,29.13,31.4,28.84,31.27,724000,0.0,0.0
2025-09-17,28.37,30.05,28.37,29.04,579200,0.0,0.0
2025-09-16,28.61,29.46,28.16,28.37,561600,0.0,0.0
2025-09-15,28.0,29.22,27.71,28.8,700800,0.0,0.0
2025-09-12,27.07,27.85,26.84,27.39,736800,0.0,0.0
2025-09-11,27.64,28.15,26.91,27.33,670900,0.0,0.0
2025-09-10,26.05,28.46,26.05,28.02,1219500,0.0,0.0
2025-09-09,28.54,28.63,24.67,24.87,765200,0.0,0.0
2025-09-08,25.92,26.0,23.77,24.27,675100,0.0,0.0
2025-09-05,26.38,26.68,25.23,25.93,474500,0.0,0.0
2025-09-04,25.61,26.04,25.46,26.0,356800,0.0,0.0
2025-09-03,25.39,26.08,25.37,25.65,527400,0.0,0.0
2025-09-02,26.43,26.73,24.88,25.46,642800,0.0,0.0
2025-08-29,25.41,25.9,24.98,25.43,430300,0.0,0.0
2025-08-28,24.76,25.43,24.41,25.29,469000,0.0,0.0
2025-08-27,24.9,25.53,24.41,24.54,601800,0.0,0.0
2025-08-26,24.78,25.6,24.67,25.1,501700,0.0,0.0
2025-08-25,24.21,25.04,23.81,24.78,519500,0.0,0.0
2025-08-22,23.08,24.52,22.6,24.36,787400,0.0,0.0
2025-08-21,22.33,22.98,22.04,22.72,348000,0.0,0.0
2025-08-20,22.46,22.96,22.18,22.64,1258600,0.0,0.0
2025-08-19,22.92,22.99,22.2,22.5,453500,0.0,0.0
2025-08-18,22.15,22.89,21.89,22.77,645700,0.0,0.0
2025-08-15,20.8,22.41,20.07,21.43,657400,0.0,0.0
2025-08-14,20.01,20.64,19.79,20.4,543900,0.0,0.0
2025-08-13,20.0,21.06,19.87,20.66,746600,0.0,0.0
