Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,37.02,39.07,32.83,33.99,107061200,0.0,0.0
2025-10-09,28.18,29.98,27.07,29.29,43613700,0.0,0.0
2025-10-08,27.72,28.22,26.44,27.94,20718200,0.0,0.0
2025-10-07,28.43,29.26,26.31,27.3,31017800,0.0,0.0
2025-10-06,27.67,29.23,27.47,27.71,28013300,0.0,0.0
2025-10-03,26.8,27.37,25.26,26.53,26999900,0.0,0.0
2025-10-02,26.35,28.25,26.2,26.47,35030200,0.0,0.0
2025-10-01,22.83,25.05,22.3,25.0,23678700,0.0,0.0
2025-09-30,22.5,23.55,22.07,22.94,27744000,0.0,0.0
2025-09-29,22.06,22.41,21.18,22.15,19268200,0.0,0.0
2025-09-26,22.68,22.72,20.89,21.71,22774700,0.0,0.0
2025-09-25,22.23,22.73,21.4,22.59,25579700,0.0,0.0
2025-09-24,24.95,25.22,23.21,23.45,26946900,0.0,0.0
2025-09-23,25.01,25.61,23.6,24.67,40659600,0.0,0.0
2025-09-22,20.0,24.85,19.87,24.45,49365500,0.0,0.0
2025-09-19,19.89,20.8,19.8,20.48,31532700,0.0,0.0
2025-09-18,20.28,20.52,19.57,19.91,22036600,0.0,0.0
2025-09-17,19.14,20.15,18.88,19.83,24438900,0.0,0.0
2025-09-16,19.35,19.75,18.65,19.46,21468100,0.0,0.0
2025-09-15,19.1,19.96,18.78,19.35,31247500,0.0,0.0
2025-09-12,17.54,18.71,17.25,18.68,32935900,0.0,0.0
2025-09-11,17.05,17.88,16.64,17.18,29445800,0.0,0.0
2025-09-10,15.66,17.02,15.42,16.98,48395800,0.0,0.0
2025-09-09,14.77,15.24,13.91,15.2,31108200,0.0,0.0
2025-09-08,13.85,13.99,13.16,13.91,19487000,0.0,0.0
2025-09-05,14.69,14.82,13.67,13.89,16356700,0.0,0.0
2025-09-04,14.23,14.58,14.06,14.33,15779900,0.0,0.0
2025-09-03,15.39,15.47,14.36,14.38,19046100,0.0,0.0
2025-09-02,15.13,15.73,14.46,15.26,19251000,0.0,0.0
2025-08-29,16.91,17.29,15.57,15.98,28060900,0.0,0.0
2025-08-28,17.0,17.6,16.46,16.6,31189400,0.0,0.0
2025-08-27,16.42,16.77,15.92,16.7,25165200,0.0,0.0
2025-08-26,15.92,16.53,15.84,16.47,28225700,0.0,0.0
2025-08-25,16.01,16.4,15.57,15.95,23663600,0.0,0.0
2025-08-22,15.53,16.78,15.33,16.05,27002100,0.0,0.0
2025-08-21,15.6,16.25,15.23,15.77,20703100,0.0,0.0
2025-08-20,15.09,15.8,14.03,15.72,32019600,0.0,0.0
2025-08-19,16.16,16.4,14.98,15.34,29218000,0.0,0.0
2025-08-18,14.88,16.92,14.66,16.34,70625900,0.0,0.0
2025-08-15,14.55,14.56,13.53,14.09,17802000,0.0,0.0
2025-08-14,14.62,15.0,13.98,14.55,20751300,0.0,0.0
2025-08-13,15.24,15.85,14.23,14.8,24686700,0.0,0.0
2025-08-12,14.01,15.13,13.83,14.97,25300400,0.0,0.0
2025-08-11,14.27,14.58,13.9,14.03,19107200,0.0,0.0
2025-08-08,14.19,14.49,13.61,14.2,19089200,0.0,0.0
2025-08-07,14.98,15.36,13.65,14.24,28969200,0.0,0.0
2025-08-06,14.82,15.2,14.1,14.79,32663600,0.0,0.0
2025-08-05,13.8,14.9,13.55,14.89,43452700,0.0,0.0
2025-08-04,12.83,13.95,12.35,13.95,41274700,0.0,0.0
2025-08-01,12.47,13.07,11.4,12.52,50626500,0.0,0.0
2025-07-31,12.57,14.06,12.2,13.14,138168400,0.0,0.0
2025-07-30,10.05,10.4,9.79,10.03,28882100,0.0,0.0
2025-07-29,10.32,10.35,9.8,10.12,22822300,0.0,0.0
2025-07-28,10.98,11.01,10.33,10.58,20512800,0.0,0.0
2025-07-25,11.4,11.51,10.73,10.75,17605600,0.0,0.0
2025-07-24,11.04,11.45,10.8,11.2,19833800,0.0,0.0
2025-07-23,11.09,11.23,10.55,10.93,17567100,0.0,0.0
2025-07-22,11.12,11.13,10.35,10.95,22585400,0.0,0.0
2025-07-21,12.19,12.21,11.0,11.09,42467600,0.0,0.0
2025-07-18,11.47,12.15,11.2,11.93,55754900,0.0,0.0
2025-07-17,10.18,11.24,10.08,10.91,54710500,0.0,0.0
2025-07-16,10.07,10.42,9.75,10.06,28785300,0.0,0.0
2025-07-15,9.7,10.25,9.6,9.97,36556700,0.0,0.0
2025-07-14,9.28,9.69,9.23,9.52,22574100,0.0,0.0
2025-07-11,9.33,9.39,9.02,9.18,17617400,0.0,0.0
2025-07-10,9.49,9.64,9.28,9.33,18123700,0.0,0.0
2025-07-09,9.35,9.58,9.13,9.51,24474600,0.0,0.0
2025-07-08,9.84,9.85,9.2,9.22,26939100,0.0,0.0
2025-07-07,10.16,10.17,9.35,9.66,31299600,0.0,0.0
2025-07-03,10.6,10.67,10.26,10.45,17883700,0.0,0.0
2025-07-02,9.84,10.62,9.77,10.56,45738700,0.0,0.0
2025-07-01,10.0,10.37,9.71,9.76,29309600,0.0,0.0
2025-06-30,10.56,10.76,10.05,10.07,32007900,0.0,0.0
2025-06-27,10.91,10.96,10.16,10.38,50665400,0.0,0.0
2025-06-26,9.89,10.69,9.69,10.56,50733600,0.0,0.0
2025-06-25,10.56,10.75,9.7,9.82,34364900,0.0,0.0
