Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-10-10,31.67,32.1,30.27,30.3,603200,0.0,0.0,0.0
2025-10-09,32.01,32.25,31.41,31.62,387100,0.0,0.0,0.0
2025-10-08,31.35,31.98,31.27,31.93,394000,0.0,0.0,0.0
2025-10-07,31.55,31.85,31.0,31.34,474200,0.0,0.0,0.0
2025-10-06,31.03,31.5,30.94,31.45,670600,0.0,0.0,0.0
2025-10-03,29.95,30.37,29.76,30.26,381400,0.0,0.0,0.0
2025-10-02,29.34,29.76,29.3,29.76,605000,0.0,0.0,0.0
2025-10-01,28.31,28.94,28.26,28.89,220800,0.0,0.0,0.0
2025-09-30,28.12,28.56,28.03,28.55,160500,0.0,0.0,0.0
2025-09-29,28.28,28.36,28.02,28.14,184300,0.0,0.0,0.0
2025-09-26,27.79,28.02,27.61,27.86,153300,0.0,0.0,0.0
2025-09-25,27.32,27.82,26.89,27.66,218300,0.0,0.0,0.0
2025-09-24,28.43,28.43,27.72,27.72,335100,0.0,0.0,0.0
2025-09-23,28.01,28.57,27.95,28.36,419900,0.0,0.0,0.0
2025-09-22,27.6,27.99,27.34,27.99,277000,0.0,0.0,0.0
2025-09-19,27.49,27.68,27.4,27.55,220300,0.0,0.0,0.0
2025-09-18,26.9,27.41,26.8,27.36,357800,0.0,0.0,0.0
2025-09-17,26.7,26.8,26.27,26.66,170100,0.0,0.0,0.0
2025-09-16,26.68,26.79,26.42,26.76,214000,0.0,0.0,0.0
2025-09-15,26.55,26.72,26.38,26.69,247800,0.0,0.0,0.0
2025-09-12,26.08,26.34,25.99,26.29,180400,0.0,0.0,0.0
2025-09-11,25.63,26.25,25.62,25.99,131000,0.0,0.0,0.0
2025-09-10,25.76,25.76,25.42,25.6,123300,0.0,0.0,0.0
2025-09-09,25.68,25.74,25.27,25.49,140700,0.0,0.0,0.0
2025-09-08,25.84,25.9,25.61,25.75,178400,0.0,0.0,0.0
2025-09-05,25.72,25.77,25.16,25.72,205400,0.0,0.0,0.0
2025-09-04,25.63,25.63,25.29,25.57,128300,0.0,0.0,0.0
2025-09-03,26.14,26.17,25.47,25.57,206700,0.0,0.0,0.0
2025-09-02,25.62,26.05,25.41,26.0,204000,0.0,0.0,0.0
2025-08-29,26.48,26.54,25.96,26.19,251400,0.0,0.0,0.0
2025-08-28,26.54,26.59,26.33,26.56,192500,0.0,0.0,0.0
2025-08-27,26.55,26.6,26.34,26.39,175800,0.0,0.0,0.0
2025-08-26,26.3,26.73,26.3,26.55,247600,0.0,0.0,0.0
2025-08-25,26.16,26.56,26.06,26.23,243000,0.0,0.0,0.0
2025-08-22,25.57,26.34,25.49,26.24,292600,0.0,0.0,0.0
2025-08-21,25.43,25.62,25.34,25.55,220700,0.0,0.0,0.0
2025-08-20,25.28,25.51,24.77,25.46,527400,0.0,0.0,0.0
2025-08-19,26.58,26.58,25.5,25.54,487100,0.0,0.0,0.0
2025-08-18,26.6,26.75,26.37,26.57,180800,0.0,0.0,0.0
2025-08-15,26.85,26.86,26.37,26.58,171800,0.0,0.0,0.0
2025-08-14,26.8,27.13,26.58,26.74,182600,0.0,0.0,0.0
2025-08-13,27.22,27.3,26.66,27.06,336800,0.0,0.0,0.0
2025-08-12,26.39,27.0,26.35,26.95,652300,0.0,0.0,0.0
2025-08-11,26.46,26.72,26.19,26.34,232100,0.0,0.0,0.0
2025-08-08,26.48,26.74,26.26,26.39,254600,0.0,0.0,0.0
2025-08-07,26.45,26.53,25.93,26.18,898400,0.0,0.0,0.0
2025-08-06,26.6,26.6,26.14,26.31,188700,0.0,0.0,0.0
2025-08-05,26.88,26.99,26.22,26.58,509600,0.0,0.0,0.0
