Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,10.3,10.5,10.05,10.07,946900,0.0,0.0
2025-10-09,10.8,10.94,10.1,10.25,954600,0.0,0.0
2025-10-08,10.64,10.87,10.63,10.79,3274600,0.0,0.0
2025-10-07,10.58,10.85,10.34,10.37,1527000,0.0,0.0
2025-10-06,10.25,10.52,10.21,10.41,1897500,0.0,0.0
2025-10-03,10.02,10.15,9.97,10.05,845600,0.0,0.0
2025-10-02,10.25,10.25,9.67,9.98,1498600,0.0,0.0
2025-10-01,9.87,10.16,9.81,10.15,1199800,0.0,0.0
2025-09-30,9.75,9.97,9.65,9.8,2067600,0.0,0.0
2025-09-29,9.86,10.08,9.75,9.82,1494000,0.0,0.0
2025-09-26,9.45,9.68,9.28,9.65,1613700,0.0,0.0
2025-09-25,9.38,9.5,9.22,9.39,1261000,0.0,0.0
2025-09-24,9.37,9.52,9.21,9.36,1051400,0.0,0.0
2025-09-23,10.07,10.07,8.89,9.42,4173600,0.0,0.0
2025-09-22,9.8,9.99,9.7,9.99,1640800,0.0,0.0
2025-09-19,9.18,9.77,9.18,9.51,10536400,0.0,0.0
2025-09-18,9.48,9.51,9.11,9.19,1846700,0.0,0.0
2025-09-17,9.52,9.78,9.44,9.53,1394600,0.0,0.0
2025-09-16,9.9,9.95,9.49,9.66,1977500,0.0,0.0
2025-09-15,9.68,9.89,9.65,9.86,2308800,0.0,0.0
2025-09-12,9.8,9.8,9.63,9.77,1386400,0.0,0.0
2025-09-11,9.57,9.77,9.55,9.74,1723800,0.0,0.0
2025-09-10,9.48,9.69,9.31,9.61,1472400,0.0,0.0
2025-09-09,9.27,9.41,9.16,9.38,1868000,0.0,0.0
2025-09-08,9.27,9.56,9.22,9.22,1605400,0.0,0.0
2025-09-05,9.1,9.22,8.94,9.18,1674700,0.0,0.0
2025-09-04,9.0,9.18,8.85,8.91,1361000,0.0,0.0
2025-09-03,8.86,9.58,8.85,9.1,2761100,0.0,0.0
2025-09-02,8.78,8.92,8.59,8.75,3121200,0.0,0.0
2025-08-29,8.14,8.73,8.1,8.68,3370800,0.0,0.0
2025-08-28,8.13,8.3,8.03,8.2,1650700,0.0,0.0
2025-08-27,7.89,8.22,7.83,8.14,2633800,0.0,0.0
2025-08-26,7.39,7.95,7.39,7.95,2548600,0.0,0.0
2025-08-25,7.11,7.41,7.08,7.34,1398400,0.0,0.0
2025-08-22,6.95,7.21,6.87,7.11,2033500,0.0,0.0
2025-08-21,6.82,7.03,6.82,7.03,961000,0.0,0.0
2025-08-20,6.81,6.9,6.76,6.87,1030500,0.0,0.0
2025-08-19,6.97,6.97,6.7,6.74,1016200,0.0,0.0
2025-08-18,6.91,7.0,6.73,6.94,741100,0.0,0.0
2025-08-15,6.8,7.04,6.79,6.9,1495100,0.0,0.0
2025-08-14,6.9,6.91,6.76,6.81,1025800,0.0,0.0
2025-08-13,7.13,7.13,6.83,6.87,1210700,0.0,0.0
2025-08-12,7.16,7.17,6.65,7.0,4514000,0.0,0.0
