Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,325.2,328.1,315.95,316.26,2682400,0.82,0.0
2025-10-09,325.65,327.48,323.23,323.62,2094800,0.0,0.0
2025-10-08,327.84,328.32,322.76,323.0,2184300,0.0,0.0
2025-10-07,331.81,334.09,324.92,327.14,1708900,0.0,0.0
2025-10-06,331.16,333.16,325.43,331.15,2116200,0.0,0.0
2025-10-03,331.16,331.2,327.89,329.41,2404000,0.0,0.0
2025-10-02,327.62,331.14,325.46,329.64,1907600,0.0,0.0
2025-10-01,330.16,334.92,327.57,327.73,2598800,0.0,0.0
2025-09-30,340.74,342.09,327.32,331.32,3327300,0.0,0.0
2025-09-29,342.89,343.98,337.64,341.44,1658100,0.0,0.0
2025-09-26,340.59,342.46,338.16,340.82,1728600,0.0,0.0
2025-09-25,336.06,339.91,333.16,339.32,2223900,0.0,0.0
2025-09-24,342.1,344.13,337.65,339.62,2279100,0.0,0.0
2025-09-23,341.08,348.31,339.15,340.61,2697600,0.0,0.0
2025-09-22,338.65,344.64,337.52,340.12,3328000,0.0,0.0
2025-09-19,341.66,343.49,338.86,340.26,8632000,0.0,0.0
2025-09-18,337.64,341.6,334.15,340.81,3204000,0.0,0.0
2025-09-17,328.07,336.65,327.57,335.15,3586500,0.0,0.0
2025-09-16,326.97,327.16,322.88,326.21,1987600,0.0,0.0
2025-09-15,325.23,329.44,325.18,326.43,1646300,0.0,0.0
2025-09-12,328.77,328.77,323.23,324.49,2000300,0.0,0.0
2025-09-11,322.68,329.85,321.61,328.49,2825900,0.0,0.0
2025-09-10,322.17,323.83,320.43,322.53,1846600,0.0,0.0
2025-09-09,321.97,325.76,319.99,323.52,2056000,0.0,0.0
2025-09-08,325.68,326.62,323.18,324.59,2264400,0.0,0.0
2025-09-05,329.85,331.62,324.41,325.4,2971800,0.0,0.0
2025-09-04,324.18,330.2,322.0,329.81,2485100,0.0,0.0
2025-09-03,329.91,331.23,320.6,322.89,3439000,0.0,0.0
2025-09-02,325.83,330.54,321.89,330.34,3225100,0.0,0.0
2025-08-29,326.45,331.22,325.98,330.44,2981300,0.0,0.0
2025-08-28,323.17,326.71,321.19,326.16,2194800,0.0,0.0
2025-08-27,319.11,322.7,318.7,321.64,1970100,0.0,0.0
2025-08-26,314.22,319.98,313.33,319.79,1848600,0.0,0.0
2025-08-25,318.25,319.14,314.61,315.0,1599600,0.0,0.0
2025-08-22,309.44,320.9,309.37,318.35,2785200,0.0,0.0
2025-08-21,306.01,307.74,303.25,307.39,1848500,0.0,0.0
2025-08-20,304.96,308.24,303.1,307.62,2481700,0.0,0.0
2025-08-19,305.88,307.79,303.8,305.33,2215800,0.0,0.0
2025-08-18,303.5,306.46,302.02,306.27,2115100,0.0,0.0
2025-08-15,308.68,309.03,303.47,304.7,2728000,0.0,0.0
2025-08-14,304.77,307.17,301.75,306.95,2108300,0.0,0.0
2025-08-13,303.92,306.82,301.67,306.09,2586800,0.0,0.0
2025-08-12,298.14,304.3,297.73,302.44,2170500,0.0,0.0
2025-08-11,296.37,296.69,294.14,295.48,2316700,0.0,0.0
2025-08-08,296.25,297.38,293.8,296.68,1778100,0.0,0.0
2025-08-07,296.95,297.54,289.9,293.99,2842500,0.0,0.0
2025-08-06,296.46,297.3,293.7,294.79,3430500,0.0,0.0
