Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,139.66,140.57,136.29,136.62,1809900,0.0,0.0
2025-10-09,140.28,140.94,138.48,140.11,1149900,0.0,0.0
2025-10-08,140.36,142.44,138.97,140.81,1698700,0.0,0.0
2025-10-07,141.86,142.27,138.44,138.56,1444600,0.0,0.0
2025-10-06,141.51,141.94,139.9,141.61,1538400,0.0,0.0
2025-10-03,139.0,143.09,138.85,141.64,2346000,0.0,0.0
2025-10-02,137.55,140.64,136.9,138.7,2228800,0.0,0.0
2025-10-01,128.34,138.98,128.19,138.58,4333300,0.0,0.0
2025-09-30,123.42,128.39,123.01,128.35,2417900,0.248,0.0
2025-09-29,123.51,123.98,122.32,123.5,1486100,0.0,0.0
2025-09-26,121.81,123.8,121.31,123.14,1167100,0.0,0.0
2025-09-25,123.41,123.41,120.54,121.65,1411800,0.0,0.0
2025-09-24,124.92,125.71,123.83,124.13,1239900,0.0,0.0
2025-09-23,125.92,126.74,125.65,125.69,1281500,0.0,0.0
2025-09-22,125.25,126.37,124.92,126.08,976700,0.0,0.0
2025-09-19,128.02,128.29,125.77,126.07,2844300,0.0,0.0
2025-09-18,127.5,128.28,126.51,127.36,1513200,0.0,0.0
2025-09-17,127.46,129.82,126.13,126.47,1921700,0.0,0.0
2025-09-16,125.38,127.32,124.77,126.94,1721100,0.0,0.0
2025-09-15,123.74,126.16,123.45,125.38,2084900,0.0,0.0
2025-09-12,126.2,126.28,122.88,122.99,1250800,0.0,0.0
2025-09-11,125.26,126.8,124.62,126.48,1474100,0.0,0.0
2025-09-10,125.67,126.47,123.76,123.87,1669500,0.0,0.0
2025-09-09,127.84,128.0,125.6,126.0,1470300,0.0,0.0
2025-09-08,127.22,128.16,126.03,127.87,2136200,0.0,0.0
2025-09-05,128.46,130.74,128.13,128.49,1633200,0.0,0.0
2025-09-04,124.75,128.57,123.55,128.22,2715400,0.0,0.0
2025-09-03,124.71,125.58,123.47,124.97,2497300,0.0,0.0
2025-09-02,124.63,125.27,121.56,124.96,2412700,0.0,0.0
2025-08-29,124.75,126.05,123.86,125.41,1781200,0.0,0.0
2025-08-28,118.56,125.17,117.96,124.71,3886400,0.0,0.0
2025-08-27,118.26,118.96,117.27,118.45,1698600,0.0,0.0
2025-08-26,118.99,119.39,117.87,118.06,1898200,0.0,0.0
2025-08-25,121.26,121.45,118.24,118.91,1482500,0.0,0.0
2025-08-22,118.03,122.16,117.23,121.39,1291000,0.0,0.0
2025-08-21,118.25,118.46,116.8,116.92,744700,0.0,0.0
2025-08-20,119.63,120.22,118.04,118.87,1431900,0.0,0.0
2025-08-19,118.26,120.35,117.91,119.87,1313500,0.0,0.0
2025-08-18,118.88,119.36,117.91,117.91,1021100,0.0,0.0
2025-08-15,119.37,119.72,118.25,118.96,1238500,0.0,0.0
2025-08-14,118.99,119.17,117.91,118.63,926300,0.0,0.0
2025-08-13,117.82,120.16,117.62,120.05,983500,0.0,0.0
2025-08-12,114.28,117.13,114.17,117.08,917400,0.0,0.0
2025-08-11,114.81,115.44,113.5,113.9,1082300,0.0,0.0
2025-08-08,114.08,114.77,113.16,114.39,1129700,0.0,0.0
2025-08-07,114.27,114.69,112.93,113.75,1157400,0.0,0.0
2025-08-06,114.85,114.85,112.33,113.0,1058700,0.0,0.0
2025-08-05,114.58,115.2,114.02,114.66,1271000,0.0,0.0
