Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,217.0,217.9,210.73,210.73,10547900,0.0,0.0
2025-10-09,225.7,225.7,215.9,216.0,12974800,0.0,0.0
2025-10-08,222.73,226.19,221.47,225.32,6189700,0.0,0.0
2025-10-07,220.11,223.95,219.2,221.82,7610600,0.0,0.0
2025-10-06,217.87,221.8,215.9,219.73,7665300,0.0,0.0
2025-10-03,216.75,218.83,215.25,216.3,6634100,0.0,0.0
2025-10-02,215.45,218.86,215.31,217.43,8281100,0.0,0.0
2025-10-01,214.01,215.63,213.7,215.2,7178000,0.0,0.0
2025-09-30,217.1,217.68,212.83,215.83,9289300,0.0,0.0
2025-09-29,222.37,222.81,215.12,217.08,11290600,0.0,0.0
2025-09-26,223.36,224.1,219.11,221.26,17281700,0.0,0.0
2025-09-25,214.87,216.86,211.98,213.53,6649300,0.0,0.0
2025-09-24,217.56,218.18,214.77,215.1,7354800,0.0,0.0
2025-09-23,217.12,219.82,214.01,216.34,12760900,0.0,0.0
2025-09-22,215.17,215.9,211.43,212.09,7467700,0.0,0.0
2025-09-19,217.73,217.73,213.62,215.65,10513700,0.0,0.0
2025-09-18,215.23,217.4,213.7,215.66,6414000,0.0,0.0
2025-09-17,215.59,218.05,213.13,214.63,6019500,0.0,0.0
2025-09-16,216.86,217.13,213.75,215.02,6330600,0.0,0.0
2025-09-15,216.25,217.26,214.07,215.75,6896200,0.0,0.0
2025-09-12,219.89,220.0,215.7,215.94,11094900,0.0,0.0
2025-09-11,228.0,229.69,219.65,219.99,12010800,0.0,0.0
2025-09-10,229.6,230.1,226.59,227.52,4949500,0.0,0.0
2025-09-09,231.01,232.28,228.45,229.52,5510400,0.0,0.0
2025-09-08,231.7,232.2,228.09,230.95,5955000,0.0,0.0
2025-09-05,231.8,232.23,225.5,229.61,8203600,0.0,0.0
2025-09-04,233.01,233.1,229.21,230.75,4093200,0.0,0.0
2025-09-03,237.06,237.06,230.76,232.38,5999000,0.0,0.0
2025-09-02,231.28,238.33,230.8,237.38,6339100,0.0,0.0
2025-08-29,236.13,238.05,233.17,234.68,5008600,0.0,0.0
2025-08-28,235.85,237.35,234.5,236.16,4039600,0.0,0.0
2025-08-27,235.36,236.34,232.4,235.62,4757400,0.0,0.0
