Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,54.83,55.94,54.66,55.49,3264500,0.0,0.0
2025-10-09,55.09,55.28,54.48,54.79,2113700,0.0,0.0
2025-10-08,54.55,55.33,53.82,55.3,2218200,0.0,0.0
2025-10-07,54.61,55.13,52.97,54.22,1812900,0.0,0.0
2025-10-06,53.15,54.64,52.97,54.61,1368700,0.0,0.0
2025-10-03,53.24,53.78,52.0,52.86,1415100,0.0,0.0
2025-10-02,53.54,53.74,51.85,53.28,1603000,0.0,0.0
2025-10-01,51.87,53.81,51.87,53.48,1457400,0.0,0.0
2025-09-30,52.26,52.36,50.8,51.94,2221400,0.0,0.0
2025-09-29,50.68,52.45,50.5,51.96,1954700,0.0,0.0
2025-09-26,48.97,50.1,48.88,50.05,1485800,0.0,0.0
2025-09-25,50.03,50.25,48.78,49.0,2909600,0.0,0.0
2025-09-24,51.22,51.85,50.25,50.65,1575400,0.0,0.0
2025-09-23,51.46,52.43,51.35,51.5,2157600,0.0,0.0
2025-09-22,52.21,52.59,51.32,51.54,2175900,0.0,0.0
2025-09-19,53.33,53.92,51.88,52.37,6030000,0.0,0.0
2025-09-18,51.22,53.38,51.22,53.33,2160700,0.0,0.0
2025-09-17,52.11,52.72,51.17,51.18,1814600,0.0,0.0
2025-09-16,51.47,51.9,50.72,51.49,2433200,0.0,0.0
2025-09-15,51.08,51.48,49.94,51.47,1312000,0.0,0.0
2025-09-12,52.91,54.29,51.03,51.21,2087800,0.0,0.0
2025-09-11,53.08,53.6,52.35,52.6,1898100,0.0,0.0
2025-09-10,53.6,54.25,52.2,52.96,1599000,0.0,0.0
2025-09-09,54.09,54.46,52.25,53.5,2029200,0.0,0.0
2025-09-08,53.37,54.6,52.96,54.29,2050800,0.0,0.0
2025-09-05,51.83,53.97,51.5,53.38,2916300,0.0,0.0
2025-09-04,51.97,52.48,50.49,51.83,2908400,0.0,0.0
2025-09-03,50.06,52.64,49.75,51.84,2745300,0.0,0.0
2025-09-02,51.1,52.64,49.9,50.0,3105600,0.0,0.0
2025-08-29,52.49,52.85,50.9,51.76,2995300,0.0,0.0
2025-08-28,49.28,52.6,49.28,52.57,2690700,0.0,0.0
2025-08-27,48.81,50.8,48.81,49.59,2502000,0.0,0.0
2025-08-26,47.42,48.91,47.26,48.87,2201200,0.0,0.0
2025-08-25,48.78,49.08,46.81,47.29,1953600,0.0,0.0
2025-08-22,50.61,50.73,48.84,49.08,1490100,0.0,0.0
2025-08-21,48.7,50.25,48.29,50.23,1340000,0.0,0.0
2025-08-20,48.9,49.26,48.22,48.88,1765400,0.0,0.0
2025-08-19,48.49,49.6,48.03,48.91,2401300,0.0,0.0
2025-08-18,50.95,51.0,48.99,49.02,2998600,0.0,0.0
2025-08-15,51.16,51.66,50.6,51.32,2221500,0.0,0.0
2025-08-14,49.96,51.86,49.75,51.18,2026700,0.0,0.0
2025-08-13,49.6,50.51,49.1,50.38,2222200,0.0,0.0
2025-08-12,48.51,49.14,47.37,49.09,2138700,0.0,0.0
2025-08-11,46.49,48.3,46.28,48.24,2335400,0.0,0.0
2025-08-08,45.64,47.24,45.4,46.58,2570100,0.0,0.0
2025-08-07,44.49,46.15,44.1,45.95,2662100,0.0,0.0
