Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,38.51,40.4,32.6,32.94,2997500,0.0,0.0
2025-10-09,40.53,43.69,35.5,38.21,2998600,0.0,0.0
2025-10-08,38.89,41.87,37.1,39.76,1589000,0.0,0.0
2025-10-07,42.88,46.16,36.71,38.92,3645400,0.0,0.0
2025-10-06,41.09,43.69,37.78,41.0,3222600,0.0,0.0
2025-10-03,40.8,46.84,39.61,40.38,5144300,0.0,0.0
2025-10-02,35.95,49.79,35.9,43.92,11701900,0.0,0.0
2025-10-01,33.22,35.15,30.12,34.15,5652400,0.0,0.0
2025-09-30,25.9,33.95,25.78,33.65,10205100,0.0,0.0
2025-09-29,19.05,26.72,19.05,25.55,7694200,0.0,0.0
2025-09-26,18.34,19.03,16.65,17.95,2438300,0.0,0.0
2025-09-25,19.09,20.89,17.77,18.63,3765200,0.0,0.0
2025-09-24,18.62,20.0,16.88,20.0,6603400,0.0,0.0
2025-09-23,15.75,18.4,15.5,17.19,8104800,0.0,0.0
2025-09-22,14.3,15.88,12.25,14.7,19521800,0.0,0.0
2025-09-19,10.26,11.11,10.26,10.44,2710800,0.0,0.0
2025-09-18,9.95,10.54,9.82,10.11,1316500,0.0,0.0
2025-09-17,10.05,10.3,9.56,9.67,874600,0.0,0.0
2025-09-16,9.58,10.36,9.22,10.17,1399200,0.0,0.0
2025-09-15,9.6,10.5,9.4,9.67,2423300,0.0,0.0
2025-09-12,9.86,9.89,9.34,9.52,748000,0.0,0.0
2025-09-11,9.46,10.08,9.35,9.94,810900,0.0,0.0
2025-09-10,9.73,9.91,9.2,9.41,953900,0.0,0.0
2025-09-09,9.11,9.79,9.01,9.73,1154600,0.0,0.0
2025-09-08,8.71,9.16,8.52,8.96,634900,0.0,0.0
2025-09-05,8.56,8.66,8.19,8.52,543400,0.0,0.0
2025-09-04,8.5,8.73,8.28,8.39,708500,0.0,0.0
2025-09-03,8.95,9.26,8.52,8.59,1236500,0.0,0.0
2025-09-02,8.51,9.24,8.32,9.2,1241600,0.0,0.0
2025-08-29,8.66,9.09,8.34,8.77,1193700,0.0,0.0
2025-08-28,8.68,8.96,8.5,8.69,902100,0.0,0.0
2025-08-27,8.88,9.05,8.52,8.61,828000,0.0,0.0
2025-08-26,9.09,9.33,8.78,8.89,1401900,0.0,0.0
2025-08-25,8.79,8.82,8.35,8.38,661500,0.0,0.0
2025-08-22,7.95,8.89,7.95,8.86,1433500,0.0,0.0
2025-08-21,8.04,8.41,7.86,7.95,1454300,0.0,0.0
2025-08-20,8.69,8.77,8.2,8.29,817400,0.0,0.0
2025-08-19,9.4,9.41,8.2,8.51,1464400,0.0,0.0
2025-08-18,9.77,9.96,9.16,9.24,1256100,0.0,0.0
2025-08-15,9.7,10.34,9.53,9.99,1356800,0.0,0.0
2025-08-14,9.7,9.94,9.41,9.6,1407000,0.0,0.0
2025-08-13,9.48,9.95,9.48,9.77,1136300,0.0,0.0
2025-08-12,10.04,10.05,9.25,9.38,2613200,0.0,0.0
2025-08-11,10.81,10.82,9.72,9.92,2500900,0.0,0.0
2025-08-08,9.9,10.81,9.8,10.81,2405600,0.0,0.0
2025-08-07,9.9,10.1,9.62,9.96,1096900,0.0,0.0
2025-08-06,9.42,9.95,9.21,9.77,984600,0.0,0.0
2025-08-05,9.5,9.67,9.22,9.53,601300,0.0,0.0
2025-08-04,9.61,9.78,9.2,9.34,963300,0.0,0.0
2025-08-01,9.5,9.61,8.9,9.33,1543500,0.0,0.0
2025-07-31,9.98,10.05,9.71,9.9,1695600,0.0,0.0
2025-07-30,10.14,10.15,9.88,9.97,2573300,0.0,0.0
2025-07-29,10.21,10.25,9.89,10.0,7578600,0.0,0.0
2025-07-28,19.31,19.31,16.58,17.17,1724700,0.0,0.0
2025-07-25,20.93,21.07,17.87,18.06,1056400,0.0,0.0
2025-07-24,24.0,24.18,20.83,21.03,783800,0.0,0.0
2025-07-23,23.02,25.4,23.0,24.72,630500,0.0,0.0
2025-07-22,23.83,23.83,21.5,22.39,458300,0.0,0.0
2025-07-21,23.71,25.65,23.28,23.87,732400,0.0,0.0
2025-07-18,24.41,25.68,22.16,22.77,1166500,0.0,0.0
2025-07-17,20.96,24.67,20.8,24.11,967000,0.0,0.0
2025-07-16,18.34,21.98,18.34,21.39,1016500,0.0,0.0
2025-07-15,18.75,19.49,17.56,17.81,509700,0.0,0.0
2025-07-14,19.7,20.5,17.88,18.46,511700,0.0,0.0
2025-07-11,20.92,21.36,19.35,19.45,516000,0.0,0.0
2025-07-10,20.3,21.12,19.52,20.82,602000,0.0,0.0
2025-07-09,17.96,20.0,16.68,19.96,729300,0.0,0.0
2025-07-08,17.81,19.34,17.1,17.53,837900,0.0,0.0
2025-07-07,18.26,19.0,16.29,16.98,690500,0.0,0.0
2025-07-03,17.53,19.56,17.2,18.11,853300,0.0,0.0
2025-07-02,14.24,19.08,14.24,18.63,2181700,0.0,0.0
2025-07-01,13.49,14.5,12.73,14.07,266900,0.0,0.0
2025-06-30,13.05,14.66,13.03,13.95,538300,0.0,0.0
2025-06-27,13.4,13.5,12.44,12.78,1338400,0.0,0.0
2025-06-26,13.27,13.55,12.5,13.33,336500,0.0,0.0
2025-06-25,13.51,13.58,12.69,12.93,218700,0.0,0.0
2025-06-24,12.91,13.48,12.45,13.17,472800,0.0,0.0
2025-06-23,13.26,13.77,11.99,12.27,632600,0.0,0.0
2025-06-20,13.49,15.37,12.81,13.48,976600,0.0,0.0
2025-06-18,12.1,12.84,11.8,12.69,325000,0.0,0.0
2025-06-17,12.53,12.83,11.93,12.09,241400,0.0,0.0
2025-06-16,12.85,13.5,12.78,13.08,322800,0.0,0.0
2025-06-13,12.71,12.85,12.14,12.31,189400,0.0,0.0
