Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,31.24,31.67,26.55,26.75,3422700,0.0,0.0
2025-10-09,30.09,30.69,28.6,29.95,2088700,0.0,0.0
2025-10-08,31.22,31.79,29.1,30.07,4032500,0.0,0.0
2025-10-07,29.1,30.9,26.61,30.15,5578200,0.0,0.0
2025-10-06,26.2,29.45,25.8,28.58,3607500,0.0,0.0
2025-10-03,24.37,25.53,23.6,25.52,2697100,0.0,0.0
2025-10-02,22.92,24.57,22.14,24.35,2721600,0.0,0.0
2025-10-01,19.89,22.43,19.68,22.42,2218500,0.0,0.0
2025-09-30,19.8,20.19,19.05,20.15,1559600,0.0,0.0
2025-09-29,19.95,20.57,19.65,19.97,1411300,0.0,0.0
2025-09-26,19.8,20.25,19.3,19.71,1108700,0.0,0.0
2025-09-25,19.74,20.45,18.9,19.83,1957600,0.0,0.0
2025-09-24,22.0,22.0,20.31,20.97,2291900,0.0,0.0
2025-09-23,21.2,22.7,20.9,22.03,2347000,0.0,0.0
2025-09-22,20.56,21.17,19.43,20.9,1577600,0.0,0.0
2025-09-19,19.57,21.65,19.57,20.99,3628600,0.0,0.0
2025-09-18,19.62,20.0,19.11,19.43,1622700,0.0,0.0
2025-09-17,18.64,19.49,18.35,19.16,1662800,0.0,0.0
2025-09-16,19.58,19.72,17.89,18.58,1874300,0.0,0.0
2025-09-15,19.56,19.88,19.05,19.7,1906900,0.0,0.0
2025-09-12,17.54,19.39,17.54,19.29,2785400,0.0,0.0
2025-09-11,15.64,17.84,15.57,17.39,2389500,0.0,0.0
2025-09-10,16.55,16.57,15.37,15.47,1593000,0.0,0.0
2025-09-09,16.34,16.58,15.92,16.32,1057200,0.0,0.0
2025-09-08,16.59,17.02,16.05,16.63,1592200,0.0,0.0
2025-09-05,16.16,16.24,15.45,16.22,1238900,0.0,0.0
2025-09-04,16.44,16.5,15.55,15.71,1943600,0.0,0.0
2025-09-03,17.13,17.25,16.42,16.43,1179700,0.0,0.0
2025-09-02,16.9,17.26,16.41,17.06,1425300,0.0,0.0
2025-08-29,18.19,18.28,16.96,17.56,1763200,0.0,0.0
2025-08-28,18.3,18.4,17.8,18.08,1293700,0.0,0.0
2025-08-27,18.14,18.75,17.88,18.16,1592800,0.0,0.0
2025-08-26,17.6,18.51,17.41,18.21,1908600,0.0,0.0
2025-08-25,17.22,17.99,16.88,17.53,1368900,0.0,0.0
2025-08-22,16.19,17.32,16.0,17.28,1211300,0.0,0.0
2025-08-21,16.08,16.56,16.03,16.33,968300,0.0,0.0
2025-08-20,15.9,16.33,15.36,16.32,1546800,0.0,0.0
2025-08-19,17.68,17.78,16.09,16.17,1947000,0.0,0.0
2025-08-18,18.0,18.32,17.38,17.42,1554000,0.0,0.0
2025-08-15,18.18,18.41,17.7,18.17,1324600,0.0,0.0
2025-08-14,17.85,18.8,17.42,18.17,1177300,0.0,0.0
2025-08-13,17.8,18.76,17.29,18.49,2003600,0.0,0.0
2025-08-12,17.51,18.23,17.41,17.44,1470500,0.0,0.0
2025-08-11,16.85,17.55,16.7,17.26,1522100,0.0,0.0
2025-08-08,17.54,17.74,16.24,17.09,2865700,0.0,0.0
2025-08-07,16.94,18.07,16.42,17.21,2897500,0.0,0.0
2025-08-06,18.89,18.97,18.01,18.3,1545900,0.0,0.0
2025-08-05,20.89,21.01,18.66,18.94,2084600,0.0,0.0
2025-08-04,19.13,20.62,19.13,20.57,1435300,0.0,0.0
2025-08-01,18.48,19.7,17.93,18.86,1625900,0.0,0.0
2025-07-31,18.5,19.26,18.3,19.24,1571900,0.0,0.0
2025-07-30,19.3,19.41,18.26,18.47,1122900,0.0,0.0
2025-07-29,19.5,19.7,18.45,19.05,1505700,0.0,0.0
2025-07-28,19.91,20.24,18.92,19.15,1578400,0.0,0.0
2025-07-25,20.56,20.57,19.45,19.78,1754600,0.0,0.0
2025-07-24,20.45,21.21,20.24,20.53,1284200,0.0,0.0
2025-07-23,21.0,21.33,19.96,20.44,1801400,0.0,0.0
2025-07-22,21.3,21.5,18.83,20.14,5006600,0.0,0.0
2025-07-21,24.6,24.63,22.26,22.33,4031200,0.0,0.0
2025-07-18,22.26,24.21,21.5,23.7,10238800,0.0,0.0
2025-07-17,26.45,28.85,26.19,28.29,3425800,0.0,0.0
2025-07-16,25.89,26.41,24.51,25.97,1454600,0.0,0.0
2025-07-15,24.5,26.27,24.5,25.89,1948800,0.0,0.0
2025-07-14,22.69,25.38,22.52,24.26,1927600,0.0,0.0
2025-07-11,23.26,23.5,22.08,22.74,1190400,0.0,0.0
2025-07-10,22.35,24.22,21.84,23.41,2027200,0.0,0.0
2025-07-09,22.77,23.35,21.1,22.3,1897300,0.0,0.0
2025-07-08,22.4,24.94,21.7,22.52,2821800,0.0,0.0
2025-07-07,21.5,21.75,20.5,21.66,1633700,0.0,0.0
2025-07-03,20.22,21.54,20.0,21.48,1412600,0.0,0.0
2025-07-02,20.07,20.3,19.23,20.27,1322800,0.0,0.0
2025-07-01,20.0,20.81,19.19,20.04,1745300,0.0,0.0
2025-06-30,19.86,21.12,19.53,20.58,2495700,0.0,0.0
2025-06-27,20.4,20.4,18.6,19.49,3951500,0.0,0.0
2025-06-26,18.0,20.95,17.95,20.48,3888500,0.0,0.0
2025-06-25,17.69,18.0,16.86,17.28,2224300,0.0,0.0
2025-06-24,17.04,17.7,16.44,17.58,3760200,0.0,0.0
2025-06-23,14.5,16.59,13.62,16.47,5198100,0.0,0.0
2025-06-20,13.2,14.73,12.51,14.22,4608400,0.0,0.0
2025-06-18,11.53,12.91,11.36,12.71,1806400,0.0,0.0
2025-06-17,11.27,11.82,11.27,11.44,1096500,0.0,0.0
2025-06-16,11.21,11.66,11.12,11.48,1101200,0.0,0.0
2025-06-13,10.9,11.5,10.8,10.89,995300,0.0,0.0
2025-06-12,11.61,11.79,11.37,11.45,721600,0.0,0.0
2025-06-11,12.2,12.28,11.7,11.77,961900,0.0,0.0
2025-06-10,12.75,12.8,11.8,12.08,1132700,0.0,0.0
2025-06-09,13.17,13.34,12.5,12.72,1457200,0.0,0.0
2025-06-06,12.5,12.98,12.03,12.9,1767500,0.0,0.0
2025-06-05,12.1,12.75,11.61,12.13,2201900,0.0,0.0
2025-06-04,11.53,12.15,11.26,12.02,1148200,0.0,0.0
2025-06-03,11.61,11.69,11.13,11.3,790800,0.0,0.0
2025-06-02,11.29,11.33,10.61,11.22,917700,0.0,0.0
2025-05-30,11.25,11.35,10.8,11.19,1303600,0.0,0.0
2025-05-29,12.48,12.52,11.26,11.35,941300,0.0,0.0
2025-05-28,11.75,12.44,11.45,12.07,1020800,0.0,0.0
2025-05-27,11.29,11.8,10.92,11.73,1001700,0.0,0.0
2025-05-23,10.47,10.99,10.42,10.83,791200,0.0,0.0
2025-05-22,10.81,11.18,9.88,10.75,1948700,0.0,0.0
2025-05-21,11.7,11.85,11.15,11.38,653900,0.0,0.0
2025-05-20,11.78,11.96,11.55,11.78,577700,0.0,0.0
2025-05-19,11.47,11.81,11.21,11.77,876600,0.0,0.0
2025-05-16,12.25,12.4,11.81,11.83,787300,0.0,0.0
2025-05-15,12.19,12.31,11.67,12.15,698500,0.0,0.0
2025-05-14,12.15,12.53,11.81,12.32,1061400,0.0,0.0
2025-05-13,11.95,12.04,11.58,11.84,934700,0.0,0.0
2025-05-12,12.68,12.73,11.37,11.52,1191500,0.0,0.0
2025-05-09,11.45,11.91,11.01,11.55,1074200,0.0,0.0
2025-05-08,9.25,11.74,9.25,11.45,2531500,0.0,0.0
2025-05-07,8.67,8.97,8.62,8.74,530800,0.0,0.0
2025-05-06,8.4,8.63,8.29,8.54,362700,0.0,0.0
2025-05-05,8.75,8.82,8.57,8.62,468400,0.0,0.0
2025-05-02,8.83,9.16,8.68,8.84,691400,0.0,0.0
2025-05-01,8.53,8.81,8.37,8.58,516800,0.0,0.0
2025-04-30,8.27,8.39,7.86,8.36,623400,0.0,0.0
2025-04-29,8.58,8.65,8.36,8.63,435700,0.0,0.0
2025-04-28,8.47,8.69,8.24,8.55,853200,0.0,0.0
2025-04-25,8.16,8.61,8.05,8.47,833300,0.0,0.0
2025-04-24,7.28,8.23,7.26,8.18,825600,0.0,0.0
2025-04-23,7.25,7.62,7.19,7.2,447300,0.0,0.0
2025-04-22,6.7,6.99,6.67,6.86,461700,0.0,0.0
2025-04-21,6.87,6.97,6.44,6.63,676100,0.0,0.0
2025-04-17,7.1,7.24,6.9,7.07,483000,0.0,0.0
2025-04-16,7.11,7.21,6.88,7.12,470000,0.0,0.0
2025-04-15,7.17,7.65,7.12,7.28,607700,0.0,0.0
2025-04-14,7.96,7.99,7.19,7.27,803400,0.0,0.0
2025-04-11,7.6,7.74,7.3,7.63,488800,0.0,0.0
2025-04-10,7.79,7.88,7.23,7.54,795000,0.0,0.0
2025-04-09,6.78,8.17,6.59,7.81,1434300,0.0,0.0
2025-04-08,7.63,7.74,6.73,6.91,937300,0.0,0.0
2025-04-07,6.32,7.54,6.15,7.09,855800,0.0,0.0
2025-04-04,6.97,7.0,6.15,6.81,1336200,0.0,0.0
2025-04-03,7.28,7.52,7.19,7.31,857000,0.0,0.0
2025-04-02,7.45,8.27,7.42,8.06,653300,0.0,0.0
2025-04-01,7.74,7.82,7.29,7.73,717100,0.0,0.0
2025-03-31,7.58,7.82,7.38,7.73,1061700,0.0,0.0
2025-03-28,8.5,8.56,7.82,7.91,1780300,0.0,0.0
2025-03-27,9.01,9.1,8.54,8.58,792100,0.0,0.0
2025-03-26,9.61,9.79,9.08,9.18,932500,0.0,0.0
2025-03-25,9.39,9.67,9.08,9.52,865000,0.0,0.0
2025-03-24,8.91,9.34,8.8,9.28,1000400,0.0,0.0
2025-03-21,8.49,8.81,8.3,8.71,866100,0.0,0.0
2025-03-20,8.69,9.16,8.67,8.76,570100,0.0,0.0
2025-03-19,8.68,9.19,8.65,8.97,740200,0.0,0.0
2025-03-18,9.15,9.31,8.52,8.61,1161200,0.0,0.0
2025-03-17,9.12,9.49,8.96,9.36,828600,0.0,0.0
2025-03-14,9.25,9.26,8.72,9.08,1267300,0.0,0.0
2025-03-13,9.27,9.3,8.56,8.8,938100,0.0,0.0
2025-03-12,9.6,9.97,8.76,9.24,1541100,0.0,0.0
2025-03-11,9.28,9.6,8.71,9.09,1536800,0.0,0.0
2025-03-10,9.02,9.34,8.82,9.23,1990000,0.0,0.0
2025-03-07,9.86,10.16,9.5,9.86,1751900,0.0,0.0
2025-03-06,10.05,11.37,9.78,10.01,3873500,0.0,0.0
2025-03-05,12.86,13.55,12.36,13.2,2322700,0.0,0.0
2025-03-04,12.33,13.2,11.91,12.63,2148500,0.0,0.0
2025-03-03,14.74,14.97,12.61,12.91,1858500,0.0,0.0
2025-02-28,14.0,14.75,13.48,14.47,1667300,0.0,0.0
2025-02-27,15.2,15.5,14.4,14.47,1259900,0.0,0.0
2025-02-26,15.14,15.94,14.88,14.91,1350200,0.0,0.0
2025-02-25,15.1,15.58,14.06,14.69,1904300,0.0,0.0
2025-02-24,16.85,16.92,14.66,15.03,2246800,0.0,0.0
2025-02-21,18.86,19.3,16.67,16.68,1987500,0.0,0.0
2025-02-20,19.77,19.94,17.6,18.31,2298700,0.0,0.0
2025-02-19,20.49,21.92,19.61,19.96,4322000,0.0,0.0
2025-02-18,17.5,20.5,17.12,18.85,4116200,0.0,0.0
2025-02-14,17.77,18.0,16.58,16.83,1041900,0.0,0.0
2025-02-13,17.57,18.1,16.52,17.76,1512600,0.0,0.0
2025-02-12,16.68,16.97,15.75,16.36,1302100,0.0,0.0
2025-02-11,17.6,18.0,17.16,17.32,1159200,0.0,0.0
