Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,62.95,64.15,62.32,63.39,264900,0.0,0.0
2025-10-09,62.89,62.89,61.94,62.65,396400,0.0,0.0
2025-10-08,62.5,63.11,61.31,63.05,198000,0.0,0.0
2025-10-07,63.42,64.47,62.5,62.75,214900,0.0,0.0
2025-10-06,63.34,63.34,61.99,63.23,221800,0.0,0.0
2025-10-03,63.18,63.7,62.87,63.04,202500,0.0,0.0
2025-10-02,64.36,64.76,62.98,63.11,187400,0.0,0.0
2025-10-01,64.04,64.9,63.69,64.56,349600,0.0,0.0
2025-09-30,63.19,64.43,63.03,64.31,336800,0.0,0.0
2025-09-29,64.37,64.44,62.37,63.19,368600,0.0,0.0
2025-09-26,63.48,64.17,63.37,64.17,425900,0.0,0.0
2025-09-25,64.8,65.14,63.44,63.52,255900,0.0,0.0
2025-09-24,66.16,67.1,64.89,64.9,230600,0.0,0.0
2025-09-23,66.8,67.24,65.75,66.02,428000,0.0,0.0
2025-09-22,66.25,67.16,65.95,66.72,436600,0.0,0.0
2025-09-19,68.01,69.05,65.96,66.51,1073100,0.0,0.0
2025-09-18,69.36,69.73,67.82,68.31,439600,0.0,0.0
2025-09-17,68.47,70.03,68.47,69.13,579300,0.0,0.0
2025-09-16,69.66,69.85,68.06,68.22,235500,0.0,0.0
2025-09-15,69.88,70.13,69.45,69.63,303800,0.0,0.0
2025-09-12,70.25,70.34,69.26,69.6,262000,0.0,0.0
2025-09-11,68.93,70.19,68.44,70.17,423500,0.0,0.0
2025-09-10,68.36,68.76,66.5,68.58,330200,0.0,0.0
2025-09-09,68.0,68.74,67.13,68.56,269500,0.0,0.0
2025-09-08,66.79,67.98,66.03,67.87,299800,0.0,0.0
2025-09-05,66.46,67.71,65.74,66.6,260600,0.0,0.0
2025-09-04,66.24,66.46,65.64,66.35,236400,0.0,0.0
2025-09-03,65.43,66.62,64.9,66.56,252800,0.0,0.0
2025-09-02,65.94,67.79,65.71,65.79,206400,0.0,0.0
