Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,3.34,3.39,3.03,3.03,2355600,0.0,0.0
2025-10-09,3.36,3.45,3.26,3.33,1866000,0.0,0.0
2025-10-08,3.56,3.56,3.21,3.34,4231800,0.0,0.0
2025-10-07,3.93,3.95,3.35,3.52,8779600,0.0,0.0
2025-10-06,3.97,4.84,3.9,4.39,5127300,0.0,0.0
2025-10-03,3.83,3.93,3.74,3.85,2151400,0.0,0.0
2025-10-02,3.94,3.95,3.74,3.83,2365900,0.0,0.0
2025-10-01,3.83,4.05,3.59,3.82,5132100,0.0,0.0
2025-09-30,3.5,3.5,3.3,3.36,765600,0.0,0.0
2025-09-29,3.58,3.64,3.5,3.53,345100,0.0,0.0
2025-09-26,3.52,3.57,3.45,3.54,389700,0.0,0.0
2025-09-25,3.59,3.62,3.45,3.53,516300,0.0,0.0
2025-09-24,3.63,3.67,3.53,3.57,461500,0.0,0.0
2025-09-23,3.63,3.77,3.61,3.63,653400,0.0,0.0
2025-09-22,3.67,3.7,3.53,3.63,819400,0.0,0.0
2025-09-19,3.92,3.95,3.66,3.66,1166500,0.0,0.0
2025-09-18,3.96,3.98,3.84,3.92,778900,0.0,0.0
2025-09-17,3.91,4.08,3.88,3.91,777200,0.0,0.0
2025-09-16,3.91,3.91,3.8,3.91,486700,0.0,0.0
2025-09-15,3.97,4.05,3.9,3.91,728500,0.0,0.0
2025-09-12,3.73,3.96,3.72,3.93,838400,0.0,0.0
2025-09-11,3.76,3.95,3.73,3.77,850700,0.0,0.0
2025-09-10,3.73,3.93,3.7,3.79,1079700,0.0,0.0
2025-09-09,3.7,3.79,3.52,3.7,1930700,0.0,0.0
2025-09-08,3.52,3.74,3.52,3.7,996700,0.0,0.0
2025-09-05,3.5,3.56,3.42,3.52,790700,0.0,0.0
2025-09-04,3.54,3.57,3.36,3.45,660000,0.0,0.0
2025-09-03,3.6,3.6,3.52,3.55,629000,0.0,0.0
2025-09-02,3.6,3.66,3.44,3.61,765100,0.0,0.0
2025-08-29,3.85,3.87,3.62,3.62,682900,0.0,0.0
2025-08-28,3.87,3.96,3.82,3.83,777700,0.0,0.0
2025-08-27,3.79,3.89,3.77,3.84,821200,0.0,0.0
2025-08-26,3.82,3.87,3.76,3.81,467100,0.0,0.0
2025-08-25,3.71,3.85,3.67,3.78,881700,0.0,0.0
2025-08-22,3.84,3.98,3.79,3.81,600900,0.0,0.0
2025-08-21,3.75,3.88,3.75,3.85,579800,0.0,0.0
2025-08-20,3.8,3.84,3.65,3.75,729300,0.0,0.0
2025-08-19,4.07,4.07,3.62,3.83,1548200,0.0,0.0
2025-08-18,4.02,4.1,3.9,4.04,982400,0.0,0.0
2025-08-15,4.17,4.17,4.02,4.07,841700,0.0,0.0
2025-08-14,4.36,4.42,4.08,4.11,1243000,0.0,0.0
2025-08-13,4.24,4.68,4.24,4.43,1450700,0.0,0.0
2025-08-12,4.31,4.53,4.02,4.22,2631600,0.0,0.0
2025-08-11,5.06,5.09,4.78,4.82,1214600,0.0,0.0
2025-08-08,4.94,5.05,4.81,4.9,742600,0.0,0.0
2025-08-07,5.0,5.12,4.89,4.92,436500,0.0,0.0
2025-08-06,5.03,5.04,4.89,4.97,461400,0.0,0.0
2025-08-05,5.02,5.1,4.87,5.03,638100,0.0,0.0
2025-08-04,4.7,5.0,4.67,5.0,784000,0.0,0.0
2025-08-01,4.81,4.82,4.57,4.64,1246500,0.0,0.0
2025-07-31,5.05,5.22,4.94,4.96,651900,0.0,0.0
2025-07-30,5.0,5.22,4.9,4.99,846500,0.0,0.0
2025-07-29,5.28,5.4,4.95,4.99,1095500,0.0,0.0
2025-07-28,5.34,5.4,5.08,5.24,829400,0.0,0.0
2025-07-25,5.3,5.35,5.12,5.32,634000,0.0,0.0
2025-07-24,5.42,5.7,5.24,5.27,951100,0.0,0.0
2025-07-23,5.47,5.53,5.32,5.48,967600,0.0,0.0
2025-07-22,5.57,5.57,5.31,5.53,1024400,0.0,0.0
2025-07-21,6.02,6.02,5.38,5.44,1795800,0.0,0.0
2025-07-18,5.97,6.79,5.63,5.84,3301400,0.0,0.0
