Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,503.12,511.5,491.3,491.3,3886600,0.0,0.0
2025-10-09,504.06,506.53,497.14,500.36,3113900,0.0,0.0
2025-10-08,490.99,509.48,489.34,502.12,3959400,0.0,0.0
2025-10-07,497.93,498.38,483.55,486.71,2135400,0.0,0.0
2025-10-06,500.42,505.59,493.04,495.38,2629200,0.0,0.0
2025-10-03,493.25,504.48,492.53,497.85,2996500,0.0,0.0
2025-10-02,486.86,495.98,484.19,490.57,2648600,0.0,0.0
2025-10-01,474.01,483.93,471.14,480.82,2964700,0.0,0.0
2025-09-30,471.62,477.44,470.24,477.15,2315300,0.0,0.0
2025-09-29,468.08,472.49,467.46,471.61,2892100,0.0,0.0
2025-09-26,465.48,468.45,462.38,465.76,2329000,0.0,0.0
2025-09-25,464.71,468.0,459.58,463.72,2979200,0.0,0.0
2025-09-24,472.7,476.52,468.63,469.79,2776700,0.0,0.0
2025-09-23,473.26,485.34,468.19,471.26,3856600,0.0,0.0
2025-09-22,467.31,473.24,459.61,472.1,3180000,0.0,0.0
2025-09-19,470.26,472.12,462.71,466.54,5069300,0.0,0.0
2025-09-18,450.96,467.71,448.87,466.96,4331900,0.0,0.0
2025-09-17,445.0,452.34,443.0,450.66,4512200,0.0,0.0
2025-09-16,436.13,440.8,434.28,440.67,2366300,0.0,0.0
2025-09-15,433.83,438.75,430.61,435.94,2255800,0.0,0.0
2025-09-12,429.06,432.61,427.75,431.52,2341800,0.0,0.0
2025-09-11,423.92,435.79,423.32,431.38,2737900,0.0,0.0
2025-09-10,419.82,426.5,419.5,422.91,2221000,0.0,0.0
2025-09-09,423.16,423.55,416.44,418.09,1710700,0.0,0.0
2025-09-08,422.65,423.91,416.78,422.78,1876700,0.0,0.0
2025-09-05,420.84,424.9,417.91,423.08,1843200,0.0,0.0
2025-09-04,415.81,420.79,414.29,420.22,1634600,0.0,0.0
2025-09-03,418.13,418.13,411.37,415.12,1496700,0.0,0.0
2025-09-02,413.91,417.21,410.52,416.05,2329500,0.0,0.0
2025-08-29,425.41,428.1,414.37,419.04,3673800,0.0,0.0
2025-08-28,434.91,435.98,432.63,434.91,1651700,0.0,0.0
2025-08-27,429.73,435.06,428.95,432.67,1970900,0.0,0.0
2025-08-26,431.4,432.19,427.24,431.26,2792200,0.0,0.0
2025-08-25,435.0,436.9,432.17,432.3,1857900,0.0,0.0
2025-08-22,421.61,437.84,420.05,435.67,3785100,0.0,0.0
2025-08-21,419.93,420.58,414.16,417.89,2504300,0.0,0.0
2025-08-20,414.8,421.92,412.05,420.59,4060200,0.0,0.0
2025-08-19,419.31,421.88,414.06,416.09,3543600,0.0,0.0
2025-08-18,407.0,413.14,405.46,412.64,3185200,0.0,0.0
2025-08-15,415.72,416.56,407.1,407.79,3107400,0.0,0.0
2025-08-14,409.3,419.24,407.0,417.5,3676000,0.0,0.0
2025-08-13,415.18,415.54,410.54,413.7,4403000,0.0,0.0
2025-08-12,411.0,418.19,409.64,412.71,2765100,0.0,0.0
2025-08-11,416.98,418.29,406.8,408.54,3416000,0.0,0.0
2025-08-08,420.52,421.9,415.76,416.52,2965200,0.0,0.0
2025-08-07,426.84,427.33,409.96,417.12,4261100,0.0,0.0
2025-08-06,433.34,434.71,425.54,427.72,2630800,0.0,0.0
2025-08-05,427.65,439.74,426.57,434.23,4329900,0.0,0.0
2025-08-04,430.86,436.89,429.99,433.7,4059500,0.0,0.0
2025-08-01,426.97,430.86,421.29,428.69,4027300,0.0,0.0
2025-07-31,434.13,441.15,433.68,438.02,4116400,0.0,0.0
2025-07-30,430.0,436.83,426.43,434.12,3172600,0.0,0.0
2025-07-29,434.55,435.21,424.8,430.05,2383700,0.0,0.0
2025-07-28,431.25,436.4,431.12,432.94,2550300,0.0,0.0
2025-07-25,429.69,434.87,428.62,433.75,2218400,0.0,0.0
