Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,32.5,32.54,31.19,31.25,159800,0.0,0.0
2025-10-09,33.3,33.87,32.13,32.5,156100,0.0,0.0
2025-10-08,34.32,34.32,33.17,33.47,133000,0.0,0.0
2025-10-07,35.85,35.85,33.14,34.06,278600,0.0,0.0
2025-10-06,36.79,37.13,35.8,35.84,128600,0.0,0.0
2025-10-03,36.71,37.36,36.22,36.53,101500,0.0,0.0
2025-10-02,36.61,36.77,35.74,36.56,121700,0.0,0.0
2025-10-01,36.28,37.08,35.97,36.54,110900,0.0,0.0
2025-09-30,36.53,37.39,36.34,36.93,223900,0.0,0.0
2025-09-29,37.11,37.11,35.41,36.54,195600,0.0,0.0
2025-09-26,36.85,37.21,36.33,36.89,113400,0.0,0.0
2025-09-25,37.0,37.16,35.89,36.72,183300,0.0,0.0
2025-09-24,38.34,39.42,37.12,37.38,194100,0.0,0.0
2025-09-23,39.2,40.12,37.89,38.13,184900,0.0,0.0
2025-09-22,37.84,39.22,37.49,38.87,178100,0.0,0.0
2025-09-19,38.88,38.99,37.77,37.97,204300,0.0,0.0
2025-09-18,38.85,39.17,38.1,38.96,175900,0.0,0.0
2025-09-17,39.15,40.67,38.46,38.52,232000,0.0,0.0
2025-09-16,39.09,39.28,38.56,39.16,139600,0.0,0.0
2025-09-15,37.96,39.09,37.26,39.08,148300,0.0,0.0
2025-09-12,38.89,39.22,37.83,37.85,115000,0.0,0.0
2025-09-11,38.7,39.67,38.7,39.07,105400,0.0,0.0
2025-09-10,38.75,38.89,37.65,38.84,217500,0.0,0.0
2025-09-09,38.85,39.1,37.24,38.9,228400,0.0,0.0
2025-09-08,38.8,39.3,38.24,39.02,219300,0.0,0.0
2025-09-05,39.0,39.79,37.83,38.4,182700,0.0,0.0
2025-09-04,37.91,39.36,37.91,39.05,195500,0.0,0.0
2025-09-03,38.22,39.5,37.78,38.07,262900,0.0,0.0
2025-09-02,36.41,38.4,35.54,38.33,276400,0.0,0.0
2025-08-29,36.46,37.02,35.75,36.82,186200,0.0,0.0
2025-08-28,35.79,36.5,35.37,36.13,229300,0.0,0.0
2025-08-27,34.67,36.15,34.55,35.59,201900,0.0,0.0
2025-08-26,34.01,35.25,34.01,35.22,147800,0.0,0.0
2025-08-25,34.14,34.83,33.37,34.1,241300,0.0,0.0
2025-08-22,34.19,35.11,33.47,34.18,334200,0.0,0.0
2025-08-21,30.45,35.11,30.22,34.31,854000,0.0,0.0
2025-08-20,28.43,29.48,28.28,29.48,178100,0.0,0.0
2025-08-19,28.79,29.5,28.44,28.6,86400,0.0,0.0
2025-08-18,28.53,29.24,28.53,28.76,123100,0.0,0.0
2025-08-15,29.06,29.06,28.28,28.47,167000,0.0,0.0
2025-08-14,28.18,29.0,27.88,28.96,117600,0.0,0.0
2025-08-13,28.19,29.36,27.94,28.82,187400,0.0,0.0
2025-08-12,26.28,28.47,26.0,28.13,228600,0.0,0.0
2025-08-11,26.2,26.5,25.61,25.87,116900,0.0,0.0
2025-08-08,24.1,26.03,23.62,25.87,192800,0.0,0.0
2025-08-07,25.29,25.29,24.12,24.73,132600,0.0,0.0
2025-08-06,24.56,25.03,24.23,24.77,161000,0.0,0.0
2025-08-05,24.08,24.59,23.63,24.41,198300,0.0,0.0
2025-08-04,26.63,26.89,23.65,24.2,437400,0.0,0.0
2025-08-01,28.57,30.82,26.15,26.34,947000,0.0,0.0
2025-07-31,24.5,24.85,23.86,24.1,265800,0.0,0.0
2025-07-30,25.03,25.07,23.84,24.36,125100,0.0,0.0
2025-07-29,25.95,25.96,24.58,24.74,196600,0.0,0.0
2025-07-28,24.51,26.06,24.25,25.46,259600,0.0,0.0
2025-07-25,23.78,24.37,23.38,24.26,86900,0.0,0.0
