Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,246.52,249.05,240.72,241.68,7973500,0.0,0.0
2025-10-09,239.27,245.96,237.15,245.33,7929100,0.0,0.0
2025-10-08,239.74,241.32,235.65,240.43,7120200,0.0,0.0
2025-10-07,246.48,247.36,237.55,239.74,8387400,0.0,0.0
2025-10-06,239.33,250.47,235.41,245.78,13922600,0.0,0.0
2025-10-03,238.75,242.81,238.5,240.36,8849800,0.0,0.0
2025-10-02,235.43,239.4,233.6,238.88,7679200,0.0,0.0
2025-10-01,236.49,242.47,233.51,235.69,10016600,0.0,0.0
2025-09-30,245.05,245.21,235.81,237.0,10801100,0.0,0.0
2025-09-29,244.72,245.82,242.87,245.1,6373500,0.0,0.0
2025-09-26,240.69,244.53,240.35,243.43,4974600,0.0,0.0
2025-09-25,244.5,244.66,239.49,240.95,8145500,0.0,0.0
2025-09-24,245.67,248.84,243.01,245.89,6707100,0.0,0.0
2025-09-23,249.74,251.36,244.13,244.56,7669800,0.0,0.0
2025-09-22,245.28,250.48,243.16,249.69,7523800,0.0,0.0
2025-09-19,246.02,247.2,243.35,247.09,11813900,0.0,0.0
2025-09-18,244.16,247.29,242.95,244.28,9344400,0.0,0.0
2025-09-17,239.97,243.0,239.38,242.21,10124000,0.416,0.0
2025-09-16,242.1,242.26,236.83,238.89,8779800,0.0,0.0
2025-09-15,242.83,244.28,240.42,242.1,7244600,0.0,0.0
2025-09-12,245.67,247.16,240.83,242.34,8386400,0.0,0.0
2025-09-11,243.28,246.74,243.08,245.85,6944900,0.0,0.0
2025-09-10,252.31,253.55,241.31,242.15,11363600,0.0,0.0
2025-09-09,250.88,254.9,250.77,251.62,10901900,0.0,0.0
2025-09-08,250.36,252.5,246.87,251.83,12602200,0.0,0.0
2025-09-05,244.4,250.69,243.94,250.32,13029400,0.0,0.0
2025-09-04,239.64,244.79,234.21,243.59,30967500,0.0,0.0
2025-09-03,254.62,257.55,250.11,256.0,17417900,0.0,0.0
2025-09-02,254.38,254.55,248.32,252.42,9312500,0.0,0.0
2025-08-29,254.96,257.19,252.43,255.8,7363200,0.0,0.0
2025-08-28,252.04,255.21,249.85,254.09,8461200,0.0,0.0
2025-08-27,245.32,249.93,245.18,249.73,6506900,0.0,0.0
2025-08-26,246.27,248.4,242.43,243.32,8862300,0.0,0.0
2025-08-25,248.94,248.94,246.36,247.44,4957700,0.0,0.0
2025-08-22,245.35,249.1,243.69,247.86,6694300,0.0,0.0
2025-08-21,244.61,245.86,239.6,245.4,5646800,0.0,0.0
2025-08-20,245.27,247.14,244.03,246.02,8195100,0.0,0.0
2025-08-19,244.57,248.07,243.03,245.57,8642200,0.0,0.0
2025-08-18,239.35,244.09,239.07,243.55,8809200,0.0,0.0
2025-08-15,235.74,244.07,234.22,242.02,12942800,0.0,0.0
2025-08-14,236.59,236.59,232.47,232.96,7544800,0.0,0.0
2025-08-13,232.6,236.94,229.21,236.62,10209200,0.0,0.0
2025-08-12,232.59,233.26,226.09,231.26,13178000,0.0,0.0
2025-08-11,238.5,241.45,231.17,232.28,10740100,0.0,0.0
2025-08-08,240.87,242.53,237.42,240.09,8812000,0.0,0.0
2025-08-07,250.25,252.57,236.56,240.46,10010200,0.0,0.0
2025-08-06,248.94,249.82,246.59,248.74,5834700,0.0,0.0
2025-08-05,252.57,252.85,246.58,247.06,6761000,0.0,0.0
2025-08-04,250.56,253.06,250.2,251.88,4403500,0.0,0.0
2025-08-01,254.55,255.55,249.7,250.3,7646900,0.0,0.0
2025-07-31,264.54,264.58,257.41,257.88,7340300,0.0,0.0
2025-07-30,266.41,267.3,262.87,264.35,3928200,0.0,0.0
2025-07-29,271.13,273.52,266.85,266.93,5137100,0.0,0.0
2025-07-28,269.03,269.87,266.13,269.78,4533700,0.0,0.0
2025-07-25,267.54,270.63,266.55,268.64,4015400,0.0,0.0
2025-07-24,267.51,268.83,265.18,267.23,5877100,0.0,0.0
2025-07-23,263.46,268.01,262.04,266.76,5620700,0.0,0.0
2025-07-22,262.54,265.43,261.54,263.13,5001400,0.0,0.0
2025-07-21,263.16,263.85,261.19,261.82,6714700,0.0,0.0
2025-07-18,259.85,262.52,258.67,261.92,6381200,0.0,0.0
2025-07-17,257.54,259.75,256.2,259.43,5837400,0.0,0.0
2025-07-16,258.48,258.53,254.08,257.5,5649500,0.0,0.0
2025-07-15,260.55,261.35,256.78,257.13,5201500,0.0,0.0
2025-07-14,258.15,261.77,257.05,259.23,6533900,0.0,0.0
2025-07-11,262.12,262.49,256.81,257.62,7011200,0.0,0.0
2025-07-10,270.43,271.02,262.75,263.51,7244600,0.0,0.0
2025-07-09,273.88,275.08,268.9,270.45,6373600,0.0,0.0
2025-07-08,270.32,276.32,269.26,273.17,6661200,0.0,0.0
2025-07-07,271.04,273.52,267.74,269.33,6283500,0.0,0.0
2025-07-03,269.23,274.25,268.85,271.68,5031800,0.0,0.0
2025-07-02,271.05,271.24,265.19,268.74,6115200,0.0,0.0
2025-07-01,271.61,273.52,270.17,271.44,6256800,0.0,0.0
2025-06-30,273.98,275.9,269.93,272.22,8541900,0.0,0.0
2025-06-27,271.39,273.69,268.96,272.94,21741400,0.0,0.0
2025-06-26,268.31,270.54,264.7,270.27,6708000,0.0,0.0
2025-06-25,271.53,273.52,266.52,267.29,6074300,0.0,0.0
2025-06-24,265.25,272.9,264.98,270.7,9713900,0.0,0.0
2025-06-23,260.19,264.28,258.3,262.95,9283800,0.0,0.0
2025-06-20,260.24,262.41,258.81,260.18,12859200,0.0,0.0
2025-06-18,264.34,264.62,257.02,259.05,7628000,0.416,0.0
2025-06-17,262.97,269.6,261.23,261.89,9110100,0.0,0.0
2025-06-16,259.53,263.1,259.1,263.0,7177000,0.0,0.0
2025-06-13,262.61,264.82,257.14,257.54,7659300,0.0,0.0
2025-06-12,263.82,268.13,262.53,266.02,8054000,0.0,0.0
2025-06-11,267.61,268.62,264.53,265.03,6568100,0.0,0.0
2025-06-10,271.17,272.84,265.95,267.33,6309700,0.0,0.0
2025-06-09,271.94,273.29,268.77,271.35,5728300,0.0,0.0
2025-06-06,269.07,273.99,267.32,273.6,7507000,0.0,0.0
2025-06-05,262.83,267.86,262.77,266.25,8642900,0.0,0.0
2025-06-04,263.31,264.62,260.75,262.3,7372500,0.0,0.0
2025-06-03,261.13,263.87,260.49,263.59,7838500,0.0,0.0
2025-06-02,262.24,262.91,258.28,260.75,9213500,0.0,0.0
