Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,70.41,70.81,67.89,67.94,20946900,0.0,0.0
2025-10-09,70.31,70.62,69.03,69.96,21209500,0.0,0.0
2025-10-08,69.81,70.76,69.0,70.33,34246300,0.0,0.0
2025-10-07,68.92,69.22,68.44,68.99,16493200,0.0,0.0
2025-10-06,68.44,68.95,67.81,68.91,21952700,0.0,0.0
2025-10-03,67.95,68.58,67.65,67.92,11113200,0.41,0.0
2025-10-02,68.76,69.07,67.85,67.9,15708300,0.0,0.0
2025-10-01,67.49,68.41,67.28,68.34,15530700,0.0,0.0
2025-09-30,67.3,68.36,67.28,68.01,20498900,0.0,0.0
2025-09-29,67.31,67.54,67.04,67.31,14358300,0.0,0.0
2025-09-26,67.46,67.5,66.45,66.82,15077400,0.0,0.0
2025-09-25,66.92,67.83,66.71,67.44,22351700,0.0,0.0
2025-09-24,67.29,67.45,66.49,66.92,17433100,0.0,0.0
2025-09-23,67.17,67.81,66.67,67.13,22240000,0.0,0.0
2025-09-22,67.45,67.59,66.9,67.34,20396700,0.0,0.0
2025-09-19,68.51,68.51,66.78,67.8,47822500,0.0,0.0
2025-09-18,67.49,68.35,67.07,68.27,20279000,0.0,0.0
2025-09-17,66.6,67.47,65.98,67.31,18652100,0.0,0.0
2025-09-16,66.62,66.98,66.15,66.53,18019300,0.0,0.0
2025-09-15,66.11,66.8,65.95,66.62,16203100,0.0,0.0
2025-09-12,66.48,66.94,65.73,66.13,18529200,0.0,0.0
2025-09-11,67.9,68.16,67.1,67.28,17560800,0.0,0.0
2025-09-10,67.18,67.91,66.72,67.72,14689500,0.0,0.0
2025-09-09,66.34,67.04,66.24,66.94,11649400,0.0,0.0
2025-09-08,66.32,66.61,65.95,66.48,14038000,0.0,0.0
2025-09-05,67.31,67.69,66.08,66.5,21050800,0.0,0.0
2025-09-04,67.69,68.0,67.01,67.58,14388500,0.0,0.0
2025-09-03,67.64,67.72,66.93,67.26,14320100,0.0,0.0
2025-09-02,67.7,67.91,66.98,67.39,18928800,0.0,0.0
2025-08-29,68.7,69.04,68.42,68.68,14953000,0.0,0.0
2025-08-28,67.95,69.16,67.94,69.01,15256000,0.0,0.0
2025-08-27,67.91,68.34,67.74,68.03,13876700,0.0,0.0
2025-08-26,66.77,68.34,66.71,67.98,28307900,0.0,0.0
2025-08-25,66.88,67.09,66.71,66.74,11724500,0.0,0.0
2025-08-22,66.93,67.63,66.61,66.92,16830600,0.0,0.0
2025-08-21,66.7,66.82,66.07,66.62,12456600,0.0,0.0
2025-08-20,66.42,66.79,66.14,66.71,14946400,0.0,0.0
2025-08-19,66.36,67.11,66.08,66.36,18746600,0.0,0.0
2025-08-18,65.68,66.71,65.36,66.55,20903400,0.0,0.0
2025-08-15,68.04,68.24,65.46,65.8,40877300,0.0,0.0
2025-08-14,67.59,70.19,67.07,68.88,39317300,0.0,0.0
2025-08-13,71.43,71.6,69.83,69.98,38096400,0.0,0.0
2025-08-12,70.37,71.07,70.14,70.95,21912100,0.0,0.0
2025-08-11,71.87,72.11,69.92,70.25,28911400,0.0,0.0
2025-08-08,69.82,71.59,69.8,71.36,31662400,0.0,0.0
2025-08-07,69.38,69.72,68.79,69.48,22579600,0.0,0.0
2025-08-06,67.55,68.93,67.36,68.79,23107800,0.0,0.0
2025-08-05,68.28,68.46,67.04,67.11,15434500,0.0,0.0
2025-08-04,67.36,68.1,67.2,68.08,17052200,0.0,0.0
2025-08-01,67.1,67.2,66.12,66.71,21650000,0.0,0.0
2025-07-31,67.9,68.73,67.47,67.67,18529200,0.0,0.0
2025-07-30,67.43,68.17,66.95,67.87,15518200,0.0,0.0
2025-07-29,67.82,68.31,67.42,67.55,15261800,0.0,0.0
2025-07-28,67.34,67.55,66.97,67.51,20558400,0.0,0.0
2025-07-25,67.97,68.41,67.66,68.28,11590000,0.0,0.0
2025-07-24,67.95,68.18,67.51,67.88,13534000,0.0,0.0
2025-07-23,67.94,68.42,67.65,68.21,13042300,0.0,0.0
2025-07-22,67.93,68.19,67.67,67.75,14527200,0.0,0.0
2025-07-21,67.49,68.21,67.38,67.93,14674200,0.0,0.0
2025-07-18,68.37,68.43,67.55,67.64,16145100,0.0,0.0
2025-07-17,67.14,68.06,67.1,67.89,20400000,0.0,0.0
2025-07-16,66.75,67.15,66.58,66.97,15156100,0.0,0.0
2025-07-15,67.27,67.47,66.75,66.78,13944600,0.0,0.0
2025-07-14,67.42,67.62,66.8,67.41,16451400,0.0,0.0
2025-07-11,67.88,68.09,67.28,67.54,14699400,0.0,0.0
2025-07-10,68.84,68.97,68.15,68.35,15005300,0.0,0.0
2025-07-09,68.13,68.9,67.9,68.85,23765900,0.0,0.0
2025-07-08,68.39,68.51,67.94,68.18,21182600,0.0,0.0
2025-07-07,68.67,68.88,68.2,68.52,23985200,0.0,0.0
2025-07-03,67.77,69.05,67.77,68.95,17973500,0.41,0.0
2025-07-02,67.86,68.12,67.37,67.77,16655200,0.0,0.0
2025-07-01,68.55,68.72,67.82,68.27,21939500,0.0,0.0
2025-06-30,68.01,68.95,67.93,68.55,32561200,0.0,0.0
2025-06-27,68.05,68.39,67.52,67.83,26224600,0.0,0.0
2025-06-26,67.9,68.33,67.6,68.13,23154000,0.0,0.0
2025-06-25,67.04,67.71,66.97,67.38,19395700,0.0,0.0
2025-06-24,66.97,67.23,66.56,67.08,23162700,0.0,0.0
2025-06-23,65.56,66.68,65.42,66.58,34030000,0.0,0.0
2025-06-20,65.7,65.85,64.94,65.53,50421700,0.0,0.0
2025-06-18,64.91,65.55,64.6,65.05,22664200,0.0,0.0
2025-06-17,64.86,65.36,64.24,64.55,18845200,0.0,0.0
2025-06-16,64.41,64.83,64.08,64.73,16957700,0.0,0.0
2025-06-13,63.82,63.95,63.17,63.32,14635000,0.0,0.0
2025-06-12,63.55,64.43,63.34,64.32,15160800,0.0,0.0
2025-06-11,64.33,64.37,63.11,63.42,20442600,0.0,0.0
2025-06-10,65.22,65.29,64.04,64.37,17214900,0.0,0.0
2025-06-09,65.32,65.57,64.81,65.11,13689800,0.0,0.0
2025-06-06,64.54,65.37,64.45,65.27,20943800,0.0,0.0
2025-06-05,63.71,64.13,63.51,63.85,17025200,0.0,0.0
2025-06-04,63.89,64.11,63.58,63.62,14770900,0.0,0.0
2025-06-03,63.04,63.69,62.96,63.59,15156900,0.0,0.0
2025-06-02,61.98,63.12,61.96,63.09,15816000,0.0,0.0
2025-05-30,62.17,62.43,61.56,62.29,25829000,0.0,0.0
2025-05-29,62.97,62.98,61.74,62.3,13982800,0.0,0.0
2025-05-28,63.13,63.23,62.49,62.58,13814500,0.0,0.0
2025-05-27,63.0,63.23,62.58,62.99,17429400,0.0,0.0
2025-05-23,61.96,62.46,61.78,62.36,15645400,0.0,0.0
2025-05-22,62.65,62.96,62.2,62.6,15641100,0.0,0.0
2025-05-21,62.24,63.15,62.22,62.45,15595900,0.0,0.0
2025-05-20,62.98,63.09,62.32,62.66,14995200,0.0,0.0
2025-05-19,62.67,63.36,62.43,63.16,16249000,0.0,0.0
2025-05-16,63.15,63.27,62.23,62.86,30289900,0.0,0.0
2025-05-15,62.32,64.96,62.17,63.49,60718000,0.0,0.0
2025-05-14,60.89,61.13,60.12,60.56,34509200,0.0,0.0
2025-05-13,60.94,61.5,60.87,61.04,18591200,0.0,0.0
2025-05-12,60.87,61.11,60.39,60.93,23700000,0.0,0.0
2025-05-09,59.94,60.1,58.73,59.06,17480700,0.0,0.0
2025-05-08,59.24,59.56,58.72,59.0,16196700,0.0,0.0
2025-05-07,58.49,59.18,58.36,58.86,14078300,0.0,0.0
2025-05-06,57.93,58.8,57.88,58.51,13766500,0.0,0.0
2025-05-05,58.3,58.94,58.18,58.61,14758500,0.0,0.0
2025-05-02,58.35,58.71,58.04,58.62,18753200,0.0,0.0
2025-05-01,57.09,57.77,56.99,57.43,16420800,0.0,0.0
2025-04-30,56.42,57.22,55.79,57.04,19921200,0.0,0.0
2025-04-29,56.01,56.8,55.95,56.66,13466000,0.0,0.0
2025-04-28,55.85,56.65,55.75,56.16,23140600,0.0,0.0
2025-04-25,55.54,56.1,55.4,56.03,16493500,0.0,0.0
2025-04-24,54.64,55.89,54.5,55.62,22782300,0.0,0.0
2025-04-23,55.48,56.3,54.84,54.97,30231500,0.0,0.0
2025-04-22,54.56,54.62,53.94,54.38,19961800,0.0,0.0
2025-04-21,54.5,54.67,53.19,53.72,15578800,0.0,0.0
2025-04-17,55.53,55.74,55.02,55.09,15910400,0.0,0.0
2025-04-16,55.89,56.4,54.76,55.09,20551300,0.0,0.0
2025-04-15,57.18,57.22,56.38,56.52,18543600,0.0,0.0
2025-04-14,57.2,57.51,56.42,56.72,15657700,0.0,0.0
2025-04-11,55.99,57.11,55.61,56.65,23036900,0.0,0.0
2025-04-10,57.13,57.25,54.34,55.91,31964600,0.0,0.0
2025-04-09,52.45,57.73,52.04,57.44,53380800,0.0,0.0
2025-04-08,54.09,55.2,52.09,52.55,37377000,0.0,0.0
2025-04-07,52.74,55.45,51.49,53.76,46816200,0.0,0.0
2025-04-04,55.98,56.78,53.79,53.89,42924400,0.0,0.0
2025-04-03,58.67,59.2,56.58,56.63,40006300,0.41,0.0
2025-04-02,60.07,60.73,59.97,60.68,18610700,0.0,0.0
2025-04-01,60.24,60.89,59.93,60.66,17381400,0.0,0.0
2025-03-31,59.51,60.76,59.13,60.57,29335700,0.0,0.0
2025-03-28,60.52,60.64,59.39,59.73,24931700,0.0,0.0
2025-03-27,60.75,60.83,60.2,60.26,25720200,0.0,0.0
2025-03-26,59.9,60.7,59.88,60.66,30621200,0.0,0.0
2025-03-25,59.71,60.08,59.58,59.86,20877600,0.0,0.0
2025-03-24,59.91,60.24,59.75,59.84,28335600,0.0,0.0
2025-03-21,59.06,59.28,58.33,59.18,65935200,0.0,0.0
2025-03-20,59.36,59.89,59.22,59.5,16528600,0.0,0.0
2025-03-19,59.51,60.44,59.38,59.99,15488800,0.0,0.0
2025-03-18,59.55,59.68,58.57,59.18,16669000,0.0,0.0
2025-03-17,59.28,60.08,59.22,59.76,15335800,0.0,0.0
2025-03-14,59.2,59.5,58.81,59.38,16250700,0.0,0.0
2025-03-13,59.29,59.37,58.13,58.57,16463300,0.0,0.0
2025-03-12,59.83,60.05,59.14,59.34,18935300,0.0,0.0
2025-03-11,61.13,61.23,59.41,59.55,25787400,0.0,0.0
2025-03-10,62.31,62.51,60.54,60.91,27417600,0.0,0.0
2025-03-07,61.74,62.98,61.04,62.76,21154800,0.0,0.0
2025-03-06,62.62,62.84,61.6,62.24,23155100,0.0,0.0
2025-03-05,62.06,62.99,61.64,62.78,14931500,0.0,0.0
2025-03-04,62.56,62.73,61.45,62.09,24588300,0.0,0.0
2025-03-03,63.2,63.68,62.02,62.31,21810700,0.0,0.0
2025-02-28,62.75,62.97,61.67,62.92,26711800,0.0,0.0
2025-02-27,63.57,64.08,62.57,62.63,24695600,0.0,0.0
2025-02-26,62.87,63.58,62.76,62.89,13452300,0.0,0.0
2025-02-25,63.41,63.44,62.15,63.08,22100100,0.0,0.0
2025-02-24,63.24,63.39,61.98,62.07,17287500,0.0,0.0
2025-02-21,63.48,63.76,62.7,62.8,18905800,0.0,0.0
2025-02-20,63.76,64.02,63.08,63.47,14836600,0.0,0.0
2025-02-19,63.33,63.76,63.1,63.64,14164100,0.0,0.0
2025-02-18,64.09,65.02,63.24,63.4,22047500,0.0,0.0
2025-02-14,62.61,63.87,62.27,63.67,23693300,0.0,0.0
2025-02-13,64.88,65.27,61.56,62.66,43257700,0.0,0.0
2025-02-12,60.3,61.4,60.07,61.37,30116300,0.0,0.0
2025-02-11,61.37,61.64,61.03,61.28,17702500,0.0,0.0
2025-02-10,61.95,61.98,61.23,61.65,15816200,0.0,0.0
2025-02-07,61.58,62.08,61.06,61.12,23861000,0.0,0.0
2025-02-06,61.66,61.75,60.92,61.12,15521800,0.0,0.0
2025-02-05,60.31,61.55,60.17,61.41,18997400,0.0,0.0
2025-02-04,59.71,60.45,59.61,60.21,12742700,0.0,0.0
2025-02-03,59.08,60.13,58.45,59.91,20375700,0.0,0.0
2025-01-31,59.41,60.06,59.34,59.48,16554200,0.0,0.0
2025-01-30,59.35,59.95,59.14,59.35,17079000,0.0,0.0
2025-01-29,58.84,59.42,58.41,58.45,17925300,0.0,0.0
2025-01-28,57.93,58.46,57.83,58.33,25473300,0.0,0.0
2025-01-27,60.25,60.32,57.67,57.99,33730300,0.0,0.0
2025-01-24,60.91,61.14,60.72,61.08,17232900,0.0,0.0
2025-01-23,60.66,61.17,60.24,61.08,14212000,0.0,0.0
2025-01-22,59.91,60.62,59.86,60.49,19436600,0.0,0.0
2025-01-21,59.35,60.2,59.17,59.9,18623800,0.0,0.0
2025-01-17,59.64,59.82,59.09,59.12,23876400,0.0,0.0
2025-01-16,59.07,59.33,58.67,58.71,18445700,0.0,0.0
2025-01-15,58.75,59.22,58.49,58.87,19185100,0.0,0.0
2025-01-14,57.88,58.24,57.66,58.23,16715500,0.0,0.0
2025-01-13,57.83,57.84,57.09,57.67,19340700,0.0,0.0
2025-01-10,57.7,57.97,57.46,57.65,17274500,0.0,0.0
2025-01-08,57.8,58.14,57.19,58.1,14400300,0.0,0.0
2025-01-07,57.88,58.15,57.57,57.84,16863800,0.0,0.0
