Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,5.17,5.18,4.68,4.72,660300,0.0,0.0
2025-10-09,5.25,5.31,5.13,5.16,319800,0.0,0.0
2025-10-08,5.13,5.32,4.76,5.28,783000,0.0,0.0
2025-10-07,5.2,5.38,5.06,5.08,511400,0.0,0.0
2025-10-06,5.2,5.3,5.08,5.19,419300,0.0,0.0
2025-10-03,5.21,5.34,5.02,5.13,431700,0.0,0.0
2025-10-02,5.15,5.18,4.95,5.14,478100,0.0,0.0
2025-10-01,5.26,5.38,5.07,5.14,449500,0.0,0.0
2025-09-30,5.39,5.48,5.24,5.3,298100,0.0,0.0
2025-09-29,5.4,5.51,5.23,5.41,482700,0.0,0.0
2025-09-26,5.2,5.37,5.14,5.35,357400,0.0,0.0
2025-09-25,5.18,5.3,5.12,5.18,396600,0.0,0.0
2025-09-24,5.1,5.25,5.03,5.21,501800,0.0,0.0
2025-09-23,5.17,5.41,5.09,5.11,864900,0.0,0.0
2025-09-22,5.22,5.47,5.15,5.16,616600,0.0,0.0
2025-09-19,4.9,5.28,4.88,5.27,1170500,0.0,0.0
2025-09-18,4.68,4.99,4.68,4.92,513500,0.0,0.0
2025-09-17,4.8,4.84,4.62,4.64,321000,0.0,0.0
2025-09-16,4.79,4.92,4.7,4.8,491000,0.0,0.0
2025-09-15,4.85,4.86,4.57,4.8,623100,0.0,0.0
2025-09-12,4.47,4.86,4.44,4.85,826800,0.0,0.0
2025-09-11,4.46,4.51,4.38,4.5,563700,0.0,0.0
2025-09-10,4.45,4.49,4.3,4.46,442400,0.0,0.0
2025-09-09,4.56,4.59,4.33,4.42,364700,0.0,0.0
2025-09-08,4.6,4.7,4.5,4.57,876800,0.0,0.0
2025-09-05,4.54,4.67,4.45,4.57,605300,0.08,0.0
2025-09-04,4.41,4.55,4.36,4.5,569000,0.0,0.0
2025-09-03,4.4,4.48,4.32,4.41,443200,0.0,0.0
2025-09-02,4.48,4.58,4.27,4.38,718500,0.0,0.0
2025-08-29,4.32,4.58,4.16,4.5,1332500,0.0,0.0
2025-08-28,4.27,4.35,4.24,4.32,404400,0.0,0.0
2025-08-27,4.36,4.37,4.25,4.29,302700,0.0,0.0
2025-08-26,4.32,4.37,4.26,4.36,412900,0.0,0.0
2025-08-25,4.3,4.38,4.22,4.33,755100,0.0,0.0
2025-08-22,4.1,4.33,4.04,4.3,676000,0.0,0.0
2025-08-21,4.15,4.16,4.02,4.07,349400,0.0,0.0
2025-08-20,4.0,4.22,3.85,4.19,655100,0.0,0.0
2025-08-19,4.15,4.19,3.9,3.98,708500,0.0,0.0
2025-08-18,4.11,4.26,4.01,4.14,746500,0.0,0.0
2025-08-15,4.13,4.13,3.88,3.96,772900,0.0,0.0
2025-08-14,4.03,4.26,3.97,4.15,862700,0.0,0.0
2025-08-13,3.95,4.07,3.82,4.04,1800000,0.0,0.0
2025-08-12,4.03,4.03,3.84,3.98,675900,0.0,0.0
2025-08-11,4.47,4.47,4.01,4.07,799300,0.0,0.0
2025-08-08,4.18,4.58,4.14,4.34,972000,0.0,0.0
2025-08-07,4.26,4.28,4.08,4.18,836000,0.0,0.0
2025-08-06,5.17,5.19,4.03,4.17,2064900,0.0,0.0
2025-08-05,4.84,4.87,4.52,4.63,830700,0.0,0.0
