Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,150.7,151.35,148.89,148.9,7791200,0.0,0.0
2025-10-09,154.13,154.97,151.56,151.64,6178600,0.0,0.0
2025-10-08,154.36,154.68,152.84,153.74,5678000,0.0,0.0
2025-10-07,153.65,154.96,151.28,154.91,5479600,0.0,0.0
2025-10-06,153.97,154.65,152.92,154.02,4778900,0.0,0.0
2025-10-03,153.58,154.28,152.23,153.55,7249300,0.0,0.0
2025-10-02,153.96,156.6,153.32,153.37,7562400,0.0,0.0
2025-10-01,154.83,155.09,153.19,154.58,6768400,0.0,0.0
2025-09-30,154.89,155.73,153.93,155.29,7755700,0.0,0.0
2025-09-29,159.13,159.13,155.56,156.1,8315100,0.0,0.0
2025-09-26,160.57,161.3,159.51,160.16,7015200,0.0,0.0
2025-09-25,159.44,161.01,159.35,160.72,6311000,0.0,0.0
2025-09-24,158.32,160.49,158.25,159.18,6285200,0.0,0.0
2025-09-23,157.12,159.83,156.99,157.42,7181400,0.0,0.0
2025-09-22,155.62,157.12,155.15,156.05,5244000,0.0,0.0
2025-09-19,159.0,159.0,155.55,156.21,16734000,0.0,0.0
2025-09-18,160.03,160.29,158.09,158.84,6244200,0.0,0.0
2025-09-17,159.2,160.67,158.61,160.09,5736800,0.0,0.0
2025-09-16,158.25,160.1,158.12,159.54,8011000,0.0,0.0
2025-09-15,157.38,158.32,156.5,157.31,5030500,0.0,0.0
2025-09-12,158.85,159.78,157.1,157.11,5546300,0.0,0.0
2025-09-11,156.5,158.92,156.01,158.25,6417400,0.0,0.0
2025-09-10,155.05,157.92,155.0,157.79,7440800,0.0,0.0
2025-09-09,154.91,156.99,154.6,154.85,7769200,0.0,0.0
2025-09-08,153.91,155.03,152.88,154.0,9462000,0.0,0.0
2025-09-05,156.06,156.72,153.49,153.66,11011700,0.0,0.0
2025-09-04,158.06,159.65,157.5,157.69,7243000,0.0,0.0
2025-09-03,160.0,161.85,157.02,158.06,9556100,0.0,0.0
2025-09-02,160.48,161.86,159.38,161.83,8947300,0.0,0.0
2025-08-29,159.7,161.1,159.45,160.6,6934800,0.0,0.0
2025-08-28,159.01,159.52,157.85,159.32,6502000,0.0,0.0
2025-08-27,157.4,159.99,157.21,159.24,7483000,0.0,0.0
2025-08-26,157.51,160.0,156.55,157.36,10270000,0.0,0.0
2025-08-25,157.9,158.32,157.17,158.2,7030000,0.0,0.0
2025-08-22,155.32,158.79,155.32,158.18,9084300,0.0,0.0
2025-08-21,152.82,155.67,152.73,155.55,7533600,0.0,0.0
2025-08-20,152.42,153.49,151.93,153.22,8076300,0.0,0.0
2025-08-19,153.46,153.94,151.85,152.0,8567500,1.71,0.0
2025-08-18,154.41,154.77,153.05,153.61,8174300,0.0,0.0
2025-08-15,153.77,156.79,153.58,154.83,11617000,0.0,0.0
2025-08-14,153.99,153.99,152.4,153.45,7337300,0.0,0.0
2025-08-13,152.87,154.29,152.5,154.15,6581900,0.0,0.0
2025-08-12,152.39,154.33,151.67,152.74,6641600,0.0,0.0
2025-08-11,153.63,154.21,151.31,151.76,6169700,0.0,0.0
2025-08-08,152.29,154.04,151.81,153.3,6332800,0.0,0.0
2025-08-07,152.1,153.44,151.15,151.47,6510400,0.0,0.0
2025-08-06,152.78,153.45,150.54,151.1,7840900,0.0,0.0
2025-08-05,149.37,151.41,148.25,151.36,8604100,0.0,0.0
2025-08-04,149.58,150.41,148.17,149.38,10116600,0.0,0.0
2025-08-01,150.86,152.95,148.69,149.73,10706500,0.0,0.0
2025-07-31,150.33,152.24,149.48,149.97,10237100,0.0,0.0
2025-07-30,154.42,154.59,151.02,151.87,9191700,0.0,0.0
2025-07-29,154.96,155.48,153.74,155.3,6446000,0.0,0.0
2025-07-28,153.69,154.83,153.24,154.56,8755400,0.0,0.0
2025-07-25,154.11,154.48,152.26,153.14,7875500,0.0,0.0
2025-07-24,151.01,154.28,150.52,154.11,15701000,0.0,0.0
2025-07-23,149.25,151.45,148.81,151.43,13162800,0.0,0.0
2025-07-22,147.62,149.28,146.85,148.39,26196500,0.0,0.0
2025-07-21,149.54,150.0,147.49,148.03,17982200,0.0,0.0
2025-07-18,153.31,154.19,144.92,148.39,45782600,0.0,0.0
2025-07-17,147.52,150.17,146.96,149.71,8359600,0.0,0.0
2025-07-16,149.1,149.81,147.58,148.27,7923400,0.0,0.0
2025-07-15,149.93,150.63,148.6,149.03,7346300,0.0,0.0
2025-07-14,153.19,153.19,149.48,149.98,10706300,0.0,0.0
2025-07-11,152.59,154.17,151.88,153.6,8333200,0.0,0.0
2025-07-10,151.11,153.57,150.01,152.47,8395100,0.0,0.0
2025-07-09,151.26,152.26,150.8,151.34,9495900,0.0,0.0
2025-07-08,145.7,151.55,145.64,151.55,14082100,0.0,0.0
2025-07-07,145.78,146.54,143.98,145.78,9460900,0.0,0.0
2025-07-03,146.21,147.34,145.74,146.74,5173300,0.0,0.0
2025-07-02,145.39,146.38,143.87,146.35,8228700,0.0,0.0
2025-07-01,141.76,144.66,140.94,143.97,8508200,0.0,0.0
2025-06-30,141.47,142.51,140.83,141.61,6980300,0.0,0.0
2025-06-27,142.96,143.08,141.0,142.21,9213500,0.0,0.0
2025-06-26,142.12,143.48,141.82,142.85,7415700,0.0,0.0
2025-06-25,141.83,142.61,140.94,141.65,7386100,0.0,0.0
2025-06-24,142.95,144.78,141.58,141.97,10778400,0.0,0.0
2025-06-23,150.45,150.47,144.71,145.24,10540600,0.0,0.0
2025-06-20,146.88,148.25,146.27,147.9,23705900,0.0,0.0
2025-06-18,147.79,148.52,146.07,146.56,9841900,0.0,0.0
2025-06-17,145.71,148.33,144.89,147.21,11330300,0.0,0.0
2025-06-16,144.13,145.25,142.16,144.42,10105100,0.0,0.0
2025-06-13,145.46,145.98,142.95,144.3,14148000,0.0,0.0
2025-06-12,142.91,143.6,141.85,143.37,6999400,0.0,0.0
2025-06-11,142.6,143.52,141.04,143.19,9256700,0.0,0.0
2025-06-10,140.65,143.34,140.35,141.77,9841500,0.0,0.0
2025-06-09,139.0,140.58,138.15,139.21,7159500,0.0,0.0
2025-06-06,136.57,139.06,136.57,138.67,6563500,0.0,0.0
2025-06-05,136.63,136.77,135.19,135.39,6342600,0.0,0.0
2025-06-04,137.89,139.08,135.82,135.86,8735600,0.0,0.0
2025-06-03,136.13,139.04,135.1,138.01,9001300,0.0,0.0
2025-06-02,136.97,137.16,134.93,136.32,9076600,0.0,0.0
2025-05-30,135.37,135.94,133.72,135.19,12858900,0.0,0.0
2025-05-29,135.0,136.42,134.6,136.39,7554300,0.0,0.0
2025-05-28,137.25,137.26,134.17,134.52,6876300,0.0,0.0
2025-05-27,135.87,136.45,134.91,136.31,8348900,0.0,0.0
2025-05-23,132.91,135.28,132.58,135.04,7025900,0.0,0.0
2025-05-22,133.5,134.49,132.3,133.8,8877600,0.0,0.0
2025-05-21,135.12,135.62,134.0,134.07,9073200,0.0,0.0
2025-05-20,136.77,137.22,135.52,135.76,6503900,0.0,0.0
2025-05-19,137.93,137.98,135.61,136.97,7713600,1.71,0.0
2025-05-16,139.43,139.72,137.48,138.84,8200100,0.0,0.0
2025-05-15,136.79,139.2,136.31,139.0,7545400,0.0,0.0
2025-05-14,138.51,138.97,137.51,138.42,6453600,0.0,0.0
2025-05-13,138.29,139.95,137.69,139.09,8536800,0.0,0.0
2025-05-12,139.19,140.42,137.35,138.38,8028200,0.0,0.0
2025-05-09,135.72,136.18,134.55,135.32,5965700,0.0,0.0
2025-05-08,133.56,135.71,133.34,133.9,8669300,0.0,0.0
2025-05-07,132.95,133.18,131.54,132.68,8422100,0.0,0.0
2025-05-06,133.23,134.16,131.95,132.49,9916200,0.0,0.0
2025-05-05,133.64,133.86,132.08,132.4,9665000,0.0,0.0
2025-05-02,134.72,136.58,132.19,135.33,12393200,0.0,0.0
2025-05-01,132.32,134.79,132.02,133.14,10199800,0.0,0.0
2025-04-30,134.84,134.98,131.07,132.94,13858000,0.0,0.0
2025-04-29,135.51,136.8,135.4,136.11,7343800,0.0,0.0
2025-04-28,135.79,137.24,135.5,136.89,6715500,0.0,0.0
2025-04-25,135.16,135.86,134.11,135.55,6878500,0.0,0.0
2025-04-24,134.76,136.21,134.08,135.88,7745800,0.0,0.0
2025-04-23,134.07,135.38,132.05,133.55,10002000,0.0,0.0
2025-04-22,132.16,135.07,131.85,134.15,7984700,0.0,0.0
2025-04-21,132.9,133.17,129.3,130.67,9967500,0.0,0.0
2025-04-17,133.56,137.03,133.32,134.71,8434400,0.0,0.0
2025-04-16,132.3,134.4,131.71,132.26,8637200,0.0,0.0
2025-04-15,131.24,133.5,131.17,131.46,9334800,0.0,0.0
2025-04-14,135.31,135.37,131.03,132.22,9628200,0.0,0.0
2025-04-11,131.92,133.98,129.01,132.52,17224400,0.0,0.0
2025-04-10,139.94,140.34,130.39,131.89,20991200,0.0,0.0
2025-04-09,131.93,144.09,130.81,142.68,16846800,0.0,0.0
2025-04-08,140.85,141.18,131.78,133.79,12904400,0.0,0.0
2025-04-07,135.55,142.84,134.14,136.94,17817000,0.0,0.0
2025-04-04,148.28,148.97,139.48,140.0,20374700,0.0,0.0
2025-04-03,156.45,157.65,152.23,152.54,15501000,0.0,0.0
2025-04-02,163.56,164.13,162.05,162.66,7044900,0.0,0.0
2025-04-01,163.46,164.74,162.35,164.65,6378600,0.0,0.0
2025-03-31,162.38,165.05,162.32,163.46,10675300,0.0,0.0
2025-03-28,162.88,163.3,161.51,162.28,4923000,0.0,0.0
2025-03-27,163.42,164.37,162.05,162.83,6862700,0.0,0.0
2025-03-26,163.54,165.09,163.42,164.12,10076100,0.0,0.0
2025-03-25,162.27,163.98,161.33,162.14,7869200,0.0,0.0
2025-03-24,160.92,162.62,160.56,161.24,8068000,0.0,0.0
2025-03-21,160.72,161.11,159.37,160.98,21625500,0.0,0.0
2025-03-20,159.39,161.52,158.69,160.99,9545900,0.0,0.0
2025-03-19,157.28,160.77,157.21,160.29,11503900,0.0,0.0
2025-03-18,156.08,157.4,155.18,157.13,9289500,0.0,0.0
2025-03-17,153.62,155.8,153.17,155.08,7615200,0.0,0.0
2025-03-14,150.46,153.64,149.5,153.42,6671500,0.0,0.0
2025-03-13,148.77,150.89,148.44,150.09,9022800,0.0,0.0
2025-03-12,150.12,151.24,148.73,149.17,9710200,0.0,0.0
2025-03-11,154.8,155.2,150.27,150.55,10466300,0.0,0.0
2025-03-10,153.59,156.7,152.59,153.96,11750300,0.0,0.0
2025-03-07,150.42,153.84,150.19,152.76,8562600,0.0,0.0
2025-03-06,147.06,149.82,146.05,149.45,7314700,0.0,0.0
2025-03-05,146.71,147.9,144.36,147.35,9288300,0.0,0.0
2025-03-04,147.75,150.62,146.61,148.52,8826300,0.0,0.0
2025-03-03,155.81,156.42,148.28,149.58,9059800,0.0,0.0
2025-02-28,153.11,155.03,151.37,154.99,8828500,0.0,0.0
2025-02-27,152.12,154.66,151.26,153.08,7517200,0.0,0.0
2025-02-26,153.03,153.1,150.86,151.59,6005200,0.0,0.0
2025-02-25,154.37,155.35,151.9,152.84,6810900,0.0,0.0
2025-02-24,153.49,154.7,153.16,154.27,5925000,0.0,0.0
2025-02-21,154.51,155.31,153.23,153.32,6689800,0.0,0.0
2025-02-20,153.89,155.31,153.47,155.15,6256200,0.0,0.0
2025-02-19,152.93,154.73,152.43,153.63,4945800,0.0,0.0
2025-02-18,151.78,153.71,151.23,152.58,5981500,0.0,0.0
2025-02-14,151.53,153.84,151.33,151.78,5828800,1.71,0.0
2025-02-13,149.57,151.16,148.16,150.64,7836400,0.0,0.0
2025-02-12,151.48,152.17,149.37,149.69,6693500,0.0,0.0
2025-02-11,151.09,153.37,150.87,152.15,6011800,0.0,0.0
2025-02-10,149.1,150.56,148.88,150.53,5653800,0.0,0.0
2025-02-07,147.35,148.64,146.81,147.49,4724900,0.0,0.0
2025-02-06,149.03,150.04,145.98,146.79,6420500,0.0,0.0
2025-02-05,147.85,148.63,147.17,147.85,6533700,0.0,0.0
2025-02-04,143.72,148.23,143.72,148.07,8458100,0.0,0.0
2025-02-03,143.99,145.79,142.83,144.32,7605000,0.0,0.0
2025-01-31,148.59,149.18,143.65,144.17,16726800,0.0,0.0
2025-01-30,151.29,152.16,150.29,151.06,6931900,0.0,0.0
2025-01-29,150.48,151.31,149.6,150.45,5630600,0.0,0.0
2025-01-28,152.41,153.58,149.96,150.96,6425400,0.0,0.0
2025-01-27,151.07,152.58,150.29,151.94,7141000,0.0,0.0
2025-01-24,151.2,152.17,150.05,150.42,8003800,0.0,0.0
2025-01-23,152.33,152.63,150.39,150.76,5979800,0.0,0.0
2025-01-22,152.38,153.11,151.01,151.15,7232200,0.0,0.0
2025-01-21,155.73,155.97,152.19,152.92,10131400,0.0,0.0
2025-01-17,153.78,156.33,153.46,156.04,9260400,0.0,0.0
2025-01-16,152.72,154.52,152.72,154.02,5578900,0.0,0.0
2025-01-15,151.6,153.35,151.12,153.01,7900000,0.0,0.0
2025-01-14,149.99,151.63,149.27,151.62,6830200,0.0,0.0
2025-01-13,148.92,152.06,148.82,150.13,11774100,0.0,0.0
2025-01-10,148.25,149.15,145.8,147.99,11074700,0.0,0.0
2025-01-08,143.06,146.1,143.05,145.25,7640900,0.0,0.0
2025-01-07,143.52,145.44,142.67,144.56,7736000,0.0,0.0
2025-01-06,143.41,145.27,141.93,142.31,5888700,0.0,0.0
2025-01-03,142.58,143.51,142.35,142.88,5809000,0.0,0.0
2025-01-02,140.59,143.09,140.59,141.78,7170300,0.0,0.0
2024-12-31,138.69,140.45,138.5,139.97,6137800,0.0,0.0
2024-12-30,138.95,139.14,137.56,138.26,6194800,0.0,0.0
2024-12-27,139.44,140.81,138.57,139.16,5296500,0.0,0.0
2024-12-26,138.84,139.46,138.09,139.14,4492600,0.0,0.0
2024-12-24,138.29,139.2,137.48,139.0,3556100,0.0,0.0
2024-12-23,137.69,138.53,136.78,138.16,8156500,0.0,0.0
2024-12-20,136.08,138.05,135.82,138.05,32209200,0.0,0.0
2024-12-19,139.71,139.89,136.21,136.4,16544300,0.0,0.0
2024-12-18,142.79,143.67,139.14,139.23,10174500,0.0,0.0
2024-12-17,143.02,143.65,141.97,143.13,11909300,0.0,0.0
2024-12-16,148.71,148.71,144.23,144.34,11961200,0.0,0.0
2024-12-13,149.66,149.75,147.92,148.7,5816200,0.0,0.0
2024-12-12,150.63,151.27,149.08,149.51,7621500,0.0,0.0
2024-12-11,151.58,151.88,150.56,150.96,13764700,0.0,0.0
2024-12-10,153.71,154.16,151.43,151.72,9126200,0.0,0.0
2024-12-09,151.72,154.7,151.55,151.8,9404500,0.0,0.0
2024-12-06,153.41,153.49,149.95,150.02,9701700,0.0,0.0
2024-12-05,153.93,155.27,153.35,153.97,6358400,0.0,0.0
2024-12-04,156.39,156.4,152.55,153.0,7862700,0.0,0.0
2024-12-03,157.5,157.71,155.96,156.47,5900100,0.0,0.0
2024-12-02,156.83,157.47,154.73,156.75,6229600,0.0,0.0
2024-11-29,156.79,157.28,155.26,156.48,5077000,0.0,0.0
2024-11-27,157.29,159.14,156.18,156.66,7674500,0.0,0.0
2024-11-26,156.85,157.46,155.97,157.06,7369500,0.0,0.0
2024-11-25,156.7,157.68,154.46,154.97,10702400,0.0,0.0
2024-11-22,156.08,157.14,155.73,156.9,7005900,0.0,0.0
2024-11-21,156.57,157.18,155.87,156.19,7945200,0.0,0.0
2024-11-20,154.53,156.01,154.41,155.9,6391300,0.0,0.0
2024-11-19,154.6,155.03,153.41,154.23,4657400,0.0,0.0
2024-11-18,155.16,156.09,153.72,155.35,6075400,1.63,0.0
2024-11-15,154.51,155.33,153.78,154.42,9022800,0.0,0.0
2024-11-14,152.9,154.81,152.75,154.78,10111200,0.0,0.0
2024-11-13,149.3,152.12,147.83,151.83,8824000,0.0,0.0
2024-11-12,150.48,150.64,148.39,148.55,5681900,0.0,0.0
2024-11-11,150.32,151.09,149.14,149.71,7771700,0.0,0.0
2024-11-08,149.81,150.74,148.92,150.12,6041500,0.0,0.0
2024-11-07,151.09,151.15,149.61,149.97,8143200,0.0,0.0
2024-11-06,150.28,151.73,149.35,150.88,12118900,0.0,0.0
2024-11-05,147.83,147.96,145.93,146.75,5978900,0.0,0.0
2024-11-04,147.72,147.72,146.0,147.29,6130000,0.0,0.0
2024-11-01,145.86,149.16,145.12,146.43,11728000,0.0,0.0
2024-10-31,142.31,143.08,141.47,142.36,8400900,0.0,0.0
2024-10-30,142.61,143.16,141.25,141.63,5784000,0.0,0.0
2024-10-29,143.53,143.89,141.45,142.08,6014700,0.0,0.0
2024-10-28,141.82,144.16,141.73,144.01,8892000,0.0,0.0
2024-10-25,144.82,145.52,143.93,144.27,6839900,0.0,0.0
2024-10-24,144.57,144.88,142.9,143.92,5474300,0.0,0.0
2024-10-23,143.84,144.45,142.81,143.95,5248600,0.0,0.0
2024-10-22,144.69,145.1,143.7,144.37,4416400,0.0,0.0
2024-10-21,145.41,145.86,143.96,144.33,5074000,0.0,0.0
2024-10-18,144.28,144.53,142.9,144.21,5208200,0.0,0.0
2024-10-17,142.78,144.76,142.51,144.64,6593100,0.0,0.0
2024-10-16,141.91,142.56,141.78,142.28,4303700,0.0,0.0
2024-10-15,142.34,143.45,141.16,141.32,6704600,0.0,0.0
2024-10-14,143.99,145.31,143.66,145.19,4214700,0.0,0.0
2024-10-11,143.86,145.72,143.73,144.85,5051300,0.0,0.0
2024-10-10,144.14,144.97,143.35,144.08,4420900,0.0,0.0
2024-10-09,141.11,143.85,140.97,143.16,4973500,0.0,0.0
2024-10-08,142.73,143.11,141.32,142.3,5892700,0.0,0.0
2024-10-07,144.93,146.12,144.15,144.56,5895900,0.0,0.0
2024-10-04,145.86,145.88,143.63,144.2,7892400,0.0,0.0
2024-10-03,144.75,145.57,143.51,144.69,6553300,0.0,0.0
2024-10-02,145.1,145.67,142.78,144.4,8105400,0.0,0.0
2024-10-01,140.0,143.99,139.14,143.2,9489100,0.0,0.0
2024-09-30,139.06,141.08,138.02,140.88,7491700,0.0,0.0
2024-09-27,136.78,139.45,136.64,139.18,8049200,0.0,0.0
2024-09-26,134.79,137.01,134.53,135.83,8046200,0.0,0.0
2024-09-25,140.57,141.01,137.27,137.72,7888400,0.0,0.0
2024-09-24,142.42,142.63,140.54,141.05,6014200,0.0,0.0
2024-09-23,139.9,141.98,139.62,141.14,6960600,0.0,0.0
2024-09-20,138.93,139.58,137.22,139.36,23162900,0.0,0.0
2024-09-19,139.48,140.41,138.64,138.7,7247400,0.0,0.0
2024-09-18,137.1,139.28,136.98,137.71,6180300,0.0,0.0
2024-09-17,135.65,137.89,135.59,137.19,7338800,0.0,0.0
2024-09-16,135.54,136.96,134.95,135.93,6864300,0.0,0.0
2024-09-13,133.8,135.39,133.65,134.51,5900700,0.0,0.0
2024-09-12,132.23,133.42,131.46,133.17,6591500,0.0,0.0
2024-09-11,132.21,132.47,129.5,131.9,9534000,0.0,0.0
2024-09-10,134.79,134.96,131.14,132.23,8202500,0.0,0.0
2024-09-09,132.62,135.86,132.53,134.21,9892300,0.0,0.0
2024-09-06,134.95,135.94,131.89,132.55,7836400,0.0,0.0
2024-09-05,136.96,136.96,134.5,134.82,9371100,0.0,0.0
2024-09-04,138.36,139.22,135.52,135.91,9820700,0.0,0.0
2024-09-03,139.23,139.45,138.02,138.38,7944700,0.0,0.0
2024-08-30,139.88,141.66,139.38,141.53,6414800,0.0,0.0
2024-08-29,140.11,141.75,139.13,141.02,4466700,0.0,0.0
2024-08-28,140.09,140.76,139.17,139.67,5614400,0.0,0.0
2024-08-27,142.22,143.06,140.37,140.57,5100000,0.0,0.0
2024-08-26,142.51,143.58,141.15,142.06,5780300,0.0,0.0
2024-08-23,140.17,141.66,139.97,141.22,4824100,0.0,0.0
2024-08-22,139.04,139.98,138.83,139.41,4027000,0.0,0.0
2024-08-21,139.12,140.28,138.28,139.01,5985000,0.0,0.0
2024-08-20,139.98,140.15,138.29,138.41,7497600,0.0,0.0
2024-08-19,139.67,141.32,139.56,140.46,5967400,1.63,0.0
2024-08-16,138.17,139.65,137.78,139.32,6874400,0.0,0.0
2024-08-15,137.73,139.56,137.63,138.88,6304200,0.0,0.0
2024-08-14,136.6,137.4,135.69,136.86,5874200,0.0,0.0
2024-08-13,136.3,136.75,135.33,136.37,7794800,0.0,0.0
2024-08-12,137.97,138.82,132.15,137.19,8442200,0.0,0.0
2024-08-09,136.43,138.22,135.46,137.16,7653100,0.0,0.0
2024-08-08,135.35,137.0,135.01,136.69,7531100,0.0,0.0
2024-08-07,136.78,137.86,134.6,134.72,8867900,0.0,0.0
2024-08-06,136.69,137.26,135.4,135.5,9692700,0.0,0.0
2024-08-05,137.67,137.9,135.67,136.85,13037200,0.0,0.0
2024-08-02,142.97,143.83,139.08,140.53,13278600,0.0,0.0
2024-08-01,150.14,150.89,143.82,144.38,16689900,0.0,0.0
2024-07-31,152.96,152.96,151.41,151.81,6209200,0.0,0.0
2024-07-30,148.02,151.45,148.0,150.96,5740900,0.0,0.0
2024-07-29,149.71,149.71,146.5,148.15,5072000,0.0,0.0
2024-07-26,149.22,150.46,148.58,149.32,5232500,0.0,0.0
2024-07-25,146.98,149.72,146.27,149.04,5432100,0.0,0.0
2024-07-24,146.34,147.3,145.14,146.7,5971700,0.0,0.0
2024-07-23,147.91,148.15,145.54,145.77,6238700,0.0,0.0
2024-07-22,149.68,150.4,148.38,148.52,5577300,0.0,0.0
2024-07-19,153.71,153.92,149.86,150.56,6427700,0.0,0.0
2024-07-18,152.53,155.41,151.59,153.23,6577700,0.0,0.0
2024-07-17,149.94,152.76,149.75,152.53,7296600,0.0,0.0
2024-07-16,148.54,149.77,147.72,149.25,6924200,0.0,0.0
2024-07-15,148.48,150.91,147.93,149.51,5661200,0.0,0.0
2024-07-12,147.73,148.0,146.22,147.19,6446300,0.0,0.0
2024-07-11,146.63,148.22,145.9,146.88,8322500,0.0,0.0
2024-07-10,144.27,147.05,144.08,146.76,5416600,0.0,0.0
2024-07-09,144.74,146.41,144.13,144.72,5301600,0.0,0.0
2024-07-08,145.04,146.9,145.04,146.0,4990700,0.0,0.0
2024-07-05,148.1,148.1,145.39,145.98,6183100,0.0,0.0
2024-07-03,148.47,149.23,148.11,148.25,3264200,0.0,0.0
2024-07-02,149.17,149.21,147.06,148.29,7216800,0.0,0.0
2024-07-01,148.68,150.13,147.56,148.07,5584100,0.0,0.0
2024-06-28,149.02,150.02,147.74,147.98,11283400,0.0,0.0
2024-06-27,148.24,148.47,147.24,147.88,5568700,0.0,0.0
2024-06-26,149.91,149.91,147.38,147.53,8637800,0.0,0.0
2024-06-25,150.53,150.76,149.16,149.91,5985400,0.0,0.0
2024-06-24,147.84,150.93,147.76,150.71,7971600,0.0,0.0
2024-06-21,148.34,149.16,146.84,146.9,21289800,0.0,0.0
2024-06-20,145.41,148.91,144.98,148.19,8336000,0.0,0.0
2024-06-18,145.26,147.53,144.59,145.05,6942900,0.0,0.0
2024-06-17,144.27,145.62,143.73,144.92,6321400,0.0,0.0
2024-06-14,144.86,145.02,143.77,144.33,6159100,0.0,0.0
2024-06-13,145.47,145.77,144.01,144.59,6163000,0.0,0.0
2024-06-12,148.99,149.12,144.17,145.9,10017400,0.0,0.0
2024-06-11,147.74,148.29,146.14,148.04,5132000,0.0,0.0
2024-06-10,147.97,149.66,147.88,148.28,7074700,0.0,0.0
2024-06-07,147.31,149.18,146.76,147.66,5887700,0.0,0.0
2024-06-06,146.16,147.6,145.11,147.51,5215100,0.0,0.0
2024-06-05,147.73,148.54,146.19,146.61,7058500,0.0,0.0
2024-06-04,147.31,147.91,145.79,147.7,6360500,0.0,0.0
2024-06-03,152.77,152.95,148.01,148.96,9009900,0.0,0.0
2024-05-31,150.07,153.8,149.95,153.54,10334200,0.0,0.0
2024-05-30,148.38,149.91,148.35,149.72,6369600,0.0,0.0
2024-05-29,149.49,149.94,148.0,148.43,5909600,0.0,0.0
2024-05-28,149.59,150.82,149.42,150.46,6928300,0.0,0.0
2024-05-24,149.55,150.39,148.81,149.24,4477700,0.0,0.0
2024-05-23,149.4,150.04,147.89,148.47,6718400,0.0,0.0
2024-05-22,150.91,150.91,148.07,149.07,6260500,0.0,0.0
2024-05-21,151.91,152.75,151.12,151.34,4783300,0.0,0.0
2024-05-20,153.94,154.2,152.38,152.44,4913800,0.0,0.0
2024-05-17,153.02,154.17,152.49,153.89,5497900,0.0,0.0
2024-05-16,152.81,153.26,151.82,152.4,6409400,1.63,0.0
2024-05-15,152.78,153.41,150.01,152.71,7603100,0.0,0.0
2024-05-14,153.92,154.72,152.68,153.23,4924000,0.0,0.0
2024-05-13,155.92,156.32,152.64,154.09,6848300,0.0,0.0
2024-05-10,155.51,155.86,154.55,155.3,5490900,0.0,0.0
2024-05-09,152.68,155.01,152.41,154.96,6683300,0.0,0.0
2024-05-08,151.68,152.74,151.29,152.23,6706400,0.0,0.0
2024-05-07,152.01,152.8,151.74,152.35,6869900,0.0,0.0
2024-05-06,150.53,153.62,150.53,152.0,8430300,0.0,0.0
2024-05-03,150.47,150.47,147.08,150.08,11664500,0.0,0.0
2024-05-02,150.23,151.52,149.75,150.53,8597100,0.0,0.0
2024-05-01,150.58,151.21,148.82,149.5,7713700,0.0,0.0
2024-04-30,155.44,155.58,150.74,151.04,8457300,0.0,0.0
2024-04-29,155.39,156.51,154.24,155.78,6364000,0.0,0.0
2024-04-26,154.75,156.39,152.94,155.37,9736400,0.0,0.0
2024-04-25,153.32,155.1,152.35,154.8,9702600,0.0,0.0
2024-04-24,151.61,153.45,151.21,153.19,7610300,0.0,0.0
2024-04-23,151.08,152.52,150.41,152.52,5597600,0.0,0.0
2024-04-22,149.8,152.38,148.39,151.65,6779200,0.0,0.0
2024-04-19,148.68,150.55,148.12,149.85,7734700,0.0,0.0
2024-04-18,147.17,148.02,146.47,147.57,4979200,0.0,0.0
2024-04-17,146.1,147.71,145.77,146.48,6733900,0.0,0.0
2024-04-16,147.32,147.8,145.56,146.37,5541900,0.0,0.0
2024-04-15,149.79,150.31,147.38,147.59,7236900,0.0,0.0
2024-04-12,152.0,153.48,148.02,148.88,11071000,0.0,0.0
2024-04-11,153.24,153.24,149.66,151.62,7682500,0.0,0.0
2024-04-10,151.92,152.45,150.8,152.35,7525800,0.0,0.0
2024-04-09,151.58,152.22,150.28,151.72,6576200,0.0,0.0
