Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,18.65,18.96,18.02,18.13,2686700,0.0,0.0
2025-10-09,18.55,18.55,17.74,18.37,2462800,0.0,0.0
2025-10-08,18.75,18.96,18.56,18.59,2400700,0.0,0.0
2025-10-07,19.43,19.47,18.59,18.63,3543400,0.0,0.0
2025-10-06,20.09,20.22,19.52,19.53,1801200,0.0,0.0
2025-10-03,20.05,20.24,19.79,19.93,1680100,0.0,0.0
2025-10-02,19.94,20.13,19.85,20.01,1356300,0.0,0.0
2025-10-01,19.91,20.04,19.56,19.85,1835700,0.0,0.0
2025-09-30,19.88,20.08,19.67,20.04,1428200,0.0,0.0
2025-09-29,20.21,20.24,19.7,19.92,1625800,0.0,0.0
2025-09-26,19.75,20.11,19.7,20.04,1402000,0.0,0.0
2025-09-25,19.5,19.78,19.43,19.7,1645900,0.0,0.0
2025-09-24,19.92,20.07,19.7,19.83,1537700,0.0,0.0
2025-09-23,20.25,20.48,19.91,20.01,1459700,0.0,0.0
2025-09-22,20.29,20.52,20.1,20.11,1483700,0.0,0.0
2025-09-19,21.0,21.0,20.39,20.44,2245100,0.0,0.0
2025-09-18,20.45,21.09,20.43,20.98,1621400,0.0,0.0
2025-09-17,20.53,21.12,20.31,20.43,1781500,0.0,0.0
2025-09-16,20.87,20.87,20.42,20.54,1874000,0.0,0.0
2025-09-15,21.11,21.3,20.84,20.87,1596700,0.0,0.0
2025-09-12,21.16,21.25,20.98,21.04,1135500,0.0,0.0
2025-09-11,20.76,21.4,20.71,21.25,1728400,0.0,0.0
2025-09-10,20.7,20.8,20.48,20.78,1107100,0.0,0.0
2025-09-09,20.78,20.78,20.37,20.55,1189000,0.0,0.0
2025-09-08,20.6,20.88,20.23,20.76,1714300,0.0,0.0
2025-09-05,20.73,20.92,20.28,20.61,1451700,0.0,0.0
2025-09-04,20.3,20.69,20.26,20.67,1351700,0.0,0.0
2025-09-03,20.16,20.68,20.05,20.3,1626000,0.0,0.0
