Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,111.53,112.68,109.11,109.19,9480500,0.0,0.0
2025-10-09,111.82,113.0,110.88,110.99,6502400,0.0,0.0
2025-10-08,112.81,113.2,111.65,111.89,7074400,0.0,0.0
2025-10-07,112.63,113.4,111.8,112.53,5409800,0.0,0.0
2025-10-06,112.69,113.11,111.45,112.75,6141200,0.0,0.0
2025-10-03,112.04,113.57,111.56,112.47,7148400,0.0,0.0
2025-10-02,112.98,113.17,110.78,112.14,8695100,0.0,0.0
2025-10-01,114.08,116.06,112.79,112.95,9736300,0.0,0.0
2025-09-30,114.53,114.88,113.34,114.5,9303700,0.0,0.0
2025-09-29,113.47,115.01,113.33,114.78,9304100,0.0,0.0
2025-09-26,113.13,113.57,112.76,113.47,6145700,0.0,0.0
2025-09-25,112.71,114.05,112.65,112.99,6365500,0.0,0.0
2025-09-24,112.41,114.15,112.2,113.43,8755200,0.0,0.0
2025-09-23,112.72,113.62,111.6,112.25,13145000,0.0,0.0
2025-09-22,111.76,113.63,111.52,112.56,15479800,0.0,0.0
2025-09-19,114.6,114.6,111.93,113.76,23398400,0.0,0.0
2025-09-18,115.33,115.78,114.05,114.86,9460500,0.0,0.0
2025-09-17,115.24,116.66,115.22,116.1,7333900,0.0,0.0
2025-09-16,115.45,115.85,114.71,115.23,6844900,0.0,0.0
2025-09-15,116.11,116.75,115.0,115.62,7150900,0.0,0.0
2025-09-12,116.26,117.01,115.1,115.96,7640900,0.0,0.0
2025-09-11,115.45,117.17,114.63,117.08,8399100,0.0,0.0
2025-09-10,116.85,117.51,114.5,115.79,7484900,0.0,0.0
2025-09-09,118.53,119.05,117.22,117.37,5444300,0.0,0.0
2025-09-08,117.96,118.88,116.74,118.84,6450700,0.0,0.0
2025-09-05,118.91,119.78,117.7,117.91,6669100,0.0,0.0
2025-09-04,117.08,119.68,116.76,118.81,6949300,0.0,0.0
2025-09-03,117.83,118.62,116.35,117.38,6288700,0.0,0.0
2025-09-02,117.02,118.28,116.0,118.27,6015900,0.0,0.0
2025-08-29,117.39,118.65,117.25,118.38,5212600,0.0,0.0
2025-08-28,118.1,118.37,116.61,117.64,5687700,0.0,0.0
2025-08-27,117.53,118.46,117.29,118.09,4378000,0.0,0.0
2025-08-26,117.43,118.38,117.16,117.65,5787400,0.0,0.0
2025-08-25,118.49,119.05,117.7,117.71,5424900,0.0,0.0
2025-08-22,117.59,119.78,117.13,118.86,7161700,0.0,0.0
2025-08-21,116.57,116.66,115.53,116.21,6337100,0.0,0.0
2025-08-20,116.08,117.89,116.0,117.04,7046700,0.0,0.0
2025-08-19,116.5,116.99,115.72,116.27,5914000,0.0,0.0
2025-08-18,115.19,117.01,115.16,116.55,5798400,0.0,0.0
2025-08-15,116.57,116.84,115.19,115.39,6768600,0.0,0.0
2025-08-14,115.48,116.71,114.62,116.31,6800900,0.0,0.0
2025-08-13,114.23,117.23,114.15,116.64,9025700,0.0,0.0
2025-08-12,113.31,114.4,112.49,113.72,7274000,0.0,0.0
2025-08-11,112.91,113.15,111.54,112.55,8532600,0.0,0.0
2025-08-08,113.3,114.29,112.02,112.43,9491000,0.0,0.0
2025-08-07,115.75,116.4,111.82,112.88,15484400,0.0,0.0
2025-08-06,115.78,116.12,112.2,115.17,22153700,0.0,0.0
2025-08-05,119.25,119.57,117.33,118.32,15365700,0.0,0.0
2025-08-04,117.73,119.52,117.73,119.35,8845000,0.0,0.0
2025-08-01,117.59,117.89,115.57,116.59,8637800,0.0,0.0
2025-07-31,119.46,119.91,118.58,119.11,7235000,0.0,0.0
2025-07-30,119.95,120.5,119.18,119.54,5281500,0.0,0.0
2025-07-29,120.58,120.81,119.36,119.91,6283700,0.0,0.0
2025-07-28,121.03,121.4,119.89,120.37,6042200,0.0,0.0
2025-07-25,122.26,122.45,120.87,121.47,5656600,0.0,0.0
2025-07-24,122.85,123.4,121.81,121.95,6702200,0.0,0.0
2025-07-23,121.52,123.18,121.5,122.94,8258900,0.0,0.0
2025-07-22,120.75,121.43,120.56,121.06,5614500,0.0,0.0
2025-07-21,121.07,121.97,120.78,120.84,6392500,0.0,0.0
2025-07-18,121.97,122.16,120.29,121.42,9486800,0.0,0.0
2025-07-17,119.75,122.39,119.75,122.21,9933700,0.0,0.0
2025-07-16,119.36,120.57,118.88,119.82,6747500,0.0,0.0
2025-07-15,120.23,120.23,118.88,118.98,7943600,0.0,0.0
2025-07-14,119.78,120.5,119.6,119.97,6853300,0.0,0.0
2025-07-11,120.64,121.23,119.73,119.87,6112400,0.0,0.0
2025-07-10,120.62,121.95,120.62,121.56,6888700,0.0,0.0
2025-07-09,121.84,122.35,120.61,120.61,6724900,0.0,0.0
2025-07-08,123.22,123.71,121.82,121.82,6622900,0.0,0.0
2025-07-07,123.21,124.61,122.58,123.16,7023500,0.0,0.0
2025-07-03,123.07,124.24,122.9,124.0,4252300,0.0,0.0
2025-07-02,123.32,123.7,122.53,122.98,7317100,0.0,0.0
2025-07-01,123.5,123.76,122.45,123.49,9815700,0.0,0.0
2025-06-30,124.31,124.69,123.18,124.01,13456200,0.0,0.0
2025-06-27,121.85,122.94,121.48,122.34,13435600,0.0,0.0
2025-06-26,119.98,121.67,119.68,121.46,10439600,0.0,0.0
2025-06-25,118.77,119.72,118.63,119.42,6976300,0.0,0.0
2025-06-24,117.75,119.08,117.75,118.65,8350200,0.5,0.0
2025-06-23,116.16,117.49,114.53,117.25,8348000,0.0,0.0
