Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,14.69,14.69,13.54,13.82,21601400,0.0,0.0
2025-10-09,15.05,15.09,14.38,14.64,17324500,0.0,0.0
2025-10-08,13.55,15.34,13.31,14.82,27538300,0.0,0.0
2025-10-07,14.2,14.56,13.57,13.66,19129100,0.0,0.0
2025-10-06,14.44,15.19,13.55,13.86,35332600,0.0,0.0
2025-10-03,12.47,13.51,12.29,12.6,24711400,0.0,0.0
2025-10-02,12.95,13.13,12.18,12.36,27124600,0.0,0.0
2025-10-01,11.37,12.4,11.12,12.37,20342200,0.0,0.0
2025-09-30,11.0,11.57,10.8,11.39,14085300,0.0,0.0
2025-09-29,10.43,11.45,10.23,11.17,23838400,0.0,0.0
2025-09-26,10.5,10.61,9.83,10.12,12632100,0.0,0.0
2025-09-25,10.12,10.7,9.77,10.49,22783400,0.0,0.0
2025-09-24,10.27,11.35,10.21,10.65,32690800,0.0,0.0
2025-09-23,10.3,10.6,9.93,10.16,21212900,0.0,0.0
2025-09-22,10.46,10.48,9.85,10.24,30620700,0.0,0.0
2025-09-19,9.23,10.15,9.17,9.76,36023500,0.0,0.0
2025-09-18,8.77,9.25,8.44,9.0,21845700,0.0,0.0
2025-09-17,8.27,8.74,8.12,8.5,14132600,0.0,0.0
2025-09-16,8.32,8.4,7.93,8.29,11235600,0.0,0.0
2025-09-15,8.44,8.55,8.21,8.28,15747200,0.0,0.0
2025-09-12,7.24,8.24,7.17,8.2,19132800,0.0,0.0
2025-09-11,6.81,7.28,6.72,7.22,8507400,0.0,0.0
2025-09-10,7.05,7.37,6.8,6.87,12893900,0.0,0.0
2025-09-09,6.93,7.05,6.66,6.98,9915900,0.0,0.0
2025-09-08,7.2,7.47,6.81,6.87,14809300,0.0,0.0
2025-09-05,7.54,7.62,7.0,7.21,12937400,0.0,0.0
2025-09-04,7.62,7.67,7.04,7.34,12364800,0.0,0.0
2025-09-03,7.67,8.09,7.55,7.62,16714500,0.0,0.0
2025-09-02,6.71,7.6,6.51,7.51,19824500,0.0,0.0
2025-08-29,7.13,7.21,6.76,6.9,8689500,0.0,0.0
2025-08-28,7.27,7.34,6.86,7.13,11205600,0.0,0.0
2025-08-27,6.95,7.14,6.8,7.12,11215700,0.0,0.0
2025-08-26,6.34,6.94,6.31,6.92,15722200,0.0,0.0
2025-08-25,6.32,6.38,6.14,6.27,5349800,0.0,0.0
2025-08-22,6.03,6.38,5.96,6.32,8341800,0.0,0.0
2025-08-21,5.94,6.03,5.84,6.02,4582900,0.0,0.0
2025-08-20,5.91,6.01,5.77,5.99,7629900,0.0,0.0
2025-08-19,6.25,6.27,5.95,6.05,7951300,0.0,0.0
2025-08-18,5.96,6.4,5.93,6.33,13499800,0.0,0.0
2025-08-15,6.35,6.35,5.83,5.86,15502000,0.0,0.0
2025-08-14,6.12,6.61,6.1,6.33,9905100,0.0,0.0
2025-08-13,6.14,6.35,5.84,6.34,15201500,0.0,0.0
2025-08-12,6.21,6.26,6.0,6.11,11758200,0.0,0.0
2025-08-11,6.37,6.54,6.29,6.35,8545300,0.0,0.0
2025-08-08,6.6,6.69,6.2,6.37,11401600,0.0,0.0
2025-08-07,6.57,6.91,6.51,6.56,15975100,0.0,0.0
2025-08-06,6.51,6.76,6.3,6.46,13892200,0.0,0.0
2025-08-05,6.2,6.54,6.06,6.51,16632500,0.0,0.0
2025-08-04,5.67,6.35,5.64,6.21,15657700,0.0,0.0
2025-08-01,5.47,5.64,5.27,5.51,13993300,0.0,0.0
2025-07-31,5.47,6.55,5.41,5.7,24980300,0.0,0.0
2025-07-30,5.93,6.3,5.91,5.92,15768200,0.0,0.0
2025-07-29,6.29,6.31,5.79,5.95,10232500,0.0,0.0
