Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-10-10,3.26,3.89,3.21,3.82,81899700,0.0,0.0,0.0
2025-10-09,3.21,3.4,3.21,3.29,60259100,0.0,0.0,0.0
2025-10-08,3.14,3.17,2.99,3.06,51329700,0.0,0.0,0.0
2025-10-07,2.77,3.14,2.76,3.1,59888900,0.0,0.0,0.0
2025-10-06,2.99,3.0,2.79,2.8,47264500,0.0,0.0,0.0
2025-10-03,3.11,3.2,2.98,3.08,52722800,0.0,0.0,0.0
2025-10-02,3.28,3.37,3.08,3.12,51013400,0.0,0.0,0.0
2025-10-01,3.44,3.47,3.35,3.37,39794000,0.004,0.0,0.0
2025-09-30,3.67,3.81,3.65,3.68,35361000,0.0,0.0,0.0
2025-09-29,3.79,3.8,3.59,3.62,40235600,0.0,0.0,0.0
2025-09-26,4.19,4.21,3.85,3.94,39844800,0.0,0.0,0.0
2025-09-25,4.04,4.37,4.0,4.2,56126300,0.0,0.0,0.0
2025-09-24,3.72,3.77,3.66,3.74,21342800,0.0,0.0,0.0
2025-09-23,3.67,3.8,3.65,3.76,36916500,0.0,0.0,0.0
2025-09-22,3.69,3.81,3.66,3.8,33243600,0.0,0.0,0.0
2025-09-19,3.22,3.34,3.18,3.33,20647500,0.0,0.0,0.0
2025-09-18,3.13,3.17,3.05,3.13,23708300,0.0,0.0,0.0
2025-09-17,3.23,3.37,3.2,3.22,36064400,0.0,0.0,0.0
2025-09-16,3.25,3.37,3.23,3.27,22766900,0.0,0.0,0.0
2025-09-15,3.21,3.3,3.19,3.25,21376200,0.0,0.0,0.0
2025-09-12,3.27,3.28,3.02,3.03,30933600,0.0,0.0,0.0
2025-09-11,3.43,3.46,3.37,3.4,29742000,0.0,0.0,0.0
2025-09-10,3.5,3.62,3.35,3.58,31307900,0.0,0.0,0.0
2025-09-09,3.55,3.67,3.51,3.62,23208200,0.0,0.0,0.0
2025-09-08,3.54,3.65,3.47,3.63,23436200,0.0,0.0,0.0
2025-09-05,3.38,3.71,3.31,3.56,50065100,0.0,0.0,0.0
2025-09-04,3.46,3.68,3.46,3.65,26442700,0.0,0.0,0.0
2025-09-03,3.52,3.54,3.33,3.36,25194900,0.0,0.0,0.0
2025-09-02,3.65,3.74,3.5,3.7,32842000,0.001,0.0,0.0
2025-08-29,3.51,3.7,3.5,3.59,38542700,0.0,0.0,0.0
2025-08-28,3.22,3.44,3.18,3.43,19212600,0.0,0.0,0.0
2025-08-27,3.19,3.29,3.11,3.25,21113700,0.0,0.0,0.0
2025-08-26,3.38,3.46,3.2,3.21,38895700,0.0,0.0,0.0
2025-08-25,3.2,3.49,3.15,3.48,42874800,0.0,0.0,0.0
2025-08-22,4.11,4.14,2.91,2.96,81060000,0.0,0.0,0.0
2025-08-21,4.1,4.21,3.98,4.17,19020500,0.0,0.0,0.0
2025-08-20,4.3,4.47,3.93,3.96,45441300,0.0,0.0,0.0
2025-08-19,4.06,4.45,4.02,4.39,28125400,0.0,0.0,0.0
2025-08-18,4.01,4.14,3.94,4.0,24887600,0.0,0.0,0.0
2025-08-15,3.56,3.96,3.53,3.93,29984200,0.0,0.0,0.0
2025-08-14,3.69,3.75,3.44,3.67,38637400,0.0,0.0,0.0
2025-08-13,3.43,3.6,3.37,3.4,22692100,0.0,0.0,0.0
2025-08-12,3.96,4.09,3.74,3.75,20608200,0.0,0.0,0.0
2025-08-11,4.45,4.46,4.03,4.28,12844500,0.0,0.0,0.0
2025-08-08,5.14,5.17,4.72,4.74,9783400,0.0,0.0,0.0
2025-08-07,5.37,5.53,5.22,5.26,7987600,0.0,0.0,0.0
2025-08-06,6.19,6.24,5.78,5.85,5964900,0.0,0.0,0.0
2025-08-05,6.03,6.3,5.96,6.24,6464600,0.0,0.0,0.0
2025-08-04,6.33,6.34,5.75,5.94,6939200,0.0,0.0,0.0
