Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,7.9,8.2,7.74,8.11,3216700,0.0,0.0
2025-10-09,8.05,8.09,7.83,7.91,1944100,0.0,0.0
2025-10-08,7.48,8.05,7.41,8.03,2946800,0.0,0.0
2025-10-07,7.5,7.68,7.34,7.42,3481400,0.0,0.0
2025-10-06,7.55,7.62,7.34,7.49,2097800,0.0,0.0
2025-10-03,7.55,7.7,7.31,7.46,2567900,0.0,0.0
2025-10-02,7.45,7.66,7.41,7.51,2313200,0.0,0.0
2025-10-01,7.5,7.57,7.42,7.42,2222700,0.0,0.0
2025-09-30,7.92,8.02,7.43,7.55,4274600,0.0,0.0
2025-09-29,7.75,7.93,7.69,7.9,3370700,0.0,0.0
2025-09-26,8.04,8.07,7.62,7.68,4088000,0.0,0.0
2025-09-25,8.15,8.23,7.81,7.97,3091100,0.0,0.0
2025-09-24,8.6,8.64,8.18,8.25,2958300,0.0,0.0
2025-09-23,8.5,8.71,8.35,8.6,5041700,0.0,0.0
2025-09-22,8.0,8.45,7.83,8.44,6090000,0.0,0.0
2025-09-19,8.2,8.2,7.95,8.03,15006700,0.0,0.0
2025-09-18,8.09,8.46,7.98,8.16,8881300,0.0,0.0
2025-09-17,8.41,8.5,8.04,8.15,4818300,0.0,0.0
2025-09-16,8.4,8.53,8.08,8.37,2357500,0.0,0.0
2025-09-15,8.77,8.81,8.33,8.43,2170100,0.0,0.0
2025-09-12,7.92,8.8,7.76,8.76,3921100,0.0,0.0
2025-09-11,8.2,8.36,7.88,7.98,6039800,0.0,0.0
2025-09-10,8.37,8.39,7.93,7.97,3576200,0.0,0.0
2025-09-09,8.31,8.6,8.22,8.35,2348800,0.0,0.0
2025-09-08,8.11,8.35,8.09,8.27,1998400,0.0,0.0
2025-09-05,7.96,8.07,7.73,8.06,1627100,0.0,0.0
2025-09-04,7.97,8.02,7.8,7.89,3911800,0.0,0.0
2025-09-03,8.19,8.19,7.84,7.97,2059300,0.0,0.0
2025-09-02,8.06,8.25,7.83,8.14,1974800,0.0,0.0
2025-08-29,8.39,8.4,8.02,8.24,2871500,0.0,0.0
2025-08-28,8.36,8.51,8.27,8.36,2510900,0.0,0.0
2025-08-27,8.3,8.44,8.27,8.38,4231500,0.0,0.0
2025-08-26,8.5,8.55,8.26,8.3,3775400,0.0,0.0
2025-08-25,8.43,8.7,8.08,8.45,3044500,0.0,0.0
2025-08-22,7.85,8.42,7.79,8.37,4846600,0.0,0.0
2025-08-21,7.94,8.02,7.74,7.83,1958200,0.0,0.0
2025-08-20,7.88,8.02,7.51,7.98,3589100,0.0,0.0
2025-08-19,7.99,8.16,7.76,7.88,3713000,0.0,0.0
2025-08-18,7.76,8.26,7.76,7.99,5659700,0.0,0.0
2025-08-15,8.06,8.91,7.65,7.75,12509300,0.0,0.0
2025-08-14,7.36,7.45,7.1,7.37,3702500,0.0,0.0
2025-08-13,7.57,7.57,7.26,7.49,4182800,0.0,0.0
2025-08-12,7.24,7.52,7.18,7.5,2003400,0.0,0.0
2025-08-11,7.3,7.45,7.2,7.24,2404100,0.0,0.0
2025-08-08,7.05,7.32,7.01,7.29,3740000,0.0,0.0
