Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,9.95,10.03,9.09,9.26,3955500,0.0,0.0
2025-10-09,10.32,10.6,9.58,9.88,3760400,0.0,0.0
2025-10-08,10.2,10.4,9.93,10.23,3682300,0.0,0.0
2025-10-07,10.6,10.68,9.72,10.19,4489400,0.0,0.0
2025-10-06,10.86,11.15,10.15,10.6,8003700,0.0,0.0
2025-10-03,8.98,10.66,8.96,10.21,9548200,0.0,0.0
2025-10-02,9.0,9.0,8.37,8.68,4192100,0.0,0.0
2025-10-01,7.84,8.83,7.78,8.73,5862400,0.0,0.0
2025-09-30,7.72,7.82,7.35,7.8,2733300,0.0,0.0
2025-09-29,8.15,8.32,7.55,7.78,3209800,0.0,0.0
2025-09-26,7.88,8.17,7.72,7.9,2551600,0.0,0.0
2025-09-25,7.89,8.5,7.39,7.88,5910000,0.0,0.0
2025-09-24,8.84,9.25,8.61,8.67,4620000,0.0,0.0
2025-09-23,9.79,10.17,8.86,9.08,6901500,0.0,0.0
2025-09-22,8.2,9.74,7.92,9.6,7167000,0.0,0.0
2025-09-19,8.45,8.62,8.2,8.36,4474200,0.0,0.0
2025-09-18,8.08,8.49,7.56,8.33,6255600,0.0,0.0
2025-09-17,6.81,7.71,6.75,7.65,8322800,0.0,0.0
2025-09-16,6.62,6.88,6.42,6.79,2435400,0.0,0.0
2025-09-15,6.94,7.0,6.17,6.59,3058000,0.0,0.0
2025-09-12,6.4,6.91,5.92,6.87,4668700,0.0,0.0
2025-09-11,5.66,6.48,5.58,6.46,5684800,0.0,0.0
2025-09-10,5.24,6.01,5.0,5.7,7895900,0.0,0.0
2025-09-09,4.25,5.32,4.16,5.18,10241900,0.0,0.0
2025-09-08,4.15,4.24,4.03,4.22,2310100,0.0,0.0
2025-09-05,3.97,4.05,3.81,4.05,949100,0.0,0.0
2025-09-04,4.05,4.05,3.81,3.92,1247700,0.0,0.0
2025-09-03,4.05,4.13,4.01,4.02,673300,0.0,0.0
2025-09-02,4.1,4.14,3.93,4.02,1405000,0.0,0.0
2025-08-29,4.32,4.38,4.15,4.2,959500,0.0,0.0
2025-08-28,4.36,4.44,4.29,4.34,798100,0.0,0.0
2025-08-27,4.36,4.53,4.33,4.36,1823100,0.0,0.0
2025-08-26,4.21,4.45,4.16,4.34,1055700,0.0,0.0
2025-08-25,4.2,4.32,4.1,4.23,975500,0.0,0.0
