Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,22.2,22.25,20.5,20.61,2325600,0.0,0.0
2025-10-09,22.08,22.3,21.85,22.04,2010000,0.0,0.0
2025-10-08,22.33,22.66,22.01,22.04,1413200,0.0,0.0
2025-10-07,23.25,23.32,22.01,22.17,2345100,0.0,0.0
2025-10-06,23.24,23.5,22.24,23.09,1887200,0.0,0.0
2025-10-03,23.01,23.52,22.7,22.8,1935000,0.0,0.0
2025-10-02,23.78,23.93,23.0,23.01,2734100,0.0,0.0
2025-10-01,24.32,24.7,23.57,23.66,2263300,0.0,0.0
2025-09-30,25.48,25.61,24.01,24.2,2012200,0.0,0.0
2025-09-29,25.41,25.68,24.98,25.47,1473700,0.0,0.0
2025-09-26,25.09,25.42,24.66,25.12,1425200,0.0,0.0
2025-09-25,25.53,25.68,24.78,25.02,1498900,0.0,0.0
2025-09-24,26.14,26.36,25.76,25.82,1390600,0.0,0.0
2025-09-23,27.58,27.58,25.96,26.03,2278200,0.0,0.0
2025-09-22,26.26,27.48,26.05,27.36,1510900,0.0,0.0
2025-09-19,26.6,26.85,26.29,26.49,2201200,0.0,0.0
2025-09-18,26.67,27.0,26.15,26.58,1895900,0.0,0.0
2025-09-17,25.54,26.75,25.44,25.94,1418400,0.0,0.0
2025-09-16,25.75,25.83,25.13,25.5,2693400,0.0,0.0
2025-09-15,26.2,26.8,25.73,25.8,1787900,0.0,0.0
2025-09-12,26.25,26.51,25.77,25.84,1706400,0.0,0.0
2025-09-11,25.48,26.18,25.28,26.1,1670000,0.0,0.0
2025-09-10,26.24,26.53,25.16,25.28,2085300,0.0,0.0
2025-09-09,26.67,26.75,26.25,26.38,1218700,0.0,0.0
2025-09-08,26.76,27.05,26.28,26.66,1975600,0.0,0.0
2025-09-05,26.48,27.42,26.21,26.7,2463500,0.0,0.0
2025-09-04,26.1,26.35,25.07,26.3,1989100,0.0,0.0
2025-09-03,26.21,26.79,26.05,26.48,1297100,0.0,0.0
2025-09-02,26.25,26.58,25.51,26.34,1837500,0.0,0.0
2025-08-29,26.79,27.28,26.66,26.92,1894500,0.0,0.0
2025-08-28,27.18,27.45,26.51,26.69,1839400,0.0,0.0
2025-08-27,26.04,27.02,26.04,27.01,1201000,0.0,0.0
2025-08-26,26.61,26.78,25.89,25.99,1328800,0.0,0.0
2025-08-25,27.49,27.56,26.57,26.7,1540200,0.0,0.0
2025-08-22,25.71,27.75,25.58,27.57,2751600,0.0,0.0
2025-08-21,25.26,25.59,24.92,25.51,1547900,0.0,0.0
2025-08-20,25.84,26.22,25.5,25.75,1585000,0.0,0.0
2025-08-19,26.59,27.07,25.93,26.09,1891200,0.0,0.0
2025-08-18,26.25,26.81,25.88,26.4,1947300,0.0,0.0
2025-08-15,25.42,26.37,25.2,26.04,2600800,0.0,0.0
2025-08-14,26.0,26.3,24.95,25.14,2849400,0.0,0.0
2025-08-13,24.8,26.21,24.32,26.2,2215300,0.0,0.0
2025-08-12,24.16,24.81,23.68,24.59,1987400,0.0,0.0
2025-08-11,24.33,24.74,23.78,24.05,2345800,0.0,0.0
2025-08-08,25.27,25.57,24.02,24.39,2427500,0.0,0.0
2025-08-07,26.4,26.44,25.19,25.29,2512000,0.0,0.0
2025-08-06,26.2,26.48,25.6,25.92,2402400,0.0,0.0
2025-08-05,25.25,26.13,24.87,25.86,2984100,0.0,0.0
2025-08-04,24.8,25.49,24.5,25.05,2131000,0.0,0.0
2025-08-01,26.24,27.35,23.98,24.28,6301800,0.0,0.0
2025-07-31,27.23,27.23,25.81,25.83,3126700,0.0,0.0
2025-07-30,28.51,28.51,27.1,27.27,2493000,0.0,0.0
2025-07-29,29.23,29.5,27.65,28.38,1880000,0.0,0.0
2025-07-28,29.09,29.64,28.82,29.15,1559000,0.0,0.0
2025-07-25,28.76,28.98,28.04,28.84,966100,0.0,0.0
2025-07-24,29.03,29.12,28.06,28.63,1036500,0.0,0.0
2025-07-23,28.48,29.24,27.97,29.16,1648800,0.0,0.0
2025-07-22,27.39,28.64,27.08,28.36,1956000,0.0,0.0
2025-07-21,27.4,27.65,26.9,27.29,1594000,0.0,0.0
2025-07-18,27.16,27.22,26.43,26.94,1421200,0.0,0.0
2025-07-17,25.5,26.98,25.48,26.86,1861700,0.0,0.0
2025-07-16,26.16,26.2,25.01,25.39,1556600,0.0,0.0
2025-07-15,26.4,26.68,25.78,25.86,1478800,0.0,0.0
2025-07-14,26.45,26.83,26.06,26.21,1654300,0.0,0.0
2025-07-11,27.62,28.2,26.53,26.6,1815200,0.0,0.0
