Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,12.54,12.81,12.54,12.6,2641400,0.0,0.0
2025-10-09,12.61,12.64,12.48,12.52,2771600,0.0,0.0
2025-10-08,12.76,12.78,12.53,12.6,3437300,0.0,0.0
2025-10-07,12.79,12.88,12.62,12.77,3251400,0.0,0.0
2025-10-06,13.12,13.13,12.78,12.79,3707400,0.0,0.0
2025-10-03,13.01,13.28,13.01,13.16,2779500,0.0,0.0
2025-10-02,13.0,13.08,12.85,13.01,2263600,0.0,0.0
2025-10-01,13.13,13.22,12.91,13.09,2930000,0.0,0.0
2025-09-30,12.68,13.09,12.68,13.05,3858700,0.0,0.0
2025-09-29,12.81,12.81,12.42,12.68,6718700,0.0,0.0
2025-09-26,12.78,12.94,12.71,12.76,4247900,0.0,0.0
2025-09-25,13.11,13.11,12.7,12.76,5494800,0.0,0.0
2025-09-24,12.99,13.17,12.97,13.05,3201000,0.0,0.0
2025-09-23,13.15,13.25,13.01,13.08,3109000,0.0,0.0
2025-09-22,13.11,13.19,13.03,13.13,3908500,0.0,0.0
2025-09-19,13.37,13.47,13.09,13.1,10794000,0.0,0.0
2025-09-18,13.33,13.41,13.19,13.3,4623200,0.0,0.0
2025-09-17,13.72,13.79,13.32,13.37,4061300,0.0,0.0
2025-09-16,13.51,13.73,13.43,13.69,10015400,0.0,0.0
2025-09-15,13.76,13.83,13.45,13.48,6736100,0.0,0.0
2025-09-12,14.2,14.2,13.75,13.75,5500700,0.0,0.0
2025-09-11,14.3,14.41,14.2,14.27,3689200,0.0,0.0
2025-09-10,14.66,14.72,14.26,14.28,3526000,0.0,0.0
2025-09-09,14.85,15.02,14.75,14.8,3699000,0.0,0.0
2025-09-08,14.67,14.93,14.49,14.91,5734400,0.0,0.0
2025-09-05,14.43,14.85,14.42,14.81,4522600,0.248,0.0
2025-09-04,14.48,14.57,14.29,14.38,4194900,0.0,0.0
2025-09-03,14.53,14.73,14.37,14.39,2593400,0.0,0.0
2025-09-02,14.75,14.82,14.43,14.59,4564600,0.0,0.0
2025-08-29,14.7,14.88,14.66,14.79,2272600,0.0,0.0
2025-08-28,14.83,14.83,14.49,14.66,2513400,0.0,0.0
2025-08-27,14.57,14.86,14.5,14.82,3384900,0.0,0.0
2025-08-26,15.02,15.06,14.58,14.59,5131800,0.0,0.0
2025-08-25,15.49,15.6,15.02,15.03,2794300,0.0,0.0
2025-08-22,15.36,15.71,15.34,15.57,3895800,0.0,0.0
2025-08-21,15.32,15.46,15.17,15.23,2675300,0.0,0.0
2025-08-20,15.6,15.8,15.44,15.44,2696900,0.0,0.0
