Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,26.2,26.68,25.56,25.58,31000,0.0,0.0
2025-10-09,26.23,26.49,25.85,26.34,17100,0.0,0.0
2025-10-08,26.23,26.48,26.18,26.42,11800,0.0,0.0
2025-10-07,26.17,26.4,25.81,26.01,21600,0.0,0.0
2025-10-06,26.73,26.76,26.4,26.44,21300,0.0,0.0
2025-10-03,26.29,26.94,26.29,26.58,17700,0.0,0.0
2025-10-02,26.54,26.54,26.22,26.36,15700,0.0,0.0
2025-10-01,26.78,27.02,26.55,26.58,17900,0.0,0.0
2025-09-30,26.35,27.46,26.35,26.95,22600,0.0,0.0
2025-09-29,27.63,27.86,26.55,26.63,19500,0.0,0.0
2025-09-26,26.83,27.66,26.05,27.54,34500,0.0,0.0
2025-09-25,26.57,27.22,26.53,26.71,20800,0.0,0.0
2025-09-24,27.19,27.23,26.22,26.86,23600,0.0,0.0
2025-09-23,27.71,28.0,26.86,26.95,28500,0.0,0.0
2025-09-22,27.71,27.91,27.01,27.72,25900,0.0,0.0
2025-09-19,27.89,28.25,27.56,27.76,68700,0.0,0.0
2025-09-18,28.02,28.86,27.71,27.99,52600,0.0,0.0
2025-09-17,27.75,28.71,27.57,27.84,29900,0.0,0.0
2025-09-16,27.7,27.89,27.39,27.6,25200,0.0,0.0
2025-09-15,27.42,27.96,26.99,27.71,31400,0.0,0.0
2025-09-12,27.47,27.68,27.2,27.43,18000,0.0,0.0
2025-09-11,26.78,27.64,26.78,27.41,25400,0.0,0.0
2025-09-10,26.63,27.07,25.7,26.78,20400,0.0,0.0
2025-09-09,27.1,27.1,26.38,26.7,25700,0.0,0.0
2025-09-08,26.4,27.23,26.12,27.19,28300,0.0,0.0
2025-09-05,27.29,27.37,26.16,26.53,38000,0.0,0.0
2025-09-04,26.45,27.25,26.37,27.18,28400,0.0,0.0
2025-09-03,25.47,26.42,25.17,26.31,36300,0.0,0.0
2025-09-02,25.49,25.8,25.39,25.58,42300,0.0,0.0
2025-08-29,26.03,26.81,25.8,26.03,43000,0.0,0.0
2025-08-28,26.69,26.85,26.09,26.8,35800,0.0,0.0
2025-08-27,24.96,26.51,24.96,26.5,38700,0.0,0.0
2025-08-26,23.88,24.87,23.88,24.79,19400,0.0,0.0
2025-08-25,24.11,24.55,23.85,23.99,19800,0.0,0.0
2025-08-22,22.6,24.57,22.6,24.43,61300,0.0,0.0
2025-08-21,22.72,22.72,22.32,22.33,27900,0.0,0.0
2025-08-20,22.84,23.24,22.48,22.65,26000,0.0,0.0
2025-08-19,23.01,23.42,22.65,22.9,24900,0.0,0.0
2025-08-18,22.79,23.51,22.61,23.09,33300,0.0,0.0
2025-08-15,23.79,24.29,22.43,22.56,76900,0.0,0.0
2025-08-14,24.08,24.23,23.5,23.57,39600,0.0,0.0
2025-08-13,23.2,24.8,23.2,24.28,72200,0.0,0.0
2025-08-12,22.6,23.62,22.6,23.13,61700,0.0,0.0
2025-08-11,21.95,23.25,21.67,22.25,31100,0.0,0.0
2025-08-08,22.37,22.77,21.76,22.08,21800,0.0,0.0
2025-08-07,23.06,23.06,22.36,22.5,13200,0.0,0.0
2025-08-06,22.61,23.04,22.49,22.56,18700,0.0,0.0
2025-08-05,22.6,23.16,22.55,22.66,18100,0.0,0.0
2025-08-04,22.32,22.62,22.19,22.4,19300,0.0,0.0
2025-08-01,22.66,22.66,22.18,22.32,29300,0.0,0.0
2025-07-31,23.41,24.14,23.29,23.5,46300,0.0,0.0
