Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,3.02,3.05,2.81,2.81,241200,0.0,0.0
2025-10-09,3.08,3.17,2.95,3.03,187200,0.0,0.0
2025-10-08,3.11,3.17,3.02,3.08,86200,0.0,0.0
2025-10-07,2.95,3.16,2.95,3.08,249900,0.0,0.0
2025-10-06,2.95,3.11,2.93,2.96,142800,0.0,0.0
2025-10-03,2.95,3.18,2.91,2.98,368000,0.0,0.0
2025-10-02,2.89,2.96,2.82,2.91,269800,0.0,0.0
2025-10-01,3.0,3.0,2.87,2.89,192400,0.0,0.0
2025-09-30,2.9,3.05,2.88,3.0,308700,0.0,0.0
2025-09-29,3.06,3.11,2.91,2.93,213800,0.0,0.0
2025-09-26,3.06,3.23,3.0,3.03,149000,0.0,0.0
2025-09-25,3.13,3.24,3.05,3.07,211100,0.0,0.0
2025-09-24,3.49,3.51,3.23,3.23,337900,0.0,0.0
2025-09-23,3.4,3.59,3.25,3.52,460300,0.0,0.0
2025-09-22,3.14,3.5,3.1,3.41,545400,0.0,0.0
2025-09-19,3.29,3.33,3.15,3.18,183300,0.0,0.0
2025-09-18,3.06,3.32,2.94,3.32,490000,0.0,0.0
2025-09-17,3.27,3.29,2.99,3.05,486900,0.0,0.0
2025-09-16,3.55,3.55,3.16,3.28,643900,0.0,0.0
2025-09-15,3.64,3.64,3.4,3.55,346800,0.0,0.0
2025-09-12,3.42,3.65,3.41,3.63,799500,0.0,0.0
2025-09-11,3.22,3.42,3.04,3.39,575000,0.0,0.0
2025-09-10,2.97,3.29,2.94,3.18,487000,0.0,0.0
2025-09-09,2.86,3.04,2.86,2.97,413600,0.0,0.0
2025-09-08,2.88,2.95,2.84,2.87,153500,0.0,0.0
2025-09-05,2.95,2.97,2.71,2.87,290600,0.0,0.0
2025-09-04,2.87,2.9,2.78,2.89,173600,0.0,0.0
2025-09-03,2.88,2.91,2.78,2.86,138000,0.0,0.0
2025-09-02,2.95,3.0,2.86,2.89,101600,0.0,0.0
2025-08-29,3.0,3.03,2.88,2.92,183400,0.0,0.0
2025-08-28,2.95,3.03,2.79,3.0,236800,0.0,0.0
2025-08-27,3.19,3.25,2.88,2.91,362000,0.0,0.0
2025-08-26,2.79,3.14,2.76,3.14,457100,0.0,0.0
2025-08-25,2.76,2.85,2.68,2.75,205100,0.0,0.0
2025-08-22,2.7,2.82,2.66,2.77,234200,0.0,0.0
2025-08-21,2.61,2.74,2.55,2.69,52100,0.0,0.0
2025-08-20,2.59,2.67,2.46,2.64,305800,0.0,0.0
2025-08-19,2.81,2.94,2.58,2.61,296300,0.0,0.0
2025-08-18,2.88,2.89,2.75,2.81,227500,0.0,0.0
2025-08-15,2.83,2.89,2.73,2.86,178700,0.0,0.0
2025-08-14,2.96,2.98,2.8,2.85,309900,0.0,0.0
2025-08-13,3.05,3.11,2.92,3.0,260500,0.0,0.0
2025-08-12,2.91,3.05,2.89,3.05,314000,0.0,0.0
2025-08-11,3.0,3.01,2.8,2.86,375300,0.0,0.0
2025-08-08,3.08,3.3,2.96,3.0,750000,0.0,0.0
2025-08-07,2.98,3.38,2.78,3.05,1094700,0.0,0.0
