Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,9.37,9.73,8.93,9.08,2289400,0.0,0.0
2025-10-09,10.23,10.31,9.45,9.49,1553500,0.0,0.0
2025-10-08,10.03,10.58,10.02,10.28,2307300,0.0,0.0
2025-10-07,10.26,10.3,9.67,10.0,1815200,0.0,0.0
2025-10-06,10.14,10.47,9.98,10.03,1838000,0.0,0.0
2025-10-03,9.37,9.87,9.26,9.65,1584000,0.0,0.0
2025-10-02,9.12,9.2,8.99,9.19,943400,0.0,0.0
2025-10-01,8.79,9.15,8.68,9.02,2463100,0.0,0.0
2025-09-30,9.08,9.24,8.65,8.79,1884300,0.0,0.0
2025-09-29,9.3,9.38,8.98,9.15,952300,0.0,0.0
2025-09-26,9.07,9.46,9.07,9.21,3441000,0.0,0.0
2025-09-25,9.42,9.58,9.11,9.19,1297500,0.0,0.0
2025-09-24,9.4,9.93,9.34,9.64,1692900,0.0,0.0
2025-09-23,9.33,9.56,9.25,9.26,2110200,0.0,0.0
2025-09-22,9.54,9.65,9.3,9.37,2591600,0.0,0.0
2025-09-19,10.21,10.27,9.57,9.65,5857700,0.0,0.0
2025-09-18,10.03,11.13,9.98,10.28,3864000,0.0,0.0
2025-09-17,10.44,10.63,9.59,9.61,2248700,0.0,0.0
2025-09-16,9.99,10.44,9.92,10.32,2895100,0.0,0.0
2025-09-15,9.9,10.17,9.8,9.88,1558200,0.0,0.0
2025-09-12,9.75,9.85,9.5,9.63,1104300,0.0,0.0
2025-09-11,9.68,10.08,9.61,9.77,2005000,0.0,0.0
2025-09-10,10.02,10.09,9.57,9.68,2338100,0.0,0.0
2025-09-09,10.29,10.52,10.0,10.02,1936000,0.0,0.0
2025-09-08,10.64,10.71,9.88,10.1,2296600,0.0,0.0
2025-09-05,11.18,11.2,10.62,10.64,2234700,0.0,0.0
2025-09-04,10.73,11.27,10.65,11.15,2466100,0.0,0.0
2025-09-03,10.98,11.12,10.79,10.8,2389800,0.0,0.0
2025-09-02,11.06,11.28,10.68,11.01,2455900,0.0,0.0
2025-08-29,11.06,11.25,10.86,11.11,2692500,0.0,0.0
2025-08-28,11.61,11.75,10.66,11.1,3946300,0.0,0.0
2025-08-27,10.05,10.38,9.84,9.95,2190600,0.0,0.0
2025-08-26,9.44,10.16,9.41,10.11,2963100,0.0,0.0
2025-08-25,8.94,9.65,8.86,9.41,2290400,0.0,0.0
2025-08-22,8.28,8.93,8.16,8.93,2119400,0.0,0.0
2025-08-21,7.55,8.29,7.53,8.15,1894400,0.0,0.0
2025-08-20,8.17,8.32,7.6,7.62,1903500,0.0,0.0
2025-08-19,8.36,8.63,8.29,8.34,992800,0.0,0.0
2025-08-18,8.46,8.65,8.29,8.33,1608500,0.0,0.0
2025-08-15,8.45,8.73,8.27,8.44,1045000,0.0,0.0
2025-08-14,8.62,9.18,8.28,8.66,2492900,0.0,0.0
2025-08-13,8.9,9.44,8.81,9.21,2580800,0.0,0.0
2025-08-12,8.9,9.11,8.57,8.82,2903200,0.0,0.0
2025-08-11,8.12,9.18,8.12,8.84,3846200,0.0,0.0
2025-08-08,7.3,7.43,7.08,7.4,1372900,0.0,0.0
2025-08-07,7.26,7.6,7.23,7.31,958900,0.0,0.0
2025-08-06,7.75,7.79,7.32,7.34,1249600,0.0,0.0
