Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,6.44,6.45,6.22,6.31,2092800,0.0,0.0
2025-10-09,6.5,6.66,6.46,6.57,815100,0.0,0.0
2025-10-08,6.31,6.49,6.31,6.47,845400,0.0,0.0
2025-10-07,6.49,6.54,6.3,6.31,1305400,0.0,0.0
2025-10-06,6.58,6.6,6.47,6.51,980400,0.0,0.0
2025-10-03,6.44,6.56,6.41,6.52,901600,0.0,0.0
2025-10-02,6.45,6.73,6.37,6.41,1136900,0.0,0.0
2025-10-01,6.38,6.48,6.28,6.45,1395500,0.0,0.0
2025-09-30,6.51,6.51,6.28,6.37,1359600,0.0,0.0
2025-09-29,6.83,6.83,6.52,6.56,1355900,0.0,0.0
2025-09-26,6.88,6.9,6.62,6.85,1803100,0.0,0.0
2025-09-25,7.09,7.21,6.67,6.75,3000800,0.0,0.0
2025-09-24,6.41,6.68,6.33,6.56,2397700,0.0,0.0
2025-09-23,6.1,6.25,6.09,6.22,2874600,0.0,0.0
2025-09-22,6.07,6.25,6.03,6.06,1441600,0.0,0.0
2025-09-19,6.21,6.27,5.97,5.97,1505800,0.0,0.0
2025-09-18,6.74,6.74,6.22,6.26,2392700,0.0,0.0
2025-09-17,6.51,6.77,6.49,6.6,2223200,0.0,0.0
2025-09-16,6.29,6.68,6.23,6.57,3687100,0.0,0.0
2025-09-15,6.4,6.4,6.18,6.21,641500,0.0,0.0
2025-09-12,6.39,6.47,6.23,6.3,364900,0.0,0.0
2025-09-11,6.44,6.46,6.33,6.41,440800,0.0,0.0
2025-09-10,6.25,6.47,6.25,6.47,791600,0.0,0.0
2025-09-09,6.18,6.39,6.18,6.25,679000,0.0,0.0
2025-09-08,6.33,6.34,6.06,6.14,1332900,0.0,0.0
2025-09-05,6.43,6.49,6.33,6.33,399300,0.0,0.0
2025-09-04,6.25,6.54,6.2,6.44,840800,0.0,0.0
2025-09-03,6.47,6.55,6.18,6.24,967200,0.0,0.0
2025-09-02,6.59,6.69,6.48,6.57,507400,0.0,0.0
2025-08-29,6.61,6.67,6.54,6.6,307700,0.0,0.0
2025-08-28,6.42,6.56,6.4,6.49,364700,0.0,0.0
2025-08-27,6.31,6.48,6.29,6.45,782600,0.0,0.0
2025-08-26,6.42,6.42,6.28,6.33,1049500,0.0,0.0
2025-08-25,6.63,6.63,6.43,6.43,390600,0.0,0.0
2025-08-22,6.53,6.67,6.52,6.62,582200,0.0,0.0
2025-08-21,6.37,6.49,6.34,6.47,668200,0.0,0.0
2025-08-20,6.15,6.35,6.15,6.33,927500,0.0,0.0
2025-08-19,6.64,6.65,6.14,6.14,1417000,0.0,0.0
2025-08-18,6.65,6.84,6.58,6.65,1037700,0.0,0.0
2025-08-15,6.63,6.74,6.61,6.66,503500,0.0,0.0
2025-08-14,6.65,6.68,6.5,6.64,677600,0.0,0.0
2025-08-13,6.58,6.75,6.57,6.73,579700,0.0,0.0
2025-08-12,6.58,6.87,6.57,6.63,1137900,0.0,0.0
2025-08-11,6.47,6.68,6.42,6.6,858400,0.0,0.0
2025-08-08,6.6,6.66,6.42,6.46,318300,0.0,0.0
2025-08-07,6.6,6.69,6.54,6.56,502800,0.0,0.0
2025-08-06,6.65,6.88,6.38,6.51,754400,0.0,0.0
2025-08-05,6.45,6.71,6.4,6.64,520900,0.0,0.0
2025-08-04,6.39,6.52,6.33,6.38,394500,0.0,0.0
2025-08-01,6.38,6.45,6.21,6.39,626500,0.0,0.0
2025-07-31,6.54,6.63,6.39,6.44,386300,0.0,0.0
2025-07-30,6.74,6.81,6.55,6.59,608700,0.0,0.0
2025-07-29,6.79,6.87,6.65,6.78,809900,0.0,0.0
2025-07-28,6.8,6.88,6.72,6.78,472900,0.0,0.0
2025-07-25,6.83,6.94,6.72,6.73,360300,0.0,0.0
2025-07-24,6.93,6.93,6.75,6.86,566900,0.0,0.0
2025-07-23,6.99,7.14,6.89,6.96,663800,0.0,0.0
2025-07-22,6.67,6.97,6.65,6.92,618900,0.0,0.0
2025-07-21,6.74,6.77,6.56,6.64,409100,0.0,0.0
2025-07-18,6.79,6.82,6.64,6.64,284800,0.0,0.0
2025-07-17,6.66,6.74,6.57,6.68,438100,0.0,0.0
2025-07-16,6.9,6.91,6.7,6.72,524200,0.0,0.0
2025-07-15,7.06,7.13,6.88,6.89,417700,0.0,0.0
2025-07-14,7.11,7.11,6.86,7.02,433600,0.0,0.0
2025-07-11,7.22,7.38,7.07,7.11,442100,0.0,0.0
2025-07-10,7.08,7.28,6.96,7.24,278000,0.0,0.0
2025-07-09,7.2,7.23,7.05,7.1,329200,0.0,0.0
2025-07-08,6.94,7.29,6.89,7.25,385400,0.0,0.0
2025-07-07,7.11,7.12,6.84,6.93,438800,0.0,0.0
2025-07-03,7.09,7.13,6.95,7.11,355300,0.0,0.0
2025-07-02,6.65,7.08,6.58,7.06,893800,0.0,0.0
2025-07-01,6.55,6.68,6.45,6.62,640300,0.0,0.0
2025-06-30,6.71,6.74,6.47,6.52,479700,0.0,0.0
2025-06-27,6.85,6.88,6.69,6.71,535800,0.0,0.0
2025-06-26,6.75,6.86,6.72,6.85,391800,0.0,0.0
2025-06-25,6.95,7.05,6.69,6.71,510600,0.0,0.0
2025-06-24,6.9,7.06,6.85,6.96,507600,0.0,0.0
2025-06-23,7.37,7.45,6.87,6.95,755800,0.0,0.0
2025-06-20,7.49,7.51,7.27,7.34,299900,0.0,0.0
2025-06-18,7.73,7.79,7.37,7.46,456200,0.0,0.0
2025-06-17,7.65,7.86,7.59,7.73,599400,0.0,0.0
2025-06-16,7.73,7.82,7.56,7.62,502500,0.0,0.0
2025-06-13,7.75,7.8,7.48,7.74,726700,0.0,0.0
2025-06-12,7.37,7.58,7.3,7.52,405800,0.0,0.0
2025-06-11,7.39,7.57,7.28,7.52,555700,0.0,0.0
2025-06-10,7.0,7.47,7.0,7.27,1060700,0.0,0.0
2025-06-09,7.1,7.1,6.91,6.92,572500,0.0,0.0
2025-06-06,6.85,7.06,6.83,6.99,671800,0.0,0.0
2025-06-05,6.82,6.99,6.72,6.75,849600,0.0,0.0
2025-06-04,7.26,7.32,6.88,6.89,1825700,0.0,0.0
2025-06-03,6.54,7.17,6.42,7.15,1933700,0.0,0.0
2025-06-02,6.61,6.66,6.45,6.61,1352500,0.0,0.0
2025-05-30,6.37,6.42,6.25,6.28,1500900,0.0,0.0
2025-05-29,6.37,6.49,6.28,6.43,1264900,0.0,0.0
2025-05-28,6.45,6.51,6.18,6.32,2573300,0.0,0.0
2025-05-27,6.74,6.75,6.41,6.5,3157500,0.0,0.0
2025-05-23,6.58,6.89,6.54,6.81,619300,0.0,0.0
2025-05-22,6.59,6.72,6.44,6.72,872900,0.147,0.0
2025-05-21,6.89,6.98,6.59,6.61,953900,0.0,0.0
2025-05-20,6.55,6.8,6.54,6.8,995400,0.0,0.0
2025-05-19,6.64,6.67,6.42,6.54,4027200,0.0,0.0
2025-05-16,6.44,6.71,6.44,6.71,1529100,0.0,0.0
2025-05-15,6.33,6.64,6.31,6.48,4166100,0.0,0.0
2025-05-14,6.84,7.02,6.78,6.83,688900,0.0,0.0
2025-05-13,6.69,7.06,6.61,6.98,988600,0.0,0.0
2025-05-12,6.79,6.9,6.58,6.66,833300,0.0,0.0
2025-05-09,6.59,6.71,6.4,6.47,915500,0.0,0.0
2025-05-08,6.85,6.85,6.48,6.52,762000,0.0,0.0
2025-05-07,6.65,6.72,6.52,6.65,633800,0.0,0.0
2025-05-06,6.47,6.72,6.42,6.63,939300,0.0,0.0
2025-05-05,6.38,6.57,6.25,6.39,553400,0.0,0.0
2025-05-02,6.7,6.73,6.44,6.52,401600,0.0,0.0
2025-05-01,6.55,6.8,6.46,6.61,561300,0.0,0.0
2025-04-30,6.76,6.76,6.52,6.57,929300,0.0,0.0
2025-04-29,6.79,6.92,6.69,6.84,570400,0.0,0.0
2025-04-28,6.73,6.95,6.7,6.86,546800,0.0,0.0
2025-04-25,6.55,6.86,6.47,6.71,857200,0.0,0.0
2025-04-24,6.33,6.84,5.94,6.68,1865200,0.0,0.0
2025-04-23,6.49,6.68,6.29,6.38,1053400,0.0,0.0
2025-04-22,6.29,6.46,6.19,6.39,604000,0.0,0.0
2025-04-21,6.28,6.33,6.12,6.17,638300,0.0,0.0
2025-04-17,6.33,6.61,6.32,6.46,695100,0.0,0.0
2025-04-16,6.26,6.54,6.25,6.35,605500,0.0,0.0
2025-04-15,6.18,6.39,6.07,6.18,1332000,0.0,0.0
2025-04-14,6.51,6.61,6.22,6.26,1401700,0.0,0.0
2025-04-11,6.0,6.35,5.97,6.31,704100,0.0,0.0
2025-04-10,6.19,6.19,5.83,5.91,1031400,0.0,0.0
2025-04-09,5.62,6.51,5.54,6.44,1315300,0.0,0.0
