Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,12.49,12.53,11.73,11.96,3414100,0.0,0.0
2025-10-09,13.14,13.19,12.31,12.34,2336800,0.0,0.0
2025-10-08,13.75,13.79,13.13,13.15,1864800,0.0,0.0
2025-10-07,14.09,14.14,13.52,13.73,2621300,0.0,0.0
2025-10-06,14.25,14.4,13.95,14.1,1908200,0.0,0.0
2025-10-03,14.86,14.9,14.03,14.14,1870100,0.0,0.0
2025-10-02,14.75,14.81,14.43,14.76,2105300,0.0,0.0
2025-10-01,15.15,15.27,14.81,14.88,1476100,0.0,0.0
2025-09-30,15.64,15.83,15.02,15.02,1327600,0.0,0.0
2025-09-29,15.84,15.95,15.65,15.73,1581700,0.0,0.0
2025-09-26,15.88,16.19,15.72,15.72,2248600,0.0,0.0
2025-09-25,15.83,15.94,15.54,15.76,1914500,0.0,0.0
2025-09-24,16.1,16.4,15.94,15.95,1599800,0.0,0.0
2025-09-23,16.15,16.51,15.96,16.04,1842400,0.0,0.0
2025-09-22,15.96,16.13,15.7,16.11,1860800,0.0,0.0
2025-09-19,15.89,16.21,15.87,15.99,3493200,0.0,0.0
2025-09-18,15.64,15.97,15.53,15.86,2118300,0.0,0.0
2025-09-17,15.58,15.66,15.34,15.54,1263400,0.0,0.0
2025-09-16,15.45,15.78,15.31,15.73,2338500,0.0,0.0
2025-09-15,16.19,16.35,15.37,15.46,1850400,0.0,0.0
2025-09-12,16.17,16.36,15.91,16.07,2369900,0.0,0.0
2025-09-11,15.57,16.01,15.5,16.01,1561400,0.0,0.0
2025-09-10,15.56,15.83,15.36,15.44,1864200,0.0,0.0
2025-09-09,15.61,15.76,14.6,15.64,2659600,0.0,0.0
2025-09-08,15.56,16.03,15.47,15.68,2506300,0.0,0.0
2025-09-05,15.29,15.36,15.01,15.3,1389600,0.0,0.0
2025-09-04,15.14,15.55,15.0,15.11,1659300,0.0,0.0
2025-09-03,15.35,15.42,15.09,15.11,1914900,0.0,0.0
2025-09-02,15.46,15.48,15.07,15.29,1385600,0.0,0.0
2025-08-29,15.66,15.72,15.46,15.64,1348100,0.0,0.0
2025-08-28,15.8,15.98,15.6,15.7,1421000,0.0,0.0
2025-08-27,15.93,15.99,15.55,15.57,1077100,0.0,0.0
2025-08-26,15.71,16.11,15.71,15.88,1956100,0.0,0.0
2025-08-25,15.82,15.94,15.55,15.61,1995700,0.0,0.0
2025-08-22,15.77,15.92,15.46,15.79,2042900,0.0,0.0
2025-08-21,15.7,15.83,15.56,15.74,1567600,0.0,0.0
2025-08-20,15.96,16.02,15.52,15.78,2273200,0.0,0.0
2025-08-19,16.68,16.73,15.82,15.97,1846800,0.0,0.0
2025-08-18,16.68,17.01,16.52,16.65,2267800,0.0,0.0
2025-08-15,16.27,16.78,16.18,16.57,2278600,0.0,0.0
2025-08-14,16.27,16.59,16.15,16.33,2472100,0.0,0.0
2025-08-13,16.46,16.75,15.94,16.27,2367700,0.0,0.0
2025-08-12,16.89,16.91,16.27,16.44,3042600,0.0,0.0
2025-08-11,15.71,17.32,15.7,16.94,3647100,0.0,0.0
2025-08-08,14.96,16.52,14.75,15.69,6528100,0.0,0.0
2025-08-07,18.56,18.69,17.8,17.89,2825000,0.0,0.0
2025-08-06,17.85,18.66,17.75,18.64,2408500,0.0,0.0
2025-08-05,17.6,17.93,17.55,17.77,1925400,0.0,0.0
2025-08-04,17.46,17.92,17.42,17.76,1973800,0.0,0.0
2025-08-01,17.19,17.5,16.95,17.36,2344900,0.0,0.0
2025-07-31,17.95,18.05,17.33,17.48,1507700,0.0,0.0
