Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,5.41,5.42,5.16,5.16,541600,0.0,0.0
2025-10-09,5.52,5.64,5.44,5.49,352400,0.0,0.0
2025-10-08,5.57,5.57,5.43,5.56,339000,0.0,0.0
2025-10-07,5.57,5.6,5.45,5.53,332400,0.0,0.0
2025-10-06,5.53,5.61,5.48,5.56,312400,0.0,0.0
2025-10-03,5.41,5.52,5.39,5.46,272200,0.0,0.0
2025-10-02,5.52,5.55,5.34,5.36,362200,0.0,0.0
2025-10-01,5.34,5.57,5.32,5.55,748500,0.0,0.0
2025-09-30,5.49,5.5,5.34,5.41,591300,0.0,0.0
2025-09-29,5.72,5.72,5.48,5.51,486100,0.0,0.0
2025-09-26,5.72,5.91,5.7,5.77,496900,0.0,0.0
2025-09-25,5.58,5.74,5.55,5.71,1283900,0.0,0.0
2025-09-24,5.58,5.66,5.56,5.58,434200,0.0,0.0
2025-09-23,5.5,5.71,5.49,5.53,453900,0.0,0.0
2025-09-22,5.38,5.47,5.32,5.44,409400,0.0,0.0
2025-09-19,5.6,5.63,5.4,5.4,969700,0.0,0.0
2025-09-18,5.56,5.63,5.51,5.6,366800,0.0,0.0
2025-09-17,5.52,5.67,5.51,5.52,479000,0.0,0.0
2025-09-16,5.36,5.58,5.36,5.56,399500,0.0,0.0
2025-09-15,5.41,5.41,5.31,5.35,388400,0.0,0.0
2025-09-12,5.43,5.47,5.37,5.37,342200,0.0,0.0
2025-09-11,5.33,5.41,5.28,5.41,304500,0.0,0.0
2025-09-10,5.21,5.41,5.21,5.39,447200,0.0,0.0
2025-09-09,5.23,5.33,5.19,5.19,453800,0.0,0.0
2025-09-08,5.36,5.38,5.22,5.25,490400,0.0,0.0
2025-09-05,5.34,5.42,5.24,5.33,477000,0.0,0.0
2025-09-04,5.3,5.43,5.25,5.42,528200,0.0,0.0
2025-09-03,5.57,5.66,5.28,5.29,670300,0.0,0.0
2025-09-02,5.51,5.66,5.51,5.64,723100,0.0,0.0
2025-08-29,5.53,5.61,5.51,5.56,482300,0.11,0.0
2025-08-28,5.43,5.59,5.38,5.55,795400,0.0,0.0
2025-08-27,5.53,5.68,5.37,5.4,743500,0.0,0.0
2025-08-26,5.58,5.61,5.52,5.56,566600,0.0,0.0
2025-08-25,5.61,5.68,5.57,5.6,515600,0.0,0.0
2025-08-22,5.36,5.65,5.36,5.62,748900,0.0,0.0
2025-08-21,5.2,5.36,5.2,5.34,506000,0.0,0.0
2025-08-20,5.12,5.28,5.11,5.23,795400,0.0,0.0
2025-08-19,5.19,5.26,5.09,5.09,465100,0.0,0.0
2025-08-18,5.12,5.25,5.07,5.21,765200,0.0,0.0
2025-08-15,5.22,5.24,5.14,5.16,569300,0.0,0.0
2025-08-14,5.27,5.33,5.16,5.23,482600,0.0,0.0
2025-08-13,5.33,5.42,5.27,5.32,705200,0.0,0.0
2025-08-12,5.17,5.32,5.12,5.28,718400,0.0,0.0
2025-08-11,5.16,5.27,5.11,5.15,732100,0.0,0.0
2025-08-08,4.76,5.18,4.68,5.13,719000,0.0,0.0
2025-08-07,4.81,4.95,4.74,4.79,593000,0.0,0.0
2025-08-06,4.77,4.9,4.77,4.79,458600,0.0,0.0
2025-08-05,4.71,4.78,4.67,4.74,509700,0.0,0.0
2025-08-04,4.8,4.85,4.68,4.7,647300,0.0,0.0
2025-08-01,5.09,5.09,4.78,4.79,744000,0.0,0.0
2025-07-31,5.12,5.23,5.05,5.09,694100,0.0,0.0
2025-07-30,5.28,5.33,5.15,5.16,533800,0.0,0.0
2025-07-29,5.27,5.3,5.21,5.3,517500,0.0,0.0
2025-07-28,5.27,5.32,5.23,5.23,536400,0.0,0.0
2025-07-25,5.24,5.26,5.18,5.23,486600,0.0,0.0
2025-07-24,5.15,5.28,5.14,5.25,631400,0.0,0.0
2025-07-23,5.11,5.21,5.09,5.19,471700,0.0,0.0
2025-07-22,5.09,5.21,5.08,5.15,519700,0.0,0.0
2025-07-21,5.32,5.33,5.08,5.09,656400,0.0,0.0
2025-07-18,5.24,5.32,5.24,5.29,646200,0.0,0.0
2025-07-17,5.14,5.22,5.13,5.18,456600,0.0,0.0
2025-07-16,5.31,5.35,5.14,5.16,626900,0.0,0.0
2025-07-15,5.55,5.55,5.28,5.3,561900,0.0,0.0
2025-07-14,5.63,5.66,5.51,5.52,431100,0.0,0.0
2025-07-11,5.67,5.81,5.65,5.67,405600,0.0,0.0
2025-07-10,5.77,5.8,5.64,5.7,724200,0.0,0.0
2025-07-09,5.97,5.98,5.76,5.77,840600,0.0,0.0
2025-07-08,5.9,6.08,5.88,5.97,648300,0.0,0.0
2025-07-07,6.09,6.14,5.89,5.93,518400,0.0,0.0
2025-07-03,6.16,6.19,6.1,6.15,308200,0.0,0.0
2025-07-02,6.28,6.28,6.1,6.16,630800,0.0,0.0
