Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,783.12,791.66,764.0,764.36,2454500,0.0,0.0
2025-10-09,778.85,782.91,771.35,779.96,1575000,0.0,0.0
2025-10-08,791.75,795.0,774.34,776.51,1939300,0.0,0.0
2025-10-07,798.0,805.32,781.39,789.65,1547200,0.0,0.0
2025-10-06,795.0,802.5,780.05,796.78,1632600,0.0,0.0
2025-10-03,783.0,794.92,777.86,789.98,1470500,0.0,0.0
2025-10-02,788.88,791.0,772.44,779.38,1553700,0.0,0.0
2025-10-01,793.62,796.28,783.23,785.51,1788900,0.0,0.0
2025-09-30,805.5,809.62,786.45,796.35,2463900,0.0,0.0
2025-09-29,807.8,808.84,797.99,804.12,1059000,0.0,0.0
2025-09-26,797.16,809.5,795.13,802.51,1376200,0.0,0.0
2025-09-25,786.0,798.18,782.01,794.76,1413100,0.0,0.0
2025-09-24,809.55,812.84,792.34,792.43,1402500,0.0,0.0
2025-09-23,807.1,825.25,802.0,806.32,1758800,0.0,0.0
2025-09-22,801.14,806.03,797.54,805.56,1151000,0.0,0.0
2025-09-19,804.09,809.66,797.37,805.0,3789800,0.0,0.0
2025-09-18,795.57,807.28,792.4,804.31,1501600,0.0,0.0
2025-09-17,788.86,798.57,785.23,794.22,1945300,0.0,0.0
2025-09-16,789.53,790.01,779.69,785.53,1529500,0.0,0.0
2025-09-15,782.95,792.38,781.44,786.76,1292000,0.0,0.0
2025-09-12,783.5,787.03,776.26,780.06,1099400,0.0,0.0
2025-09-11,772.0,793.17,771.35,784.73,2075700,0.0,0.0
2025-09-10,761.86,774.47,761.63,769.58,1996200,0.0,0.0
2025-09-09,740.13,765.62,738.54,763.92,2611300,0.0,0.0
2025-09-08,739.42,743.54,733.57,741.85,1400100,0.0,0.0
2025-09-05,752.19,757.35,727.15,738.21,1822800,0.0,0.0
2025-09-04,733.75,748.91,731.17,748.9,1778200,0.0,0.0
2025-09-03,728.56,732.02,722.3,730.56,1485600,0.0,0.0
2025-09-02,736.39,736.39,721.16,730.85,2296400,0.0,0.0
2025-08-29,746.71,748.92,738.9,745.25,1467000,4.0,0.0
2025-08-28,746.99,749.32,743.01,747.22,1411200,0.0,0.0
2025-08-27,742.0,748.99,741.05,745.68,1534800,0.0,0.0
2025-08-26,733.78,745.17,729.95,744.96,1511600,0.0,0.0
2025-08-25,737.94,742.53,734.4,734.86,1381200,0.0,0.0
2025-08-22,716.31,740.87,714.75,737.94,1948600,0.0,0.0
2025-08-21,712.72,715.39,709.17,712.14,1162000,0.0,0.0
2025-08-20,717.36,718.4,701.79,716.84,1872700,0.0,0.0
2025-08-19,725.28,726.11,713.91,717.54,1856400,0.0,0.0
2025-08-18,725.62,727.71,720.02,727.07,1157800,0.0,0.0
2025-08-15,745.01,745.06,725.3,726.83,1645900,0.0,0.0
2025-08-14,738.77,744.18,733.08,743.22,1371200,0.0,0.0
2025-08-13,741.81,744.92,728.72,740.72,1862600,0.0,0.0
2025-08-12,721.42,744.16,720.49,739.42,2418100,0.0,0.0
2025-08-11,718.35,719.99,711.93,715.41,1273500,0.0,0.0
2025-08-08,722.0,724.12,714.82,717.43,1275400,0.0,0.0
2025-08-07,726.73,729.04,713.79,715.91,1400400,0.0,0.0
2025-08-06,720.64,724.42,718.16,720.88,1477100,0.0,0.0
2025-08-05,724.12,725.52,710.75,717.07,1977300,0.0,0.0
2025-08-04,711.39,722.92,711.39,722.16,1753700,0.0,0.0
2025-08-01,706.73,710.72,690.35,705.79,2999100,0.0,0.0
2025-07-31,722.72,730.13,716.6,719.74,2358100,0.0,0.0
2025-07-30,727.25,733.95,719.33,726.86,1816200,0.0,0.0
2025-07-29,722.98,730.22,718.57,728.08,2136000,0.0,0.0
2025-07-28,724.12,728.62,718.32,719.8,1464800,0.0,0.0
2025-07-25,716.92,726.0,714.52,725.1,1851400,0.0,0.0
2025-07-24,715.1,721.91,710.92,715.35,1974700,0.0,0.0
