Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,9.03,9.1,8.79,8.8,221000,0.0,0.0
2025-10-09,9.2,9.2,8.98,9.05,146100,0.0,0.0
2025-10-08,9.09,9.21,9.02,9.21,153400,0.0,0.0
2025-10-07,9.23,9.23,9.01,9.04,258500,0.0,0.0
2025-10-06,9.48,9.52,9.21,9.24,352000,0.0,0.0
2025-10-03,9.54,9.65,9.3,9.45,267700,0.0,0.0
2025-10-02,9.75,9.75,9.46,9.5,278000,0.0,0.0
2025-10-01,9.82,9.85,9.65,9.72,311000,0.0,0.0
2025-09-30,9.72,9.94,9.62,9.93,355600,0.0,0.0
2025-09-29,9.95,9.95,9.61,9.71,362400,0.0,0.0
2025-09-26,9.98,10.06,9.75,9.84,237700,0.0,0.0
2025-09-25,9.85,9.98,9.72,9.98,198700,0.0,0.0
2025-09-24,9.87,10.06,9.85,9.91,246400,0.0,0.0
2025-09-23,9.99,10.06,9.79,9.86,213700,0.0,0.0
2025-09-22,9.84,10.03,9.75,9.94,212000,0.0,0.0
2025-09-19,10.27,10.27,9.84,9.86,409800,0.0,0.0
2025-09-18,10.14,10.3,10.08,10.21,191500,0.0,0.0
2025-09-17,10.33,10.4,10.05,10.1,228800,0.0,0.0
2025-09-16,10.49,10.49,10.21,10.3,398000,0.0,0.0
2025-09-15,10.2,10.52,10.15,10.44,250600,0.0,0.0
2025-09-12,10.24,10.24,10.06,10.16,183800,0.0,0.0
2025-09-11,10.18,10.39,10.12,10.31,181700,0.0,0.0
2025-09-10,10.01,10.12,9.98,10.11,197200,0.0,0.0
2025-09-09,10.2,10.22,9.99,10.05,192500,0.0,0.0
2025-09-08,10.23,10.35,10.16,10.31,262700,0.0,0.0
2025-09-05,10.38,10.42,10.09,10.2,249000,0.0,0.0
2025-09-04,10.29,10.44,10.25,10.36,217900,0.0,0.0
2025-09-03,10.2,10.35,10.19,10.23,200200,0.0,0.0
2025-09-02,10.09,10.46,10.02,10.26,393000,0.0,0.0
2025-08-29,10.26,10.28,10.0,10.16,314400,0.0,0.0
2025-08-28,10.33,10.34,10.06,10.28,336600,0.0,0.0
2025-08-27,9.92,10.27,9.87,10.25,463300,0.0,0.0
2025-08-26,9.86,10.01,9.82,9.96,513000,0.0,0.0
2025-08-25,9.73,9.97,9.71,9.86,453200,0.0,0.0
2025-08-22,9.63,9.78,9.51,9.74,421700,0.0,0.0
2025-08-21,9.36,9.55,9.34,9.54,366400,0.0,0.0
2025-08-20,9.52,9.54,9.32,9.37,395800,0.0,0.0
2025-08-19,9.49,9.58,9.4,9.51,406700,0.0,0.0
2025-08-18,9.41,9.62,9.41,9.5,402500,0.0,0.0
2025-08-15,9.63,9.67,9.4,9.41,642700,0.0,0.0
2025-08-14,9.73,9.73,9.49,9.6,353900,0.0,0.0
2025-08-13,9.91,9.93,9.78,9.79,348600,0.0,0.0
2025-08-12,9.75,9.88,9.73,9.87,338000,0.0,0.0
2025-08-11,9.71,9.79,9.63,9.73,346200,0.0,0.0
2025-08-08,9.83,9.87,9.67,9.69,288300,0.0,0.0
2025-08-07,9.93,9.94,9.65,9.78,301700,0.0,0.0
2025-08-06,9.9,9.93,9.68,9.88,422300,0.0,0.0
2025-08-05,10.0,10.0,9.66,9.9,531000,0.0,0.0
2025-08-04,9.67,10.06,9.66,9.93,948400,0.0,0.0
2025-08-01,9.38,9.66,9.09,9.55,1052800,0.0,0.0
2025-07-31,9.33,9.7,9.1,9.39,2995400,0.0,0.0
2025-07-30,8.61,8.76,8.29,8.32,568300,0.0,0.0
2025-07-29,8.66,8.9,8.56,8.58,384800,0.0,0.0
2025-07-28,8.56,8.82,8.56,8.62,448700,0.0,0.0
2025-07-25,8.28,8.56,8.24,8.53,224200,0.0,0.0
2025-07-24,8.2,8.33,8.15,8.28,254500,0.0,0.0
2025-07-23,8.16,8.28,8.06,8.26,159800,0.0,0.0
2025-07-22,8.12,8.2,8.07,8.09,194100,0.0,0.0
2025-07-21,8.23,8.32,8.08,8.11,181600,0.0,0.0
2025-07-18,8.42,8.42,8.17,8.22,268500,0.0,0.0
2025-07-17,8.03,8.44,8.03,8.35,424800,0.0,0.0
2025-07-16,8.08,8.21,7.98,8.02,266800,0.0,0.0
2025-07-15,8.17,8.19,8.03,8.04,304200,0.0,0.0
2025-07-14,8.27,8.31,8.03,8.12,233100,0.0,0.0
2025-07-11,8.37,8.41,8.3,8.3,178200,0.0,0.0
2025-07-10,8.27,8.47,8.27,8.4,295300,0.0,0.0
2025-07-09,8.38,8.45,8.26,8.32,197400,0.0,0.0
2025-07-08,8.26,8.37,8.26,8.33,279700,0.0,0.0
2025-07-07,8.29,8.34,8.22,8.25,246200,0.0,0.0
2025-07-03,8.25,8.39,8.23,8.37,177900,0.0,0.0
2025-07-02,8.29,8.36,8.19,8.2,294900,0.0,0.0
2025-07-01,8.09,8.39,8.08,8.26,288100,0.0,0.0
2025-06-30,8.07,8.21,7.98,8.12,367300,0.0,0.0
2025-06-27,7.91,8.03,7.78,8.02,1054100,0.0,0.0
2025-06-26,7.98,8.02,7.79,7.89,330900,0.0,0.0
2025-06-25,8.0,8.15,7.85,7.98,323300,0.0,0.0
2025-06-24,7.95,8.03,7.83,7.98,338100,0.0,0.0
2025-06-23,7.75,7.93,7.65,7.91,240900,0.0,0.0
2025-06-20,7.98,7.98,7.71,7.74,661500,0.0,0.0
2025-06-18,7.75,7.95,7.7,7.86,458200,0.0,0.0
2025-06-17,7.93,7.93,7.62,7.77,529800,0.0,0.0
