Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,380.26,380.26,374.78,375.75,2990200,0.0,0.0
2025-10-09,382.9,384.36,377.46,377.69,3321400,0.0,0.0
2025-10-08,386.46,386.46,382.98,383.79,2517600,0.0,0.0
2025-10-07,389.45,389.75,385.51,386.81,2505700,0.0,0.0
2025-10-06,394.5,394.5,385.72,389.33,3653700,0.0,0.0
2025-10-03,394.13,397.32,392.63,395.06,2951300,0.0,0.0
2025-10-02,395.5,397.38,393.79,395.01,2964700,0.0,0.0
2025-10-01,404.39,405.13,395.31,397.02,3787800,0.0,0.0
2025-09-30,406.63,407.0,403.48,405.19,3211600,0.0,0.0
2025-09-29,410.05,410.95,403.85,406.8,3008400,0.0,0.0
2025-09-26,408.16,411.41,405.84,410.09,2316600,0.0,0.0
2025-09-25,406.65,410.86,405.61,407.45,2554300,0.0,0.0
2025-09-24,406.79,410.65,405.01,409.77,3220700,0.0,0.0
2025-09-23,412.0,413.73,407.46,410.91,2597000,0.0,0.0
2025-09-22,414.11,414.88,411.13,412.0,2656300,0.0,0.0
2025-09-19,417.37,418.58,415.1,415.69,6718400,0.0,0.0
2025-09-18,417.55,421.39,415.86,417.48,3677200,0.0,0.0
2025-09-17,424.44,426.75,415.81,417.0,4771700,0.0,0.0
2025-09-16,423.75,424.53,420.09,421.45,3726700,0.0,0.0
2025-09-15,422.47,423.3,417.75,422.71,4884700,0.0,0.0
2025-09-12,420.27,423.51,418.88,422.69,5004200,0.0,0.0
2025-09-11,415.7,425.22,414.25,423.42,5316400,0.0,0.0
2025-09-10,415.52,417.43,411.74,413.23,2897800,0.0,0.0
2025-09-09,418.12,418.72,412.75,415.34,3516000,0.0,0.0
2025-09-08,418.5,420.58,415.75,419.94,3742600,0.0,0.0
2025-09-05,416.59,420.4,414.02,418.95,5855600,0.0,0.0
2025-09-04,408.51,413.22,407.2,411.69,3873100,2.3,0.0
2025-09-03,402.66,406.71,401.29,405.41,3025100,0.0,0.0
2025-09-02,401.4,406.29,400.48,404.02,3328600,0.0,0.0
2025-08-29,405.43,406.59,403.11,404.48,2210300,0.0,0.0
2025-08-28,404.7,406.64,402.53,405.15,4051600,0.0,0.0
2025-08-27,406.48,409.37,404.9,405.94,2487800,0.0,0.0
2025-08-26,405.7,406.73,402.43,405.24,3180900,0.0,0.0
2025-08-25,408.05,408.75,405.25,406.59,3579500,0.0,0.0
2025-08-22,398.61,412.16,396.06,410.46,5284700,0.0,0.0
2025-08-21,397.65,402.15,393.94,395.46,2942600,0.0,0.0
2025-08-20,407.37,408.85,399.4,399.47,4195300,0.0,0.0
2025-08-19,398.76,412.02,398.76,404.9,7629300,0.0,0.0
2025-08-18,394.33,395.89,390.3,392.47,4407100,0.0,0.0
2025-08-15,399.94,400.52,393.2,397.13,3841400,0.0,0.0
2025-08-14,398.94,401.33,397.11,398.06,3600200,0.0,0.0
2025-08-13,397.24,405.52,396.5,404.88,5187500,0.0,0.0
2025-08-12,389.21,394.14,386.81,393.77,2911300,0.0,0.0
2025-08-11,387.78,389.31,381.14,385.34,2605800,0.0,0.0
2025-08-08,384.9,387.09,384.02,385.66,2326700,0.0,0.0
2025-08-07,386.43,389.24,381.2,383.99,2433000,0.0,0.0
2025-08-06,383.9,386.74,382.35,384.62,2812800,0.0,0.0
2025-08-05,379.71,384.76,378.81,383.24,2931400,0.0,0.0
2025-08-04,372.73,379.75,371.58,378.67,2844300,0.0,0.0
2025-08-01,365.75,372.69,363.69,371.55,3008200,0.0,0.0
2025-07-31,367.09,370.71,364.77,365.44,3091600,0.0,0.0
2025-07-30,375.55,376.39,367.54,369.98,3110700,0.0,0.0
2025-07-29,374.87,377.59,372.66,375.21,2931600,0.0,0.0
2025-07-28,371.63,378.93,370.88,375.1,4062800,0.0,0.0
2025-07-25,372.55,373.87,370.95,373.22,2221000,0.0,0.0
2025-07-24,373.36,375.75,370.16,370.99,3088000,0.0,0.0
2025-07-23,369.6,375.75,369.45,374.23,3238000,0.0,0.0
2025-07-22,362.42,370.1,361.67,368.92,3095400,0.0,0.0
2025-07-21,358.69,363.72,357.81,361.99,3503900,0.0,0.0
2025-07-18,357.95,358.57,354.96,357.37,3361600,0.0,0.0
2025-07-17,354.53,358.29,352.66,357.01,3128900,0.0,0.0
2025-07-16,357.83,358.91,350.47,355.38,4259800,0.0,0.0
2025-07-15,367.89,368.66,356.5,356.62,3868700,0.0,0.0
2025-07-14,368.39,369.2,364.38,368.02,2481100,0.0,0.0
2025-07-11,368.27,369.7,365.04,367.98,3068900,0.0,0.0
2025-07-10,366.92,375.81,366.43,371.19,3701700,0.0,0.0
2025-07-09,365.44,368.98,362.73,368.95,3384200,0.0,0.0
2025-07-08,363.96,368.31,363.05,365.43,2531700,0.0,0.0
2025-07-07,368.91,370.69,362.67,365.57,3433100,0.0,0.0
2025-07-03,369.71,371.07,366.25,369.58,2573600,0.0,0.0
2025-07-02,371.54,371.86,367.29,369.75,3011400,0.0,0.0
