Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,58.29,59.22,53.02,53.95,31705600,0.0,0.0
2025-10-09,59.1,59.99,56.25,58.25,19685700,0.0,0.0
2025-10-08,58.37,60.13,57.04,58.17,32546700,0.0,0.0
2025-10-07,54.8,58.25,54.5,57.97,33007600,0.0,0.0
2025-10-06,53.61,54.79,52.7,54.76,27144400,0.0,0.0
2025-10-03,58.0,58.93,52.51,52.54,35805500,0.0,0.0
2025-10-02,57.0,59.27,56.75,57.87,25918200,0.0,0.0
2025-10-01,55.9,57.61,55.09,56.31,24723500,0.0,0.0
2025-09-30,58.6,59.17,55.78,56.72,20804800,0.0,0.0
2025-09-29,58.59,60.55,58.25,59.12,26127900,0.0,0.0
2025-09-26,54.4,58.4,54.11,58.4,27271500,0.0,0.0
2025-09-25,52.12,55.1,50.7,54.87,22269400,0.0,0.0
2025-09-24,56.52,56.76,53.02,53.25,23273000,0.0,0.0
2025-09-23,57.21,57.73,55.31,56.0,22345900,0.0,0.0
2025-09-22,58.11,58.94,56.43,57.7,18736300,0.0,0.0
2025-09-19,56.23,59.36,56.17,57.82,36251600,0.0,0.0
2025-09-18,50.4,56.31,50.27,56.2,37206000,0.0,0.0
2025-09-17,50.29,51.0,49.17,50.35,26977800,0.0,0.0
2025-09-16,54.32,54.34,48.69,50.89,49261600,0.0,0.0
2025-09-15,54.99,56.52,53.91,53.96,28041700,0.0,0.0
2025-09-12,51.03,55.93,50.25,55.5,35502300,0.0,0.0
2025-09-11,48.82,52.49,48.6,51.76,34586700,0.0,0.0
2025-09-10,50.0,51.42,47.52,47.78,29097500,0.0,0.0
2025-09-09,49.97,50.46,47.48,47.79,22266900,0.0,0.0
2025-09-08,49.12,51.58,49.09,49.64,34988000,0.0,0.0
2025-09-05,48.83,49.16,46.86,48.41,24064500,0.0,0.0
2025-09-04,44.54,48.29,44.3,48.11,44797900,0.0,0.0
2025-09-03,43.0,45.67,42.5,44.46,30523600,0.0,0.0
2025-09-02,41.34,42.14,40.78,41.53,14391200,0.0,0.0
2025-08-29,44.2,44.49,42.21,42.35,16151100,0.0,0.0
2025-08-28,44.45,45.1,43.8,44.12,17802000,0.0,0.0
2025-08-27,45.32,45.92,43.99,44.01,19903400,0.0,0.0
2025-08-26,43.5,46.29,43.1,45.35,29415900,0.0,0.0
2025-08-25,44.44,44.83,42.97,42.99,17811100,0.0,0.0
2025-08-22,42.9,45.71,42.63,44.57,28003400,0.0,0.0
2025-08-21,43.26,44.93,42.98,43.96,27665700,0.0,0.0
2025-08-20,42.49,43.66,40.93,43.38,24709600,0.0,0.0
2025-08-19,44.78,45.1,41.92,42.18,22071400,0.0,0.0
2025-08-18,45.22,45.76,44.55,45.1,21557700,0.0,0.0
2025-08-15,46.02,47.35,45.34,46.02,18163400,0.0,0.0
2025-08-14,47.39,47.8,45.28,47.13,24049200,0.0,0.0
2025-08-13,48.59,48.65,46.76,48.33,19269100,0.0,0.0
2025-08-12,48.72,48.98,47.25,47.96,30022400,0.0,0.0
2025-08-11,51.3,52.1,49.56,49.98,27019900,0.0,0.0
2025-08-08,52.06,52.71,50.42,51.94,23206200,0.0,0.0
2025-08-07,51.76,53.53,50.25,51.05,32134500,0.0,0.0
2025-08-06,55.63,55.7,50.22,51.13,46133300,0.0,0.0
2025-08-05,55.29,64.11,54.7,55.52,105853300,0.0,0.0
2025-08-04,63.81,65.59,62.3,63.35,37443400,0.0,0.0
2025-08-01,64.57,66.2,61.69,62.55,26736400,0.0,0.0
2025-07-31,66.29,70.43,65.88,66.18,38205000,0.0,0.0
2025-07-30,60.66,66.43,60.59,65.53,55250600,0.0,0.0
2025-07-29,57.6,60.96,56.1,60.27,35638800,0.0,0.0
2025-07-28,58.74,59.82,56.53,58.68,22878400,0.0,0.0
2025-07-25,58.16,59.94,54.3,57.65,46347000,0.0,0.0
2025-07-24,57.6,57.87,55.6,57.32,26514800,0.0,0.0
2025-07-23,50.0,59.16,49.8,58.02,81802300,0.0,0.0
2025-07-22,48.01,50.58,46.93,50.01,24104200,0.0,0.0
2025-07-21,50.22,50.34,47.54,47.6,26123400,0.0,0.0
2025-07-18,50.67,51.07,48.5,50.38,22080500,0.0,0.0
2025-07-17,51.72,52.08,49.68,49.99,21167800,0.0,0.0
2025-07-16,51.0,52.16,49.4,51.85,22062400,0.0,0.0
2025-07-15,53.0,53.24,50.2,50.46,21863800,0.0,0.0
2025-07-14,47.82,52.3,47.36,52.03,35149300,0.0,0.0
2025-07-11,50.1,50.77,47.76,47.89,19001000,0.0,0.0
2025-07-10,51.54,51.93,50.0,50.27,21342700,0.0,0.0
2025-07-09,50.5,52.33,48.68,51.24,39491900,0.0,0.0
2025-07-08,48.9,50.82,48.3,48.96,30597200,0.0,0.0
2025-07-07,47.03,48.48,45.04,48.42,27366100,0.0,0.0
2025-07-03,47.56,49.06,46.55,47.98,17394300,0.0,0.0
2025-07-02,48.2,48.2,46.7,47.46,24263300,0.0,0.0
2025-07-01,48.84,50.88,47.02,47.96,35681000,0.0,0.0
2025-06-30,50.76,50.78,48.33,49.85,36568600,0.0,0.0
2025-06-27,47.0,51.99,46.4,49.41,83385600,0.0,0.0
2025-06-26,41.71,46.8,40.88,46.28,64363800,0.0,0.0
2025-06-25,43.7,46.52,41.2,41.41,62880200,0.0,0.0
2025-06-24,42.44,44.38,41.84,42.95,63586500,0.0,0.0
2025-06-23,48.16,48.35,41.97,41.98,176087900,0.0,0.0
2025-06-20,62.87,64.6,61.52,64.22,42237200,0.0,0.0
2025-06-18,60.48,62.54,58.15,61.07,43348400,0.0,0.0
2025-06-17,59.75,60.44,56.5,59.24,35241400,0.0,0.0
2025-06-16,56.75,61.67,55.77,59.78,42208900,0.0,0.0
2025-06-13,55.42,57.68,54.67,55.48,26398500,0.0,0.0
2025-06-12,56.3,59.9,56.19,57.15,34448000,0.0,0.0
2025-06-11,54.67,57.74,53.63,57.56,28327000,0.0,0.0
2025-06-10,56.86,58.76,53.54,55.25,38352500,0.0,0.0
2025-06-09,57.21,57.21,54.62,56.86,27510800,0.0,0.0
2025-06-06,53.18,57.51,52.75,56.33,41606400,0.0,0.0
2025-06-05,54.05,54.81,51.85,52.77,36763300,0.0,0.0
2025-06-04,55.76,59.29,52.8,53.61,60443200,0.0,0.0
2025-06-03,61.92,67.37,54.27,54.73,114947700,0.0,0.0
2025-06-02,56.93,58.77,55.67,56.77,36132400,0.0,0.0
2025-05-30,52.27,57.38,52.09,56.56,41060700,0.0,0.0
2025-05-29,54.0,55.0,52.11,52.4,15830600,0.0,0.0
2025-05-28,53.85,54.09,51.41,53.34,19725300,0.0,0.0
2025-05-27,56.1,56.3,52.82,53.36,27304400,0.0,0.0
2025-05-23,53.51,55.37,52.88,54.83,23607600,0.0,0.0
2025-05-22,53.37,56.52,51.2,53.52,48861300,0.0,0.0
2025-05-21,60.26,63.2,57.65,58.0,38861800,0.0,0.0
2025-05-20,62.54,63.67,59.7,61.21,35759200,0.0,0.0
2025-05-19,62.8,63.61,61.08,62.34,35719800,0.0,0.0
2025-05-16,59.04,64.82,57.42,64.65,51619600,0.0,0.0
2025-05-15,60.0,62.7,53.7,58.58,56408300,0.0,0.0
2025-05-14,64.0,65.89,60.82,61.12,46964000,0.0,0.0
2025-05-13,56.0,64.2,55.92,64.0,77358700,0.0,0.0
2025-05-12,56.09,58.6,54.2,55.21,59273900,0.0,0.0
2025-05-09,49.43,52.22,48.87,51.96,61867600,0.0,0.0
2025-05-08,51.6,54.75,50.04,51.4,81324500,0.0,0.0
2025-05-07,47.98,52.38,47.2,52.35,85989900,0.0,0.0
