Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,204.97,205.48,200.72,200.91,5088700,0.0,0.0
2025-10-09,209.99,210.0,203.48,204.23,3754900,0.0,0.0
2025-10-08,208.84,209.88,207.9,209.85,2814100,0.0,0.0
2025-10-07,208.63,209.68,207.81,208.98,3873400,0.0,0.0
2025-10-06,210.0,210.5,207.8,209.0,5157300,0.0,0.0
2025-10-03,210.98,212.03,208.42,209.05,4326500,0.0,0.0
2025-10-02,210.5,213.02,210.09,211.01,4307600,0.0,0.0
2025-10-01,210.5,212.79,209.99,210.18,3887200,0.0,0.0
2025-09-30,208.95,211.11,208.45,210.5,4182300,0.0,0.0
2025-09-29,209.89,210.16,204.37,209.28,5638000,0.0,0.0
2025-09-26,208.42,209.05,207.35,208.19,3551600,0.0,0.0
2025-09-25,208.9,209.38,207.3,207.7,4074000,0.0,0.0
2025-09-24,209.3,210.28,208.22,208.6,6158800,0.0,0.0
2025-09-23,209.44,211.02,208.81,209.31,6235300,0.0,0.0
2025-09-22,208.75,210.54,207.33,209.0,4805400,0.0,0.0
2025-09-19,211.1,211.1,207.42,209.37,11006100,0.0,0.0
2025-09-18,211.09,213.4,210.05,210.2,4453600,0.0,0.0
2025-09-17,211.67,213.65,210.25,211.68,5412300,0.0,0.0
2025-09-16,211.68,213.32,210.6,210.95,3339800,0.0,0.0
2025-09-15,211.76,212.93,210.69,211.74,3791700,0.0,0.0
2025-09-12,214.05,214.58,210.94,211.46,3169000,0.0,0.0
2025-09-11,211.92,216.16,211.47,215.31,5580500,0.0,0.0
2025-09-10,213.97,214.34,211.38,211.7,4285200,0.0,0.0
2025-09-09,214.96,215.31,211.94,214.2,2945100,0.0,0.0
2025-09-08,214.82,215.2,212.54,214.75,4563800,0.0,0.0
2025-09-05,214.98,216.29,213.37,214.25,4104900,0.0,0.0
2025-09-04,213.73,215.63,212.1,215.16,4655500,0.0,0.0
2025-09-03,217.18,217.23,212.56,214.0,3521600,0.0,0.0
2025-09-02,217.03,218.12,215.4,217.6,3252000,0.0,0.0
2025-08-29,221.07,221.6,219.18,219.5,1991100,0.0,0.0
2025-08-28,221.7,221.9,219.78,221.35,2600300,0.0,0.0
2025-08-27,221.62,222.72,220.69,221.25,2111700,0.0,0.0
2025-08-26,220.22,222.81,219.84,222.56,4057000,0.0,0.0
2025-08-25,221.74,222.42,220.5,220.61,2257100,0.0,0.0
2025-08-22,219.56,223.08,218.68,222.83,3282800,0.0,0.0
2025-08-21,216.49,217.77,215.0,217.42,2687400,0.0,0.0
2025-08-20,217.06,219.52,216.22,217.0,4061500,0.0,0.0
2025-08-19,216.26,218.17,215.47,216.74,2376700,0.0,0.0
2025-08-18,216.73,217.41,215.92,216.4,4113200,0.0,0.0
2025-08-15,218.02,218.02,215.78,216.77,2741000,1.13,0.0
2025-08-14,217.96,217.96,216.15,217.07,2972400,0.0,0.0
2025-08-13,216.24,218.8,216.09,218.6,3628100,0.0,0.0
2025-08-12,215.52,216.15,214.43,215.89,4349900,0.0,0.0
2025-08-11,215.19,215.47,213.09,215.33,2411300,0.0,0.0
2025-08-08,215.65,216.57,214.88,215.19,3059500,0.0,0.0
2025-08-07,219.14,219.37,214.49,215.46,2902500,0.0,0.0
2025-08-06,220.5,220.75,217.87,218.09,2792900,0.0,0.0
2025-08-05,218.88,220.22,218.37,219.92,2479800,0.0,0.0
2025-08-04,217.19,219.67,216.67,219.65,3452300,0.0,0.0
2025-08-01,220.22,220.49,216.04,216.58,3967000,0.0,0.0
2025-07-31,220.41,222.57,220.15,221.2,3054800,0.0,0.0
