Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,5.68,5.82,5.53,5.6,7393400,0.0,0.0
2025-10-09,5.84,5.88,5.64,5.65,5495900,0.0,0.0
2025-10-08,5.55,5.95,5.42,5.79,13269400,0.0,0.0
2025-10-07,5.65,5.88,5.45,5.58,10512300,0.0,0.0
2025-10-06,6.2,6.2,5.5,5.61,22630500,0.0,0.0
2025-10-03,6.72,6.76,6.24,6.25,9466700,0.0,0.0
2025-10-02,6.81,6.94,6.66,6.67,5774200,0.0,0.0
2025-10-01,6.73,7.12,6.69,6.77,9882300,0.0,0.0
2025-09-30,6.94,7.11,6.68,6.8,9642000,0.0,0.0
2025-09-29,6.84,6.95,6.49,6.84,6884000,0.0,0.0
2025-09-26,7.02,7.04,6.72,6.77,9289400,0.0,0.0
2025-09-25,6.97,7.54,6.72,7.03,30557100,0.0,0.0
2025-09-24,7.04,7.18,6.87,6.97,6175500,0.0,0.0
2025-09-23,6.85,7.24,6.84,6.96,5945700,0.0,0.0
2025-09-22,6.84,6.89,6.61,6.79,4672300,0.0,0.0
2025-09-19,6.77,7.11,6.59,6.8,11632000,0.0,0.0
2025-09-18,6.23,6.83,6.13,6.74,7838300,0.0,0.0
2025-09-17,6.22,6.62,6.18,6.19,7173400,0.0,0.0
2025-09-16,6.23,6.23,5.98,6.11,4991300,0.0,0.0
2025-09-15,6.46,6.53,6.12,6.19,5820700,0.0,0.0
2025-09-12,6.31,6.49,6.07,6.4,9278500,0.0,0.0
2025-09-11,5.85,6.28,5.83,6.21,6743700,0.0,0.0
2025-09-10,6.12,6.23,5.76,5.85,4911000,0.0,0.0
2025-09-09,5.96,6.15,5.78,6.09,8275100,0.0,0.0
2025-09-08,5.44,6.0,5.41,5.98,8010600,0.0,0.0
2025-09-05,5.55,5.64,5.43,5.47,3925000,0.0,0.0
2025-09-04,5.49,5.5,5.29,5.43,3484400,0.0,0.0
2025-09-03,5.59,5.63,5.36,5.41,4873400,0.0,0.0
2025-09-02,5.51,5.78,5.46,5.62,4008400,0.0,0.0
2025-08-29,5.71,5.91,5.66,5.73,4274600,0.0,0.0
2025-08-28,5.9,5.96,5.66,5.73,4407900,0.0,0.0
2025-08-27,5.66,5.91,5.61,5.85,5121300,0.0,0.0
2025-08-26,5.55,5.69,5.36,5.68,6477700,0.0,0.0
2025-08-25,5.8,5.86,5.5,5.57,6212800,0.0,0.0
2025-08-22,5.44,5.99,5.43,5.83,13762900,0.0,0.0
2025-08-21,5.45,5.51,5.13,5.37,12538200,0.0,0.0
2025-08-20,5.84,6.1,5.32,5.51,42259500,0.0,0.0
2025-08-19,5.25,5.29,5.08,5.2,10549500,0.0,0.0
2025-08-18,5.1,5.41,5.05,5.22,7041300,0.0,0.0
2025-08-15,5.25,5.28,5.1,5.11,4768400,0.0,0.0
2025-08-14,5.28,5.31,5.14,5.24,6042000,0.0,0.0
2025-08-13,5.28,5.46,5.16,5.38,5511800,0.0,0.0
2025-08-12,5.49,5.53,5.28,5.34,6558200,0.0,0.0
2025-08-11,5.59,5.65,5.34,5.4,9125800,0.0,0.0
