Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,6.07,6.07,5.5,5.6,243200,0.0,0.0
2025-10-09,6.21,6.33,6.08,6.1,109000,0.0,0.0
2025-10-08,6.25,6.37,6.11,6.16,85600,0.0,0.0
2025-10-07,6.22,6.3,6.13,6.25,89200,0.0,0.0
2025-10-06,6.37,6.44,6.1,6.34,170400,0.0,0.0
2025-10-03,6.51,6.77,6.21,6.33,275600,0.0,0.0
2025-10-02,6.31,6.5,6.24,6.44,140900,0.0,0.0
2025-10-01,6.16,6.41,6.14,6.36,171300,0.0,0.0
2025-09-30,6.34,6.48,6.15,6.23,204800,0.0,0.0
2025-09-29,6.86,6.86,6.31,6.45,308400,0.0,0.0
2025-09-26,7.2,7.51,6.82,6.96,566300,0.0,0.0
2025-09-25,6.79,7.31,6.63,6.98,413300,0.0,0.0
2025-09-24,6.67,6.99,6.44,6.8,239700,0.0,0.0
2025-09-23,6.55,7.05,6.54,6.65,219700,0.0,0.0
2025-09-22,6.63,6.63,6.38,6.54,112400,0.0,0.0
2025-09-19,6.68,6.75,6.55,6.59,120400,0.0,0.0
2025-09-18,6.53,6.86,6.53,6.72,70900,0.0,0.0
2025-09-17,6.62,6.88,6.5,6.58,105600,0.0,0.0
2025-09-16,6.76,6.94,6.66,6.75,135800,0.0,0.0
2025-09-15,6.81,6.83,6.45,6.69,159800,0.0,0.0
2025-09-12,7.28,7.43,6.75,6.88,197800,0.0,0.0
2025-09-11,7.25,7.5,7.0,7.07,194700,0.0,0.0
2025-09-10,6.8,7.76,6.66,7.56,339200,0.0,0.0
2025-09-09,6.51,7.7,6.51,6.75,351800,0.0,0.0
2025-09-08,7.47,7.67,6.54,6.55,205400,0.0,0.0
2025-09-05,7.94,8.07,7.15,7.46,158300,0.0,0.0
2025-09-04,8.01,8.04,7.61,7.9,179800,0.0,0.0
2025-09-03,8.33,8.33,7.95,8.17,160800,0.0,0.0
2025-09-02,8.29,8.56,8.1,8.46,169500,0.0,0.0
2025-08-29,8.18,8.3,8.0,8.23,134100,0.0,0.0
2025-08-28,8.57,8.66,8.06,8.16,198500,0.0,0.0
2025-08-27,9.25,9.69,8.58,8.58,217100,0.0,0.0
2025-08-26,8.93,9.08,8.69,8.95,79400,0.0,0.0
2025-08-25,8.93,9.17,8.71,8.91,118400,0.0,0.0
2025-08-22,8.83,9.23,8.64,8.93,67200,0.0,0.0
2025-08-21,8.19,8.99,8.05,8.83,126400,0.0,0.0
2025-08-20,8.5,8.55,7.91,8.2,108100,0.0,0.0
2025-08-19,9.62,9.7,8.27,8.49,219000,0.0,0.0
2025-08-18,9.62,10.02,9.38,9.82,174100,0.0,0.0
2025-08-15,10.0,10.0,9.56,9.61,59300,0.0,0.0
2025-08-14,9.93,10.03,9.65,9.97,83300,0.0,0.0
2025-08-13,10.13,10.17,9.84,9.93,126100,0.0,0.0
2025-08-12,10.35,10.35,10.0,10.04,87100,0.0,0.0
2025-08-11,10.4,10.55,10.1,10.29,80300,0.0,0.0
2025-08-08,10.51,10.89,10.31,10.73,74400,0.0,0.0
2025-08-07,10.74,10.97,10.11,10.58,72100,0.0,0.0
2025-08-06,11.17,11.4,10.55,10.56,91500,0.0,0.0
2025-08-05,10.1,11.35,9.95,11.01,285600,0.0,0.0
2025-08-04,9.68,10.17,9.5,10.04,102600,0.0,0.0
2025-08-01,9.43,10.35,8.93,9.64,208500,0.0,0.0
2025-07-31,10.44,10.55,9.3,9.51,336600,0.0,0.0
2025-07-30,11.46,11.46,10.19,10.43,244200,0.0,0.0
2025-07-29,10.51,11.85,10.51,11.8,434200,0.0,0.0
2025-07-28,11.05,11.15,10.51,10.61,82400,0.0,0.0
2025-07-25,11.28,11.28,10.5,10.86,104200,0.0,0.0
2025-07-24,10.72,11.56,10.51,11.19,172900,0.0,0.0
2025-07-23,10.3,11.09,10.3,10.77,114100,0.0,0.0
2025-07-22,9.9,10.63,9.9,10.56,89300,0.0,0.0
2025-07-21,11.0,11.0,9.93,9.94,167100,0.0,0.0
2025-07-18,10.96,11.3,10.8,11.08,159200,0.0,0.0
2025-07-17,10.8,11.05,10.5,10.95,102900,0.0,0.0
2025-07-16,10.3,10.82,10.05,10.66,196800,0.0,0.0
2025-07-15,10.69,10.83,10.34,10.75,148200,0.0,0.0
2025-07-14,11.69,11.82,10.6,10.72,363000,0.0,0.0
2025-07-11,11.21,12.7,10.87,12.17,489100,0.0,0.0
2025-07-10,10.31,11.53,10.13,11.0,596000,0.0,0.0
2025-07-09,9.73,10.65,9.3,9.99,675600,0.0,0.0
2025-07-08,9.31,10.2,9.25,9.81,262100,0.0,0.0
2025-07-07,9.36,9.6,8.51,9.41,296400,0.0,0.0
2025-07-03,9.91,10.1,9.1,9.42,370400,0.0,0.0
2025-07-02,10.76,11.09,9.69,10.3,381700,0.0,0.0
2025-07-01,10.41,12.18,10.01,11.14,484800,0.0,0.0
2025-06-30,11.46,11.9,10.33,10.59,442700,0.0,0.0
2025-06-27,12.32,12.93,11.85,12.02,455800,0.0,0.0
2025-06-26,12.57,14.25,12.55,13.05,569600,0.0,0.0
2025-06-25,12.4,13.98,10.71,12.37,1341400,0.0,0.0
2025-06-24,12.7,13.49,11.55,12.83,2215200,0.0,0.0
2025-06-23,21.27,25.56,17.29,18.54,12760700,0.0,0.0
2025-06-20,15.94,16.0,13.4,14.8,2165400,0.0,0.0
2025-06-18,17.2,18.88,15.61,17.5,5547200,0.0,0.0
2025-06-17,11.88,24.47,11.0,20.0,18270100,0.0,0.0
2025-06-16,13.88,13.88,9.56,10.6,3419400,0.0,0.0
2025-06-13,12.86,19.74,12.74,15.65,28873000,0.0,0.0
2025-06-12,6.73,9.2,5.89,7.14,6393300,0.0,0.0
2025-06-11,4.45,5.74,4.4,5.46,791900,0.0,0.0
2025-06-10,4.26,4.82,3.96,4.39,138100,0.0,0.0
2025-06-09,4.79,5.25,4.32,4.33,94500,0.0,0.1
2025-06-06,5.1,5.1,4.7,4.9,34740,0.0,0.0
2025-06-05,4.8,5.1,4.7,4.8,36030,0.0,0.0
2025-06-04,5.1,5.1,4.6,4.8,45360,0.0,0.0
2025-06-03,4.5,4.9,4.3,4.8,26010,0.0,0.0
2025-06-02,4.6,4.6,3.9,4.4,104920,0.0,0.0
2025-05-30,4.7,4.9,4.5,4.5,42470,0.0,0.0
2025-05-29,6.5,6.5,4.6,4.8,105840,0.0,0.0
2025-05-28,6.9,7.2,6.7,7.1,27470,0.0,0.0
2025-05-27,6.7,6.9,6.5,6.9,11650,0.0,0.0
2025-05-23,6.6,6.8,6.6,6.7,12070,0.0,0.0
2025-05-22,6.8,6.8,6.2,6.5,21720,0.0,0.0
2025-05-21,6.6,7.0,6.4,6.7,34990,0.0,0.0
2025-05-20,6.5,6.7,6.3,6.4,46360,0.0,0.0
2025-05-19,6.1,6.6,6.1,6.3,10970,0.0,0.0
2025-05-16,6.1,6.5,6.1,6.3,13610,0.0,0.0
2025-05-15,6.6,6.8,6.1,6.2,25820,0.0,0.0
2025-05-14,7.3,7.3,6.7,6.8,15010,0.0,0.0
2025-05-13,6.8,7.2,6.5,7.0,40200,0.0,0.0
2025-05-12,6.5,6.7,6.4,6.7,30070,0.0,0.0
2025-05-09,6.5,6.6,6.2,6.3,11140,0.0,0.0
2025-05-08,6.0,6.4,6.0,6.4,21270,0.0,0.0
2025-05-07,6.1,6.3,5.9,6.0,20620,0.0,0.0
2025-05-06,6.1,6.2,5.9,6.0,28210,0.0,0.0
2025-05-05,6.1,6.2,5.9,6.1,9520,0.0,0.0
2025-05-02,6.0,6.3,5.7,6.1,35520,0.0,0.0
2025-05-01,5.8,6.6,5.7,5.8,102150,0.0,0.0
2025-04-30,6.1,6.1,5.7,5.7,15340,0.0,0.0
2025-04-29,6.3,6.3,5.9,6.0,13550,0.0,0.0
2025-04-28,6.3,6.3,5.8,6.1,10770,0.0,0.0
2025-04-25,6.3,6.4,5.8,6.3,12240,0.0,0.0
2025-04-24,5.8,6.1,5.7,6.1,29130,0.0,0.0
2025-04-23,5.5,5.8,5.5,5.6,15000,0.0,0.0
2025-04-22,5.4,5.5,5.2,5.4,17980,0.0,0.0
2025-04-21,5.8,5.8,5.3,5.4,20670,0.0,0.0
2025-04-17,5.6,5.9,5.5,5.7,25140,0.0,0.0
2025-04-16,5.4,5.6,5.3,5.5,14970,0.0,0.0
2025-04-15,5.7,5.7,5.3,5.6,9980,0.0,0.0
2025-04-14,5.9,6.0,5.4,5.6,17110,0.0,0.0
2025-04-11,5.4,5.8,5.2,5.8,38860,0.0,0.0
2025-04-10,5.8,5.8,5.2,5.4,22570,0.0,0.0
2025-04-09,5.3,6.5,5.0,5.5,37200,0.0,0.0
2025-04-08,6.6,6.6,5.2,5.4,39840,0.0,0.0
