Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,49.13,51.3,42.88,43.57,11047700,0.0,0.0
2025-10-09,44.0,46.59,43.6,46.36,5004600,0.0,0.0
2025-10-08,42.3,45.25,42.12,44.6,8711400,0.0,0.0
2025-10-07,42.75,43.41,38.89,41.73,5856600,0.0,0.0
2025-10-06,41.5,42.39,40.91,41.42,5503100,0.0,0.0
2025-10-03,39.75,41.64,38.9,40.1,7170600,0.0,0.0
2025-10-02,37.27,39.32,36.69,39.04,5817000,0.0,0.0
2025-10-01,35.26,37.45,34.54,36.53,5969700,0.0,0.0
2025-09-30,34.66,35.15,33.91,34.81,3053300,0.0,0.0
2025-09-29,34.07,35.53,33.93,34.85,4814400,0.0,0.0
2025-09-26,34.9,34.99,32.28,33.16,5589200,0.0,0.0
2025-09-25,35.92,36.69,33.68,34.88,8829700,0.0,0.0
2025-09-24,36.27,38.14,35.69,37.86,7194000,0.0,0.0
2025-09-23,38.16,38.99,35.08,35.42,8555100,0.0,0.0
2025-09-22,35.67,38.34,34.36,37.87,6618600,0.0,0.0
2025-09-19,37.1,37.62,35.63,36.24,9566500,0.0,0.0
2025-09-18,38.4,39.47,37.35,37.38,8937000,0.0,0.0
2025-09-17,33.99,38.36,33.9,37.79,9526100,0.0,0.0
2025-09-16,34.62,35.65,33.8,35.03,5853100,0.0,0.0
2025-09-15,33.12,34.21,32.35,34.19,4207700,0.0,0.0
2025-09-12,32.22,32.83,31.79,32.44,3817500,0.0,0.0
2025-09-11,31.13,32.22,30.66,31.96,4634000,0.0,0.0
2025-09-10,30.14,31.93,29.75,30.95,7678400,0.0,0.0
2025-09-09,26.67,29.34,26.19,29.3,9270700,0.0,0.0
2025-09-08,25.49,26.16,25.45,25.48,3877400,0.0,0.0
2025-09-05,26.39,27.16,24.2,25.38,5256800,0.0,0.0
2025-09-04,27.6,27.81,25.53,25.61,6387300,0.0,0.0
2025-09-03,27.79,28.66,26.25,27.67,11114700,0.0,0.0
2025-09-02,25.82,27.53,24.77,27.4,4428100,0.0,0.0
2025-08-29,26.41,27.08,26.05,26.73,4096700,0.0,0.0
2025-08-28,27.0,27.22,26.31,26.51,4308300,0.0,0.0
2025-08-27,26.0,27.4,25.6,26.35,6086700,0.0,0.0
2025-08-26,23.1,26.37,23.03,25.91,8850400,0.0,0.0
2025-08-25,22.58,23.62,21.89,23.45,3306900,0.0,0.0
2025-08-22,21.41,23.5,21.0,23.37,5636400,0.0,0.0
2025-08-21,22.16,22.16,21.01,21.37,4209700,0.0,0.0
2025-08-20,22.25,22.32,20.69,22.31,4290700,0.0,0.0
2025-08-19,24.35,24.43,21.5,21.98,6620900,0.0,0.0
2025-08-18,23.3,24.77,22.53,24.42,5945600,0.0,0.0
2025-08-15,23.55,23.9,22.8,23.32,4728000,0.0,0.0
2025-08-14,21.57,23.87,21.32,23.8,9120200,0.0,0.0
2025-08-13,21.91,22.48,21.67,22.36,4859000,0.0,0.0
2025-08-12,20.6,21.62,20.4,21.58,4121700,0.0,0.0
2025-08-11,19.7,21.31,19.7,20.57,6131300,0.0,0.0
2025-08-08,20.15,20.21,18.68,19.45,5391400,0.0,0.0
2025-08-07,21.16,21.71,19.12,20.02,5940400,0.0,0.0
2025-08-06,20.27,20.7,19.97,20.69,3130400,0.0,0.0
2025-08-05,21.07,21.08,19.92,20.27,3364700,0.0,0.0
2025-08-04,19.97,21.19,19.49,21.19,3189200,0.0,0.0
2025-08-01,19.85,20.28,19.1,19.78,4766500,0.0,0.0
2025-07-31,20.27,21.99,20.04,21.23,7835200,0.0,0.0
2025-07-30,19.74,20.03,19.37,19.82,3433700,0.0,0.0
2025-07-29,20.49,20.55,19.24,19.7,3411600,0.0,0.0
2025-07-28,20.78,20.93,20.12,20.33,2039900,0.0,0.0
2025-07-25,21.0,21.0,19.98,20.38,3410000,0.0,0.0
2025-07-24,21.36,21.73,21.06,21.14,3316700,0.0,0.0
2025-07-23,21.4,21.84,20.78,21.65,4046100,0.0,0.0
2025-07-22,21.76,21.76,20.38,21.4,4055000,0.0,0.0
2025-07-21,21.86,22.77,21.2,21.34,5032100,0.0,0.0
2025-07-18,22.26,22.6,20.91,21.62,5347400,0.0,0.0
2025-07-17,21.6,22.41,21.48,22.12,4202200,0.0,0.0
2025-07-16,22.18,22.77,21.94,22.24,5170000,0.0,0.0
2025-07-15,21.84,22.01,21.28,21.56,3956600,0.0,0.0
2025-07-14,22.24,23.56,21.84,22.12,6262300,0.0,0.0
2025-07-11,22.61,22.8,21.58,21.83,5592800,0.0,0.0
2025-07-10,21.18,22.37,20.9,22.07,6579600,0.0,0.0
2025-07-09,21.09,21.49,20.05,21.27,5171400,0.0,0.0
2025-07-08,21.94,22.42,20.74,20.89,5868300,0.0,0.0
2025-07-07,21.6,21.67,20.04,21.2,8725600,0.0,0.0
2025-07-03,21.15,22.33,21.1,21.9,6853600,0.0,0.0
2025-07-02,19.27,21.55,19.13,21.08,16981400,0.0,0.0
2025-07-01,18.08,19.74,18.03,18.48,6178500,0.0,0.0
2025-06-30,17.9,18.79,17.87,18.6,5177000,0.0,0.0
2025-06-27,18.59,18.59,17.42,17.66,7735000,0.0,0.0
2025-06-26,17.28,18.88,17.03,18.68,9417100,0.0,0.0
2025-06-25,17.68,18.41,17.39,17.45,6721900,0.0,0.0
2025-06-24,16.36,17.27,16.31,17.24,5097300,0.0,0.0
2025-06-23,16.14,16.53,15.26,15.89,7321400,0.0,0.0
2025-06-20,17.38,17.57,16.5,16.7,6626000,0.0,0.0
2025-06-18,16.77,17.32,16.67,17.03,5691400,0.0,0.0
2025-06-17,17.99,18.07,16.75,16.99,5327900,0.0,0.0
2025-06-16,18.0,18.6,17.58,18.46,4489900,0.0,0.0
2025-06-13,17.7,18.29,17.34,17.48,4831600,0.0,0.0
2025-06-12,17.83,18.94,17.79,18.36,4028900,0.0,0.0
2025-06-11,18.6,18.83,18.22,18.52,4598300,0.0,0.0
2025-06-10,18.78,19.01,18.16,18.53,4384100,0.0,0.0
2025-06-09,19.47,19.5,18.22,18.55,5962900,0.0,0.0
2025-06-06,16.89,18.83,16.79,18.57,11137800,0.0,0.0
2025-06-05,17.17,17.3,16.06,16.32,8786600,0.0,0.0
2025-06-04,15.95,17.13,15.82,17.01,6668200,0.0,0.0
2025-06-03,15.6,16.21,15.41,16.06,6761100,0.0,0.0
2025-06-02,15.03,15.59,14.88,15.21,5132900,0.0,0.0
2025-05-30,15.19,15.44,14.74,15.27,7494500,0.0,0.0
2025-05-29,15.84,15.93,15.31,15.38,4506000,0.0,0.0
2025-05-28,16.82,16.84,15.49,15.54,6761000,0.0,0.0
2025-05-27,17.26,17.38,16.54,16.9,6961800,0.0,0.0
2025-05-23,16.41,17.0,16.18,16.65,7186800,0.0,0.0
2025-05-22,16.91,17.45,16.57,17.08,10069500,0.0,0.0
2025-05-21,16.62,17.82,16.0,16.36,10944700,0.0,0.0
2025-05-20,17.14,17.23,16.38,16.83,8404700,0.0,0.0
2025-05-19,16.42,17.23,15.91,17.17,7205100,0.0,0.0
2025-05-16,15.55,17.45,15.53,17.13,11037600,0.0,0.0
2025-05-15,15.64,15.79,15.02,15.58,5903900,0.0,0.0
2025-05-14,16.64,16.93,16.05,16.13,7641100,0.0,0.0
2025-05-13,16.28,16.65,15.6,16.5,9637600,0.0,0.0
2025-05-12,15.2,16.31,14.97,15.52,11824300,0.0,0.0
2025-05-09,14.27,14.87,13.48,13.89,8254200,0.0,0.0
2025-05-08,13.09,14.78,12.81,14.17,10578700,0.0,0.0
2025-05-07,12.84,13.05,12.45,12.66,5087100,0.0,0.0
2025-05-06,12.32,12.83,12.23,12.76,3894100,0.0,0.0
2025-05-05,13.23,13.29,12.68,12.76,4470100,0.0,0.0
2025-05-02,13.77,14.27,13.47,13.8,5555500,0.0,0.0
2025-05-01,12.9,13.7,12.74,13.51,8090200,0.0,0.0
2025-04-30,12.37,12.47,11.86,12.31,4580000,0.0,0.0
2025-04-29,13.03,13.16,12.79,13.05,3074600,0.0,0.0
2025-04-28,13.71,13.8,12.61,13.11,4221400,0.0,0.0
2025-04-25,13.15,13.66,12.86,13.4,4774600,0.0,0.0
2025-04-24,12.23,13.07,12.06,12.9,4604500,0.0,0.0
2025-04-23,12.71,12.83,11.98,12.26,6602900,0.0,0.0
2025-04-22,10.99,11.95,10.94,11.79,8131700,0.0,0.0
2025-04-21,11.21,11.43,10.61,10.64,5057800,0.0,0.0
2025-04-17,11.05,11.25,10.61,11.19,4259700,0.0,0.0
2025-04-16,11.09,11.45,10.86,11.08,5587800,0.0,0.0
2025-04-15,12.09,12.16,11.17,11.43,4693600,0.0,0.0
2025-04-14,12.75,12.91,11.92,12.1,5700100,0.0,0.0
2025-04-11,11.82,12.33,11.6,12.16,5154800,0.0,0.0
2025-04-10,12.15,12.22,11.44,11.73,6038800,0.0,0.0
2025-04-09,10.93,13.03,10.54,12.59,9684300,0.0,0.0
2025-04-08,12.07,12.34,10.76,11.08,5466100,0.0,0.0
2025-04-07,10.13,12.51,10.1,11.43,6705900,0.0,0.0
2025-04-04,11.55,11.74,10.04,11.39,7151200,0.0,0.0
2025-04-03,11.77,12.28,11.58,11.91,5324600,0.0,0.0
2025-04-02,12.99,13.63,12.77,13.39,8258300,0.0,0.0
2025-04-01,11.87,13.34,11.15,13.32,10059000,0.0,0.0
2025-03-31,12.3,12.46,11.47,11.62,9170000,0.0,0.0
2025-03-28,12.25,12.33,11.65,11.72,2883900,0.0,0.0
2025-03-27,12.57,12.76,12.31,12.46,2452600,0.0,0.0
2025-03-26,13.5,13.74,12.79,12.93,2778900,0.0,0.0
2025-03-25,13.89,13.95,13.37,13.66,2808500,0.0,0.0
2025-03-24,13.25,14.01,13.25,13.95,4583900,0.0,0.0
2025-03-21,12.53,12.91,12.37,12.9,3336600,0.0,0.0
2025-03-20,12.54,13.45,12.53,12.92,3899800,0.0,0.0
2025-03-19,12.24,13.26,12.24,12.93,4273700,0.0,0.0
2025-03-18,12.6,12.69,12.05,12.07,3549500,0.0,0.0
2025-03-17,12.44,13.15,12.2,12.95,3194100,0.0,0.0
2025-03-14,12.11,12.72,12.0,12.62,4043100,0.0,0.0
2025-03-13,12.11,12.19,11.45,11.71,3509900,0.0,0.0
2025-03-12,12.25,12.45,11.58,12.15,3874400,0.0,0.0
2025-03-11,11.5,12.11,11.03,11.88,4188700,0.0,0.0
2025-03-10,12.73,12.94,11.0,11.48,6093600,0.0,0.0
2025-03-07,13.41,13.67,12.56,13.51,5324400,0.0,0.0
2025-03-06,14.34,14.45,13.19,13.41,4624600,0.0,0.0
2025-03-05,14.54,14.94,14.02,14.92,3717100,0.0,0.0
2025-03-04,13.42,14.5,12.9,14.02,4646100,0.0,0.0
2025-03-03,16.51,17.45,14.01,14.08,6257100,0.0,0.0
2025-02-28,14.24,15.34,13.91,14.75,6653400,0.0,0.0
2025-02-27,15.43,16.17,14.39,14.41,5393600,0.0,0.0
2025-02-26,15.04,15.57,14.41,14.94,4967900,0.0,0.0
2025-02-25,15.89,15.95,13.72,14.87,7915600,0.0,0.0
2025-02-24,17.93,17.96,16.08,16.6,5289000,0.0,0.0
2025-02-21,19.86,20.3,17.78,17.93,6375700,0.0,0.0
2025-02-20,20.13,20.13,18.94,19.53,2949900,0.0,0.0
2025-02-19,19.79,20.53,19.64,19.72,2236200,0.0,0.0
2025-02-18,20.33,20.47,19.52,19.78,2753900,0.0,0.0
2025-02-14,20.57,20.88,20.27,20.47,2232500,0.0,0.0
2025-02-13,20.23,20.56,19.68,20.47,2820700,0.0,0.0
2025-02-12,19.81,20.51,19.42,20.32,2044400,0.0,0.0
2025-02-11,20.55,21.08,20.02,20.09,3029600,0.0,0.0
2025-02-10,21.25,21.28,20.57,20.81,2342300,0.0,0.0
2025-02-07,21.74,22.85,20.67,20.88,3741600,0.0,0.0
2025-02-06,21.12,21.78,20.56,21.1,2436100,0.0,0.0
2025-02-05,21.55,22.2,20.79,20.82,3107900,0.0,0.0
2025-02-04,21.26,21.95,21.16,21.57,2866700,0.0,0.0
2025-02-03,19.04,21.93,18.7,21.64,6128800,0.0,0.0
2025-01-31,21.54,22.75,21.36,21.69,6547600,0.0,0.0
2025-01-30,20.65,21.71,20.51,21.5,4791300,0.0,0.0
2025-01-29,19.44,20.47,19.16,20.11,4211200,0.0,0.0
2025-01-28,20.37,20.37,18.85,19.61,5519600,0.0,0.0
2025-01-27,23.89,24.0,18.65,19.78,13190000,0.0,0.0
2025-01-24,26.3,27.82,25.62,26.04,6741200,0.0,0.0
2025-01-23,25.0,27.24,24.94,25.43,5368600,0.0,0.0
2025-01-22,25.56,26.4,24.72,25.86,5154000,0.0,0.0
2025-01-21,27.34,27.58,25.23,26.12,5966600,0.0,0.0
2025-01-17,27.71,29.28,26.37,26.92,10173200,0.0,0.0
2025-01-16,25.56,27.08,25.55,26.59,4974400,0.0,0.0
2025-01-15,25.43,26.76,25.03,26.26,6109200,0.0,0.0
2025-01-14,24.3,24.98,23.24,23.86,4252000,0.0,0.0
2025-01-13,22.19,22.94,21.45,22.93,3938400,0.0,0.0
2025-01-10,22.75,23.47,22.14,23.4,4352500,0.0,0.0
2025-01-08,23.82,24.31,22.54,23.5,5044100,0.0,0.0
2025-01-07,27.19,27.19,24.36,24.85,7142700,0.0,0.0
2025-01-06,24.58,27.06,24.43,26.67,7675700,0.0,0.0
2025-01-03,21.8,24.17,21.63,24.16,5321900,0.0,0.0
2025-01-02,21.1,22.16,20.73,21.89,4095100,0.0,0.0
2024-12-31,22.54,22.84,20.34,20.49,4189000,0.0,0.0
2024-12-30,21.5,22.04,20.8,21.51,4005100,0.0,0.0
2024-12-27,24.01,24.17,22.12,22.32,4649400,0.0,0.0
2024-12-26,23.83,24.6,23.3,23.89,3039500,0.0,0.0
2024-12-24,22.92,24.63,22.77,24.28,3821900,0.0,0.0
2024-12-23,23.79,23.81,21.56,21.65,5707600,0.0,0.0
2024-12-20,23.09,24.44,22.81,23.68,7353300,0.0,0.0
2024-12-19,27.15,27.58,23.62,23.8,7806800,0.0,0.0
2024-12-18,29.3,29.5,25.3,26.13,9066900,0.0,0.0
2024-12-17,30.26,30.91,28.42,29.62,9004500,0.0,0.0
2024-12-16,28.41,31.33,27.33,29.06,11078500,0.0,0.0
2024-12-13,28.1,29.74,27.3,27.33,8539000,0.0,0.0
2024-12-12,30.27,31.26,27.12,27.32,18902800,0.0,0.0
2024-12-11,27.0,27.33,25.61,26.69,6518800,0.0,0.0
2024-12-10,27.41,27.54,24.63,25.62,5391400,0.0,0.0
2024-12-09,30.55,30.7,27.12,27.2,6018300,0.0,0.0
2024-12-06,28.35,31.95,28.35,30.24,8758400,0.0,0.0
2024-12-05,28.9,31.36,27.45,27.67,10894600,0.0,0.0
2024-12-04,25.15,27.31,24.87,27.03,8411600,0.0,0.0
2024-12-03,25.16,26.07,24.71,25.06,3682900,0.0,0.0
2024-12-02,27.12,28.21,25.21,25.93,7402700,0.0,0.0
2024-11-29,28.45,30.17,27.64,28.02,6661900,0.0,0.0
2024-11-27,25.05,28.78,24.61,28.45,12367300,0.0,0.0
2024-11-26,24.14,25.92,23.94,24.42,4740800,0.0,0.0
2024-11-25,26.39,26.39,23.21,25.24,7916400,0.0,0.0
2024-11-22,23.06,26.42,22.65,25.92,8055800,0.0,0.0
2024-11-21,26.05,26.32,22.54,23.48,8789100,0.0,0.0
2024-11-20,26.15,26.49,23.89,24.46,9510800,0.0,0.0
2024-11-19,24.82,25.38,23.67,25.32,8259200,0.0,0.0
2024-11-18,25.19,25.85,24.1,25.04,8311200,0.0,0.0
2024-11-15,24.26,25.74,23.44,25.26,7458300,0.0,0.0
2024-11-14,26.1,26.45,23.12,23.14,7483100,0.0,0.0
2024-11-13,25.47,28.47,24.34,24.78,17988400,0.0,0.0
2024-11-12,23.8,24.4,22.81,23.86,8961500,0.0,0.0
2024-11-11,21.34,25.32,20.57,24.59,13684700,0.0,0.0
2024-11-08,19.11,19.96,18.91,19.58,4712400,0.0,0.0
2024-11-07,18.47,19.42,18.3,18.97,6168400,0.0,0.0
2024-11-06,19.25,19.82,18.0,18.59,11597800,0.0,0.0
2024-11-05,16.0,17.48,15.98,16.74,5721800,0.0,0.0
2024-11-04,15.51,16.2,15.14,15.56,3125300,0.0,0.0
2024-11-01,16.04,17.33,15.73,16.02,6521900,0.0,0.0
2024-10-31,18.03,18.22,15.78,15.79,7379400,0.0,0.0
2024-10-30,16.77,18.39,16.65,18.16,6647200,0.0,0.0
2024-10-29,18.01,18.38,16.82,17.18,8234800,0.0,0.0
2024-10-28,15.51,17.49,15.41,17.21,8626500,0.0,0.0
