Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,288.97,290.39,277.5,277.82,4503700,0.0,0.0
2025-10-09,289.82,290.13,283.32,288.23,4912400,0.0,0.0
2025-10-08,294.16,294.2,286.47,289.46,5297000,0.0,0.0
2025-10-07,295.55,301.04,293.29,293.87,7190100,0.0,0.0
2025-10-06,288.61,291.45,287.8,289.42,2881900,0.0,0.0
2025-10-03,287.5,293.32,287.3,288.37,4375100,0.0,0.0
2025-10-02,285.79,288.54,282.79,286.72,3814200,0.0,0.0
2025-10-01,280.2,286.59,280.15,286.49,4381300,0.0,0.0
2025-09-30,280.88,286.02,280.52,282.16,5926900,0.0,0.0
2025-09-29,286.0,286.0,279.66,279.8,6022100,0.0,0.0
2025-09-26,280.51,288.85,280.11,284.31,9063900,0.0,0.0
2025-09-25,272.94,284.23,271.15,281.44,11506200,0.0,0.0
2025-09-24,272.62,273.65,267.3,267.53,3159900,0.0,0.0
2025-09-23,272.7,273.3,269.27,272.24,5394100,0.0,0.0
2025-09-22,266.62,272.31,266.0,271.37,5030500,0.0,0.0
2025-09-19,266.05,267.87,263.64,266.4,9858100,0.0,0.0
2025-09-18,258.86,265.23,256.8,265.0,4988400,0.0,0.0
2025-09-17,257.5,260.96,257.01,259.08,3974800,0.0,0.0
2025-09-16,256.26,258.0,254.41,257.52,2719900,0.0,0.0
2025-09-15,254.02,259.05,254.0,256.24,4028400,0.0,0.0
2025-09-12,256.95,257.25,252.43,253.44,3433300,0.0,0.0
2025-09-11,257.56,258.55,255.66,257.01,3576000,0.0,0.0
2025-09-10,259.65,260.08,254.56,256.88,5185400,0.0,0.0
2025-09-09,256.12,260.66,254.88,259.11,4931100,0.0,0.0
2025-09-08,248.63,257.15,247.02,256.09,6940300,0.0,0.0
2025-09-05,248.23,249.03,245.45,248.53,3147500,0.0,0.0
2025-09-04,245.42,249.28,242.85,247.18,4765100,0.0,0.0
2025-09-03,240.02,244.25,239.41,244.1,3163200,0.0,0.0
