Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,192.01,192.07,189.85,190.72,9465300,0.0,0.0
2025-10-09,190.0,192.1,189.73,191.08,7484800,0.0,0.0
2025-10-08,188.87,190.22,188.27,189.69,5751200,0.0,0.0
2025-10-07,183.77,189.23,182.94,188.89,8776800,0.0,0.0
2025-10-06,188.0,189.92,187.37,188.16,5806100,0.0,0.0
2025-10-03,187.06,189.78,186.91,188.64,8675100,0.0,0.0
2025-10-02,184.19,186.59,184.09,185.98,7728100,0.0,0.0
2025-10-01,186.0,186.56,183.91,186.05,13063800,0.0,0.0
2025-09-30,181.7,185.99,181.07,185.42,11569000,0.0,0.0
2025-09-29,179.83,181.87,179.8,181.62,8597100,0.0,0.0
2025-09-26,178.6,179.91,177.32,179.71,8634400,0.0,0.0
2025-09-25,177.2,178.4,175.91,177.73,8475000,0.0,0.0
2025-09-24,176.14,176.95,175.74,176.69,6676800,0.0,0.0
2025-09-23,174.89,176.97,174.83,176.58,8350400,0.0,0.0
2025-09-22,176.09,176.64,174.12,174.21,7193900,0.0,0.0
2025-09-19,174.69,177.16,173.33,176.19,25621000,0.0,0.0
2025-09-18,176.6,177.02,173.87,174.16,8200900,0.0,0.0
2025-09-17,176.71,178.51,176.59,177.2,6714900,0.0,0.0
2025-09-16,177.57,177.62,175.65,176.46,7959300,0.0,0.0
2025-09-15,177.76,178.99,176.93,177.4,4768100,0.0,0.0
2025-09-12,177.71,178.8,176.72,178.06,7220200,0.0,0.0
2025-09-11,175.75,178.85,175.63,178.5,5792500,0.0,0.0
2025-09-10,176.3,176.61,174.33,175.79,6891600,0.0,0.0
2025-09-09,178.0,178.09,176.45,176.96,6005700,0.0,0.0
2025-09-08,177.36,179.45,176.7,178.13,8382500,0.0,0.0
2025-09-05,178.0,179.51,176.56,178.43,9733800,0.0,0.0
2025-09-04,178.0,178.9,177.55,178.76,7854800,0.0,0.0
2025-09-03,177.67,178.29,176.53,178.0,7111700,0.0,0.0
2025-09-02,177.47,179.2,176.89,178.06,9049000,0.0,0.0
2025-08-29,175.97,177.41,175.45,177.17,6942300,0.0,0.0
