Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,17.26,17.41,16.2,16.28,45341700,0.0,0.0
2025-10-09,17.43,17.72,16.48,17.14,40409700,0.0,0.0
2025-10-08,16.86,17.9,16.65,17.37,115034900,0.0,0.0
2025-10-07,19.55,19.98,18.85,18.91,32064600,0.0,0.0
2025-10-06,18.61,19.59,18.42,19.57,33543800,0.0,0.0
2025-10-03,17.92,18.59,17.55,18.26,35918500,0.0,0.0
2025-10-02,16.5,17.9,16.18,17.8,40320500,0.0,0.0
2025-10-01,15.85,16.8,15.82,16.22,39148100,0.0,0.0
2025-09-30,15.92,16.38,15.33,16.14,29855000,0.0,0.0
2025-09-29,16.72,16.97,15.7,16.0,28721500,0.0,0.0
2025-09-26,15.73,16.38,15.57,16.11,31234900,0.0,0.0
2025-09-25,15.38,16.08,14.91,15.86,36836700,0.0,0.0
2025-09-24,16.83,16.88,15.86,15.97,43586000,0.0,0.0
2025-09-23,16.1,17.18,15.69,16.72,45726700,0.0,0.0
2025-09-22,16.08,16.19,15.17,15.86,49629900,0.0,0.0
2025-09-19,14.7,16.66,14.6,16.58,62295200,0.0,0.0
2025-09-18,14.38,14.82,14.16,14.63,36290800,0.0,0.0
2025-09-17,14.15,14.27,13.53,14.16,55428200,0.0,0.0
2025-09-16,14.38,14.61,13.88,14.39,56616300,0.0,0.0
2025-09-15,14.55,15.01,14.04,14.12,62457800,0.0,0.0
2025-09-12,14.75,15.23,13.81,14.0,75124700,0.0,0.0
2025-09-11,13.3,14.13,13.23,13.68,32950800,0.0,0.0
2025-09-10,14.35,14.36,13.26,13.26,41010000,0.0,0.0
2025-09-09,13.48,13.62,13.15,13.42,10507100,0.0,0.0
2025-09-08,13.69,13.77,13.19,13.43,26634300,0.0,0.0
2025-09-05,13.19,13.56,12.8,13.46,26957700,0.0,0.0
2025-09-04,13.06,13.2,12.7,13.1,34021200,0.0,0.0
2025-09-03,13.7,13.74,13.03,13.04,38532400,0.0,0.0
2025-09-02,13.27,13.6,13.09,13.38,33224500,0.0,0.0
2025-08-29,14.32,14.37,13.66,14.15,26103800,0.0,0.0
2025-08-28,14.46,14.66,14.19,14.27,24423500,0.0,0.0
2025-08-27,14.56,14.9,14.32,14.41,28037700,0.0,0.0
2025-08-26,14.32,15.51,14.15,14.73,37482100,0.0,0.0
2025-08-25,14.75,14.85,14.22,14.3,21703000,0.0,0.0
2025-08-22,14.55,15.08,14.19,14.95,34956600,0.0,0.0
2025-08-21,14.97,15.0,14.37,14.45,24128900,0.0,0.0
2025-08-20,14.64,14.93,14.1,14.72,35536900,0.0,0.0
2025-08-19,16.0,16.15,14.83,14.85,24506700,0.0,0.0
2025-08-18,16.7,16.76,15.66,16.06,29319600,0.0,0.0
2025-08-15,18.89,18.89,16.52,16.63,37151400,0.0,0.0
2025-08-14,17.51,17.76,17.05,17.37,13499100,0.0,0.0
2025-08-13,18.29,18.45,17.66,17.79,16629300,0.0,0.0
2025-08-12,17.03,18.25,16.86,18.01,23198200,0.0,0.0
2025-08-11,16.85,17.48,16.52,17.07,23111500,0.0,0.0
2025-08-08,17.34,17.36,16.3,16.64,28578800,0.0,0.0
2025-08-07,18.07,19.47,16.9,17.25,42664400,0.0,0.0
2025-08-06,20.06,20.06,18.53,18.93,34187300,0.0,0.0
2025-08-05,20.74,20.8,18.88,19.49,46356200,0.0,0.0
2025-08-04,18.38,20.95,18.27,20.39,81113100,0.0,0.0
