Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,305.66,310.47,300.81,300.89,8587400,0.0,0.0
2025-10-09,305.05,308.04,303.39,305.53,7060300,0.0,0.0
2025-10-08,308.21,308.78,303.55,304.03,6489900,0.0,0.0
2025-10-07,309.35,310.01,304.7,307.69,8454200,0.0,0.0
2025-10-06,310.18,311.75,305.13,309.18,7214500,1.5,0.0
2025-10-03,307.02,310.15,306.72,308.53,6029900,0.0,0.0
2025-10-02,308.5,309.06,304.66,306.06,7600000,0.0,0.0
2025-10-01,312.45,313.07,305.92,309.21,9235200,0.0,0.0
2025-09-30,314.72,315.87,308.61,313.9,11823300,0.0,0.0
2025-09-29,315.53,316.47,312.14,314.16,6462400,0.0,0.0
2025-09-26,313.38,316.27,312.18,314.53,7258100,0.0,0.0
2025-09-25,312.6,314.12,310.29,311.93,7083200,0.0,0.0
2025-09-24,312.53,315.05,310.16,311.9,7310500,0.0,0.0
2025-09-23,310.31,314.78,309.08,311.23,8584400,0.0,0.0
2025-09-22,308.3,312.18,308.06,310.93,7520200,0.0,0.0
2025-09-19,312.08,314.27,307.62,313.26,23568600,0.0,0.0
2025-09-18,310.28,311.92,308.11,311.71,8050700,0.0,0.0
2025-09-17,308.89,311.4,307.28,310.24,8657800,0.0,0.0
2025-09-16,308.5,309.4,305.64,307.69,10525600,0.0,0.0
2025-09-15,305.68,308.45,305.68,307.41,7122000,0.0,0.0
2025-09-12,303.52,306.06,302.23,305.43,6846700,0.0,0.0
2025-09-11,299.78,304.25,299.33,304.08,7942500,0.0,0.0
2025-09-10,295.26,300.08,293.97,299.09,7787300,0.0,0.0
2025-09-09,291.18,297.55,290.9,296.41,7848200,0.0,0.0
2025-09-08,293.46,295.03,290.03,291.49,8188500,0.0,0.0
2025-09-05,302.18,303.67,292.89,292.96,9837700,0.0,0.0
2025-09-04,298.55,302.96,296.84,302.35,6605800,0.0,0.0
2025-09-03,299.12,299.12,294.95,298.06,6316900,0.0,0.0
2025-09-02,298.81,299.01,293.08,298.25,7221900,0.0,0.0
2025-08-29,300.58,301.48,298.28,299.96,6796400,0.0,0.0
2025-08-28,298.57,299.78,297.25,299.61,6410500,0.0,0.0
2025-08-27,295.81,299.61,295.6,297.83,6056500,0.0,0.0
2025-08-26,292.74,297.29,292.08,297.13,6714700,0.0,0.0
2025-08-25,294.81,295.91,292.72,293.47,5856300,0.0,0.0
2025-08-22,291.78,295.72,288.73,294.81,8552800,0.0,0.0
