Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,6.62,6.7,6.33,6.35,950200,0.0,0.0
2025-10-09,6.79,6.79,6.49,6.64,998200,0.0,0.0
2025-10-08,6.67,6.87,6.59,6.8,1345000,0.0,0.0
2025-10-07,6.68,6.79,6.48,6.61,865300,0.0,0.0
2025-10-06,6.8,6.91,6.59,6.63,834100,0.0,0.0
2025-10-03,6.66,6.92,6.65,6.74,1010700,0.0,0.0
2025-10-02,6.75,6.79,6.55,6.64,1140000,0.0,0.0
2025-10-01,6.43,6.78,6.41,6.68,1619300,0.0,0.0
2025-09-30,6.32,6.43,6.21,6.41,1355800,0.0,0.0
2025-09-29,6.28,6.46,6.07,6.44,1399900,0.0,0.0
2025-09-26,6.28,6.83,6.25,6.31,3214200,0.0,0.0
2025-09-25,6.23,6.24,6.06,6.18,778100,0.0,0.0
2025-09-24,6.33,6.39,6.23,6.24,868300,0.0,0.0
2025-09-23,6.3,6.54,6.3,6.35,1145400,0.0,0.0
2025-09-22,6.17,6.5,6.02,6.29,1771400,0.0,0.0
2025-09-19,6.25,6.25,6.1,6.19,1752300,0.0,0.0
2025-09-18,6.15,6.25,6.1,6.23,1029800,0.0,0.0
2025-09-17,5.98,6.17,5.92,6.06,1237400,0.0,0.0
2025-09-16,6.0,6.19,5.9,5.95,1192600,0.0,0.0
2025-09-15,6.03,6.14,5.97,5.98,684000,0.0,0.0
2025-09-12,5.99,6.22,5.86,6.02,1406400,0.0,0.0
2025-09-11,5.76,6.1,5.74,6.0,1173600,0.0,0.0
2025-09-10,5.84,5.89,5.74,5.75,715100,0.0,0.0
2025-09-09,5.74,5.88,5.74,5.85,680800,0.0,0.0
2025-09-08,5.92,5.94,5.74,5.78,686500,0.0,0.0
2025-09-05,5.83,5.92,5.78,5.91,574700,0.0,0.0
2025-09-04,5.8,5.86,5.74,5.79,493200,0.0,0.0
2025-09-03,5.79,5.92,5.74,5.76,600600,0.0,0.0
2025-09-02,5.78,5.89,5.73,5.79,746000,0.0,0.0
2025-08-29,5.79,5.99,5.75,5.9,1116300,0.0,0.0
2025-08-28,5.88,5.97,5.78,5.79,815700,0.0,0.0
2025-08-27,5.82,5.9,5.76,5.86,816700,0.0,0.0
2025-08-26,5.9,5.95,5.74,5.81,1363200,0.0,0.0
2025-08-25,6.13,6.14,5.89,5.94,1195600,0.0,0.0
2025-08-22,5.93,6.16,5.85,6.13,1394300,0.0,0.0
2025-08-21,5.88,5.94,5.78,5.87,1312800,0.0,0.0
2025-08-20,6.0,6.09,5.88,5.93,1319200,0.0,0.0
2025-08-19,5.84,6.14,5.84,6.05,1745200,0.0,0.0
2025-08-18,6.21,6.24,5.82,5.84,2104000,0.0,0.0
2025-08-15,6.06,6.5,6.03,6.24,3512900,0.0,0.0
2025-08-14,5.4,5.92,5.39,5.83,2751300,0.0,0.0
2025-08-13,5.26,5.7,5.24,5.44,4022600,0.0,0.0
2025-08-12,5.8,5.98,4.94,5.43,10736200,0.0,0.0
2025-08-11,7.12,7.21,6.73,6.78,1915700,0.0,0.0
2025-08-08,7.24,7.25,7.01,7.04,1048300,0.0,0.0
2025-08-07,6.89,7.15,6.84,7.12,1637900,0.0,0.0
2025-08-06,6.56,6.91,6.56,6.89,942300,0.0,0.0
