Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,3.26,3.3,2.98,2.99,6273500,0.0,0.0
2025-10-09,3.54,3.54,3.13,3.22,5958100,0.0,0.0
2025-10-08,3.51,3.62,3.32,3.56,5545600,0.0,0.0
2025-10-07,3.66,3.69,3.25,3.41,9461400,0.0,0.0
2025-10-06,3.02,3.65,3.02,3.57,18425600,0.0,0.0
2025-10-03,2.68,2.84,2.61,2.82,5448800,0.0,0.0
2025-10-02,2.53,2.71,2.49,2.64,5616900,0.0,0.0
2025-10-01,2.4,2.52,2.32,2.5,4106100,0.0,0.0
2025-09-30,2.48,2.5,2.36,2.43,4166100,0.0,0.0
2025-09-29,2.4,2.66,2.37,2.45,7100800,0.0,0.0
2025-09-26,2.36,2.38,2.25,2.28,2367300,0.0,0.0
2025-09-25,2.44,2.44,2.28,2.34,3452900,0.0,0.0
2025-09-24,2.62,2.75,2.5,2.52,3716900,0.0,0.0
2025-09-23,2.71,2.8,2.58,2.61,4235500,0.0,0.0
2025-09-22,2.68,2.75,2.5,2.71,4606000,0.0,0.0
2025-09-19,2.71,2.82,2.65,2.69,7807400,0.0,0.0
2025-09-18,2.46,2.75,2.38,2.7,6984800,0.0,0.0
2025-09-17,2.36,2.46,2.29,2.42,5266400,0.0,0.0
2025-09-16,2.38,2.55,2.34,2.36,6258300,0.0,0.0
2025-09-15,2.63,2.63,2.21,2.25,10194800,0.0,0.0
2025-09-12,2.22,2.67,2.14,2.53,14462800,0.0,0.0
2025-09-11,2.1,2.27,2.1,2.25,1970300,0.0,0.0
2025-09-10,2.33,2.4,2.05,2.11,3805600,0.0,0.0
2025-09-09,2.21,2.32,2.17,2.28,4173200,0.0,0.0
2025-09-08,2.13,2.24,2.11,2.21,3285800,0.0,0.0
2025-09-05,2.18,2.22,2.05,2.12,1957900,0.0,0.0
2025-09-04,2.03,2.17,2.0,2.14,2682000,0.0,0.0
2025-09-03,2.08,2.13,2.04,2.05,1623300,0.0,0.0
2025-09-02,2.02,2.1,1.99,2.07,1862700,0.0,0.0
2025-08-29,2.19,2.19,2.06,2.1,2021100,0.0,0.0
2025-08-28,2.25,2.29,2.16,2.18,2732300,0.0,0.0
2025-08-27,2.23,2.24,2.13,2.16,3463200,0.0,0.0
2025-08-26,1.92,2.21,1.91,2.2,6573300,0.0,0.0
2025-08-25,1.89,1.97,1.84,1.93,2124600,0.0,0.0
2025-08-22,1.75,1.9,1.75,1.89,1694700,0.0,0.0
2025-08-21,1.74,1.78,1.72,1.75,1047300,0.0,0.0
2025-08-20,1.75,1.79,1.68,1.77,1890500,0.0,0.0
2025-08-19,1.94,1.95,1.75,1.79,2688900,0.0,0.0
2025-08-18,1.96,2.04,1.92,1.94,2426100,0.0,0.0
2025-08-15,1.91,2.02,1.87,1.97,2773000,0.0,0.0
2025-08-14,1.9,2.02,1.88,1.91,2229800,0.0,0.0
2025-08-13,2.03,2.12,1.91,1.91,3381700,0.0,0.0
2025-08-12,1.86,2.23,1.85,1.99,7844300,0.0,0.0
2025-08-11,1.93,2.04,1.84,1.87,2908900,0.0,0.0
2025-08-08,1.92,1.99,1.73,1.92,2740300,0.0,0.0
2025-08-07,1.98,2.01,1.84,1.89,1409000,0.0,0.0
2025-08-06,2.0,2.03,1.95,1.95,1635100,0.0,0.0
2025-08-05,1.86,2.04,1.83,2.0,2668700,0.0,0.0
2025-08-04,1.79,1.83,1.76,1.83,1740000,0.0,0.0
2025-08-01,1.7,1.78,1.66,1.74,1726700,0.0,0.0
2025-07-31,1.79,1.85,1.75,1.79,1989600,0.0,0.0
2025-07-30,1.83,1.87,1.77,1.77,1700200,0.0,0.0
2025-07-29,1.95,1.98,1.79,1.8,2662100,0.0,0.0
2025-07-28,2.06,2.07,1.92,1.93,3049200,0.0,0.0
2025-07-25,2.19,2.2,2.02,2.05,2286600,0.0,0.0
2025-07-24,2.13,2.21,2.1,2.18,2881600,0.0,0.0
2025-07-23,2.08,2.16,2.03,2.14,2572100,0.0,0.0
2025-07-22,2.1,2.11,1.87,2.07,4653400,0.0,0.0
2025-07-21,2.2,2.32,2.1,2.11,4791800,0.0,0.0
2025-07-18,2.23,2.24,2.09,2.17,4415500,0.0,0.0
2025-07-17,2.1,2.5,2.07,2.19,13447000,0.0,0.0
2025-07-16,1.7,1.97,1.68,1.94,6960100,0.0,0.0
2025-07-15,1.69,1.7,1.62,1.68,1640600,0.0,0.0
2025-07-14,1.71,1.73,1.65,1.69,1953900,0.0,0.0
2025-07-11,1.63,1.76,1.63,1.7,2586200,0.0,0.0
2025-07-10,1.69,1.71,1.62,1.66,1695600,0.0,0.0
2025-07-09,1.61,1.71,1.6,1.69,3056700,0.0,0.0
2025-07-08,1.55,1.61,1.52,1.6,1907300,0.0,0.0
2025-07-07,1.58,1.59,1.51,1.56,2291500,0.0,0.0
2025-07-03,1.56,1.63,1.54,1.58,1506900,0.0,0.0
2025-07-02,1.54,1.58,1.51,1.54,2177100,0.0,0.0
2025-07-01,1.51,1.57,1.44,1.52,1923700,0.0,0.0
2025-06-30,1.55,1.58,1.51,1.53,2240600,0.0,0.0
2025-06-27,1.62,1.64,1.51,1.55,22968200,0.0,0.0
2025-06-26,1.6,1.62,1.55,1.61,1917500,0.0,0.0
2025-06-25,1.64,1.65,1.57,1.59,1680300,0.0,0.0
2025-06-24,1.62,1.67,1.58,1.63,1903900,0.0,0.0
2025-06-23,1.62,1.7,1.58,1.58,2716300,0.0,0.0
2025-06-20,1.66,1.68,1.59,1.63,1762400,0.0,0.0
2025-06-18,1.62,1.66,1.58,1.63,1752000,0.0,0.0
2025-06-17,1.62,1.69,1.61,1.62,1732200,0.0,0.0
2025-06-16,1.57,1.67,1.57,1.64,1344400,0.0,0.0
2025-06-13,1.54,1.61,1.54,1.56,1469500,0.0,0.0
2025-06-12,1.62,1.66,1.58,1.6,1478100,0.0,0.0
2025-06-11,1.62,1.73,1.6,1.65,2512000,0.0,0.0
2025-06-10,1.68,1.68,1.59,1.62,2277500,0.0,0.0
2025-06-09,1.49,1.67,1.49,1.67,4645800,0.0,0.0
2025-06-06,1.48,1.51,1.46,1.47,1815000,0.0,0.0
2025-06-05,1.41,1.52,1.41,1.48,2523600,0.0,0.0
2025-06-04,1.37,1.44,1.36,1.43,1672100,0.0,0.0
2025-06-03,1.29,1.36,1.28,1.36,1687000,0.0,0.0
2025-06-02,1.3,1.31,1.23,1.27,2010300,0.0,0.0
2025-05-30,1.38,1.39,1.28,1.28,2550100,0.0,0.0
2025-05-29,1.34,1.41,1.34,1.37,2202100,0.0,0.0
2025-05-28,1.4,1.42,1.3,1.34,2900100,0.0,0.0
2025-05-27,1.38,1.45,1.37,1.37,1960500,0.0,0.0
2025-05-23,1.36,1.41,1.34,1.35,1585500,0.0,0.0
2025-05-22,1.34,1.42,1.3,1.38,1489700,0.0,0.0
2025-05-21,1.37,1.44,1.35,1.36,1843500,0.0,0.0
2025-05-20,1.37,1.4,1.35,1.38,1347100,0.0,0.0
2025-05-19,1.42,1.44,1.36,1.38,1738200,0.0,0.0
2025-05-16,1.47,1.57,1.47,1.48,2865200,0.0,0.0
2025-05-15,1.4,1.56,1.36,1.52,3450500,0.0,0.0
2025-05-14,1.45,1.49,1.32,1.41,3533000,0.0,0.0
2025-05-13,1.55,1.6,1.44,1.47,4991200,0.0,0.0
2025-05-12,1.49,1.57,1.47,1.55,4159800,0.0,0.0
2025-05-09,1.42,1.47,1.4,1.43,2103300,0.0,0.0
2025-05-08,1.34,1.43,1.31,1.42,2394200,0.0,0.0
2025-05-07,1.28,1.38,1.26,1.32,1976300,0.0,0.0
2025-05-06,1.3,1.32,1.24,1.28,1561600,0.0,0.0
2025-05-05,1.33,1.37,1.32,1.33,689300,0.0,0.0
2025-05-02,1.3,1.38,1.29,1.35,1499600,0.0,0.0
2025-05-01,1.26,1.34,1.24,1.31,1435800,0.0,0.0
2025-04-30,1.28,1.28,1.22,1.28,1434900,0.0,0.0
2025-04-29,1.27,1.36,1.25,1.32,2572000,0.0,0.0
2025-04-28,1.2,1.3,1.18,1.3,2317500,0.0,0.0
2025-04-25,1.2,1.21,1.14,1.2,1457500,0.0,0.0
2025-04-24,1.17,1.2,1.14,1.19,2290600,0.0,0.0
2025-04-23,1.15,1.18,1.08,1.11,1722500,0.0,0.0
2025-04-22,0.98,1.2,0.98,1.08,6057400,0.0,0.0
2025-04-21,0.91,0.98,0.88,0.93,2887800,0.0,0.0
2025-04-17,0.9,0.96,0.88,0.91,3146300,0.0,0.0
2025-04-16,0.82,0.86,0.81,0.84,1622200,0.0,0.0
2025-04-15,0.88,0.9,0.82,0.83,1466300,0.0,0.0
2025-04-14,0.9,0.94,0.86,0.88,3296800,0.0,0.0
2025-04-11,0.83,0.88,0.79,0.86,1239300,0.0,0.0
2025-04-10,0.87,0.87,0.81,0.83,1324500,0.0,0.0
2025-04-09,0.75,0.92,0.72,0.91,2148300,0.0,0.0
2025-04-08,0.87,0.88,0.72,0.74,2829600,0.0,0.0
2025-04-07,0.72,0.85,0.71,0.8,2331300,0.0,0.0
2025-04-04,0.85,0.85,0.71,0.79,3887100,0.0,0.0
2025-04-03,0.9,0.94,0.82,0.83,3314100,0.0,0.0
2025-04-02,0.91,0.99,0.91,0.96,2902900,0.0,0.0
2025-04-01,0.94,0.99,0.88,0.96,3742900,0.0,0.0
2025-03-31,0.89,0.96,0.85,0.93,3701900,0.0,0.0
2025-03-28,1.18,1.19,0.95,0.95,9567700,0.0,0.0
2025-03-27,1.32,1.41,1.24,1.27,2354900,0.0,0.0
2025-03-26,1.32,1.44,1.22,1.31,7247100,0.0,0.0
2025-03-25,1.32,1.36,1.3,1.32,1002700,0.0,0.0
2025-03-24,1.39,1.4,1.24,1.33,3457800,0.0,0.0
2025-03-21,1.35,1.4,1.32,1.38,1439900,0.0,0.0
2025-03-20,1.37,1.41,1.35,1.38,885300,0.0,0.0
2025-03-19,1.37,1.43,1.32,1.38,1230700,0.0,0.0
2025-03-18,1.44,1.47,1.35,1.37,1927700,0.0,0.0
2025-03-17,1.41,1.48,1.39,1.47,2188400,0.0,0.0
2025-03-14,1.38,1.45,1.36,1.41,2149800,0.0,0.0
2025-03-13,1.34,1.38,1.28,1.31,2026000,0.0,0.0
2025-03-12,1.37,1.4,1.31,1.34,1938300,0.0,0.0
2025-03-11,1.35,1.36,1.27,1.34,1230700,0.0,0.0
2025-03-10,1.46,1.46,1.27,1.31,2654700,0.0,0.0
2025-03-07,1.25,1.5,1.25,1.48,3560400,0.0,0.0
2025-03-06,1.33,1.35,1.25,1.28,2445600,0.0,0.0
2025-03-05,1.25,1.35,1.2,1.35,2220300,0.0,0.0
2025-03-04,1.19,1.33,1.16,1.27,2263200,0.0,0.0
2025-03-03,1.4,1.43,1.22,1.27,2280000,0.0,0.0
2025-02-28,1.34,1.39,1.27,1.38,1454000,0.0,0.0
2025-02-27,1.43,1.46,1.29,1.32,2436800,0.0,0.0
2025-02-26,1.47,1.51,1.39,1.41,2034500,0.0,0.0
2025-02-25,1.38,1.48,1.25,1.44,3606500,0.0,0.0
2025-02-24,1.5,1.5,1.36,1.39,3547800,0.0,0.0
2025-02-21,1.6,1.64,1.49,1.5,2371200,0.0,0.0
2025-02-20,1.62,1.66,1.51,1.58,2753600,0.0,0.0
2025-02-19,1.59,1.67,1.57,1.61,2412200,0.0,0.0
2025-02-18,1.69,1.7,1.56,1.61,2302900,0.0,0.0
2025-02-14,1.64,1.69,1.59,1.66,2292500,0.0,0.0
2025-02-13,1.71,1.71,1.58,1.63,3520700,0.0,0.0
2025-02-12,1.79,1.82,1.67,1.72,4279600,0.0,0.0
2025-02-11,1.77,1.94,1.52,1.84,10567200,0.0,0.0
2025-02-10,1.82,1.87,1.76,1.78,1993100,0.0,0.0
2025-02-07,1.85,1.93,1.77,1.81,2766800,0.0,0.0
2025-02-06,1.9,1.91,1.79,1.85,2718600,0.0,0.0
2025-02-05,1.93,1.99,1.85,1.9,4574300,0.0,0.0
2025-02-04,1.68,1.91,1.68,1.89,5918600,0.0,0.0
2025-02-03,1.61,1.69,1.57,1.66,4051300,0.0,0.0
2025-01-31,1.68,1.88,1.66,1.74,5368200,0.0,0.0
2025-01-30,1.66,1.71,1.56,1.69,4271500,0.0,0.0
2025-01-29,1.8,1.81,1.58,1.64,6923700,0.0,0.0
