Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,66.52,67.4,66.38,67.04,17960400,0.0,0.0
2025-10-09,66.29,66.8,66.12,66.37,12705200,0.0,0.0
2025-10-08,66.67,66.87,66.06,66.12,12606700,0.0,0.0
2025-10-07,66.22,67.26,65.87,66.79,13328300,0.0,0.0
2025-10-06,66.49,66.5,65.84,66.1,14333300,0.0,0.0
2025-10-03,66.1,66.99,66.04,66.65,12249200,0.0,0.0
2025-10-02,66.53,66.65,65.86,66.1,14350700,0.0,0.0
2025-10-01,66.51,66.83,66.29,66.78,14877500,0.0,0.0
2025-09-30,66.07,66.64,65.96,66.32,13815000,0.0,0.0
2025-09-29,65.67,66.1,65.35,66.04,14818500,0.0,0.0
2025-09-26,66.07,66.33,65.5,65.67,17821600,0.0,0.0
2025-09-25,66.75,66.92,65.95,65.98,14395000,0.0,0.0
2025-09-24,66.41,66.78,65.96,66.45,14759300,0.0,0.0
2025-09-23,66.35,66.76,65.9,66.71,15072800,0.0,0.0
2025-09-22,66.16,66.59,66.08,66.21,13298700,0.0,0.0
2025-09-19,66.49,66.73,66.05,66.43,31192900,0.0,0.0
2025-09-18,66.8,67.04,66.35,66.46,17722900,0.0,0.0
2025-09-17,66.41,67.13,66.41,67.04,17372300,0.0,0.0
2025-09-16,66.35,66.51,66.06,66.24,18555900,0.0,0.0
2025-09-15,66.68,66.78,66.1,66.21,15986100,0.51,0.0
2025-09-12,67.09,67.2,66.43,66.5,18712400,0.0,0.0
2025-09-11,67.4,67.65,67.07,67.11,15128700,0.0,0.0
2025-09-10,67.27,67.57,66.7,67.3,16041900,0.0,0.0
2025-09-09,66.77,67.59,66.77,67.34,14120600,0.0,0.0
2025-09-08,67.34,67.36,66.65,66.92,21671700,0.0,0.0
2025-09-05,67.49,68.06,67.35,67.44,23978000,0.0,0.0
2025-09-04,68.58,68.93,67.59,67.73,16736000,0.0,0.0
2025-09-03,68.14,68.57,66.86,68.46,33581500,0.0,0.0
2025-09-02,68.44,68.81,67.74,68.53,24770100,0.0,0.0
2025-08-29,68.15,68.61,67.91,68.46,14601100,0.0,0.0
2025-08-28,68.36,68.38,67.76,67.84,16209900,0.0,0.0
2025-08-27,68.3,68.35,67.95,68.31,11562700,0.0,0.0
2025-08-26,68.51,68.55,68.06,68.21,17964200,0.0,0.0
2025-08-25,69.58,69.7,68.2,68.41,13634600,0.0,0.0
2025-08-22,70.42,70.48,69.39,69.6,12999600,0.0,0.0
2025-08-21,70.06,70.37,69.79,70.12,8840400,0.0,0.0
2025-08-20,70.2,71.16,69.87,70.16,17530800,0.0,0.0
2025-08-19,68.77,69.69,68.71,69.6,13862200,0.0,0.0
2025-08-18,69.45,69.52,68.52,68.6,14094900,0.0,0.0
2025-08-15,69.21,69.85,69.04,69.39,12381100,0.0,0.0
2025-08-14,69.84,69.92,68.86,69.02,10722400,0.0,0.0
2025-08-13,70.15,70.23,69.7,69.92,10356500,0.0,0.0
2025-08-12,70.28,70.52,69.69,70.17,11061100,0.0,0.0
2025-08-11,69.76,70.32,69.43,70.21,10909400,0.0,0.0
2025-08-08,69.82,70.33,69.55,69.8,9232700,0.0,0.0
2025-08-07,68.93,70.18,68.8,69.89,15790800,0.0,0.0
2025-08-06,68.59,69.27,68.11,68.98,10783000,0.0,0.0
2025-08-05,68.38,68.96,68.23,68.52,11993400,0.0,0.0
2025-08-04,68.2,68.55,67.79,68.44,10701500,0.0,0.0
2025-08-01,68.08,68.51,67.75,68.34,16107500,0.0,0.0
2025-07-31,67.63,68.13,67.22,67.37,17193400,0.0,0.0
2025-07-30,68.58,68.8,68.01,68.23,10448200,0.0,0.0
2025-07-29,67.82,68.89,67.63,68.85,16223400,0.0,0.0
2025-07-28,68.22,68.38,67.54,67.57,13668800,0.0,0.0
2025-07-25,68.6,68.7,68.23,68.64,12574800,0.0,0.0
2025-07-24,68.73,69.02,68.46,68.57,12511400,0.0,0.0
2025-07-23,69.13,69.21,68.08,68.63,21030000,0.0,0.0
2025-07-22,68.92,69.73,68.17,69.13,22339900,0.0,0.0
2025-07-21,69.66,70.08,69.4,69.54,17811700,0.0,0.0
2025-07-18,69.9,70.16,69.3,69.32,14928000,0.0,0.0
2025-07-17,69.28,70.15,68.98,70.05,20464700,0.0,0.0
2025-07-16,68.82,68.97,68.27,68.74,13178300,0.0,0.0
2025-07-15,68.98,69.02,68.62,68.83,12639800,0.0,0.0
2025-07-14,69.27,69.55,68.74,68.94,13983200,0.0,0.0
2025-07-11,69.04,69.63,68.72,69.34,12916700,0.0,0.0
2025-07-10,68.76,69.32,68.63,69.24,14608400,0.0,0.0
2025-07-09,69.63,69.72,68.45,68.95,33704100,0.0,0.0
2025-07-08,70.14,70.14,69.35,69.71,17115500,0.0,0.0
2025-07-07,70.83,70.83,70.26,70.47,16984700,0.0,0.0
2025-07-03,70.5,70.86,69.91,70.81,9440500,0.0,0.0
2025-07-02,71.14,71.28,70.2,70.37,13050200,0.0,0.0
2025-07-01,70.45,71.9,70.36,71.12,21729300,0.0,0.0
2025-06-30,69.6,70.25,69.56,70.21,15429000,0.0,0.0
2025-06-27,69.06,70.02,68.94,69.79,23470700,0.0,0.0
2025-06-26,69.17,69.39,68.62,68.94,14454100,0.0,0.0
2025-06-25,69.4,69.49,68.9,69.1,12540400,0.0,0.0
2025-06-24,69.41,69.81,69.16,69.68,15216100,0.0,0.0
2025-06-23,68.61,69.28,68.45,69.21,21822800,0.0,0.0
2025-06-20,68.56,69.03,68.26,68.32,40859400,0.0,0.0
2025-06-18,69.47,69.47,68.56,68.68,16227600,0.0,0.0
2025-06-17,69.84,69.92,69.05,69.09,15437000,0.0,0.0
2025-06-16,70.66,71.07,69.71,69.98,15045900,0.0,0.0
2025-06-13,71.22,71.33,70.19,70.48,17467200,0.51,0.0
2025-06-12,71.19,71.34,70.55,71.18,12806900,0.0,0.0
2025-06-11,71.21,71.3,70.71,71.02,12718500,0.0,0.0
2025-06-10,70.85,71.63,70.71,71.29,12265000,0.0,0.0
2025-06-09,70.31,70.78,70.05,70.72,12281300,0.0,0.0
2025-06-06,70.04,70.44,69.9,70.31,9524000,0.0,0.0
2025-06-05,70.34,70.42,69.79,69.87,13531400,0.0,0.0
2025-06-04,70.22,70.8,69.65,70.33,13565900,0.0,0.0
2025-06-03,70.66,70.73,69.44,70.12,20139800,0.0,0.0
2025-06-02,70.98,70.99,70.32,70.95,10202700,0.0,0.0
2025-05-30,70.56,71.41,70.56,71.05,28019500,0.0,0.0
2025-05-29,69.96,70.61,69.43,70.45,10291100,0.0,0.0
2025-05-28,70.65,70.85,70.01,70.11,8710900,0.0,0.0
2025-05-27,70.69,71.16,70.51,70.73,10666100,0.0,0.0
2025-05-23,70.49,70.93,69.66,70.72,12822100,0.0,0.0
2025-05-22,70.79,70.94,69.92,70.1,11101800,0.0,0.0
2025-05-21,70.64,71.03,70.53,70.8,12094400,0.0,0.0
2025-05-20,70.75,71.08,70.39,70.64,12137800,0.0,0.0
2025-05-19,70.98,71.12,70.59,70.88,13282800,0.0,0.0
2025-05-16,70.81,71.2,70.39,70.95,18441200,0.0,0.0
2025-05-15,68.68,70.68,68.58,70.56,19817100,0.0,0.0
2025-05-14,67.87,68.33,67.58,68.15,16286800,0.0,0.0
2025-05-13,68.57,68.67,67.86,67.95,14389100,0.0,0.0
2025-05-12,69.12,69.3,67.7,68.51,21539000,0.0,0.0
2025-05-09,69.95,70.11,69.43,69.49,11228900,0.0,0.0
2025-05-08,71.14,71.41,70.09,70.13,14371100,0.0,0.0
2025-05-07,70.67,71.63,70.62,71.34,15018200,0.0,0.0
2025-05-06,70.63,70.85,70.12,70.67,12705500,0.0,0.0
2025-05-05,70.62,70.75,69.97,70.65,11932700,0.0,0.0
2025-05-02,70.45,70.77,70.06,70.6,12629600,0.0,0.0
2025-05-01,70.95,70.99,70.19,70.25,18034200,0.0,0.0
2025-04-30,72.28,72.41,70.64,71.49,21074700,0.0,0.0
2025-04-29,70.15,71.65,69.25,71.29,16244100,0.0,0.0
2025-04-28,71.03,71.2,70.27,70.74,15997500,0.0,0.0
2025-04-25,71.59,71.85,70.09,70.86,16316000,0.0,0.0
2025-04-24,71.95,72.36,71.24,71.46,16893900,0.0,0.0
2025-04-23,72.22,72.87,71.32,72.23,16353900,0.0,0.0
2025-04-22,71.93,73.29,71.85,72.82,15613500,0.0,0.0
2025-04-21,72.31,72.4,70.77,71.71,16037200,0.0,0.0
2025-04-17,70.85,72.36,70.67,71.93,20754500,0.0,0.0
2025-04-16,71.3,71.61,70.35,70.63,15276200,0.0,0.0
2025-04-15,71.56,71.57,70.67,70.81,14965500,0.0,0.0
2025-04-14,70.26,71.6,69.89,71.39,13930200,0.0,0.0
2025-04-11,69.87,70.8,69.51,70.39,19988200,0.0,0.0
2025-04-10,69.16,70.17,67.97,69.73,22450200,0.0,0.0
2025-04-09,66.93,69.44,66.3,68.93,27918700,0.0,0.0
2025-04-08,67.95,68.96,66.77,67.42,22774400,0.0,0.0
2025-04-07,65.26,68.37,65.08,67.37,34258400,0.0,0.0
2025-04-04,71.36,71.94,68.77,68.91,26517300,0.0,0.0
2025-04-03,71.42,72.87,71.26,72.11,24959600,0.0,0.0
2025-04-02,70.91,71.3,70.01,70.29,14606500,0.0,0.0
2025-04-01,70.63,70.86,70.15,70.82,15309100,0.0,0.0
2025-03-31,69.7,70.89,69.46,70.57,24016900,0.0,0.0
2025-03-28,69.77,70.28,68.51,69.34,17412900,0.0,0.0
2025-03-27,69.15,69.95,69.05,69.71,11663400,0.0,0.0
2025-03-26,67.91,69.32,67.89,69.0,14478200,0.0,0.0
2025-03-25,67.94,68.07,67.6,67.8,12513900,0.0,0.0
2025-03-24,67.79,68.07,67.33,67.94,12575400,0.0,0.0
2025-03-21,68.69,68.95,67.18,67.67,47479500,0.0,0.0
2025-03-20,68.3,68.79,68.08,68.69,16295300,0.0,0.0
2025-03-19,67.55,68.37,67.54,68.27,14780000,0.0,0.0
2025-03-18,69.09,69.16,68.29,68.37,12657600,0.0,0.0
2025-03-17,68.23,69.14,68.07,69.1,15634800,0.0,0.0
2025-03-14,67.51,68.25,67.38,68.15,14205100,0.51,0.0
2025-03-13,68.72,68.72,67.77,68.1,15746600,0.0,0.0
2025-03-12,68.83,69.19,68.22,68.41,18923300,0.0,0.0
2025-03-11,70.31,70.47,69.07,69.49,28076400,0.0,0.0
2025-03-10,70.39,71.62,69.76,69.89,25251200,0.0,0.0
2025-03-07,68.13,70.25,68.13,69.87,28393300,0.0,0.0
2025-03-06,68.87,68.99,67.93,68.92,21694000,0.0,0.0
2025-03-05,68.37,69.2,68.32,68.55,23933600,0.0,0.0
2025-03-04,70.5,71.06,68.35,68.66,25411900,0.0,0.0
2025-03-03,68.71,70.78,68.21,70.74,21717600,0.0,0.0
2025-02-28,69.89,70.01,69.02,69.66,22167400,0.0,0.0
2025-02-27,69.18,69.98,68.88,69.32,16789500,0.0,0.0
2025-02-26,69.71,69.72,68.99,69.25,14531200,0.0,0.0
2025-02-25,69.31,70.2,69.19,69.93,21555600,0.0,0.0
2025-02-24,69.29,70.16,68.79,69.05,21418400,0.0,0.0
2025-02-21,68.78,70.04,68.6,69.79,21662300,0.0,0.0
2025-02-20,68.19,68.54,67.9,68.51,13398000,0.0,0.0
