Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,15.37,15.38,13.92,13.98,7756300,0.0,0.0
2025-10-09,15.65,15.68,15.0,15.27,4711900,0.0,0.0
2025-10-08,15.88,16.08,15.61,15.73,3140700,0.0,0.0
2025-10-07,16.56,16.57,15.85,15.86,3889200,0.0,0.0
2025-10-06,16.88,16.99,16.44,16.51,4038600,0.0,0.0
2025-10-03,16.52,17.06,16.45,16.91,5769400,0.0,0.0
2025-10-02,15.85,16.58,15.71,16.43,4289500,0.0,0.0
2025-10-01,15.42,16.02,15.29,15.82,5726700,0.0,0.0
2025-09-30,15.23,15.54,15.04,15.37,4950100,0.0,0.0
2025-09-29,16.27,16.27,15.14,15.38,6540400,0.0,0.0
2025-09-26,16.11,16.38,15.93,16.23,4288300,0.0,0.0
2025-09-25,16.81,16.98,16.0,16.05,5435300,0.0,0.0
2025-09-24,17.2,17.63,17.11,17.12,3713500,0.0,0.0
2025-09-23,17.19,17.92,16.98,17.28,4420200,0.0,0.0
2025-09-22,17.35,17.57,16.84,16.89,5050800,0.0,0.0
2025-09-19,17.99,18.18,16.91,17.26,9475200,0.0,0.0
2025-09-18,17.2,18.04,17.19,17.38,5945400,0.0,0.0
2025-09-17,16.65,18.25,16.63,17.24,11565700,0.0,0.0
2025-09-16,16.02,16.75,15.7,16.65,9550200,0.0,0.0
2025-09-15,15.29,16.05,15.02,16.05,4022100,0.0,0.0
2025-09-12,15.91,16.07,15.14,15.3,5780400,0.0,0.0
2025-09-11,16.03,16.23,15.65,16.14,4047100,0.0,0.0
2025-09-10,16.3,16.57,15.76,16.04,4157300,0.125,0.0
2025-09-09,16.48,16.58,15.89,16.5,3884400,0.0,0.0
2025-09-08,16.65,16.76,15.86,16.47,3993700,0.0,0.0
2025-09-05,16.5,16.99,16.24,16.45,6491800,0.0,0.0
2025-09-04,15.79,16.35,15.56,16.3,4470200,0.0,0.0
2025-09-03,16.29,16.45,15.24,15.73,5964000,0.0,0.0
2025-09-02,14.67,16.06,14.51,16.01,7264100,0.0,0.0
2025-08-29,15.25,15.54,14.95,14.95,5707000,0.0,0.0
2025-08-28,16.15,16.32,14.31,15.25,16934400,0.0,0.0
2025-08-27,16.33,16.7,15.06,16.05,47362900,0.0,0.0
2025-08-26,13.86,14.06,12.07,12.94,15017600,0.0,0.0
2025-08-25,13.65,14.27,13.55,13.85,6102700,0.0,0.0
2025-08-22,13.29,14.14,13.21,13.79,6864100,0.0,0.0
2025-08-21,13.15,13.52,12.86,13.22,4007900,0.0,0.0
2025-08-20,13.34,13.41,12.98,13.24,4367700,0.0,0.0
2025-08-19,13.66,13.97,13.46,13.55,4428400,0.0,0.0
2025-08-18,13.86,13.87,13.33,13.54,4951300,0.0,0.0
2025-08-15,14.4,14.42,13.38,13.67,7287700,0.0,0.0
2025-08-14,13.52,14.37,13.18,14.35,9272600,0.0,0.0
2025-08-13,12.79,14.03,12.69,13.89,10818400,0.0,0.0
2025-08-12,12.58,12.98,12.38,12.73,6241000,0.0,0.0
2025-08-11,11.4,12.22,11.31,12.12,7354500,0.0,0.0
2025-08-08,11.22,11.22,10.77,11.04,4724400,0.0,0.0
2025-08-07,11.76,11.83,11.07,11.21,4127900,0.0,0.0
2025-08-06,11.31,11.86,11.31,11.66,4461500,0.0,0.0
2025-08-05,11.33,11.69,11.03,11.41,6137000,0.0,0.0
2025-08-04,10.66,11.41,10.66,11.3,7826500,0.0,0.0
2025-08-01,10.4,10.8,10.25,10.65,6803200,0.0,0.0
2025-07-31,11.08,11.25,10.57,10.76,8161100,0.0,0.0
2025-07-30,11.51,11.8,11.12,11.28,8299300,0.0,0.0
2025-07-29,12.56,12.76,11.58,11.6,11906900,0.0,0.0
2025-07-28,12.71,12.8,12.03,12.73,10948900,0.0,0.0
2025-07-25,13.6,13.6,12.43,12.69,16565000,0.0,0.0
2025-07-24,12.25,13.95,12.11,13.53,31351800,0.0,0.0
2025-07-23,13.89,13.99,11.72,12.21,44989000,0.0,0.0
2025-07-22,19.6,21.23,12.28,14.23,209344000,0.0,0.0
2025-07-21,9.61,10.34,9.49,10.34,9403600,0.0,0.0
2025-07-18,9.7,9.75,9.44,9.51,5069700,0.0,0.0
2025-07-17,9.37,9.61,9.35,9.56,3857900,0.0,0.0
2025-07-16,9.25,9.42,9.12,9.32,4055700,0.0,0.0
2025-07-15,9.73,9.78,9.14,9.2,6764100,0.0,0.0
2025-07-14,9.47,9.74,9.39,9.64,6738200,0.0,0.0
2025-07-11,9.43,9.65,9.21,9.5,6992600,0.0,0.0
2025-07-10,9.29,9.97,9.27,9.58,10004000,0.0,0.0
2025-07-09,8.99,9.38,8.94,9.28,6117300,0.0,0.0
2025-07-08,9.01,9.16,8.81,9.01,7042600,0.0,0.0
2025-07-07,9.13,9.23,8.88,8.95,6821300,0.0,0.0
2025-07-03,9.31,9.31,9.01,9.21,4409900,0.0,0.0
2025-07-02,9.19,9.22,8.76,9.13,6995300,0.0,0.0
2025-07-01,8.36,9.58,8.28,9.09,13460700,0.0,0.0
2025-06-30,8.56,8.76,8.3,8.42,5852600,0.0,0.0
2025-06-27,8.4,8.6,8.31,8.38,21760400,0.0,0.0
2025-06-26,8.07,8.32,7.93,8.27,5580400,0.0,0.0
2025-06-25,8.18,8.23,7.97,8.05,6445100,0.0,0.0
2025-06-24,8.23,8.44,8.11,8.16,5039100,0.0,0.0
2025-06-23,7.96,8.15,7.87,8.04,7565900,0.0,0.0
2025-06-20,8.33,8.41,8.1,8.17,7738900,0.0,0.0
2025-06-18,8.4,8.58,8.26,8.26,5865100,0.0,0.0
2025-06-17,8.73,8.81,8.4,8.41,5940600,0.0,0.0
2025-06-16,8.33,8.9,8.19,8.86,7624200,0.0,0.0
2025-06-13,8.41,8.55,8.03,8.06,7934500,0.0,0.0
2025-06-12,8.46,8.77,8.41,8.65,6188800,0.0,0.0
2025-06-11,9.5,9.52,8.71,8.71,9342800,0.125,0.0
2025-06-10,9.06,9.45,8.94,9.21,9040200,0.0,0.0
2025-06-09,8.89,9.07,8.65,8.82,7836600,0.0,0.0
2025-06-06,8.49,8.7,8.43,8.57,7139400,0.0,0.0
2025-06-05,8.06,8.4,8.01,8.39,7923000,0.0,0.0
2025-06-04,8.31,8.45,7.93,7.96,9077600,0.0,0.0
2025-06-03,8.03,8.38,8.0,8.2,8938700,0.0,0.0
2025-06-02,7.95,8.17,7.76,7.99,9460400,0.0,0.0
2025-05-30,7.79,8.33,7.66,7.96,14925700,0.0,0.0
2025-05-29,8.91,9.75,7.68,7.87,28187900,0.0,0.0
2025-05-28,7.88,8.01,7.58,7.93,12938600,0.0,0.0
2025-05-27,7.51,7.93,7.45,7.75,8013600,0.0,0.0
2025-05-23,7.61,7.68,7.32,7.33,7784300,0.0,0.0
2025-05-22,7.62,8.01,7.61,7.94,6495100,0.0,0.0
2025-05-21,7.83,8.06,7.56,7.65,10707500,0.0,0.0
2025-05-20,8.3,8.68,8.07,8.13,11690600,0.0,0.0
2025-05-19,8.16,8.42,8.05,8.27,8812700,0.0,0.0
2025-05-16,8.31,8.67,8.29,8.38,10218300,0.0,0.0
2025-05-15,7.94,8.28,7.79,8.2,9044600,0.0,0.0
2025-05-14,7.95,8.01,7.62,7.94,8637500,0.0,0.0
2025-05-13,7.59,7.95,7.37,7.89,8783200,0.0,0.0
2025-05-12,7.31,7.71,7.25,7.41,12824800,0.0,0.0
2025-05-09,7.02,7.13,6.56,6.57,7484800,0.0,0.0
2025-05-08,6.52,6.93,6.49,6.91,9528100,0.0,0.0
2025-05-07,6.43,6.57,6.34,6.38,6443700,0.0,0.0
2025-05-06,6.8,6.83,6.37,6.38,10051000,0.0,0.0
2025-05-05,7.36,7.49,6.9,6.91,7922500,0.0,0.0
2025-05-02,7.15,7.47,7.01,7.34,9998000,0.0,0.0
2025-05-01,6.97,7.3,6.72,7.06,19549000,0.0,0.0
2025-04-30,6.48,6.59,6.25,6.56,5330100,0.0,0.0
2025-04-29,6.77,6.77,6.47,6.68,6085000,0.0,0.0
2025-04-28,6.83,6.9,6.72,6.84,7176900,0.0,0.0
2025-04-25,6.92,7.08,6.82,6.91,7518000,0.0,0.0
2025-04-24,6.6,6.97,6.49,6.88,9587000,0.0,0.0
2025-04-23,7.01,7.21,6.55,6.57,10218100,0.0,0.0
2025-04-22,6.85,6.97,6.53,6.62,13275100,0.0,0.0
2025-04-21,6.23,6.91,6.2,6.87,16511000,0.0,0.0
2025-04-17,6.05,6.36,5.95,6.35,9893500,0.0,0.0
2025-04-16,6.07,6.32,5.91,6.0,8532700,0.0,0.0
2025-04-15,6.4,6.4,6.03,6.13,9947600,0.0,0.0
2025-04-14,6.76,6.82,6.2,6.38,10883700,0.0,0.0
2025-04-11,6.72,6.72,6.28,6.58,10934500,0.0,0.0
2025-04-10,7.3,7.33,6.49,6.7,13040800,0.0,0.0
2025-04-09,6.0,7.63,5.95,7.6,23335100,0.0,0.0
2025-04-08,6.92,6.99,5.95,6.05,14639000,0.0,0.0
2025-04-07,6.58,7.19,6.34,6.67,15071400,0.0,0.0
2025-04-04,6.07,7.1,5.91,7.02,25866600,0.0,0.0
2025-04-03,7.69,7.73,6.18,6.5,37181500,0.0,0.0
2025-04-02,7.98,8.5,7.98,8.42,13515200,0.0,0.0
2025-04-01,8.03,8.27,7.96,8.09,8864700,0.0,0.0
2025-03-31,8.11,8.27,8.0,8.01,8583000,0.0,0.0
2025-03-28,8.23,8.4,8.13,8.29,10168900,0.0,0.0
2025-03-27,8.62,8.71,8.34,8.43,8709300,0.0,0.0
2025-03-26,8.94,8.94,8.54,8.76,11479500,0.0,0.0
2025-03-25,9.12,9.42,8.91,8.96,12104400,0.0,0.0
2025-03-24,8.32,9.23,8.22,9.21,16551000,0.0,0.0
2025-03-21,8.13,8.43,8.01,8.11,14339900,0.125,0.0
2025-03-20,8.32,8.49,8.19,8.24,8017000,0.0,0.0
2025-03-19,8.02,8.43,8.0,8.4,12095800,0.0,0.0
2025-03-18,8.23,8.39,8.01,8.04,8166100,0.0,0.0
2025-03-17,7.83,8.36,7.8,8.25,13395000,0.0,0.0
2025-03-14,7.99,7.99,7.68,7.78,19891900,0.0,0.0
2025-03-13,8.32,8.43,7.85,7.92,17352300,0.0,0.0
2025-03-12,8.83,8.87,7.99,8.31,27712700,0.0,0.0
2025-03-11,10.06,10.19,8.44,8.83,50325500,0.0,0.0
2025-03-10,11.65,11.91,11.42,11.63,17900300,0.0,0.0
2025-03-07,10.87,11.94,10.86,11.78,14040400,0.0,0.0
2025-03-06,10.94,11.09,10.72,10.84,8105500,0.0,0.0
2025-03-05,10.99,11.1,10.71,10.96,6970200,0.0,0.0
2025-03-04,10.81,11.18,10.53,10.97,9043000,0.0,0.0
2025-03-03,11.15,11.41,10.85,10.93,8943100,0.0,0.0
2025-02-28,10.97,11.1,10.87,11.01,5989100,0.0,0.0
2025-02-27,11.54,11.65,10.9,11.0,9705000,0.0,0.0
2025-02-26,11.68,11.8,11.43,11.53,6232100,0.0,0.0
2025-02-25,11.83,11.93,11.53,11.61,5822500,0.0,0.0
2025-02-24,11.58,11.99,11.58,11.84,10389800,0.0,0.0
2025-02-21,11.68,11.77,11.39,11.59,7109000,0.0,0.0
2025-02-20,11.29,11.61,11.24,11.58,8509400,0.0,0.0
