Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,94.7,102.65,92.9,94.63,7319100,0.0,0.0
2025-10-09,107.64,112.57,96.8,98.55,8103000,0.0,0.0
2025-10-08,103.07,106.31,101.9,105.67,4069900,0.0,0.0
2025-10-07,101.15,104.71,100.0,103.69,5802000,0.0,0.0
2025-10-06,98.35,103.0,98.02,100.25,5021900,0.0,0.0
2025-10-03,95.69,98.12,93.86,96.19,3408300,0.0,0.0
2025-10-02,95.0,96.4,92.53,95.03,2952200,0.0,0.0
2025-10-01,90.5,93.52,88.63,92.96,3855300,0.0,0.0
2025-09-30,88.39,91.87,88.1,91.37,4542300,0.0,0.0
2025-09-29,88.95,89.67,87.8,88.08,4535800,0.0,0.0
2025-09-26,85.0,86.84,84.43,86.28,3009500,0.0,0.0
2025-09-25,80.0,84.88,78.87,84.2,4291100,0.0,0.0
2025-09-24,84.37,85.0,80.85,81.18,3738100,0.0,0.0
2025-09-23,81.1,85.48,81.1,83.9,4998300,0.0,0.0
2025-09-22,80.61,82.63,79.3,80.72,6450300,0.0,0.0
2025-09-19,81.52,82.31,79.9,80.77,35427700,0.0,0.0
2025-09-18,76.65,81.44,75.02,80.65,4310100,0.0,0.0
2025-09-17,75.01,77.03,73.11,75.74,4247200,0.0,0.0
2025-09-16,71.06,76.62,70.83,76.35,5322900,0.0,0.0
2025-09-15,69.45,71.31,67.9,70.74,3391900,0.0,0.0
2025-09-12,67.74,69.71,67.65,69.2,2539100,0.0,0.0
2025-09-11,66.09,69.14,65.6,67.67,2962700,0.0,0.0
2025-09-10,65.35,66.75,64.19,65.66,2774200,0.0,0.0
2025-09-09,64.13,64.83,62.66,64.56,2152900,0.0,0.0
2025-09-08,64.84,65.0,62.33,64.14,2632000,0.0,0.0
2025-09-05,64.5,65.29,61.4,64.81,2611200,0.0,0.0
2025-09-04,64.3,64.44,61.75,63.59,2812700,0.0,0.0
2025-09-03,66.28,67.17,64.06,64.5,2147200,0.0,0.0
2025-09-02,64.41,67.41,63.02,66.09,3188400,0.0,0.0
2025-08-29,68.49,68.49,65.64,65.84,2395800,0.0,0.0
2025-08-28,68.04,68.82,67.27,68.51,2294300,0.0,0.0
2025-08-27,68.27,68.74,66.5,67.92,2082700,0.0,0.0
2025-08-26,67.0,69.91,67.0,68.05,2958400,0.0,0.0
2025-08-25,67.66,68.71,66.87,66.9,2419300,0.0,0.0
2025-08-22,64.69,67.04,64.04,66.71,2985500,0.0,0.0
2025-08-21,64.14,65.84,64.06,64.78,2535000,0.0,0.0
2025-08-20,62.73,64.56,60.71,64.27,3801200,0.0,0.0
2025-08-19,68.37,68.4,63.61,64.02,4957100,0.0,0.0
2025-08-18,67.69,69.67,67.04,68.74,2493100,0.0,0.0
2025-08-15,69.11,69.39,66.13,68.5,2870400,0.0,0.0
2025-08-14,70.2,72.7,68.75,69.12,4746700,0.0,0.0
2025-08-13,70.17,71.11,64.89,68.75,5177600,0.0,0.0
2025-08-12,65.38,69.44,64.92,69.14,4295300,0.0,0.0
2025-08-11,65.95,68.68,64.59,65.41,6001900,0.0,0.0
2025-08-08,60.07,66.13,60.05,63.88,7231200,0.0,0.0
2025-08-07,58.24,59.22,56.86,59.08,3597800,0.0,0.0
2025-08-06,58.77,60.14,57.93,58.93,3437600,0.0,0.0
2025-08-05,61.09,62.8,57.9,59.4,5125200,0.0,0.0
2025-08-04,57.03,60.0,56.75,59.5,3091900,0.0,0.0
2025-08-01,56.36,57.66,54.5,56.71,4800300,0.0,0.0
2025-07-31,58.06,59.14,57.51,58.7,2371200,0.0,0.0
2025-07-30,56.8,58.19,56.31,58.01,3509700,0.0,0.0
2025-07-29,60.6,60.73,56.62,57.09,4064000,0.0,0.0
2025-07-28,61.19,61.29,57.35,59.36,3749200,0.0,0.0
2025-07-25,58.69,60.4,57.81,59.77,2458000,0.0,0.0
