Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,24.23,25.98,22.05,22.08,3926400,0.0,0.0
2025-10-09,23.89,24.37,22.05,23.82,2120100,0.0,0.0
2025-10-08,23.34,23.6,22.44,23.09,1886900,0.0,0.0
2025-10-07,23.17,23.74,21.4,23.15,2385400,0.0,0.0
2025-10-06,22.41,24.78,22.24,22.68,3361700,0.0,0.0
2025-10-03,21.43,23.0,20.61,21.21,2972600,0.0,0.0
2025-10-02,21.5,21.7,20.19,20.93,2119300,0.0,0.0
2025-10-01,20.88,21.12,19.73,20.49,2217900,0.0,0.0
2025-09-30,22.44,22.93,20.7,21.21,2429800,0.0,0.0
2025-09-29,22.62,23.37,21.25,22.74,3741200,0.0,0.0
2025-09-26,19.44,21.76,19.32,21.44,3291700,0.0,0.0
2025-09-25,17.62,19.88,17.08,19.44,3118500,0.0,0.0
2025-09-24,20.9,21.28,18.51,18.66,3741000,0.0,0.0
2025-09-23,20.43,21.7,19.91,20.85,3997300,0.0,0.0
2025-09-22,18.06,20.21,17.09,20.15,3926500,0.0,0.0
2025-09-19,15.16,18.45,15.16,18.26,5573800,0.0,0.0
2025-09-18,15.06,15.86,14.9,15.14,2051300,0.0,0.0
2025-09-17,15.14,15.27,14.23,14.77,2043700,0.0,0.0
2025-09-16,15.7,15.79,14.77,15.16,1406100,0.0,0.0
2025-09-15,14.01,15.7,13.83,15.58,2442300,0.0,0.0
2025-09-12,14.07,14.58,13.88,13.97,1523400,0.0,0.0
2025-09-11,13.73,14.25,13.59,14.07,1183800,0.0,0.0
2025-09-10,14.72,14.89,13.79,13.8,1350300,0.0,0.0
2025-09-09,14.34,14.96,14.05,14.44,1067300,0.0,0.0
2025-09-08,14.37,14.63,13.85,14.31,963200,0.0,0.0
2025-09-05,14.3,14.5,13.67,14.23,884800,0.0,0.0
2025-09-04,14.31,14.53,13.6,14.12,1074300,0.0,0.0
2025-09-03,15.26,15.34,14.33,14.49,789700,0.0,0.0
2025-09-02,14.59,15.16,14.02,15.13,876700,0.0,0.0
2025-08-29,15.52,15.83,14.67,15.13,1047100,0.0,0.0
2025-08-28,15.56,16.19,15.39,15.54,1011000,0.0,0.0
2025-08-27,15.88,15.92,15.45,15.56,852300,0.0,0.0
2025-08-26,15.3,17.03,15.3,15.86,1552400,0.0,0.0
2025-08-25,15.35,15.81,14.81,15.29,1051600,0.0,0.0
2025-08-22,14.38,15.6,13.98,15.35,1401300,0.0,0.0
2025-08-21,13.92,14.24,13.68,14.22,1225100,0.0,0.0
2025-08-20,13.7,13.87,12.93,13.68,1575400,0.0,0.0
2025-08-19,15.25,15.34,13.9,13.92,1511600,0.0,0.0
2025-08-18,16.07,16.3,14.95,15.31,1105900,0.0,0.0
2025-08-15,16.4,16.6,14.91,16.17,1520400,0.0,0.0
2025-08-14,16.5,17.73,15.78,16.3,1625700,0.0,0.0
2025-08-13,17.39,18.8,16.68,17.14,2951000,0.0,0.0
2025-08-12,13.57,17.39,13.54,17.11,5229200,0.0,0.0
2025-08-11,14.0,14.4,13.43,13.5,998800,0.0,0.0
2025-08-08,13.88,14.43,13.42,13.77,754300,0.0,0.0
2025-08-07,14.75,14.87,13.48,14.07,1002700,0.0,0.0
2025-08-06,14.31,14.98,14.31,14.66,1036300,0.0,0.0
2025-08-05,14.26,14.96,13.77,14.27,1168700,0.0,0.0
2025-08-04,13.19,14.2,13.1,14.18,890200,0.0,0.0
2025-08-01,12.95,13.35,12.52,13.08,986500,0.0,0.0
2025-07-31,13.83,14.29,13.4,13.48,808600,0.0,0.0
2025-07-30,13.51,14.49,13.46,13.82,954400,0.0,0.0
2025-07-29,14.79,15.59,13.64,13.65,1431200,0.0,0.0
2025-07-28,15.17,15.33,14.26,14.99,855400,0.0,0.0
2025-07-25,14.24,15.44,14.22,14.76,1238800,0.0,0.0
2025-07-24,13.84,15.2,13.75,14.95,2212600,0.0,0.0
2025-07-23,13.63,14.38,13.45,13.84,1374400,0.0,0.0
2025-07-22,13.2,13.45,12.58,13.28,1357000,0.0,0.0
2025-07-21,15.1,15.1,13.14,13.22,2541100,0.0,0.0
2025-07-18,15.2,15.67,14.82,15.07,1694500,0.0,0.0
2025-07-17,14.66,14.92,14.04,14.89,1665000,0.0,0.0
2025-07-16,13.46,14.73,12.98,14.52,2321800,0.0,0.0
2025-07-15,14.0,14.0,13.21,13.37,1626900,0.0,0.0
2025-07-14,11.94,14.11,11.68,13.94,2282400,0.0,0.0
2025-07-11,12.08,12.51,11.97,11.97,945300,0.0,0.0
2025-07-10,12.12,12.33,11.64,12.13,1271600,0.0,0.0
2025-07-09,12.25,12.25,11.65,12.12,961400,0.0,0.0
2025-07-08,13.14,13.29,11.8,12.12,2119400,0.0,0.0
2025-07-07,12.81,13.18,12.22,12.92,1302900,0.0,0.0
2025-07-03,12.6,12.85,12.37,12.78,639100,0.0,0.0
2025-07-02,12.7,12.77,12.33,12.55,1286100,0.0,0.0
2025-07-01,13.21,13.28,12.45,12.67,1700000,0.0,0.0
2025-06-30,13.38,13.86,13.05,13.37,981100,0.0,0.0
2025-06-27,13.98,14.1,12.9,13.3,4518900,0.0,0.0
2025-06-26,14.07,14.09,13.35,13.56,995400,0.0,0.0
2025-06-25,14.64,14.71,13.8,13.81,1356500,0.0,0.0
2025-06-24,12.94,14.69,12.92,14.63,2426900,0.0,0.0
2025-06-23,13.26,13.27,12.01,12.66,1664500,0.0,0.0
2025-06-20,13.22,13.46,12.76,13.33,2035100,0.0,0.0
2025-06-18,13.11,13.3,12.75,13.05,1010900,0.0,0.0
2025-06-17,13.6,13.87,12.93,13.03,1169100,0.0,0.0
2025-06-16,13.62,14.29,13.25,13.43,1698400,0.0,0.0
2025-06-13,12.79,13.6,12.65,12.9,1658100,0.0,0.0
2025-06-12,14.0,14.39,13.6,13.6,1262600,0.0,0.0
2025-06-11,13.74,15.09,13.51,14.26,3442400,0.0,0.0
2025-06-10,16.14,16.65,13.17,13.43,3758500,0.0,0.0
2025-06-09,16.26,16.3,15.25,15.73,1590000,0.0,0.0
2025-06-06,14.7,15.76,14.2,15.75,1754800,0.0,0.0
2025-06-05,15.7,16.74,14.35,14.69,1838800,0.0,0.0
2025-06-04,14.83,15.64,13.95,15.62,1622100,0.0,0.0
2025-06-03,15.73,16.44,14.07,14.82,2963100,0.0,0.0
2025-06-02,15.06,16.25,13.69,14.21,2344500,0.0,0.0
2025-05-30,14.5,15.3,13.9,15.05,2196200,0.0,0.0
2025-05-29,17.05,17.14,14.22,14.95,3516300,0.0,0.0
2025-05-28,16.16,17.7,16.12,16.72,4394200,0.0,0.0
2025-05-27,15.54,16.49,14.87,16.34,5040800,0.0,0.0
2025-05-23,12.07,16.14,11.6,15.2,19607200,0.0,0.0
2025-05-22,10.19,10.88,9.9,10.66,1134100,0.0,0.0
2025-05-21,9.89,10.86,9.82,10.17,1267500,0.0,0.0
2025-05-20,10.33,10.45,9.89,10.01,552100,0.0,0.0
2025-05-19,9.96,10.27,9.72,10.26,823600,0.0,0.0
2025-05-16,11.05,11.49,10.3,10.37,1148000,0.0,0.0
2025-05-15,10.74,11.04,10.61,10.94,708000,0.0,0.0
2025-05-14,11.58,12.64,11.18,11.25,1469900,0.0,0.0
2025-05-13,10.7,12.19,10.7,11.31,1452500,0.0,0.0
2025-05-12,10.15,11.08,9.55,10.93,1620300,0.0,0.0
2025-05-09,9.81,10.05,9.42,9.54,570700,0.0,0.0
2025-05-08,9.66,9.92,9.39,9.71,644300,0.0,0.0
2025-05-07,9.6,9.65,9.21,9.35,489500,0.0,0.0
2025-05-06,8.95,9.8,8.85,9.69,970600,0.0,0.0
2025-05-05,9.09,9.36,8.9,9.19,438700,0.0,0.0
2025-05-02,9.73,9.89,9.26,9.26,673500,0.0,0.0
2025-05-01,9.13,9.53,8.94,9.34,562500,0.0,0.0
2025-04-30,8.95,9.07,8.52,8.96,346200,0.0,0.0
2025-04-29,9.1,9.29,8.89,9.21,376100,0.0,0.0
2025-04-28,9.13,9.35,8.61,9.16,761000,0.0,0.0
2025-04-25,8.81,9.03,8.65,9.03,550700,0.0,0.0
2025-04-24,8.4,8.89,8.4,8.85,693200,0.0,0.0
2025-04-23,8.35,8.61,8.23,8.34,861000,0.0,0.0
2025-04-22,7.25,7.97,7.25,7.96,832000,0.0,0.0
2025-04-21,7.36,7.42,6.85,7.1,651300,0.0,0.0
2025-04-17,7.42,7.65,7.3,7.5,462500,0.0,0.0
2025-04-16,7.22,7.62,7.12,7.26,490200,0.0,0.0
2025-04-15,7.58,7.93,7.28,7.41,727800,0.0,0.0
2025-04-14,8.3,8.44,7.57,7.6,1059700,0.0,0.0
2025-04-11,7.6,8.12,7.6,8.05,1087300,0.0,0.0
2025-04-10,7.2,8.14,7.18,7.54,1306700,0.0,0.0
2025-04-09,6.69,7.92,6.6,7.54,1366600,0.0,0.0
2025-04-08,7.48,7.55,6.55,6.73,1162100,0.0,0.0
2025-04-07,6.26,7.68,6.19,6.99,1588600,0.0,0.0
2025-04-04,6.95,7.13,6.1,6.82,1592700,0.0,0.0
2025-04-03,7.11,7.55,7.1,7.46,757500,0.0,0.0
2025-04-02,7.15,7.92,7.11,7.9,811500,0.0,0.0
2025-04-01,7.48,7.82,6.94,7.43,1262200,0.0,0.0
2025-03-31,6.85,7.48,6.72,7.46,1859600,0.0,0.0
2025-03-28,7.75,7.89,7.04,7.19,1268100,0.0,0.0
2025-03-27,8.1,8.1,7.66,7.73,859700,0.0,0.0
2025-03-26,8.51,8.74,7.8,7.98,1015400,0.0,0.0
2025-03-25,9.34,9.4,8.31,8.44,1449500,0.0,0.0
2025-03-24,9.34,9.73,9.01,9.45,921100,0.0,0.0
2025-03-21,9.01,9.24,8.75,8.95,872300,0.0,0.0
2025-03-20,9.68,10.1,9.36,9.42,1132000,0.0,0.0
2025-03-19,9.41,10.29,9.18,9.91,1184500,0.0,0.0
2025-03-18,9.25,9.56,8.76,9.21,914100,0.0,0.0
2025-03-17,9.78,10.1,9.27,9.47,1621400,0.0,0.0
2025-03-14,8.51,9.37,8.51,9.35,1350700,0.0,0.0
2025-03-13,8.57,8.63,8.07,8.16,677000,0.0,0.0
2025-03-12,8.86,9.13,8.39,8.63,1568800,0.0,0.0
2025-03-11,8.0,8.49,7.81,8.29,1542200,0.0,0.0
2025-03-10,8.95,9.27,7.52,7.87,2754800,0.0,0.0
2025-03-07,9.32,9.62,8.7,9.3,1439400,0.0,0.0
2025-03-06,9.81,10.07,9.1,9.17,1934500,0.0,0.0
2025-03-05,10.82,10.9,9.82,10.21,2160500,0.0,0.0
2025-03-04,9.34,11.33,9.33,10.87,2676800,0.0,0.0
2025-03-03,11.55,11.86,9.54,9.57,2168800,0.0,0.0
2025-02-28,9.51,11.44,9.13,10.85,2639000,0.0,0.0
2025-02-27,10.35,12.1,9.7,9.99,4043700,0.0,0.0
2025-02-26,10.01,10.44,9.52,9.86,2283900,0.0,0.0
2025-02-25,9.6,9.82,8.64,9.16,2049700,0.0,0.0
2025-02-24,11.07,11.18,9.63,9.7,2917400,0.0,0.0
2025-02-21,12.85,13.73,11.26,11.32,2643400,0.0,0.0
2025-02-20,12.7,12.86,11.81,12.47,1850300,0.0,0.0
2025-02-19,13.55,14.38,12.65,12.97,2317100,0.0,0.0
2025-02-18,14.43,15.58,12.83,13.48,3211300,0.0,0.0
2025-02-14,15.3,16.9,13.38,13.56,4895700,0.0,0.0
2025-02-13,14.8,15.19,13.29,15.19,4308800,0.0,0.0
2025-02-12,10.31,14.66,10.31,14.6,7874500,0.0,0.0
2025-02-11,11.5,12.28,10.57,10.84,2977300,0.0,0.0
