Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,19.67,19.93,18.85,19.25,18668100,0.0,0.0
2025-10-09,21.41,21.48,19.65,19.72,26771600,0.0,0.0
2025-10-08,21.18,21.44,20.78,21.16,13936100,0.0,0.0
2025-10-07,21.74,22.12,20.62,21.18,16041500,0.0,0.0
2025-10-06,22.0,22.48,21.66,21.74,17447900,0.0,0.0
2025-10-03,22.58,22.65,21.83,21.99,18927800,0.0,0.0
2025-10-02,21.98,22.7,21.63,22.61,20501200,0.0,0.0
2025-10-01,21.98,22.2,21.74,21.82,11890400,0.0,0.0
2025-09-30,23.0,23.28,21.55,22.01,20016700,0.0,0.0
2025-09-29,21.91,22.97,21.69,22.93,24726800,0.0,0.0
2025-09-26,21.42,21.93,21.23,21.87,15159000,0.0,0.0
2025-09-25,21.89,22.03,21.3,21.57,13351500,0.0,0.0
2025-09-24,22.59,22.87,21.84,22.06,15144500,0.0,0.0
2025-09-23,22.64,23.11,22.05,22.08,21852400,0.0,0.0
2025-09-22,22.52,23.04,22.31,22.63,20632500,0.0,0.0
2025-09-19,22.36,22.69,21.93,22.58,28632100,0.0,0.0
2025-09-18,22.92,22.97,21.8,21.96,26073900,0.0,0.0
2025-09-17,23.38,23.5,21.91,22.84,101377100,0.0,0.0
2025-09-16,20.06,20.25,19.6,20.19,25554900,0.0,0.0
2025-09-15,18.83,20.5,18.77,20.44,25442600,0.0,0.0
2025-09-12,18.38,18.83,18.3,18.62,29849300,0.0,0.0
2025-09-11,19.04,19.16,18.31,18.32,16135900,0.0,0.0
2025-09-10,18.5,19.35,18.47,18.96,27144100,0.0,0.0
2025-09-09,17.77,18.41,17.63,18.39,23081600,0.0,0.0
2025-09-08,16.96,17.76,16.92,17.71,21669600,0.0,0.0
2025-09-05,16.96,17.45,16.49,16.66,15634700,0.0,0.0
2025-09-04,16.9,16.95,16.29,16.79,17972600,0.0,0.0
2025-09-03,16.86,18.3,16.84,16.92,50754700,0.0,0.0
2025-09-02,15.56,16.89,15.56,16.8,23024900,0.0,0.0
2025-08-29,16.14,16.29,15.72,16.22,17113400,0.0,0.0
2025-08-28,16.36,16.5,15.98,16.14,10709500,0.0,0.0
2025-08-27,16.74,16.81,16.17,16.25,19839500,0.0,0.0
2025-08-26,17.03,17.05,16.63,16.8,15237700,0.0,0.0
2025-08-25,17.0,17.42,17.0,17.05,17571100,0.0,0.0
2025-08-22,15.78,17.1,15.75,17.01,24360700,0.0,0.0
2025-08-21,15.48,15.83,15.25,15.81,13944400,0.0,0.0
2025-08-20,15.44,15.59,14.79,15.57,17365000,0.0,0.0
2025-08-19,16.05,16.27,15.53,15.57,14268200,0.0,0.0
2025-08-18,15.83,16.06,15.45,16.02,19741000,0.0,0.0
2025-08-15,14.69,16.11,14.69,15.82,35423200,0.0,0.0
2025-08-14,14.33,14.72,14.33,14.62,13072500,0.0,0.0
2025-08-13,13.99,14.63,13.93,14.58,21167900,0.0,0.0
2025-08-12,13.6,13.98,13.59,13.88,16294500,0.0,0.0
2025-08-11,13.41,13.68,13.16,13.46,19428700,0.0,0.0
