Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,1.21,1.24,1.1,1.11,2032100,0.0,0.0
2025-10-09,1.15,1.22,1.12,1.21,1582000,0.0,0.0
2025-10-08,1.17,1.17,1.13,1.14,1057200,0.0,0.0
2025-10-07,1.17,1.18,1.13,1.15,2039900,0.0,0.0
2025-10-06,1.17,1.18,1.16,1.16,803400,0.0,0.0
2025-10-03,1.19,1.22,1.15,1.18,956700,0.0,0.0
2025-10-02,1.16,1.2,1.15,1.19,1158600,0.0,0.0
2025-10-01,1.17,1.18,1.12,1.16,1311700,0.0,0.0
2025-09-30,1.31,1.32,1.16,1.16,1923600,0.0,0.0
2025-09-29,1.21,1.36,1.21,1.3,4786500,0.0,0.0
2025-09-26,1.17,1.18,1.13,1.14,1522300,0.0,0.0
2025-09-25,1.21,1.22,1.16,1.16,908500,0.0,0.0
2025-09-24,1.21,1.24,1.21,1.22,496300,0.0,0.0
2025-09-23,1.24,1.27,1.21,1.21,950300,0.0,0.0
2025-09-22,1.25,1.26,1.22,1.24,618200,0.0,0.0
2025-09-19,1.3,1.3,1.22,1.25,1535800,0.0,0.0
2025-09-18,1.25,1.3,1.21,1.29,838700,0.0,0.0
2025-09-17,1.26,1.26,1.22,1.23,456400,0.0,0.0
2025-09-16,1.26,1.29,1.22,1.26,1062900,0.0,0.0
2025-09-15,1.21,1.25,1.19,1.24,750400,0.0,0.0
2025-09-12,1.25,1.25,1.19,1.21,692800,0.0,0.0
2025-09-11,1.24,1.28,1.22,1.25,825600,0.0,0.0
2025-09-10,1.24,1.26,1.18,1.21,813400,0.0,0.0
2025-09-09,1.22,1.24,1.18,1.23,767700,0.0,0.0
2025-09-08,1.17,1.25,1.14,1.22,1590000,0.0,0.0
2025-09-05,1.14,1.18,1.13,1.17,672500,0.0,0.0
2025-09-04,1.16,1.16,1.07,1.12,1062300,0.0,0.0
2025-09-03,1.13,1.17,1.12,1.14,608200,0.0,0.0
2025-09-02,1.2,1.22,1.13,1.14,1344900,0.0,0.0
2025-08-29,1.22,1.25,1.19,1.24,1231400,0.0,0.0
2025-08-28,1.17,1.24,1.16,1.21,1588800,0.0,0.0
2025-08-27,1.17,1.21,1.15,1.18,1207600,0.0,0.0
2025-08-26,1.13,1.18,1.11,1.17,1208700,0.0,0.0
2025-08-25,1.12,1.17,1.11,1.15,1066700,0.0,0.0
2025-08-22,1.05,1.12,1.03,1.12,1584400,0.0,0.0
2025-08-21,1.05,1.06,1.0,1.03,1041500,0.0,0.0
2025-08-20,1.05,1.1,1.03,1.06,870200,0.0,0.0
2025-08-19,1.16,1.16,1.04,1.05,2125800,0.0,0.0
2025-08-18,1.19,1.22,1.15,1.16,1847900,0.0,0.0
2025-08-15,1.27,1.27,1.15,1.18,1418600,0.0,0.0
2025-08-14,1.25,1.27,1.19,1.25,2312800,0.0,0.0
2025-08-13,1.15,1.3,1.11,1.27,2345700,0.0,0.0
2025-08-12,1.22,1.27,1.12,1.13,2209200,0.0,0.0
2025-08-11,1.05,1.22,1.04,1.2,11499400,0.0,0.0
2025-08-08,0.9,0.95,0.9,0.93,686300,0.0,0.0
2025-08-07,0.95,0.96,0.9,0.9,936400,0.0,0.0
2025-08-06,0.93,0.96,0.93,0.95,495500,0.0,0.0
2025-08-05,0.95,0.95,0.91,0.92,650800,0.0,0.0
2025-08-04,0.92,0.96,0.9,0.94,647600,0.0,0.0
2025-08-01,0.9,0.94,0.86,0.92,791400,0.0,0.0
2025-07-31,0.9,0.93,0.88,0.89,445800,0.0,0.0
2025-07-30,0.94,0.95,0.89,0.9,605000,0.0,0.0
2025-07-29,0.99,0.99,0.94,0.94,414700,0.0,0.0
2025-07-28,0.98,0.98,0.96,0.97,422200,0.0,0.0
2025-07-25,0.96,0.98,0.95,0.97,387400,0.0,0.0
2025-07-24,0.98,1.0,0.95,0.95,403300,0.0,0.0
2025-07-23,1.0,1.01,0.97,0.98,779700,0.0,0.0
2025-07-22,0.96,1.0,0.95,0.99,589500,0.0,0.0
2025-07-21,0.98,1.0,0.95,0.96,497100,0.0,0.0
2025-07-18,0.99,1.0,0.95,0.95,357500,0.0,0.0
2025-07-17,0.95,1.01,0.95,0.97,788000,0.0,0.0
2025-07-16,0.93,0.95,0.92,0.95,488600,0.0,0.0
2025-07-15,0.97,1.0,0.91,0.91,906200,0.0,0.0
2025-07-14,1.03,1.05,0.97,0.97,856500,0.0,0.0
2025-07-11,1.03,1.05,0.98,1.01,871100,0.0,0.0
2025-07-10,0.94,1.05,0.94,1.03,1184200,0.0,0.0
2025-07-09,0.93,0.94,0.92,0.94,585600,0.0,0.0
2025-07-08,0.9,0.93,0.89,0.92,636500,0.0,0.0
2025-07-07,0.9,0.94,0.88,0.88,613100,0.0,0.0
2025-07-03,0.9,0.92,0.88,0.92,565600,0.0,0.0
2025-07-02,0.91,0.91,0.89,0.9,443300,0.0,0.0
2025-07-01,0.89,0.92,0.88,0.9,646500,0.0,0.0
2025-06-30,0.9,0.91,0.87,0.9,1390900,0.0,0.0
2025-06-27,0.92,0.95,0.86,0.87,1392100,0.0,0.0
2025-06-26,0.88,0.94,0.86,0.93,1160400,0.0,0.0
2025-06-25,0.93,0.94,0.86,0.88,2439600,0.0,0.0
2025-06-24,0.94,0.99,0.91,0.93,3222700,0.0,0.0
2025-06-23,1.01,1.06,1.01,1.06,756700,0.0,0.0
