Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,294.7,297.95,292.89,297.01,4001100,0.0,0.0
2025-10-09,293.65,295.12,292.04,293.81,2802700,0.0,0.0
2025-10-08,296.38,296.66,293.43,294.4,2464600,0.0,0.0
2025-10-07,295.0,298.07,294.13,296.32,2515700,0.0,0.0
2025-10-06,299.04,299.65,294.91,296.04,3814200,0.0,0.0
2025-10-03,298.9,301.39,298.66,300.98,2599100,0.0,0.0
2025-10-02,299.6,302.38,298.95,299.88,2690400,0.0,0.0
2025-10-01,303.26,304.77,298.3,300.52,3055300,0.0,0.0
2025-09-30,302.75,304.48,302.0,303.89,2640100,0.0,0.0
2025-09-29,305.88,306.11,301.85,302.99,3073800,0.0,0.0
2025-09-26,303.37,305.78,302.01,305.24,2284700,0.0,0.0
2025-09-25,305.88,306.33,301.95,302.3,2558400,0.0,0.0
2025-09-24,302.49,305.98,302.01,304.33,2427300,0.0,0.0
2025-09-23,303.74,304.45,300.32,303.19,2976900,0.0,0.0
2025-09-22,302.32,304.25,300.42,302.99,3657900,0.0,0.0
2025-09-19,301.7,304.8,300.75,302.38,5696900,0.0,0.0
2025-09-18,301.47,302.69,297.88,301.14,4654100,0.0,0.0
2025-09-17,304.9,306.58,303.91,304.97,2681600,0.0,0.0
2025-09-16,303.5,306.0,302.7,303.29,3578500,0.0,0.0
2025-09-15,305.14,305.71,300.51,302.07,3584500,0.0,0.0
2025-09-12,307.62,308.51,305.25,305.4,2072600,0.0,0.0
2025-09-11,306.23,308.94,305.25,308.43,2761500,0.0,0.0
2025-09-10,312.09,312.09,304.61,305.94,3479500,0.0,0.0
2025-09-09,311.21,313.7,310.73,312.52,2310800,0.0,0.0
2025-09-08,312.82,313.08,309.76,312.8,2873600,0.0,0.0
2025-09-05,317.37,318.04,313.27,314.38,2533100,0.0,0.0
2025-09-04,317.82,319.43,316.48,316.99,2881300,0.0,0.0
2025-09-03,315.02,316.87,312.98,316.39,3219500,0.0,0.0
2025-09-02,313.05,316.13,312.33,315.76,3228700,1.77,0.0
2025-08-29,310.47,312.13,309.67,311.77,2492500,0.0,0.0
2025-08-28,309.36,310.76,307.6,310.46,3471700,0.0,0.0
2025-08-27,311.59,313.94,309.58,309.67,3234400,0.0,0.0
2025-08-26,311.66,313.34,310.54,311.17,2807600,0.0,0.0
2025-08-25,311.96,313.77,310.19,311.67,2944300,0.0,0.0
2025-08-22,312.85,315.01,311.38,312.3,2796700,0.0,0.0
2025-08-21,310.11,311.83,309.41,311.45,2282200,0.0,0.0
2025-08-20,311.9,314.37,310.63,311.31,3879900,0.0,0.0
2025-08-19,306.96,312.45,306.71,309.17,2893600,0.0,0.0
2025-08-18,306.63,308.23,304.83,306.96,3272600,0.0,0.0
2025-08-15,308.41,308.41,304.77,307.19,3416600,0.0,0.0
2025-08-14,303.78,307.54,300.99,307.21,4699400,0.0,0.0
2025-08-13,300.0,303.59,299.7,303.35,2999100,0.0,0.0
2025-08-12,303.45,303.78,298.2,299.94,3438300,0.0,0.0
2025-08-11,303.78,305.57,302.07,302.64,2649000,0.0,0.0
2025-08-08,305.27,306.81,302.17,303.73,2622000,0.0,0.0
2025-08-07,307.41,308.42,302.63,306.17,3603300,0.0,0.0
2025-08-06,305.27,308.65,300.04,305.92,6474300,0.0,0.0
2025-08-05,301.29,302.88,296.69,297.08,4222900,0.0,0.0
2025-08-04,298.83,304.62,298.83,302.51,4734500,0.0,0.0
2025-08-01,301.79,301.99,299.68,301.18,3344800,0.0,0.0
2025-07-31,299.32,301.76,298.31,298.38,3639600,0.0,0.0
2025-07-30,300.86,303.71,299.38,301.9,2805900,0.0,0.0
2025-07-29,297.26,301.12,296.62,300.96,3147700,0.0,0.0
2025-07-28,295.38,298.22,293.32,297.53,3070500,0.0,0.0
2025-07-25,295.13,296.95,293.24,296.79,3401000,0.0,0.0
2025-07-24,295.23,295.78,292.75,292.82,4426000,0.0,0.0
2025-07-23,297.8,298.19,295.24,296.44,2467600,0.0,0.0
2025-07-22,294.19,298.41,293.38,297.48,2672000,0.0,0.0
2025-07-21,296.43,297.11,293.61,294.07,3037500,0.0,0.0
2025-07-18,298.05,298.7,294.76,295.39,3481300,0.0,0.0
2025-07-17,298.08,300.74,296.74,298.67,3134300,0.0,0.0
2025-07-16,298.09,298.78,294.54,297.21,2804700,0.0,0.0
2025-07-15,299.6,301.08,297.55,297.93,2937600,0.0,0.0
2025-07-14,297.49,300.36,293.17,300.18,5707500,0.0,0.0
2025-07-11,296.46,301.03,295.61,298.22,4524100,0.0,0.0
2025-07-10,294.63,299.08,293.35,296.71,5366800,0.0,0.0
2025-07-09,290.6,292.16,289.7,291.37,3265800,0.0,0.0
2025-07-08,291.36,291.37,288.62,290.02,3123600,0.0,0.0
2025-07-07,292.46,294.01,290.84,291.87,3404300,0.0,0.0
2025-07-03,293.01,293.17,290.96,292.42,1678600,0.0,0.0
2025-07-02,296.4,296.4,290.95,292.97,4021500,0.0,0.0
2025-07-01,290.85,297.96,290.7,295.81,5121900,0.0,0.0
2025-06-30,289.24,291.92,289.24,290.52,5054800,0.0,0.0
2025-06-27,284.4,290.54,283.63,289.9,7422200,0.0,0.0
2025-06-26,284.34,285.17,281.87,284.02,5354900,0.0,0.0
2025-06-25,289.22,289.44,282.7,283.94,4259800,0.0,0.0
2025-06-24,287.99,290.45,286.95,289.82,4461200,0.0,0.0
2025-06-23,286.89,287.89,284.26,287.89,5172500,0.0,0.0
2025-06-20,288.13,288.97,283.96,285.84,7085000,0.0,0.0
