Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,47.0,49.64,46.42,47.2,4421200,0.0,0.0
2025-10-09,43.54,47.64,43.54,46.33,3641000,0.0,0.0
2025-10-08,41.08,42.47,40.37,41.49,1826900,0.0,0.0
2025-10-07,39.45,42.61,39.24,40.7,3117800,0.0,0.0
2025-10-06,38.47,39.46,36.55,38.93,3118600,0.0,0.0
2025-10-03,36.11,37.88,35.6,37.75,3509100,0.0,0.0
2025-10-02,35.3,35.67,33.12,35.05,1989900,0.0,0.0
2025-10-01,33.43,35.2,32.98,34.7,2493000,0.0,0.0
2025-09-30,31.92,33.29,31.52,33.19,2265000,0.0,0.0
2025-09-29,32.45,33.24,30.77,32.46,2169700,0.0,0.0
2025-09-26,32.68,33.4,31.36,31.43,2612500,0.0,0.0
2025-09-25,32.78,35.55,31.95,32.98,4004600,0.0,0.0
2025-09-24,32.03,34.49,31.62,33.33,4326400,0.0,0.0
2025-09-23,30.1,32.09,30.1,31.83,2699100,0.0,0.0
2025-09-22,30.21,30.68,29.02,30.28,2145000,0.0,0.0
2025-09-19,30.96,31.19,29.75,30.42,5827900,0.0,0.0
2025-09-18,26.75,32.18,26.75,30.92,6367100,0.0,0.0
2025-09-17,25.37,27.22,25.35,26.06,3009100,0.0,0.0
2025-09-16,27.34,27.41,25.3,25.74,2609400,0.0,0.0
2025-09-15,24.6,26.29,24.56,26.16,2426000,0.0,0.0
2025-09-12,24.11,24.85,23.62,24.25,1661200,0.0,0.0
2025-09-11,25.7,26.33,24.14,24.19,2626600,0.0,0.0
2025-09-10,25.81,26.5,25.41,26.11,1904800,0.0,0.0
2025-09-09,25.86,26.5,24.84,25.55,2170000,0.0,0.0
2025-09-08,28.35,28.4,25.73,25.93,2777600,0.0,0.0
2025-09-05,25.47,28.3,25.43,28.18,3662300,0.0,0.0
2025-09-04,24.01,25.19,23.8,24.98,2189100,0.0,0.0
2025-09-03,24.81,24.83,23.86,24.17,2028100,0.0,0.0
2025-09-02,24.74,25.25,23.26,24.07,3654900,0.0,0.0
2025-08-29,25.5,26.45,24.69,25.93,3049600,0.0,0.0
2025-08-28,25.48,26.06,25.11,25.44,1978500,0.0,0.0
2025-08-27,25.22,25.82,24.5,25.36,1980600,0.0,0.0
2025-08-26,24.72,25.86,24.36,25.54,2282800,0.0,0.0
2025-08-25,23.53,25.62,23.48,24.5,2964500,0.0,0.0
2025-08-22,21.8,23.76,21.67,23.53,2681100,0.0,0.0
2025-08-21,20.66,22.17,20.66,21.86,3327700,0.0,0.0
2025-08-20,20.53,21.25,19.94,20.81,2314800,0.0,0.0
2025-08-19,22.49,22.66,20.63,20.85,2998400,0.0,0.0
2025-08-18,23.48,23.84,21.62,22.64,3931300,0.0,0.0
2025-08-15,27.0,27.18,22.4,23.59,5603100,0.0,0.0
2025-08-14,25.16,27.31,24.86,26.95,3905400,0.0,0.0
2025-08-13,25.25,25.89,24.33,25.61,3446100,0.0,0.0
2025-08-12,23.41,25.41,23.38,24.82,3667200,0.0,0.0
2025-08-11,22.85,24.1,22.24,23.49,3744500,0.0,0.0
2025-08-08,22.35,23.35,21.81,22.55,4777300,0.0,0.0
2025-08-07,20.92,21.93,19.42,21.67,6173800,0.0,0.0
2025-08-06,19.1,20.57,19.01,20.52,11940900,0.0,0.0
2025-08-05,21.85,23.39,21.49,23.14,2030300,0.0,0.0
2025-08-04,18.93,21.95,18.8,21.8,2347000,0.0,0.0
2025-08-01,18.5,19.38,16.53,18.96,3927000,0.0,0.0
2025-07-31,19.39,21.74,18.76,20.35,3723200,0.0,0.0
2025-07-30,20.75,21.19,19.63,19.83,1530800,0.0,0.0
2025-07-29,21.62,22.28,20.58,20.77,1674900,0.0,0.0
2025-07-28,22.45,22.51,21.21,21.54,1616100,0.0,0.0
2025-07-25,22.83,22.9,21.69,22.54,1536300,0.0,0.0
2025-07-24,22.72,23.5,22.35,22.83,1686300,0.0,0.0
2025-07-23,20.85,22.71,20.77,22.59,2478100,0.0,0.0
2025-07-22,21.0,21.77,20.16,21.33,4041000,0.0,0.0
2025-07-21,22.57,24.3,20.86,20.87,4006500,0.0,0.0
2025-07-18,22.67,23.76,21.93,22.42,3638300,0.0,0.0
2025-07-17,21.45,23.21,21.33,22.66,4083500,0.0,0.0
2025-07-16,24.29,24.75,20.74,21.39,10144600,0.0,0.0
2025-07-15,20.01,22.75,19.36,21.94,8047800,0.0,0.0
2025-07-14,18.05,19.94,17.9,19.12,7583100,0.0,0.0
2025-07-11,16.65,16.9,15.51,16.62,5055000,0.0,0.0
