Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,153.24,154.25,148.46,148.75,3504400,0.0,0.0
2025-10-09,156.1,156.6,151.37,152.88,2512200,0.0,0.0
2025-10-08,155.71,156.09,152.78,156.0,2084200,0.0,0.0
2025-10-07,156.83,157.94,155.18,155.33,1696700,0.0,0.0
2025-10-06,158.7,159.21,154.63,155.93,2421400,0.0,0.0
2025-10-03,158.92,160.39,157.71,158.66,3411600,0.0,0.0
2025-10-02,157.26,159.58,156.54,158.8,2167500,0.0,0.0
2025-10-01,154.45,156.54,154.26,156.0,2297900,0.0,0.0
2025-09-30,153.85,155.22,152.43,155.18,2177100,0.0,0.0
2025-09-29,153.5,154.4,152.54,154.08,2043400,0.0,0.0
2025-09-26,154.02,154.5,152.37,152.81,2104000,0.0,0.0
2025-09-25,154.0,154.0,151.82,153.03,2949300,0.0,0.0
2025-09-24,156.0,156.5,154.46,154.6,1739300,0.0,0.0
2025-09-23,153.84,158.14,153.84,156.29,2254000,0.0,0.0
2025-09-22,155.6,155.71,153.64,153.86,2484800,0.0,0.0
2025-09-19,155.91,157.41,154.69,156.6,6507100,0.0,0.0
2025-09-18,155.15,156.92,154.31,155.4,1795000,0.0,0.0
2025-09-17,156.5,158.54,153.54,155.16,2757300,0.0,0.0
2025-09-16,156.9,157.48,153.63,156.5,2208600,0.0,0.0
2025-09-15,158.0,158.38,155.25,156.66,3219500,0.0,0.0
2025-09-12,159.11,162.1,157.81,157.87,2865100,0.0,0.0
2025-09-11,153.79,159.5,153.4,159.47,3663900,0.0,0.0
2025-09-10,153.16,155.21,152.46,153.57,2811600,0.0,0.0
2025-09-09,154.15,154.15,151.55,153.08,1669200,0.0,0.0
2025-09-08,154.61,154.98,152.0,154.0,2715500,0.0,0.0
2025-09-05,155.8,157.56,154.28,155.3,2053300,0.0,0.0
2025-09-04,152.2,155.6,152.02,155.52,2741200,0.0,0.0
2025-09-03,153.5,154.09,150.43,152.0,3964400,0.0,0.0
2025-09-02,153.95,154.49,151.7,154.27,2745100,0.0,0.0
2025-08-29,157.6,158.24,155.32,155.53,3279100,0.0,0.0
2025-08-28,157.76,158.47,156.58,157.56,2982200,0.0,0.0
2025-08-27,156.04,157.22,155.75,156.53,2155000,0.0,0.0
2025-08-26,155.76,156.72,154.58,156.57,2960600,0.0,0.0
2025-08-25,157.59,157.92,155.8,155.85,1606300,0.73,0.0
2025-08-22,155.03,158.38,154.29,157.99,1958200,0.0,0.0
2025-08-21,153.66,154.5,152.45,153.67,2236900,0.0,0.0
2025-08-20,153.41,154.63,152.47,154.04,3258200,0.0,0.0
2025-08-19,152.14,155.0,151.35,153.63,2146200,0.0,0.0
2025-08-18,151.66,154.72,151.49,152.16,2585500,0.0,0.0
2025-08-15,156.65,156.65,150.91,151.69,3921100,0.0,0.0
2025-08-14,158.87,159.33,155.91,155.93,6344900,0.0,0.0
2025-08-13,157.66,159.73,155.9,159.46,3132000,0.0,0.0
2025-08-12,155.07,157.73,154.89,157.12,2748200,0.0,0.0
2025-08-11,153.04,154.89,152.46,154.6,3354500,0.0,0.0
2025-08-08,151.7,152.98,150.72,152.59,2376400,0.0,0.0
2025-08-07,151.28,151.78,149.29,151.04,2293900,0.0,0.0
2025-08-06,149.58,150.69,147.96,150.13,2636900,0.0,0.0
2025-08-05,147.78,150.52,147.32,149.4,3743900,0.0,0.0
2025-08-04,144.72,147.5,144.33,147.19,3641300,0.0,0.0
2025-08-01,145.83,146.05,143.59,143.75,4074400,0.0,0.0
2025-07-31,145.52,148.87,144.89,148.53,4390400,0.0,0.0
2025-07-30,151.78,151.8,145.83,145.95,3529500,0.0,0.0
2025-07-29,151.7,152.4,150.45,151.09,3918100,0.0,0.0
2025-07-28,149.91,153.17,149.46,151.35,3970300,0.0,0.0
2025-07-25,149.31,150.7,148.51,150.57,2818000,0.0,0.0
2025-07-24,149.31,150.59,147.13,148.61,4860900,0.0,0.0
2025-07-23,151.22,151.95,149.11,150.13,4976700,0.0,0.0
2025-07-22,152.28,153.35,149.63,150.5,4927800,0.0,0.0
2025-07-21,151.55,152.94,148.65,152.12,5194000,0.0,0.0
2025-07-18,161.79,163.4,149.56,152.53,11701900,0.0,0.0
2025-07-17,156.54,158.74,156.07,158.31,5024200,0.0,0.0
2025-07-16,156.9,156.95,154.14,156.84,3194600,0.0,0.0
2025-07-15,157.18,157.55,155.31,155.87,3058900,0.0,0.0
2025-07-14,154.87,157.38,154.21,157.18,2961300,0.0,0.0
2025-07-11,155.33,155.83,154.11,155.12,2401300,0.0,0.0
2025-07-10,155.39,158.74,155.24,156.6,4043400,0.0,0.0
2025-07-09,153.67,155.93,153.13,155.26,2855900,0.0,0.0
2025-07-08,151.03,153.91,150.83,153.03,3252200,0.0,0.0
2025-07-07,152.1,153.76,150.26,151.14,3877000,0.0,0.0
2025-07-03,153.54,154.29,148.81,152.24,3182900,0.0,0.0
2025-07-02,153.5,154.74,152.51,153.26,2864700,0.0,0.0
2025-07-01,151.3,155.37,150.72,153.1,3781900,0.0,0.0
2025-06-30,151.58,151.76,150.31,151.54,2302800,0.0,0.0
2025-06-27,150.44,152.17,149.87,151.32,3938200,0.0,0.0
2025-06-26,147.01,150.42,146.63,150.07,2740100,0.0,0.0
2025-06-25,149.01,149.17,146.44,147.07,2378000,0.0,0.0
2025-06-24,147.96,149.6,147.33,149.18,2700500,0.0,0.0
2025-06-23,143.73,147.04,142.69,146.92,2904700,0.0,0.0
2025-06-20,142.65,143.39,141.17,143.37,5566700,0.0,0.0
2025-06-18,141.48,143.01,140.92,141.85,2629100,0.0,0.0
2025-06-17,143.4,144.21,141.32,141.56,1739900,0.0,0.0
2025-06-16,143.02,144.72,142.85,144.4,1681300,0.0,0.0
2025-06-13,142.47,143.79,141.08,141.67,2450400,0.0,0.0
2025-06-12,145.75,146.59,143.83,144.1,2069700,0.0,0.0
2025-06-11,144.37,147.37,143.76,146.5,2904400,0.0,0.0
2025-06-10,143.58,144.64,142.49,144.39,3129200,0.0,0.0
2025-06-09,144.88,145.36,142.01,143.57,3401900,0.0,0.0
2025-06-06,147.32,147.78,144.77,144.83,2297100,0.0,0.0
2025-06-05,146.36,146.58,144.22,145.59,3568300,0.0,0.0
2025-06-04,148.23,148.26,146.04,146.13,2346900,0.0,0.0
2025-06-03,145.64,147.68,144.54,147.45,2343300,0.0,0.0
2025-06-02,147.19,147.62,143.25,145.73,2825700,0.0,0.0
2025-05-30,148.05,148.76,146.92,147.67,5339800,0.0,0.0
2025-05-29,149.18,149.67,147.5,148.94,2621400,0.0,0.0
2025-05-28,148.96,149.31,147.51,147.98,2297500,0.0,0.0
2025-05-27,149.31,149.31,145.99,148.8,3155300,0.0,0.0
2025-05-23,146.77,148.01,146.33,146.94,2369800,0.73,0.0
2025-05-22,148.31,149.15,146.28,148.36,2862800,0.0,0.0
2025-05-21,150.88,151.72,147.92,147.99,2661800,0.0,0.0
2025-05-20,151.81,153.27,151.8,152.69,2529700,0.0,0.0
2025-05-19,150.51,152.8,149.68,152.68,2613600,0.0,0.0
2025-05-16,148.02,151.83,147.54,151.66,4204500,0.0,0.0
2025-05-15,144.95,147.77,143.99,147.33,4472100,0.0,0.0
2025-05-14,149.33,149.35,145.57,146.48,3778700,0.0,0.0
2025-05-13,149.38,150.32,148.75,149.32,3455700,0.0,0.0
2025-05-12,144.71,149.39,143.9,148.91,4974800,0.0,0.0
2025-05-09,139.93,141.27,139.63,141.25,2634100,0.0,0.0
2025-05-08,138.68,141.01,137.89,139.79,2899500,0.0,0.0
2025-05-07,136.96,138.47,136.4,137.33,2555400,0.0,0.0
2025-05-06,137.82,138.39,136.33,136.72,2850000,0.0,0.0
2025-05-05,139.29,140.53,138.55,139.47,2623500,0.0,0.0
2025-05-02,138.68,141.69,137.97,140.74,2734200,0.0,0.0
2025-05-01,136.97,138.92,136.37,136.6,2236300,0.0,0.0
2025-04-30,136.33,137.99,133.58,137.6,3062800,0.0,0.0
2025-04-29,136.2,137.9,135.55,137.07,1917200,0.0,0.0
2025-04-28,136.02,137.1,134.75,136.63,2499900,0.0,0.0
2025-04-25,137.69,137.69,135.8,136.02,2141300,0.0,0.0
2025-04-24,134.36,138.44,133.84,137.57,2921100,0.0,0.0
2025-04-23,138.06,140.81,133.92,134.77,4655800,0.0,0.0
2025-04-22,132.03,135.97,129.13,135.04,7943800,0.0,0.0
2025-04-21,127.78,128.61,123.47,124.9,5971800,0.0,0.0
2025-04-17,129.11,131.69,128.85,128.98,4952000,0.0,0.0
2025-04-16,132.25,133.21,128.64,129.23,5635500,0.0,0.0
2025-04-15,134.72,136.17,133.86,133.98,2541700,0.0,0.0
2025-04-14,136.8,136.98,133.16,134.72,3815800,0.0,0.0
2025-04-11,131.87,135.2,130.42,134.67,3337600,0.0,0.0
2025-04-10,134.47,134.51,127.46,131.71,4757100,0.0,0.0
2025-04-09,123.82,137.91,122.27,137.01,6428100,0.0,0.0
2025-04-08,130.99,132.6,123.64,125.96,5496800,0.0,0.0
2025-04-07,123.55,133.1,120.83,127.34,7174700,0.0,0.0
2025-04-04,132.92,134.03,125.24,125.71,9609100,0.0,0.0
2025-04-03,141.49,143.12,137.54,138.42,6712300,0.0,0.0
2025-04-02,144.33,146.77,144.21,146.36,4411100,0.0,0.0
2025-04-01,144.32,147.28,142.82,146.27,3641300,0.0,0.0
2025-03-31,142.63,146.34,140.84,145.47,4508600,0.0,0.0
2025-03-28,146.46,147.44,142.97,143.47,2581500,0.0,0.0
2025-03-27,151.23,151.23,146.72,147.04,2825300,0.0,0.0
2025-03-26,152.0,152.97,150.62,151.24,3836700,0.0,0.0
2025-03-25,151.68,153.54,151.24,152.05,4118900,0.0,0.0
2025-03-24,150.27,152.57,149.28,151.7,3207800,0.0,0.0
2025-03-21,148.48,149.34,146.67,148.94,5538500,0.0,0.0
2025-03-20,150.22,152.2,149.66,149.84,2579000,0.0,0.0
2025-03-19,149.76,152.51,149.49,151.76,2344100,0.0,0.0
2025-03-18,151.13,151.76,149.08,149.49,3038500,0.0,0.0
2025-03-17,148.95,152.52,148.58,151.76,4562100,0.0,0.0
2025-03-14,146.52,149.36,145.67,148.99,4094400,0.0,0.0
2025-03-13,148.86,149.81,144.53,144.72,3295000,0.0,0.0
2025-03-12,146.91,149.81,145.81,148.82,4196600,0.0,0.0
2025-03-11,144.35,148.08,144.25,146.15,5818300,0.0,0.0
2025-03-10,142.11,147.77,141.77,146.22,4966500,0.0,0.0
2025-03-07,143.32,145.83,139.45,144.92,5891100,0.0,0.0
2025-03-06,145.01,146.73,144.37,145.55,4492400,0.0,0.0
2025-03-05,145.37,147.63,144.62,146.21,3909700,0.0,0.0
2025-03-04,149.08,149.61,144.24,144.48,6787400,0.0,0.0
2025-03-03,154.03,154.87,150.46,151.97,5672700,0.0,0.0
2025-02-28,150.07,154.03,149.57,153.65,8323100,0.0,0.0
2025-02-27,147.36,151.12,146.81,149.1,6576000,0.0,0.0
2025-02-26,143.03,147.85,140.42,146.04,5783400,0.0,0.0
2025-02-25,144.06,146.17,143.97,145.16,4358800,0.0,0.0
2025-02-24,143.61,145.02,142.51,144.11,3447500,0.0,0.0
2025-02-21,147.67,148.13,143.19,143.61,4278500,0.0,0.0
2025-02-20,148.57,148.67,146.64,147.67,2231500,0.0,0.0
