Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,5.05,5.1,4.88,4.94,3887600,0.0,0.0
2025-10-09,5.12,5.15,5.05,5.06,1509100,0.0,0.0
2025-10-08,5.05,5.11,5.02,5.09,1994900,0.0,0.0
2025-10-07,5.06,5.11,5.01,5.03,3359200,0.0,0.0
2025-10-06,5.1,5.17,5.03,5.04,3035100,0.0,0.0
2025-10-03,5.11,5.17,5.07,5.11,2659100,0.0,0.0
2025-10-02,5.05,5.14,5.0,5.1,2640800,0.0,0.0
2025-10-01,5.26,5.3,5.05,5.06,3921200,0.0,0.0
2025-09-30,5.4,5.43,5.22,5.28,3178100,0.0,0.0
2025-09-29,5.4,5.48,5.3,5.4,2822900,0.0,0.0
2025-09-26,5.34,5.38,5.28,5.36,1840900,0.0,0.0
2025-09-25,5.47,5.49,5.33,5.35,2506800,0.0,0.0
2025-09-24,5.59,5.61,5.46,5.5,2684100,0.0,0.0
2025-09-23,5.74,5.78,5.56,5.56,3448600,0.0,0.0
2025-09-22,5.67,5.75,5.61,5.73,2681900,0.0,0.0
2025-09-19,5.82,5.83,5.68,5.69,4723600,0.0,0.0
2025-09-18,5.82,5.93,5.74,5.81,4674400,0.0,0.0
2025-09-17,5.8,5.95,5.78,5.8,6001400,0.0,0.0
2025-09-16,5.8,5.83,5.74,5.79,2201800,0.0,0.0
2025-09-15,5.77,5.9,5.76,5.8,3283400,0.0,0.0
2025-09-12,5.96,5.97,5.82,5.83,2562200,0.0,0.0
2025-09-11,5.94,6.02,5.92,5.97,3197000,0.0,0.0
2025-09-10,6.03,6.03,5.8,5.9,7060500,0.0,0.0
2025-09-09,6.06,6.07,5.95,6.0,2774500,0.0,0.0
2025-09-08,6.16,6.16,6.01,6.08,2782300,0.0,0.0
2025-09-05,6.18,6.24,6.05,6.15,3260600,0.0,0.0
2025-09-04,6.16,6.17,5.98,6.11,5198400,0.0,0.0
2025-09-03,6.1,6.18,6.03,6.18,4833000,0.0,0.0
2025-09-02,6.25,6.29,6.16,6.17,3147500,0.0,0.0
2025-08-29,6.4,6.46,6.31,6.36,3423600,0.0,0.0
2025-08-28,6.3,6.4,6.28,6.37,3926400,0.0,0.0
2025-08-27,6.24,6.3,6.22,6.28,2625300,0.0,0.0
2025-08-26,6.19,6.25,6.14,6.24,3355500,0.0,0.0
2025-08-25,6.18,6.23,6.14,6.17,2824200,0.0,0.0
2025-08-22,5.98,6.21,5.95,6.18,3117300,0.0,0.0
2025-08-21,5.96,5.97,5.86,5.94,2550400,0.0,0.0
2025-08-20,6.07,6.07,5.9,5.98,3007700,0.0,0.0
2025-08-19,6.16,6.19,6.01,6.07,3864600,0.0,0.0
2025-08-18,6.24,6.3,6.16,6.17,5526400,0.0,0.0
2025-08-15,6.22,6.24,6.15,6.21,4844900,0.0,0.0
2025-08-14,6.44,6.46,6.15,6.18,3341900,0.0,0.0
2025-08-13,6.48,6.55,6.43,6.5,3546300,0.0,0.0
2025-08-12,6.45,6.48,6.36,6.43,4242100,0.0,0.0
2025-08-11,6.51,6.51,6.33,6.38,5475400,0.0,0.0
2025-08-08,6.83,7.04,6.39,6.52,8747900,0.0,0.0
2025-08-07,6.45,6.84,6.36,6.83,18562000,0.0,0.0
2025-08-06,5.62,5.7,5.57,5.68,6213400,0.0,0.0
2025-08-05,5.63,5.64,5.5,5.59,5733100,0.0,0.0
2025-08-04,5.6,5.68,5.53,5.63,5745000,0.0,0.0
2025-08-01,5.65,5.65,5.48,5.53,4980800,0.0,0.0
2025-07-31,5.68,5.76,5.64,5.7,3823400,0.0,0.0
2025-07-30,5.7,5.74,5.64,5.69,5003000,0.0,0.0
2025-07-29,5.81,5.83,5.66,5.67,5182500,0.0,0.0
2025-07-28,5.81,5.89,5.77,5.77,5647900,0.0,0.0
2025-07-25,5.85,5.86,5.76,5.79,2421400,0.0,0.0
2025-07-24,5.91,5.92,5.8,5.83,2544300,0.0,0.0
2025-07-23,5.85,5.89,5.78,5.89,2825700,0.0,0.0
2025-07-22,5.85,5.9,5.77,5.85,3052500,0.0,0.0
2025-07-21,5.77,5.94,5.76,5.85,5087700,0.0,0.0
2025-07-18,5.95,5.97,5.72,5.73,3142900,0.0,0.0
2025-07-17,5.85,5.95,5.84,5.9,4744200,0.0,0.0
2025-07-16,5.9,5.94,5.8,5.88,3850000,0.0,0.0
2025-07-15,5.84,5.86,5.79,5.83,3286900,0.0,0.0
2025-07-14,5.74,5.91,5.72,5.85,5240400,0.0,0.0
2025-07-11,5.97,5.99,5.7,5.71,5995000,0.0,0.0
2025-07-10,5.97,6.01,5.93,5.98,5026000,0.0,0.0
2025-07-09,5.96,6.01,5.93,5.99,3749600,0.0,0.0
2025-07-08,5.96,5.97,5.85,5.92,5811600,0.0,0.0
2025-07-07,5.93,5.97,5.84,5.94,5849700,0.0,0.0
2025-07-03,5.91,5.95,5.88,5.95,3129400,0.0,0.0
2025-07-02,5.81,5.94,5.79,5.86,5287300,0.0,0.0
2025-07-01,5.72,5.88,5.72,5.81,6647100,0.0,0.0
2025-06-30,5.89,5.91,5.78,5.83,6883700,0.0,0.0
2025-06-27,5.85,5.9,5.8,5.88,19748100,0.0,0.0
2025-06-26,5.79,5.86,5.71,5.84,5344100,0.0,0.0
2025-06-25,5.77,5.8,5.7,5.79,4339700,0.0,0.0
2025-06-24,5.69,5.8,5.64,5.75,4939500,0.0,0.0
2025-06-23,5.49,5.61,5.45,5.59,4465700,0.0,0.0
2025-06-20,5.55,5.61,5.44,5.49,9723400,0.0,0.0
2025-06-18,5.62,5.66,5.48,5.51,5486300,0.0,0.0
2025-06-17,5.53,5.62,5.49,5.59,4937600,0.0,0.0
2025-06-16,5.44,5.57,5.36,5.57,5177400,0.0,0.0
2025-06-13,5.41,5.51,5.36,5.38,9104200,0.0,0.0
2025-06-12,5.41,5.52,5.41,5.51,5725200,0.0,0.0
2025-06-11,5.51,5.58,5.44,5.5,3917800,0.0,0.0
2025-06-10,5.42,5.5,5.39,5.48,5725400,0.0,0.0
2025-06-09,5.49,5.49,5.35,5.41,7416700,0.0,0.0
2025-06-06,5.55,5.57,5.42,5.47,6391200,0.0,0.0
2025-06-05,5.34,5.58,5.34,5.5,10995000,0.0,0.0
2025-06-04,5.41,5.45,5.33,5.38,6226900,0.0,0.0
2025-06-03,5.18,5.41,5.14,5.35,9452700,0.0,0.0
2025-06-02,5.38,5.39,5.2,5.24,5810900,0.0,0.0
2025-05-30,5.29,5.41,5.24,5.38,12992400,0.0,0.0
2025-05-29,5.34,5.38,5.29,5.37,6597200,0.0,0.0
2025-05-28,5.24,5.32,5.2,5.27,6368400,0.0,0.0
2025-05-27,5.12,5.25,5.09,5.22,8923600,0.0,0.0
2025-05-23,5.12,5.17,5.01,5.07,12402700,0.0,0.0
2025-05-22,5.08,5.24,5.03,5.2,11914900,0.0,0.0
2025-05-21,5.18,5.32,5.15,5.21,12352900,0.0,0.0
2025-05-20,5.24,5.32,5.16,5.22,10277800,0.0,0.0
2025-05-19,5.08,5.27,5.08,5.24,10646000,0.0,0.0
2025-05-16,4.98,5.09,4.96,5.04,7341600,0.0,0.0
2025-05-15,4.9,5.06,4.87,5.0,12598400,0.0,0.0
2025-05-14,4.83,4.91,4.82,4.9,9647600,0.0,0.0
2025-05-13,4.68,4.85,4.61,4.83,8170200,0.0,0.0
2025-05-12,4.79,4.86,4.53,4.65,8982800,0.0,0.0
2025-05-09,4.49,4.86,4.49,4.6,11889800,0.0,0.0
2025-05-08,4.23,4.57,4.1,4.49,16451900,0.0,0.0
2025-05-07,3.96,4.12,3.93,4.09,12776400,0.0,0.0
2025-05-06,3.76,3.92,3.71,3.9,8306100,0.0,0.0
2025-05-05,3.82,3.9,3.79,3.8,5711600,0.0,0.0
2025-05-02,4.05,4.1,3.84,3.85,12184300,0.0,0.0
2025-05-01,4.01,4.13,3.97,4.09,8208700,0.0,0.0
2025-04-30,4.04,4.2,4.01,4.18,4627100,0.0,0.0
2025-04-29,3.97,4.14,3.97,4.12,3236700,0.0,0.0
2025-04-28,3.95,4.03,3.88,3.97,3489000,0.0,0.0
2025-04-25,3.95,4.01,3.95,3.97,1764700,0.0,0.0
2025-04-24,3.87,4.01,3.85,3.99,3801000,0.0,0.0
2025-04-23,3.9,4.0,3.86,3.9,6024400,0.0,0.0
2025-04-22,3.84,3.89,3.77,3.82,5097400,0.0,0.0
2025-04-21,3.82,3.83,3.71,3.77,3242600,0.0,0.0
2025-04-17,3.88,3.89,3.77,3.82,4613700,0.0,0.0
2025-04-16,3.92,3.98,3.87,3.92,7033100,0.0,0.0
2025-04-15,3.94,4.0,3.88,3.91,2384600,0.0,0.0
2025-04-14,3.9,3.96,3.85,3.92,4343200,0.0,0.0
2025-04-11,3.86,3.88,3.77,3.85,5402000,0.0,0.0
2025-04-10,3.9,3.96,3.78,3.84,4663500,0.0,0.0
2025-04-09,3.69,4.11,3.68,3.98,10311200,0.0,0.0
2025-04-08,3.9,3.92,3.66,3.75,17296500,0.0,0.0
2025-04-07,3.59,3.99,3.47,3.79,10637600,0.0,0.0
2025-04-04,3.8,3.91,3.65,3.71,6792900,0.0,0.0
2025-04-03,4.01,4.12,3.94,3.95,6585200,0.0,0.0
2025-04-02,4.14,4.28,4.11,4.25,4346600,0.0,0.0
2025-04-01,4.12,4.38,4.12,4.25,6783400,0.0,0.0
2025-03-31,4.14,4.21,4.08,4.12,8634200,0.0,0.0
2025-03-28,4.3,4.34,4.16,4.19,4515400,0.0,0.0
2025-03-27,4.35,4.43,4.28,4.29,3776100,0.0,0.0
2025-03-26,4.4,4.48,4.31,4.39,11739500,0.0,0.0
2025-03-25,4.47,4.58,4.4,4.41,6558300,0.0,0.0
2025-03-24,4.45,4.59,4.41,4.48,4899300,0.0,0.0
2025-03-21,4.5,4.5,4.36,4.42,6975400,0.0,0.0
2025-03-20,4.52,4.65,4.49,4.52,5740300,0.0,0.0
2025-03-19,4.54,4.74,4.51,4.57,9059500,0.0,0.0
2025-03-18,4.28,4.53,4.26,4.51,12822200,0.0,0.0
2025-03-17,4.08,4.37,4.08,4.32,11555700,0.0,0.0
2025-03-14,4.06,4.16,3.97,4.1,10687100,0.0,0.0
2025-03-13,3.94,4.07,3.9,4.0,6721500,0.0,0.0
2025-03-12,3.89,4.09,3.89,3.94,11037700,0.0,0.0
2025-03-11,3.87,3.93,3.72,3.9,12534600,0.0,0.0
2025-03-10,4.0,4.03,3.82,3.87,9880400,0.0,0.0
2025-03-07,4.1,4.14,4.0,4.06,7429700,0.0,0.0
2025-03-06,4.11,4.14,4.05,4.06,6586000,0.0,0.0
2025-03-05,4.14,4.19,4.06,4.11,7003400,0.0,0.0
2025-03-04,4.04,4.22,4.01,4.13,12786200,0.0,0.0
2025-03-03,4.17,4.2,4.02,4.13,8499800,0.0,0.0
2025-02-28,4.11,4.21,4.05,4.18,12407300,0.0,0.0
2025-02-27,4.01,4.38,3.93,4.25,22926700,0.0,0.0
2025-02-26,3.78,3.85,3.48,3.51,15545900,0.0,0.0
2025-02-25,3.71,3.78,3.67,3.76,4561000,0.0,0.0
2025-02-24,3.71,3.71,3.6,3.71,4331900,0.0,0.0
2025-02-21,3.92,3.94,3.65,3.69,5182300,0.0,0.0
2025-02-20,3.82,3.95,3.79,3.92,6351800,0.0,0.0
2025-02-19,3.67,3.97,3.66,3.84,13178700,0.0,0.0
2025-02-18,3.59,3.71,3.58,3.7,5358700,0.0,0.0
2025-02-14,3.65,3.67,3.58,3.59,4396400,0.0,0.0
2025-02-13,3.71,3.71,3.6,3.62,4746900,0.0,0.0
2025-02-12,3.73,3.74,3.67,3.71,2120400,0.0,0.0
2025-02-11,3.77,3.77,3.66,3.74,2936400,0.0,0.0
2025-02-10,3.76,3.82,3.74,3.81,2278400,0.0,0.0
2025-02-07,3.83,3.85,3.71,3.74,3036400,0.0,0.0
2025-02-06,3.85,3.87,3.78,3.79,2459800,0.0,0.0
2025-02-05,3.82,3.86,3.77,3.86,3612800,0.0,0.0
2025-02-04,3.74,3.82,3.74,3.8,2752800,0.0,0.0
2025-02-03,3.74,3.83,3.7,3.78,3639100,0.0,0.0
2025-01-31,3.97,4.0,3.83,3.85,3366300,0.0,0.0
2025-01-30,3.95,4.07,3.93,3.96,6571300,0.0,0.0
2025-01-29,3.88,3.93,3.83,3.91,3041200,0.0,0.0
2025-01-28,3.82,3.93,3.81,3.88,3385400,0.0,0.0
2025-01-27,3.77,4.0,3.75,3.84,5584100,0.0,0.0
2025-01-24,3.69,3.85,3.68,3.77,3825500,0.0,0.0
2025-01-23,3.7,3.76,3.64,3.7,4535400,0.0,0.0
2025-01-22,3.68,3.8,3.63,3.74,4635100,0.0,0.0
2025-01-21,3.78,3.81,3.62,3.7,9925700,0.0,0.0
2025-01-17,3.8,3.84,3.75,3.75,2084000,0.0,0.0
2025-01-16,3.8,3.84,3.76,3.77,3670600,0.0,0.0
2025-01-15,3.87,3.93,3.78,3.81,3087400,0.0,0.0
2025-01-14,3.74,3.83,3.7,3.76,3542500,0.0,0.0
2025-01-13,3.61,3.73,3.54,3.7,4827200,0.0,0.0
2025-01-10,3.62,3.77,3.62,3.67,4120600,0.0,0.0
2025-01-08,3.84,3.87,3.74,3.84,3718500,0.0,0.0
2025-01-07,3.87,3.99,3.84,3.86,4203200,0.0,0.0
2025-01-06,3.86,3.95,3.82,3.84,2360400,0.0,0.0
2025-01-03,3.77,3.9,3.76,3.86,3569600,0.0,0.0
2025-01-02,3.83,3.87,3.72,3.73,2795800,0.0,0.0
2024-12-31,3.8,3.87,3.73,3.79,3837800,0.0,0.0
2024-12-30,3.62,3.82,3.54,3.77,5280600,0.0,0.0
2024-12-27,3.72,3.74,3.61,3.65,2325300,0.0,0.0
2024-12-26,3.66,3.76,3.65,3.73,2651200,0.0,0.0
2024-12-24,3.65,3.7,3.61,3.7,2642600,0.0,0.0
2024-12-23,3.72,3.75,3.63,3.67,3942500,0.0,0.0
2024-12-20,3.69,3.86,3.67,3.75,8979400,0.0,0.0
2024-12-19,3.72,3.8,3.71,3.75,4903900,0.0,0.0
2024-12-18,3.88,4.01,3.65,3.71,4385500,0.0,0.0
2024-12-17,3.89,4.03,3.88,3.89,3582400,0.0,0.0
2024-12-16,4.03,4.06,3.92,4.03,6237400,0.0,0.0
2024-12-13,4.06,4.09,3.99,4.02,4011200,0.0,0.0
2024-12-12,4.09,4.14,4.0,4.03,4279000,0.0,0.0
2024-12-11,3.9,4.14,3.9,4.09,5930200,0.0,0.0
2024-12-10,3.95,4.02,3.9,3.94,4638500,0.0,0.0
2024-12-09,3.88,4.09,3.88,3.96,8296500,0.0,0.0
2024-12-06,3.76,3.9,3.76,3.88,8098300,0.0,0.0
2024-12-05,3.87,3.87,3.71,3.73,9218900,0.0,0.0
2024-12-04,3.86,3.89,3.8,3.87,4225300,0.0,0.0
2024-12-03,3.85,3.89,3.8,3.84,6496000,0.0,0.0
2024-12-02,3.86,3.93,3.8,3.9,4786600,0.0,0.0
2024-11-29,3.88,3.92,3.85,3.88,1797100,0.0,0.0
2024-11-27,3.87,3.92,3.82,3.88,4886700,0.0,0.0
