Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,87.94,88.24,85.92,85.99,11223700,0.0,0.0
2025-10-09,86.96,87.8,86.64,87.5,10938200,0.0,0.0
2025-10-08,87.93,87.93,86.2,86.4,9696200,0.0,0.0
2025-10-07,88.67,88.94,87.14,87.61,9449100,0.0,0.0
2025-10-06,88.83,90.31,88.55,88.8,11648300,0.0,0.0
2025-10-03,89.63,90.7,88.1,89.19,12970600,0.0,0.0
2025-10-02,89.95,91.0,88.22,89.51,14575400,0.0,0.0
2025-10-01,85.19,90.75,85.19,90.13,33460900,0.0,0.0
2025-09-30,78.42,84.0,78.4,83.93,21636600,0.0,0.0
2025-09-29,78.6,78.8,78.03,78.58,12739000,0.0,0.0
2025-09-26,78.76,78.96,77.69,78.56,12205400,0.0,0.0
2025-09-25,79.78,79.88,77.58,77.6,14923800,0.0,0.0
2025-09-24,79.9,80.11,79.33,79.67,11804200,0.0,0.0
2025-09-23,80.09,81.11,79.67,79.96,13145300,0.0,0.0
2025-09-22,81.76,81.94,80.26,80.4,11986400,0.0,0.0
2025-09-19,81.81,82.4,81.0,81.51,25627800,0.0,0.0
2025-09-18,81.22,81.69,80.82,81.53,10458900,0.0,0.0
2025-09-17,80.98,82.25,80.8,81.14,12642100,0.0,0.0
2025-09-16,81.01,81.48,80.54,81.09,10065900,0.0,0.0
2025-09-15,82.11,82.75,80.92,81.02,10229800,0.81,0.0
2025-09-12,83.79,84.35,81.99,82.0,9939500,0.0,0.0
2025-09-11,83.52,84.71,83.18,84.32,9667200,0.0,0.0
2025-09-10,83.45,83.74,82.72,83.21,13073300,0.0,0.0
2025-09-09,83.36,83.97,83.31,83.78,9767500,0.0,0.0
2025-09-08,83.34,83.5,82.01,83.27,13111200,0.0,0.0
2025-09-05,82.97,84.44,82.44,83.88,13231100,0.0,0.0
2025-09-04,83.38,83.58,82.19,83.23,12554800,0.0,0.0
2025-09-03,84.53,84.97,83.25,83.36,12714400,0.0,0.0
2025-09-02,83.67,84.66,83.52,84.64,11642700,0.0,0.0
2025-08-29,82.6,83.42,82.47,83.3,10872900,0.0,0.0
2025-08-28,83.43,83.43,81.84,82.4,14485300,0.0,0.0
2025-08-27,84.24,84.64,83.06,83.25,10588100,0.0,0.0
2025-08-26,84.72,84.75,83.84,84.16,14062700,0.0,0.0
2025-08-25,86.36,86.54,84.12,84.48,9417700,0.0,0.0
2025-08-22,86.64,86.98,85.91,86.52,11977400,0.0,0.0
2025-08-21,84.05,86.47,83.77,85.24,13889000,0.0,0.0
2025-08-20,84.48,85.41,83.72,83.83,8904700,0.0,0.0
2025-08-19,83.55,84.96,83.55,84.1,14307700,0.0,0.0
2025-08-18,83.44,84.32,83.26,83.4,8273600,0.0,0.0
2025-08-15,82.9,83.91,82.54,83.39,10481400,0.0,0.0
2025-08-14,81.21,82.58,80.8,81.95,10217600,0.0,0.0
2025-08-13,79.96,82.03,79.42,81.9,11043800,0.0,0.0
2025-08-12,79.68,80.15,78.89,79.51,7852700,0.0,0.0
2025-08-11,80.17,80.84,78.85,79.25,8210700,0.0,0.0
2025-08-08,79.33,80.38,79.33,79.9,6882900,0.0,0.0
2025-08-07,78.87,80.03,77.88,79.58,10830100,0.0,0.0
2025-08-06,79.5,80.52,78.49,78.66,13028700,0.0,0.0
2025-08-05,79.12,80.34,78.79,80.0,9984300,0.0,0.0
2025-08-04,78.29,79.21,77.66,79.08,13380700,0.0,0.0
2025-08-01,77.26,79.09,76.77,78.51,11900300,0.0,0.0
2025-07-31,80.01,80.69,77.09,77.36,19813300,0.0,0.0
2025-07-30,82.1,82.76,80.72,80.95,13055200,0.0,0.0
2025-07-29,79.07,82.08,75.91,81.82,27826400,0.0,0.0
2025-07-28,83.64,84.14,83.05,83.24,12882000,0.0,0.0
2025-07-25,83.34,84.39,83.02,83.88,10058800,0.0,0.0
2025-07-24,83.38,83.68,82.7,83.29,8016700,0.0,0.0
2025-07-23,81.81,83.32,81.6,83.16,11542100,0.0,0.0
2025-07-22,79.09,80.97,79.09,80.81,10571000,0.0,0.0
2025-07-21,79.38,79.52,78.18,78.53,11620800,0.0,0.0
2025-07-18,80.9,81.12,79.08,79.18,11823600,0.0,0.0
2025-07-17,81.18,81.85,80.54,80.72,8984800,0.0,0.0
2025-07-16,80.66,81.83,80.66,81.62,11517800,0.0,0.0
2025-07-15,82.96,83.53,80.5,80.72,10827000,0.0,0.0
2025-07-14,82.61,83.48,82.3,82.85,10368700,0.0,0.0
2025-07-11,83.2,83.31,81.46,82.54,9717400,0.0,0.0
